default
下級堕天使,低階墮天使
[1].お互いのフィールド上にモンスターが存在する場合、１ターンに１度発動できる。自分フィールド上のすべてのモンスターの攻撃力を200ポイントアップし、相手フィールド上のすべてのモンスターのHPを500ポイント回復する。,[1].１回合１次，雙方場上有怪獸存在時可以發動。自己場上所有怪獸攻擊力提升200點，對手場上所有怪獸的HP回復500點。
[2].このカードが召喚に成功したとき発動する。デッキから闇属性の魔法カードをランダムに１枚手札に加える。,[2].這張卡通常召喚成功時發動。從牌組隨機將１張闇屬性魔法卡加入手牌。
息で攻撃時に魅了を付与する。,交戰時如果以吹息攻擊，賦予對方「魅惑」。
わたしの足コキってね、気持ちよすぎて、\nみんな中毒になっちゃうんだ❤,わたしの足コキってね、気持ちよすぎて、\nみんな中毒になっちゃうんだ❤
でも、いくつかの国で人間を搾り殺してたら、\n女神さまに力を封印されて天界から追放されちゃったの。\nいまでも足コキは上手いけど、昔と比べたらだいぶ控えめ・・・。,でも、いくつかの国で人間を搾り殺してたら、\n女神さまに力を封印されて天界から追放されちゃったの。\nいまでも足コキは上手いけど、昔と比べたらだいぶ控えめ・・・。
そうだ。あなたが心のバリアさえ解いてくれれば、\n昔みたいに触れただけで腰が抜けちゃうぐらいの快感を、\nおちんちんに与えることができるかも・・・❤,そうだ。あなたが心のバリアさえ解いてくれれば、\n昔みたいに触れただけで腰が抜けちゃうぐらいの快感を、\nおちんちんに与えることができるかも・・・❤
ねえ、おねがい❤力を抜いて、わたしの足コキを受け入れて❤\n小さい子の器用な足裏に、思うがままに弄ばれちゃお？くすくす❤,ねえ、おねがい❤力を抜いて、わたしの足コキを受け入れて❤\n小さい子の器用な足裏に、思うがままに弄ばれちゃお？くすくす❤
わたしは堕天をした身…。\n女神さまから見放されて、闇の世界に追放されたの。,わたしは堕天をした身…。\n女神さまから見放されて、闇の世界に追放されたの。
ただ、人間に快楽を与えて搾り殺しただけなのに…。\n女神さまってひどいよね？,ただ、人間に快楽を与えて搾り殺しただけなのに…。\n女神さまってひどいよね？
お兄さんもわたしみたいな女の子に、\nおちんちん触られるの好きでしょ？\n手じゃなくてわたし足が一番器用だから・・・。,お兄さんもわたしみたいな女の子に、\nおちんちん触られるの好きでしょ？\n手じゃなくてわたし足が一番器用だから・・・。
お兄さんのこと虫けらみたいに見下ろしながら、\nいっぱい踏んであげるね❤\n天使の素足の気持ちよさ、たっぷり堪能していいよ❤,お兄さんのこと虫けらみたいに見下ろしながら、\nいっぱい踏んであげるね❤\n天使の素足の気持ちよさ、たっぷり堪能していいよ❤
天使の肌ってね、特別だから、\nどれだけ地面の上を歩いても、汚れることはないし、\nけがをすることもないんだよ。,天使の肌ってね、特別だから、\nどれだけ地面の上を歩いても、汚れることはないし、\nけがをすることもないんだよ。
逆にそこに血みたいな不浄なものあれば、全部浄化しちゃうの。\nほら、お兄さんのおちんちんにもぎゅって押し付けてあげる。\nお兄さんの不浄な部分が浄化されちゃうね❤,逆にそこに血みたいな不浄なものあれば、全部浄化しちゃうの。\nほら、お兄さんのおちんちんにもぎゅって押し付けてあげる。\nお兄さんの不浄な部分が浄化されちゃうね❤
じわーって光に包まれるみたいになって、\n気持ちいいでしょ？くすくす❤\n汚い欲望ごと全部抜き取ってあげる❤,じわーって光に包まれるみたいになって、\n気持ちいいでしょ？くすくす❤\n汚い欲望ごと全部抜き取ってあげる❤
わたしの羽で乳首を触ってあげる。\nもとは真っ白だったのに、今はこんな色になっちゃった。\nでも触り心地はまだまだ全然気持ちいいんだよ❤,わたしの羽で乳首を触ってあげる。\nもとは真っ白だったのに、今はこんな色になっちゃった。\nでも触り心地はまだまだ全然気持ちいいんだよ❤
ほら、さわさわさわって乳首の周りを撫でてあげれば・・・❤\nくすくす❤うっとりしちゃうでしょ？\n天使の羽でからかってもらえるなんて、幸せな乳首だね❤,ほら、さわさわさわって乳首の周りを撫でてあげれば・・・❤\nくすくす❤うっとりしちゃうでしょ？\n天使の羽でからかってもらえるなんて、幸せな乳首だね❤
あへぇってなって無防備になったおちんちんにも、\nえい♪膝を押し当ててぶるぶる振動させてあげるね❤\n乳首をいじめながらの膝コキ❤逝くまで楽しんで？,あへぇってなって無防備になったおちんちんにも、\nえい♪膝を押し当ててぶるぶる振動させてあげるね❤\n乳首をいじめながらの膝コキ❤逝くまで楽しんで？
