default
サムライガール,武士女孩
修行中の侍の少女。武技に優れるが夜伽も得意。相手の隙をついてふところに飛び込み、快楽や武力であっという間に相手を制圧してしまう。,還在修行的少女武士。不只武術卓越，也相當擅長侍寢。一旦抓到對手的空隙就算迅速鑽入，以快感跟武術在一瞬間壓制對手。
パイズリ攻撃のとき「おっぱいに弱い」を付与する。,交戰時如果以乳交攻擊則會賦予對方「胸部弱點」。
くく、すっかりメロメロのようでござるな❤\n拙者の体を見てはぁはぁ息を荒げおって。,呼呼，已經完全被魅惑了呢。\n竟然看著在下的身體喘氣。
魅了状態でパイズリしてやれば、それは極楽❤\n頭の中が真っ白に溶けてしまうほどに気持ちいい❤,在被魅惑的狀態下被乳交，那感覺可是人生極品。\n會爽到腦袋整遍空白像融化一樣喔。
想像して動けぬか？そのままじっとしておれ❤\n男の喜びをたっぷり教えてやるでござる❤,開始想像起來所以動不了嗎？那就保持這樣別動，\n在下來教會你身為男人的喜悅。
魅了されるのは初めてでござるか？\n頭の中がふわふわして、ぼんやり気持ちよくて、たまらんであろう？,你是第一次被魅惑嗎？\n腦袋飄飄然的，感覺很舒服，忍不住想射精對不對？
夢見心地のまま、逝かせてしまうでござる❤\n張りのあるこのおっぱいで天国送り。ほらほらほら❤,在下會讓你保持這種感覺死去的喔。\n就用在下這對緊實的胸部。啊哈哈哈❤
とろけた目で拙者の体に見とれているでござる❤\nいいんでござるか？そんな体たらくでは反撃もできんでござるよ？,用恍惚的眼神看著在下的肉體，\n這樣真的可以嗎？那麼意志薄弱的身體有辦法反擊嗎？
くく、反論の一つもできぬほどメロメロのようでござるな❤\nこのまま拙者のパイズリで天国に逝かせてやるでござる❤,呼呼，已經入迷到連反駁都不行了呢。\n那麼就這樣被在下的乳交送上天國吧。
着やせして見えるかもしれぬが、意外と胸には自信があるでござる。,因為衣服讓人看起來比較虛，但其實在下的胸部很棒喔。
この胸でチンポを挟まれて耐えられるでござるか？えい❤,被這對胸部夾住老二你還能忍得住嗎？嘿呀❤
張りのあるこのおっぱいで、気持ちよくしてやるでござる。,就用在下這對緊實的胸部來讓你舒服呦。
童貞マスターのおぬしなら、\nパイズリですぐ喘いでしまうのでござろう？ほらほらほら❤,如果汝是個童貞玩家，\n我猜一被乳交就會開始嬌喘起來了呢。那麼開始嘍❤。
服越しに胸を押し付けてやるだけで、\nすぐ喘いでしまうのでござろう？ほらほらほら❤,你只要被隔著衣服的胸部擠壓，\n就會馬上嬌喘起來對吧？那麼我要開始嘍❤。
胸でいじめられるのは好きでござるか？,汝喜歡被女孩子用胸部虐待嗎？
おぬしが大人になったお祝いでござる。\n拙者のパイズリでたっぷり気持ちよくしてやるでござる❤,為了慶祝汝轉大人。\n在下會用力幫你乳交的喔。
マスターのことなど忘れさせてやるでござる。\n拙者のパイズリでたっぷり気持ちよくなれ❤ククク❤,會把汝幹到忘記幫主人戰鬥。\n變得只想體驗在下的乳交，嗯哼哼❤。
どうした？もうメロメロでござるか？,怎麼了？已經被魅惑了嗎？
拙者のマスターの魔法で頭がぽーっとするのでござろう？\nそのまま快楽にひたっていてよいでござるよ❤,被在下的主人用的魔法搞到腦袋意識不清了嗎？\n那就這樣沉溺在快感當中吧。
ほら、拙者が天国に行く手伝いをしてやるでござる。\n両手で筒を作って、しこしこ❤しこしこ❤,你看，在下正在協助汝上天國呢。\n雙手做成筒狀抓住你身體手淫。
ククク、間抜けなとろけ顔でござるなぁ❤\nすぐに果ててしまっていいでござるよ❤しこしこ、しこしこ❤,啊哈哈，已經一臉蠢樣了。\n你就立刻射精算了吧，被在下的手淫弄到射。
ククク、腑抜けになってしまったようでござるな。,啊哈哈，已經爽到動不了了呢。
魅了された状態でされる手コキはなかなかのものでござるよ。\nさあ、たっぷり楽しんでさっさと果てるでござる❤,在被魅惑的狀態下被手交的觸感很棒對吧。\n那麼你也爽到了現在可以射了吧？
夢見心地で反撃もできぬようでござるなぁ❤\nほら、手でにぎられて上下にしごかれても、剣を振ることすらできぬ❤,觸感太爽了所以反擊不了了嗎？\n那麼我繼續手淫下去的話，你就會連揮舞武器都做不到對吧？
勝負のことなど忘れてしまえ。\n気持ちいいのが正義でござる❤しこしこ、しこしこ❤,忘記決鬥的事情吧。\n爽就是正義喔。可以被手淫才是最重要的喔。
手でしごかれるのは好きでござるか？,喜歡被女孩子手淫嗎？
剣の扱いには慣れているでござる❤手でやさしくいじめてやれば……❤ほら、気持ちよくて力が抜けるでござろう？,在下已經很習慣使劍，所以只要這樣虐你的話……看啊，是不是爽到要腿軟了呢？
拙者の指使いはどうでござるか？いちもつをそっと握って、\nしこしこ、しこしこ❤しこしこ、しこしこ❤\n頭まっしろにして、そのまま負けていいでござるよ❤童貞マスター❤,在下的指技感覺如何？\n把汝的雄偉陽具握住，像玩物一樣的戲弄後。\n汝的腦袋就會一遍空白直接輸掉了喔，童貞玩家。
拙者の指使いはどうでござるか？いちもつをそっと握って、\nしこしこ、しこしこ❤しこしこ、しこしこ❤\n頭まっしろにして、そのまま負けていいでござるよ❤,在下的指技感覺如何？\n把汝的雄偉陽具握住，像玩物一樣的戲弄後。\n汝的腦袋就會一遍空白直接輸掉了喔。
ふふ、手で気持ちよくしてやるでござる❤,啊哈哈，讓在下的手把汝幹到爽吧。
おぬしのイチモツを優しく指で包んで、しこしこ…❤しこしこ…❤,汝的雄偉陽具被女孩子的手指仔細抓住……
こうして女の手でしごかれるのははじめてか？\nなかなかに気持ちいいでござろう？,汝是第一次被女孩子用手這樣子幹嗎？\n感覺很爽對不對？
くく、たまらぬようでござるな。\n腰を浮かせて、へこへこして❤\nさっさと逝ってしまえ、変態❤,啊哈哈，已經要忍不住了嗎？\n腰已經不自主扭起來了呢，\n趕快給我射吧，變態❤
拙者、手さばきの器用さにはそこそこ自信があるでござる。,在下對自己手指的靈巧程度很有自信的喔。
ほら、なかなかにきれいな指であろう？\nこれでおぬしのいちもつを服越しにしこしこ❤しこしこ❤\nククク、腰が砕けてきているぞ？,請看，在下的手指很漂亮對吧？\n用這手只隔著衣服抓住汝的雄偉陽具套弄。\n啊哈哈，汝要連站都站不穩了。
ふっ、剣の稽古をしていたときには\n見せなかった顔をしているでござるな❤\nもう限界なのでござるか？,嗯哼哼，是以劍交鋒時不會看到的表情呢。\n已經到極限了嗎？
ふっ、敵に向かって快楽をねだるとは、見果てた根性でござる❤,啊哈哈，竟然向敵人乞求快感，真是不得了的膽量呢。
拙者にどんな風に気持ちよくされたいか、\nちゃんと声に出して言うでござる❤\nそうすれば、願いを聞いてやってもいいでござるよ❤,想要在下怎樣讓汝舒服，\n好好大聲說出來。\n夠大聲的話在下可以考慮喔。
拙者の胸に挟まれたいと申すか❤\nあはは、そこまで大きな声で頼まれれば悪い気はせぬでござる❤\n張りのある胸で挟んで天国を見せてやるでござるよ❤,竟然求在下用胸部夾。\n啊哈哈，被這麼大聲拜託感覺還真有趣。\n那麼就用在下這對緊實的胸部把汝夾上天國。
拙者の手さばきで果てたいと申すか❤\nくすくす❤そこまで大きな声で頼まれれば悪い気はせぬでござる❤\n腰が抜けるほどしごいてやるでござるよ❤,想靠在下靈巧的手指射精？\n啊哈哈，被這麼大聲拜託感覺還真有趣。\n那就把汝幹到站不穩喔。
おっと、谷間からこぼれそうな勢いで出ているでござる❤\nあっけなく果ておって、女の胸に負ける癖がつかぬとよいでござるな❤,哎呀，射到滿出乳溝了呢。\n在這裡悲慘的射了以後，會不會染上敗給女性胸部的癖好呢？
くく、勢いよく出てきたでござる❤\n少ししこしこしただけで、促されるがままに射精❤\n童貞のいちもつは扱いやすいでござるな❤,啊哈哈，一口氣射了好多出來。\n我只是輕輕摸幾下叫汝射精而已。\n童貞的雄偉陽具真好玩弄。
ふふ、もう限界でござるか？,啊哈哈，已經到極限了嗎？
拙者の胸で果てたければいつでも出していいでござるよ。エッチな攻撃に負ける気持ちよさ、おぬしも味わいたいであろう？,如果想朝在下的胸部射精的話隨時都可以喔。汝很想體驗被色情攻擊幹到輸的快感對吧？
おやおや、拙者の胸で何度もしごかれて、そろそろ我慢できなくなってきたようでござる。,喔喔，被在下用胸部反覆幹了幾次以後，開始要變得忍不住了呢。
もう抵抗などやめて、そのままじっとしておれ❤すぐに気持ちよく終わらせてやるでござる❤,乾脆別再抵抗了，讓在下把汝舒服得幹死。
そろそろ我慢も限界でござるか？,差不多要忍耐到極限了嗎？
いいでござるよ。さっさと負けてしまっても。きっと拙者の谷間で出すのは、とろけるぐらいに気持ちいいでござる❤,那麼可以喔。趕快輸掉吧。在下的乳溝射精可是會讓汝爽到要發瘋的喔。
くっ、やるでござるな。\nこのままでは負けてしまうでござる…。,嗚，很厲害呢。\n如果就這樣子下去的話在下就要輸了……。
そうだ、こういうのはどうでござるか？\nほら…。,有了，這樣子如何？\n啊哈哈……。
