default
巨乳スライム,巨乳史萊姆
[1].相手から精を得たとき発動する。攻撃力500ポイントアップ。,[1].從對手得到精氣時發動。攻擊力提升500點。
胸の大きさが自慢の下級スライム。男性からエネルギーを吸い取ると一時的に胸が肥大化する。それに比例して与えてくる快楽の量も増えていくため、何体もの男を搾り取ったあとのこのスライムはきわめて危険である。\n,以胸部巨大而自豪的低階史萊姆。從男性吸收能量時可以短時間使胸部肥大化。她給予快感的量與胸部大小成正比，因此已經搾取無數男人的這種史萊姆會非常危險。\n
戦闘時「ぬるぬる」状態を付与。,(1).交戰時賦予對手「黏稠」狀態。
うふふ♪すごいでしょ。どんどん大きくできるんだよ❤,嗯哼哼，很厲害對吧？這可以越來越大喔。
この特大おっぱいでもっと気持ちよくしてあげるね❤,就用這個特大號奶子讓你舒服起來喔。
くすくす❤魅了されちゃって頭のなかとろけちゃったの？,嗯哼哼❤，被魅惑以後腦袋無法思考了對不對？
おっぱいでとどめ刺してあげるね。ほら・・・❤,用奶子來打倒你喔。嗯哼哼❤。
谷間に全部出しちゃっていいよ❤えいえい❤,在我的乳溝中全部射出來吧，嘿呀❤。
あは、チューされるの、そんなによかった？もうふにゃふにゃじゃない❤,啊哈哈，被親親友這麼爽嗎？身體已經沒力掙扎了呢。
そんな状態じゃ、わたしのパイズリよけられないね。抵抗できないまま搾り取ってあげる❤,這樣子你根本躲不過我的乳交。要在無法抵抗的狀態下被榨乾嘍。
マスターのキスでとろけちゃってるあなたには、パイズリでとどめ❤,被我主人的吻給魅惑的你就要用乳交來打倒。
挟まれるだけで気持ちいいでしょー❤魔物に負けたらたいへんなことになるかもしれないのに腰がうずいちゃう？,光是被夾住就很爽對不對？敗給魔物說不定下場會很慘但是身體卻動不了對不對？
だいじょうぶ。何回もぱんぱんっておっぱいでいじめてあげるから、すぐにイっちゃっていいんだよ❤ほら・・・❤,別擔心喔。被我啪啪啪幾下後馬上就會射的喔。你聽開始要有啪啪啪的聲音了喔❤。
何回もぱんぱんっておっぱいでいじめてあげるから、すぐにイっちゃっていいんだよ❤,被我啪啪幾下後馬上就會射的喔。
わたし、おっぱいには自信あるんだー❤,我的奶子可是很大的喔。
このおっぱいで挟んであげると、みんなすぐにとろけた顔をして、降参しちゃうの。,被這對奶子夾臉的話，大家都會馬上發情並投降呢。
スライムローションでぬるぬるのおちんちん、ズリズリされたらたまらないと思うよ❤,小雞雞被史萊姆潤滑劑塗抹過，再被奶子幹的感覺真的是爽翻天呢。
おっぱいで挟んであげるね。ほら、よいっしょ。,奶子要夾你了喔。嘿咻。
谷間のなかぷるんぷるんで気持ちいいでしょ？ぬるぬるになったおちんちん、たくさんいじめてあげるね❤,乳溝中的水嫩感很爽對不對？我要狠狠虐這根被塗滿史萊姆的小雞雞喔。
わたしのおっぱいで気持ちいいことしてあげる❤えい❤,用我的奶子來讓你爽翻天，嘿呀❤。
えへへ、すごいでしょー。おっきなおっぱいにむぎゅーって挟まれて、おちんちん溶けちゃいそうなんじゃない？,欸嘿嘿，很厲害對不對？被這對巨大的奶子給緊緊夾住，小雞雞感覺要融化了呢。
いいんだよー。溶けちゃっても。もっとぬるぬるにしてあげるから、気持ちいいおもらし、いっぱいわたしの谷間にしちゃおうね❤,沒關係喔，在這裡融化吧。我會繼續讓你，直到你爽到射精並且射滿我乳溝。
いいんだよー、溶けちゃっても❤マスターのことなんて忘れて、気持ちいいおもらし、わたしの谷間でしちゃおうね❤,沒關係喔，在我的乳溝中融化吧。把主人的命令給忘記，盡情在我乳溝中射精吧。
さっきよりも大きくなった特盛おっぱい❤あなたはどうかな？耐えられるかな？うふふ❤,這是比剛才還要大的特大號奶子喔。剛才那個人最後還是忍不住射了。那你呢？
大きくなったおっぱいで挟んであげるね。ほら、よいっしょ。,用這對變大的奶子來夾你喔。嘿咻。
谷間のなか、みちみちで気持ちいいでしょ？スライムのおっぱいなんて初めてだよねー。,我的乳溝中的觸感黏黏的很舒服對不對？你是第一次被史萊姆的奶子幹對吧？
このまま上下に動かすと、ぎゅーって圧迫されたままたくさん扱かれて、すっごく気持ちいいんだよ。ほらー❤うりうりー❤,就這樣上下擺動，讓這緊密的壓迫感幹你，可以讓你變得非常爽喔。嘿呀❤，用力甩奶子嘍❤。
大きくなったわたしのおっぱいで気持ちいいことしてあげる❤えい❤,就用我這對變大的奶子來幹你❤，嘿呀❤。
いいんだよー。溶けちゃっても。気持ちいいおもらし、いっぱいわたしの谷間にしちゃおうね❤,別擔心喔。可以在這裡融化的。在這裡舒服得射滿我的乳溝吧。
いいんだよー、溶けちゃっても❤マスターのことなんて忘れて、わたしにもっともっとエナジーちょうだい❤,沒問題的，可以在這裡融化喔。把主人的命令給忘記，繼續射出能量給我。
あなたはどうかな？耐えられるかな？うふふ❤,剛才那個人忍不住射了，那你呢？嗯哼哼❤。
谷間のなかぷるんぷるんで気持ちいいでしょ？スライムのおっぱいなんて初めてだよねー。,在乳溝中感受到的水嫩感很舒服對吧？畢竟是第一次被史萊姆的奶子幹呢。
このまま上下に動かすと、たくさんぷるぷる動いて、すっごく気持ちいいんだよ。ほらー❤うりうりー❤,我會繼續這樣上下擺動彈你雞雞，讓你更舒服喔。嗯哼哼❤。
あはは❤わたしのおっぱいで気持ちよくなりたいんだ～❤\nおっきなスライムおっぱい見てたら、\n我慢できなくなっちゃったんだね～❤,啊哈哈❤想要被我的奶子幹啊～。\n看見巨大的史萊姆奶子，\n就會忍不住求她幹自己呢～。
男の子からエナジー吸い取ってぇ、\nこーんなに大きくなっちゃったこのおっぱい❤\nいいよ、たっぷり挟んで気持ちよくしてあげる❤,而且還是吸收別的男孩子的能量，\n變得這～麼大的奶子耶，\n沒問題喔，我可以夾到你爽。
いいよ～❤ぷるんぷるんの爆乳おっぱいで挟んでずりずりしてぇ、\nあなたのおちんちん、ぐちゅぐちゅに犯してあげる❤,別害怕，我這對水嫩的爆乳胸部夾你並乳交，會把你的小雞雞在淫糜水聲當中幹到瘋。
あん❤おっぱいがどろどろになっちゃった～❤\nおちんちん気持ちよすぎてすぐ射精させられちゃったね❤,啊嗯❤奶子開始要融化了呢，\n然後小雞雞也太舒服很快就要射了❤。
うっ、ううっ・・・。,嗚、嗚嗚……。
んー？どうしたの？わたしの前にうずくまっちゃって・・・。あっ、もしかして我慢できなくなっちゃった？,嗯？怎麼了？竟然在我面前彎起身體……。啊，我知道了你是忍不住了對不對？
まだ勝負が始まって少ししか経ってないのに、理性よわーい❤くすくす❤,明明對戰才剛開始而已，理性好脆弱喔。嗯哼哼❤。
