default
ロリ巨乳サキュバス,羅莉巨乳魅魔
[1].１ターンに１度、相手キャラクターを選択して発動できる。そのキャラクターに「おっぱいに弱い」を付与する。すでに「おっぱいに弱い」状態だった場合、「魅了」を付与する。すでに「魅了」状態だった場合、「早漏化」を付与する。,[1].１回合１次，可以選擇１名對手角色發動。賦予該角色「胸部弱點」。如果該角色已經是「胸部弱點」狀態則改為賦予「魅惑」。如果該角色已經是「魅惑」狀態則改為賦予「早洩」。
[2].このカードは「おっぱいに弱い」相手から戦闘・効果ダメージを受けない。,[2].困難以上中，此卡受到「胸部弱點」角色的給予的戰鬥・效果傷害改為０。
戦闘時に「おっぱいに弱い」を付与する。「早漏化」を付与した相手の現在HPが自身の攻撃力の2倍以下の場合、オナニー誘惑を行う。,交戰時賦予對方「胸部弱點」。同時如果對手有「早洩」狀態且當下HP為自己攻擊力一半以下的狀況時，進行自慰誘惑。
あはぁん、ほらぁ見てぇ❤,あはぁん、ほらぁ見てぇ❤
あはぁん、わたしの方も見てぇ❤,あはぁん、わたしの方も見てぇ❤
前かがみになってぇ、おっぱいアピール❤\nゆさゆさって揺らしてぇ\nここから魅了の魔力を飛ばしてあげる❤,前かがみになってぇ、おっぱいアピール❤\nゆさゆさって揺らしてぇ\nここから魅了の魔力を飛ばしてあげる❤
んー？よく見たらもうメロメロになってるねー。\nそれなら代わりに、おちんちんが弱くなる術をかけてあげる❤\nゆさゆさおっぱいでぇ、おちんちん弱ーくなーれ❤あは～ん❤,んー？よく見たらもうメロメロになってるねー。\nそれなら代わりに、おちんちんが弱くなる術をかけてあげる❤\nゆさゆさおっぱいでぇ、おちんちん弱ーくなーれ❤あは～ん❤
おっぱいに夢中のお兄さんはぁ、\nこんな風に揺らされたれ、避けられないよねぇ❤\nほら、あは～ん❤,おっぱいに夢中のお兄さんはぁ、\nこんな風に揺らされたれ、避けられないよねぇ❤\nほら、あは～ん❤
前かがみになってぇ、おっぱいアピール❤\nゆさゆさって揺らしてぇ\nおっぱいに夢中にさせてあげる❤,前かがみになってぇ、おっぱいアピール❤\nゆさゆさって揺らしてぇ\nおっぱいに夢中にさせてあげる❤
ほらぁ、おっぱい好きになってぇ❤\nおっぱいでメロメロ～❤ゆさゆさ～❤,ほらぁ、おっぱい好きになってぇ❤\nおっぱいでメロメロ～❤ゆさゆさ～❤
ううっ、おっぱい・・・❤,ううっ、おっぱい・・・❤
あは❤わたしの大きなおっぱい見てたら、\nどんどんムラムラしてきちゃうね❤\n弱くなった早漏チンポに谷間の刺激がダイレクトアタック❤,あは❤わたしの大きなおっぱい見てたら、\nどんどんムラムラしてきちゃうね❤\n弱くなった早漏チンポに谷間の刺激がダイレクトアタック❤
