default
ポイズンラミア,Poison Lamia
砂漠にすむ毒使いのラミア。自分の体内で調合した毒物を薄い霧状にして相手に吹き付ける。毒の中にはわずかながら彼女のフェロモンが含まれており、男性の方が無意識に深く吸い込んでしまうため重症になりやすい。彼女と口づけをすれば毒を深く肺に送り込まれてしまうため、甘い言葉で誘惑されたとしても口づけだけは許してはならない。,A desert-dwelling lamia who uses poison to capture her prey. Toxins brew within her body; which she blows at her opponents in a fine mist. Her poison contains a small concentration of her pheromones; which causes men who carelessly breathe them in to become susceptible to her attacks. Any who kiss her will be forced to inhale her poison deep into their lungs. No matter how tempting her sweet words are; you must never accept a kiss from her.
特性：「凍結弱点」\n[1].このカードが特殊召喚に成功した時、または相手モンスターを破壊したとき発動する。相手プレイヤーに「毒(400)」を付与する。,Characteristics: "Freeze Weakness" [1]. Activate this effect when this card is successfully special summoned or when an opponent's monster is destroyed. Inflict "Poison (400)" on your opponent.
[2].戦闘時に相手に「毒」(300)を付与する。,[2]. During battle; inflict "Poison (300)" on the opponent.
HPが50%以下になると戦闘時10%の確率でぱふぱふ攻撃をし、相手へ拘束攻撃を行う。,When HP falls below 50% during battle; there is a 10% chance to perform a "Puff-puff" attack; restraining the opponent.
EU38_pafupafu,
蛇の力からは逃げられない。ほら・・・❤,You can't escape the strength of a snake. Come here...❤
おっぱいの甘い匂いだけを吸っていなさい。動かなくなるまでぎゅっと締めあげてあげる・・・❤,Just keep breathing in the sweet scent of my breasts. I'll hold you tight so you can't get away...❤
ねえ、このベールの向こうがどうなっているか気になる？\n例えばわたしの舌・・・❤\nとっても長くてセクシーなのよ。,Hey; are you curious about what's behind my veil? Like my tongue; perhaps...?❤ It's so long and erotic!
ペニスに巻き付けてじゅるるってしゃぶってあげれば、\n男はみな悶絶しちゃう気持ちよさ❤\n実際に舐めて味合わせてあげる❤,If I suck a man's cock with my tongue coiled around him; the pleasure is enough to leave him in ecstasy~❤ I'll give your cock a small taste of that feeling by licking it.❤
ラミア種のフェラはどれも絶品よ。\nわたしの口は特にそう❤\n腰が抜けてアヘアへになっちゃうぐらい気持ちいいの❤,All lamia have exquisite oral skills! Evan among my kind; I am especially talented in using my mouth.❤ It feels so good that your legs will go weak and you'll be left in an utter daze~❤
ベール越しに何をされているのかよく分からない状態でしゃぶられて、\n全身が骨抜きになるような快感にあえぐ❤\nあなたもすぐに口に精を吐き出すわ。うふふ❤,As your sucked from behind my veil; not knowing what's truly being done to you; you'll be left moaning helplessly; your entire body melting from the pleasure~❤ You'll release your essence into my mouth in no time; just like all the rest. Ufufu~❤
口でしゃぶられてどれだけ耐えられるかしら。あーん❤,I wonder just how long you can endure my mouth. Ah~❤
じゅるるっ、じゅぷっ❤える、れろっ❤、んふふ❤わたしの舌技、心ゆくまで楽しみなさい❤,Slurp; slurp~❤ Lick~❤ Nfufu~❤ I'll let you enjoy my skilled tongue to your heart's content.❤
あら、敵に向かっておねだり？\nずいぶんとカッコ悪い負け方をしてしまうのね❤くすくす❤,Oh my; begging your enemy for pleasure? That's a rather uncool way to lose; don't you think?❤ *Giggle*❤
わたしに何度も毒の息を吹きかけられて、\n体がムラムラして仕方ないのよね❤いいのよ、みんなそうやって\n理性を失って懇願するの。あなただけじゃないわ❤,Your whole body is tingling from breathing my poisonous breath over and over again; isn't it?❤ It's alright. Everyone ends up losing their reason and begging me eventually. You're far from the only one~❤
どうやってエナジーを食べられたいのかしら。\n口で直接なめられたい？それともわたしの胸に顔をあずけて、\nたっぷり甘やかされたい？言ってみなさい❤,How would you like me to consume your energy? Would you prefer the direct pleasure of my oral talents? Or would you rather rest your face in my chest and be thoroughly pampered? Say it. Out loud~❤
恍惚の巻きつきぱふぱふ,Ecstatic Entwined Puff-Puff
蛇の妖艶フェラ,Serpent's Seductive Fellatio
なんでも,You decide
くす❤わたしに締め付けられながら、顔をおっぱいに埋められたいの？\nうふふ❤そんなに絡みつかれたいなら、いいわ、やってあげる❤,*Giggle*❤ You want me to hold you against my body while you bury your face in my breasts? Ufufu~❤ If you are so desperate to be entwined with me; very well. I would be happy to accommodate.❤
わたしの口であなたのペニスを捕食してほしいの？\nいいわ、この長い蛇の舌で、\nすぐにエナジーを搾り取ってあげる❤,You wish to have me devour your cock? Very well. My long; snake-like tongue will have your energy extracted in no time~❤
うふふ❤わたしの中で、ペニスが脈打ってる❤\n全身を包み込まれてぎゅうぎゅう締め付けられて\nとても気持ちよかったでしょう？,Ufufu~❤ I can feel your cock pulsing against me.❤ Didn't it feel so wonderful having your entire body wrapped up and squeezed so tightly?
胴を締め付ける蛇体に体が悲鳴をあげても、\nその分顔を甘やかされれば、抵抗もできずに果ててしまう❤\n男の子って単純で面白いわよね。くすくす❤,No matter how your body might scream from being constricted; if I pamper your face sweetly like this; you'll succumb without any resistance~❤ *Giggle*❤
ふふ、見なさい、口の中にあなたのエナジーがたくさん❤\nほら、全部飲んであげる❤\nごくん・・・❤,Fufu; look; you offered my mouth so much of your energy~❤ Here; I'll drink it all at once.❤ Gulp...❤
あら自分の魔力が食べられてることに興奮してるの？\nそんなに食べてほしいならあなたの体ごと丸呑みしてあげようかしら。\nくす、嘘よ、嘘❤,Oh my; does watching your magic power get consumed excite you? If you're so desperate to be devoured; should I perhaps just swallow you whole? *Giggle* I'm only teasing~❤
毒の息を吸わせてあげるわ。ふぅー・・・❤,Breathe deep of my poison breath. Phew...❤
うぐ、はうぅっ・・・❤,Ugh; haah...❤
ふふ。猛毒なのに、吸うのをやめられないでしょう？\n甘い香りがして、男は無意識にこれを吸ってしまうのよ。,Fufu. Despite knowing my breath is highly toxic; you can't stop breathing it in; can you? It has a sweet fragrance that lures men to inhale it without even realizing!
肺の奥まで毒で蝕まれて、おかしくなっていきなさい。\nくすくす❤,Take my poison deep into your lungs and let it drive you mad. *Giggle*❤
ほら、また吸わせてあげる。ふぅー・・・❤,Here; I'll offer you another taste. Phew...❤
うっ、はうぅっ・・・❤,Ohh; haa...❤
ふふ。体はきつくなるばかりなのに、\nどんどんやめられなくなっちゃうわね。\nわたしの甘い香り、もっと吸いたい？,Fufu. Even as the poison seeps in and makes your body tense and tighten; you can't seem to stop breathing it in; can you?? Are you so desperate to inhale as much of my sweet scent as you can?
満足するまで毒の息を吸っていいわよ。\nそんなことしたら、あなたは廃人になっちゃうけれど。\nくすくす❤,That's it. Breathe in my poisonous breath until you're fully satisfied! Let it leave you an empty shell of your former self. *Giggle*❤
ほら、何度でも毒を吸わせてあげる。ふぅー・・・❤,Here; I'll offer you my poison as many times as you'd like. Phew...❤
ううっ、あうぅっ・・・❤,Ugh; ahh...❤
もう毒でふらふらなんでしょ？\n立つのもきついでしょうに、そんなに一生懸命口と鼻から息を吸って・・・❤\nわたしの甘い香り、もっと吸いたい？,You're already so dizzy from my poison; aren't you? It must be tough to even stand at this point; and yet you're trying so hard to breathe in all that you can...❤ Do you truly wish to inhale my sweet scent even more?
ペニスがびくびくしてるわね❤もう限界でしょ？\nこのままわたしのお腹に射精なさい❤,Your penis is twitching; isn't it?❤ Have you finally reached your limit? In that case; go on; cum against my stomach~❤
そんなに暴れなくても良いのに❤やわらかいおっぱいとあまーい匂いに包まれたせいであなたのペニスはとても苦しそうよ？,There's no need to hold back.❤ Between my soft breasts and sweet scent; isn't your penis in agony; desperate for release?
まだ匂いが鼻に残っているでしょう❤もう一度わたしのおっぱいの匂いを嗅ぎに捕まってみない？次は射精するまで、ね❤,My scent is still lingering in your nose; isn't it?❤ Why not allow me to capture you again so you can smell my breasts one more time? Next time; I'll hold you until you cum; okay?❤
わたしのおっぱい、柔らかいでしょ❤　むにゅむにゅ❤,My breasts are soft; aren't they?❤ They're so wonderfully squishy~❤
暴れないで❤　ゆっくり息を吸って、わたしの匂いを感じて❤,Don't struggle~❤ Breathe deep and let my scent wash over you~❤
優しく抱きしめてあげる❤　ほら、力を抜いて・・・❤,I'll hold you close.❤ Here; just relax...❤
ぱふぱふ❤ぱふぱふ❤,Puff-puff~❤ Puff-puff~❤
あなたの鼻息、荒くなってるのバレバレよ❤,I can tell you're enjoying this; your heavy breathing makes it obvious!❤
目元がだらしなくゆるんでるわよ❤　もっとしてあげる・・・❤,Your eyes have gotten so droopy and relaxed!❤ I'll keep going for you...❤
お腹に固いペニスが当たってる❤　ねぇ、射精してもいいのよ❤,I can feel your hard cock pressing against my stomach.❤ It's alright; cum for me!❤
腰を動かしたら、ペニスが擦れて気持ちいいわよ❤　動いてみて❤,If you move your hips now; your penis rubbing against me would feel amazing!❤ Go on; try~❤
自分から顔を押し付けて❤　谷間の奥まで顔が沈んで気持ちいいわよ❤,You're pressing your face in on your own~❤ It must feel wonderful letting your face sink between my breasts!❤
このまま射精しても誰にもバレないわよ❤　こっそり出しちゃいましょう❤,If you came now; no one would have to know!❤ Let it out~❤ It'll be our little secret.
苦しい？　それとも気持ちいい？　どっちもよね❤,Is it painful? Does it feel good? Maybe... both?❤
ライフに余裕があるうちにおっぱいの感触を心ゆくまで楽しむといいわ❤,You should enjoy the feeling of my breasts to your heart's content while you still have life points to spare~❤
試合なんて諦めてこのまま射精しましょう？とっても気持ちいいはずよ❤,Why not give up on the match and just let it all out like this? It would feel so wonderful!❤
このままおっぱいに負けてしまっても大丈夫❤他にも仲間がいるんだから❤,It's alright to let yourself lose to my breasts~❤ There are others fighting beside you.❤
戦いなんて他の仲間に任せて楽になりましょう❤,Leave the fighting to your allies and just relax~❤
たっぷりフェロモン吸って、目がとろーんとしてるわよ❤うふふ❤,You've absorbed so much of my pheromones; and your eyes have become so unfocused!❤ Ufufu~❤
あっ、ああっ・・・。,Ah; ahh...
ふふ…❤\nわたしをじっと見つめながらペニスをしごきはじめて・・・。\nなんてみっともない姿❤,Fufu...❤ It seems you've begun to stroke yourself while staring so intently at me... What a shameful sight~❤
顔を胸に包まれて、\nあまーい匂いをたくさん吸ったら無理もないわ❤\nわたしを見てるだけで胸がドキドキするのでしょう？,No doubt you couldn't help but breathe in my sweet scent when your face was buried in my chest~❤ Why; just looking at me makes your heart race now; doesn't it?
わたしのフェラ。気持ちよすぎちゃったのかしら❤\nせっかく耐えることができたのに、\n射精したくて頭がおかしくなってしまったようね❤くすくす❤,It seems my fellatio must have felt wonderful~❤ You were holding out so well; but it appears I left you desperate to cum.❤ *Giggle*❤
ほら、もっとドキドキさせてあげる❤\nふぅ～・・・❤,Here; let me make your heart race even more~❤ Phew...❤
どうかしら？わたしの毒の息は❤\n体を弱らせる危険な毒なのに、\nなぜか男はみな、わたしの息を「甘い」って言うの。,What do you think of my poisonous breath?❤ It's a dangerous toxin that weakens the body; yet for some reason; all the men say it smells 'sweet.'
まるで匂いだけで脳がとろけるようで、\n吸っているうちに頭がふわふわして・・・❤\nふふ、顔を見る限り、あなたもそうなっているみたいね。,It's as if their brain melts just from the smell alone; and inhaling it leaves their heads light and fuzzy...❤ Fufu; judging by the look on your face; it seems you're feeling the same way right about now.
肺が苦しいでしょう？\n熱くなって、ひりひりじりじり…❤\nそれなのに甘く感じられて吸うのをやめられない。,Are your lungs starting to hurt? My poison leaves them feeling hot; tingling and burning...❤ Even so; it smells so sweet you just can't stop breathing it in.
ほら、ふぅ～・・・❤,Look; phew~...❤
あぐっ、あうあぁっ・・・❤ふぅ、はぁぁ・・・❤,Ugh; ahh...❤ Phew; haaa...❤
くす❤両手でペニスをしごきながら、必死に息を吸っちゃって❤\n毒だって言っているのに、バカみたい❤,*Giggle*❤ You're gasping for breath so desperately while stroking yourself with both hands.❤ Despite my warning that my breath is poisonous; you keep foolishly wanting more~❤
チンポがいつもより気持ちいいのよね？\nわたしの息でムラムラして、チンポも数倍敏感になって、\n手を動かすたび腰が抜けそうなぐらいの快感が上がってくる❤,Your cock feels better than usual; doesn't it? My breath excites men and makes their cocks more and more sensitive. I'm sure by now every time you move your hand; the pleasure rises to the point where it feels like your hips might give out.❤
それだけじゃない。\nわたしのことが最初よりも数段魅力的に見えてくる❤\n恋心がどんどんどんどん湧いてきちゃう❤,But that's not all it does. You'll start to see me as much more attractive than before; as well.❤ Your loving feelings for me will keep bubbling higher and higher~❤
敵の女モンスター相手にそんな状態になったら危険でしょ？\n今すぐ吸うのをやめた方がいいわ…❤,It would be dangerous to let yourself fall into such a state against an enemy monster; don't you think? You should probably stop breathing in my poison...❤
ね？そう思うでしょ？\nふぅ～・・・❤,Right? You think so too; don't you? Phew...❤
はひぃっ、だめ、もっと、もっとぉ・・・❤,Hah; no... M-more; more...❤
くすくす❤おねだりしながら一生懸命しごいちゃって❤\n昇格戦をかけた大事な試合なのに、\n敵モンスターの息で手玉に取られて、なんて情けないマスターかしら。,*Giggle*❤ You're begging me while working yourself so hard~❤ You know how important this match is; and yet you let yourself get made a fool of by the enemy monster's breath. What a pathetic master you are.
くすくす❤おねだりしながら一生懸命しごいちゃって❤\n女の子の息なんかで手玉に取られちゃうなんて、\n上級モンスターのくせになんて情けないのかしら。,*Giggle*❤ You're begging me while working yourself so hard~❤ To be made a fool by a girl's breath... How pathetic for a high-level monster like yourself.
くすくす❤おねだりしながら一生懸命しごいちゃって❤\n女の子の息なんかで手玉に取られちゃうなんて、\nなんて情けないのかしら。,*Giggle*❤ You're begging me while working yourself so hard~❤ To be made a fool by a girl's breath... How pathetic can you get?
それじゃあそろそろ、わたしにエナジーをちょうだい？\nしごいて…、しごいて…、頭真っ白にしながら\nわたしに向けてエナジーを射精するの❤,Well then; why don't you just hurry up and offer your energy to me? Stroke it... Faster... Offer your energy to me as your mind goes blank~❤
ほら、わたしの顔を見て…❤\nこの顔好きでしょ？くすくす❤,Look at me...❤ You think I'm cute; don't you? *Giggle*❤
あっ、ああ・・・❤可愛い・・・❤好き・・・❤,Ah; ah...❤ So cute...❤ I... I love you...❤
ありがとう、とても嬉しいわ❤\nそれじゃあ、ほら微笑んであげる❤\nわたしに見とれながら、いっぱい出しなさい❤,Thank you. It makes me so happy to hear you say that~❤ Alright then; here. I'll smile for you.❤ Admire my beauty and let it all out~❤
はひぃ、かわいいよぉ…❤はああっ、ああっ・・・❤,Hah hah... Y-You're so cute...!❤ I... Haaah; aaah!❤
あひぃっ…❤,Ahh...❤
んふ❤たっぷりとエナジーの詰まった精液❤\nありがとね。好きな人の役に立てて幸せでしょう？,Mmm~❤ Your semen is filled with so much delicious energy~❤ Thank you. Aren't you happy you could help the person you love so much?
試合中なのに誘惑に負けて\nオナニーしてしまうなんてマスター失格ね。\nそんな実力じゃ上のランクに上がれるはずないわ。ご愁傷様❤,Giving in to temptation and masturbating in the middle of a match is so unbecoming of a master. With that level of skill; there's no way you could ever move into the higher ranks. You have my pity.❤
他の人も近くに来なさい。\n毒の息を顔に吹き付けて、\nメロメロにしてから搾り取ってあげる❤,Everyone else gather around. I'll blow my poisonous breath on your face and make you all lovestruck with me before I drain you dry~❤
ふふふ❤わたしの毒の息を吸って、\n我慢できなくなっちゃった？\n目がぼんやりしてきてるわよ。,Fufufu~❤ Did inhaling my poisonous breath leave you unable to resist any longer? Your eyes are starting to get so hazy!
約束通り幸せな射精をさせてあげるわ❤\nふぅ～・・・❤わたしの毒の息、もう一度ちゃんと吸いなさい❤,As promised; I'll grant you a blissful orgasm.❤ Phew...❤ Breathe in my poisonous breath once more. Properly this time~❤
ふふふ❤あなたもオナニーしたくなったの？\nそう、いいこね・・・❤,Fufufu~❤ DO you wish to masturbate for me as well? That's it; what a good boy...❤
約束通り幸せな射精をさせてあげるわ❤\nふぅ～・・・❤わたしの毒の息、ちゃんと吸いなさい❤,As promised; I'll grant you a blissful orgasm.❤ Phew...❤ Breathe in my poisonous breath nice and deep~❤
あぐうっ、ああっ・・・❤なにこれぇ・・・❤あひぃっ・・・❤,Agh; ahh...❤ What is this...❤ Ahh...❤
あっという間にとろけ顔ね❤口で思いっきり毒を吸いながら、\n両手はペニスをシコシコ❤シコシコ❤\n嬉しそうにオナニーをしちゃって…男って本当に単純❤,Your expression melted in an instant~❤ Now; I want you to stroke your cock hard for me while breathing in my poison.❤ Harder~❤ You look so happy masturbating like this... Men are such simple creatures.❤
毒でおかしくされているだけなのに、その表情、\nまるで恋人でも見るみたいな目よ？,Despite the fact you've just been poisoned; the way you look at me is like how one looks at a lover~
体が熱くなって、胸が苦しくなって、\n毒に混じったほんのちょっとの媚薬成分で体中がムラムラして・・・❤,My poison makes your skin get hot and your chest feel tight. With just a tiny bit of aphrodisiac mixed in; your whole body starts to tingle...❤
わたしの顔を見ながらシコシコするたびに、\n脳がそれを勝手に「好き」だと勘違いしちゃう…❤,Every time you look at my face in a state like that; your brain mistakes that feeling for 'love'...❤
シコシコして血液がたくさん流れれば、\n血流にのってどんどん毒も体に回っていく…❤\nシコシコ、シコシコ…♪,As your heart races; your blood pumps quicker and quicker; allowing the toxins to spread throughout your entire body...❤ Bu-bump... Bu-bump...♪
はぁ、はぁ・・・❤ううっ・・・❤,Hah; hah...❤ Ugh...❤
とてもとろーんとした目になってるわ❤\nわたしの顔、好きでしょ？ほら、もっと近くで見せてあげる。\nわたしのあまーい匂いがわかるくらいまで❤,Your eyes are getting so dreamy.❤ You like my face; don't you? Here; I'll let you gaze upon me up close. Until you can smell my sweet scent~❤
ふぅ～・・・❤,Phew...❤
はひぃっ・・・❤あううっ・・・❤,Haah...❤ Ahh...❤
これだけ近いと毒の息をどんどん浴びちゃうわね❤\nもう一回、ふぅ～・・・❤,When we're this close; you won't be able to avoid my toxic breath~❤ One more time. Phew...❤
ありがとう、とても嬉しいわ❤\nならあなたもわたしのお願い聞いてくれるわよね❤,Thank you; I'm so happy to hear that.❤ Then you'll listen to my request too; won't you?❤
さっきの仲間みたいに根こそぎエナジーを頂戴？\n一生懸命我慢して、限界まで溜めたエナジー、\n全部わたしに飲ませて欲しいの❤,Won't you please offer all of your energy to me; just like your friend from earlier? The energy you've desperately held back and built up to your very limit. Let me drink every last drop~❤
ほら、胸で受け止めてあげる❤\n好きってうわごとのように言いながら、\nぴゅっぴゅって精液出してしまいなさい？くすくす❤,Here; I'll catch it on my chest~❤ Cum for me while you mumble your love for me like a mantra; okay? *Giggle*❤
あひぃっ…❤好きぃ…❤,Ahh...❤ I love you...❤
んふ❤あなたもたっぷりとエナジーの詰まった精液を出せたわね❤\n幸せそうな顔で倒れて・・・\n揃いも揃って馬鹿みたい。,Mmm~❤ You released so much energy-filled semen too; didn't you?❤ Giving in with such a big smile on your face... You all look so foolish.
試合中なのに誘惑に負けて\nオナニーしてしまうなんてマスター失格よ。\nそんな実力じゃ上のランクに上がれるはずないわ。ご愁傷様❤,Giving in to temptation and masturbating in the middle of a match is so unbecoming of a master! With that level of skill; there's no way you could ever move into the higher ranks. You have my pity.❤
他の男もオナニーがしたくなったら言いなさい❤\n馬鹿にしたお詫びに、\n幸せの中で気持ちいい射精をさせてあげる❤,If any other guys want to masturbate too; please step forward.❤ As an apology for mocking all of you; I'll happily offer you a blissful orgasm as well~❤
（ここまでわたしのフェロモンに耐えるなんて・・・\nもう一押しのはずなのに）,(He's endured my pheromones for so long... One last push is all it should take now.)
ねぇ、このままわたしを倒してもいいの？\n本当は別の事がしたいんじゃないかしら。よーく考えて・・・❤,Hey; are you truly alright with ending me like this? Isn't there something else you desire? Think hard...❤
たとえば、このおっぱいに顔を埋めてみたい❤\nそんな風には思わない？\nわたし、あなたみたいな強い人が好みなの❤,Perhaps; for example; you wish to bury your face between my breasts.❤ Doesn't that sound nice? I like big; strong men like you~❤
だからあなたが満足するまでぱふぱふさせて欲しいの。\nほら、わたしの胸の中に・・・❤,So I want you to enjoy my body to your heart's content. Here; just picture it...❤
胸から視線を離してとどめを刺した,I tore my gaze away from her chest and delivered the final blow.
おっぱいに見とれてしまった,'They look soft... And inviting...'
そんな・・・意思が強いのね・・・。,Oh my... Such willpower...
くす❤捕まえた❤ぎゅ～っ❤,*Giggle*❤ Caught you!❤ Let me hold you tight~❤
し、しまっ…あぁっ❤,D-damn... Ahh!❤
これで形勢逆転ね❤もう離さないわよ❤このままあなたをおっぱいに埋もれさせてあげる・・・❤,With this; the tables have turned!❤ I won't let you go anymore~❤ I'll hug you tight and let you sink deep into my breasts...❤
むにゅむにゅ❤顔がおっぱいに埋もれて気持ちいいでしょう❤,Squish~❤ Isn't it nice; having your face buried in my breasts?❤
でもそれだけだと逃げられちゃう。だから、ふぅ～❤ふぅ～❤おっぱいの谷間、わたしのフェロモンで満たしてあげる❤,But if that's all I do; you might escape. So; phew~❤ Phew~❤ I'll fill my cleavage with pheromones.❤
あっ❤ああっ・・・❤この匂い・・・❤,Ah!❤ Ahh...❤ This scent...❤
そうそう❤大きく息を吸って・・・❤とろーんとしたいい顔になってきたわね❤もっともーっと吸ってぇ❤そうしたらとっても素直になれるから❤,That's right.❤ Take a deep breath...❤ You look so happy; and you're finally starting to relax; aren't you?❤ Breathe it all in~❤ Let your body be honest with me.❤
ああ・・・❤気持ちいい・・・❤好きになっちゃう・・・❤,Ah...❤ It feels good...❤ I'm starting to fall in love...❤
嬉しい、ありがとう❤あなたの素直な気持ちが聞けて良かったわ❤うふふ、すっかり脱力して・・・こうなったら後は搾り取るだけね❤,Thank you~❤ I'm glad to hear your honest feelings.❤ Ufufu; and now that you're completely relaxed... all that's left is to squeeze you dry~❤
あなたの大好きなおっぱい❤たっぷり堪能させてあげるわ❤でも直ぐに射精したらダメよ？エナジーをたくさんため込んでから射精して欲しいの❤,I know how much you love my breasts.❤ I'll let you enjoy them to until the very end~❤ But I don't want you to cum right away; okay? I want you to build up a lot of energy before you let it all out for me~❤
あなたの顔におっぱいを擦りつけてあげる❤上下にむにゅむにゅ❤左右にむにゅむにゅ❤うふふ、ペニスがびくびくして喜んでる❤,I'll rub your face between my breasts.❤ Up and down; squish squish~❤ And squeeze~❤ Ufufu; your penis is so happy I can feel it twitching~❤
ねぇ、お腹に当たってるペニス❤自分でわたしのお腹に擦りつけてみて？絶対に気持ちいいから❤ほら、早く❤,Hey; I have an idea.❤ Why don't you try rubbing your penis against my stomach? It would feel so good.❤ Come on; hurry~❤
ああっ…❤これっ…❤ヤバ・・・❤,Ahh...❤ This...❤ Oh no...❤
あはは❤腰をヘコヘコさせて擦りつける気持ち良さ、知っちゃったね❤もう腰が止まらない❤逃げられないように全身しめつけられてるのに、腰だけ必死に動かして・・・❤,Ahaha~❤ You've realized just how good it feels to grind your hips against me; haven't you?❤ Now you can't stop~❤ While the rest of your body is being restrained to keep you from escaping; your hips are moving so desperately...❤
自分からおっぱいに思いっきり顔を埋めてみて❤あん❤すごい鼻息❤もう戦うことなんて覚えてないじゃない❤男って本当に単純・・・❤,Try burying your face between my breasts as hard as you can.❤ Ah~❤ What wonderfully deep breaths you're taking~❤ You don't even remember how to fight anymore; do you?❤ Men are truly simple creatures...❤
チンポがもう限界？それじゃあ最後に深呼吸して❤た～っぷり肺の奥までわたしのフェロモンでいっぱいにして、イキなさい❤,Is your penis already at its limit? Then take one last deep breath.❤ Fill your lungs to the brim with my pheromones and cum~❤
あへぇ……❤好き❤好きぃ……❤,Ahee...❤ I love you!❤ I love you so much......❤
うふふ❤なんて情けない姿なのかしら❤好き好きっていいながらお腹に無駄打ち・・・❤,Ufufu~❤ Declaring your love for me while shooting your seed onto my stomach...❤ What a pathetic sight you are.❤
やはり男の人はおっぱいの誘惑に抗えないものなのね❤ぱふぱふされたいからって隙だらけになるなんて、マスター失格よ❤,As expected; men truly can't resist being tempted by breasts~❤ To let your guard down just because you want to be pampered... You're not fit to be a master!❤
やはり男の人はおっぱいの誘惑に抗えないものなのね❤あなたのお陰で傷も回復したし、次の人もわたしのぱふぱふで魅了してあげるわ❤,As expected; men truly can't resist being tempted by breasts~❤ Thanks to you; my wounds have all healed; and I'll no doubt charm the next person with my puff-puff; too~❤
くぅ、またわたしが追い詰められるなんて・・・。実力は確かなようね。,Ugh; to think I would be cornered again... You appear to be quite skilled.
でも、あなたも本心を隠しているでしょう？その証拠にペニスはギンギン❤さっきの仲間みたいにわたしのお腹に射精して汚したい。そう思っているのでしょう？,But you're hiding your true feelings too; aren't you? Your hard cock is evidence of that~❤ You want to shoot your seed onto my stomach and stain me white; just like your friend did. That sounds nice; doesn't it?
ううっ・・・❤,Ugh...❤
あまーい匂いとおっぱいに顔を包まれながらペニスを擦りつけたい❤あわよくば挿入したい❤そう思っているから目がそらせないのよね❤,You want to rub your erection against me while being enveloped in the sweet scent of my breasts.❤ I bet you'd even slip it inside me; if you could.❤ That's why you can't take your eyes off of me~❤
見て❤おっぱいをゆさゆさ❤この柔らかいおっぱいに顔を埋めてみたくないの？わたしにあなたを優しく抱きしめさせて・・・❤,Watch.❤ Look at my chest swaying side to side~❤ Don't you want to bury your face in these soft breasts of mine? Let me hold you; and I promise I'll be gentle...❤
はい❤むぎゅ～❤しっかり捕まえさせてもらうね❤,That's it.❤ I'll wrap myself around you~❤ I'll make sure to catch you nice and tight~❤
優しく抱きしめるなんて嘘に決まってるじゃない❤ほら、暴れないの❤ふぅ～・・・❤,My promise to be gentle was such an obvious lie.❤ Oh my; it's too late to struggle now~❤ Phew...❤
うふふ、いい匂いでしょう？わたしのあまーい匂いをこの距離で吸い込んだらもうおしまい❤抵抗する気力なんて全部溶けちゃうもの❤,Ufufu; doesn't my breath smell nice? If you inhale my sweet scent from this close; it'll all be over.❤ All your will to resist will simply melt away~❤
あっ❤ああっ・・・❤いい匂い・・・❤,Ah!❤ Ahh...❤ It smells so good...❤
そうでしょう❤好きなだけわたしのフェロモン吸い込んでいいからね❤ふぅ～・・・❤,That's it~❤ You're welcome to breathe my pheromones as much as you like; okay?❤ Phew...❤
