default
クレリック,Cleric
EU85_handJobAnime,
　癒しの力を使う聖職者。防御を固めているときは盾の女神に祈りをささげており、その力でマスターに山札のカードをもたらしている。 　争いよりも癒しと守りを重んじており、対戦相手であっても傷つけたくないと思っている。昨今の戦いでは性的攻撃によって男性を無力化できるため、杖で相手を叩くことに罪悪感を感じていた彼女は内心喜んでいる。,A cleric who uses healing magic. When defending herself; she'll pray to the Shield Goddess and use that power to transfer cards from the deck to her master's hand. She values healing and protection over conflict; and prefers not to harm even her opponents. In the last few battles; she discovered she was able to deal with men through sexual attacks instead of striking opponent's with her staff; which she is secretly pleased about.
\n　また男性を甘やかすことに庇護欲が満たされる思いを感じており、相手がリラックスし自分に身をゆだねてくれるのを見るのが何よりも好きである。,\n She even feels a sense of fulfillment in pampering men; and derives great pleasure in seeing her targets relax and entrust themselves to her.
[1].１ターンに１度、自分フィールド上のモンスター１体を選択して発動できる。そのモンスターのHPを500ポイント回復し、最大HPを300ポイントアップする。,[1]. Once per turn; you may select one monster on your field. Restore 500 HP to that monster and increase its Max HP by 300.
[2].このカードが守備状態の場合、自分ターン終了時に発動する。デッキからカードを１枚ドローする。,[2]. If this card is in defense position; you may draw one card from your deck and the end of your turn.
[3].自分フィールド上のモンスターが１度に1500ポイント以上の戦闘ダメージ・効果ダメージを受けたときに発動する。そのモンスターのHPを1000ポイント回復する。,[3]. When a monster on your field recieves battle damage or effect damage of 1500 points or greater; restore that monster's HP by 1000 points.
あなたに癒しを…。\nといっても敵を回復させるわけには行きません。\n心の癒しで我慢してくださいね❤,I only wish to heal you... Yet I shouldn't be healing an opponent. Please be content with this emotional healing instead; okay?❤
疲れていても、こうして胸に顔を預けさせ、\nそのまま下半身を優しくさすってあげれば、\n男の人はずいぶんと楽になるのでしょう？ほら、さす、さす…❤,Even if you're tired; any man would feel better if they lay their head against my chest as I caress their lower body; right? Here; stroke; stroke...❤
心地いいですか？\n胸は大きくありませんが、愛情は人一倍ありますから、\n力を抜いてわたしに甘えてください…❤,Does it feel good? Though my chest may be modest; I'm certain I have more love to give than anyone else. Please; just relax and let me pamper you...❤
男の方のたくましい筋肉にわたしはかないません。\nこの細腕でできるのは、せいぜいあなたに慈悲を乞うことだけ。,I can't compete with a man's muscles. All I can use my thin arms for is to beg for mercy. 
例えば、こう、あなたの胸に手を当てて、\nすり、すり…❤すり…❤すり…❤\nお願いします、わたしたちを傷つけないでください❤,For example; by placing my hand and rubbing your chest... Rub...❤ Rub...❤ I beg of you; please don't hurt us.❤
こうやって乳首の辺りをゆっくり撫でられたら、気持ちいいでしょう？\n戦いのためではなく、安らぎを感じるために、\nあなたの体は使いませんか？たくさんお手伝いしてあげますよ…❤,Doesn't it feel good when I gently touch your nipples like this? Wouldn't you like to use your body not for fighting; but for relaxing and experiencing pleasure? I'm happy to help you with that...❤
そう、力を抜いて…❤\nわたしの手の平に、優しい快楽に身を任せて…❤\nいい顔ですね。もっともっと愛を感じて、蕩けてください…❤,Yes; just relax...❤ Allow yourself to give in to the gentle pleasure of my hand...❤ You have such a lovely expression. Let yourself indulge in my love even more; and drown in bliss...❤
えっと、その、わたしのスカートの中、気になりますか？\nさきほどからわたしのふとももの辺りをチラチラ見ていますよね。\nスカートが揺れて、気になっているのかなぁ、なんて…。,Um; pardon me... Do you wish to peek under my skirt? You've been glancing at my thighs for a while now; so I was wondering if you might've been distracted by my skirt fluttering about...
あまりエッチなことはできませんし、\nこれで満足していただけるのであれば、ほら、ぴらっ❤\nパンツを見ても構わないので、攻撃しないでください❤,Though I can't do anything too lewd; if this much is enough to satisfy you; then here you go.❤ You may look at my panties as much as you'd like; just please don't attack me.❤
そう、そのままそこで、じっとパンツを見ていていいんです。\n一歩でも近づいたら、スカート下ろして見えなくしちゃいますからね。\nくすくす❤足を止めちゃって、いい子ですね…❤,Yes; feel free to stand there and stare at my panties. But if you take even one step closer; then I will pull the hem back down; and you won't be able to see them anymore; understood? *Giggle*~. You stopped advancing; good boy.❤
足で踏むなんて申し訳ないのですが、これも戦いですから。\nあなたの大事なところ、\n踏ませていただきますね。えいっ❤,I apologize for trampling your cock under my feet; but we are in battle; after all. I shall step over your sensitive parts now; okay? Hah!❤
えと、強くは踏まずに軽くグニグニするだけなので、\n痛くはないと思います。どうですか、気持ちいいでしょうか…❤\nんっ、ぐにぐに…❤ふみ、ふみ…❤,Um; I'm trying to not press too hard and simply massage it a bit; so it shouldn't hurt too much. How do you feel? Does it feel good...?❤ Mm; rub rub...❤ Squish squish...❤
よかった喜んでいただけているようですね❤\n頬がゆるんで気持ちよさそうな顔❤\nうふふ❤その顔もっと見せてください。ほら、ぐにぐに❤すりすり…❤,You seem to be enjoying it; what a relief!❤ Your cheeks look flushed; and you have such a blissful expression.❤ Fufu~❤ Please; show me more of that blissful expression. Here; squish squish~❤ Rub rub...❤
えっと、こういうのでも、気持ちよくなってくれますか？\n唇に人差し指を当てて、んっちゅ…❤\n愛を込めた投げキッスです❤,Um; then how about this? Would you like it if I placed my finger to my lips and... *kiss*❤ It's a kiss packed with my love.❤
えっと、気持ちよくしてほしい、ですか？\nあらあら、もう試合に疲れてしまったんですね。\nいいですよ❤その疲れた体、わたしが癒してあげます❤,Um; you'd like me to make you feel good; you said? Oh dear; this match has worn you out so much; hasn't it? It's okay~❤ Let me soothe your weary body for you.❤
くす、ズボンの中で漏らしてしまいましたね❤\n服の上から優しく撫でられて、うっとり幸せに射精❤\nとても気持ちよさそうな顔をされてますよ❤,*Giggle*; did you have an accident in your pants just now?❤ Seems you blissfully ejaculated from being gently stroked over your pants.❤ You have such a happy and contented look on your face~❤
乳首だけしか触ってないのに、\nこんなにたくさん出してしまったんですか？\n乳首がずいぶんと敏感なんですね❤くすくす❤,You ejaculated just from me touching your nipples? It seems your nipples are quite sensitive; aren't they?❤ *Giggle*❤
きゃ、急に射精したからびっくりしちゃいました。\nもしかしてパンツを見せられただけでイってしまったんですか？\nくすくす❤エッチなことにだいぶ弱いんですね。かわいらしい❤,Eek! You surprised me; ejaculating so suddenly like that. Did you ejaculate just from seeing my panties? *Giggle*❤ It seems you're quite weak against naughty things; aren't you? How cute.❤
うふ、ブーツの下でびゅくびゅく出ちゃってます❤\n優しく踏んでもらえて気持ちよかったですか？,*Giggle*; it's peeking out from beneath my boots.❤ Does it feel that good; being so tenderly stepped on like this?
くす❤目にハートを浮かべながら射精して、\nそんなにわたしの投げキスがよかったのでしょうか。\nあなたのこと幸せにできてうれしいです❤,*Giggle*❤ You ejaculated with such a lovestruck look in your eyes. Did me blowing a kiss make you that happy? That makes me so happy too!❤
うっ、ううっ・・・❤,Ngh; hnnnngh...❤❤
あら？うずくまってどうされたのですか？\n暴力的な攻撃はしていないはずですが、\nどこか体をぶつけてしまったとか・・・。,My? Why are you bending over like that? I don't think I attacked you too violently; did you perhaps bump into something...? 
いえ、よく見るとうずくまっているだけでなく、\n手が小刻みに揺れていますね。\nふふ、苦しいわけではなく自慰をしているだけのようです❤,No; looking closely; you're not just hunched over. Your arms are rustling around; too. Fufu; so it's not that you're hurt; but that you're masturbating.❤
快感に抗って戦うのが辛くなってしまいましたか？\nそれなら、ほら、こうしてあげます❤,Have you grown weary of fighting me and resisting your sexual urges? In that case; here; let me do something for you.❤
ぎゅっとあなたの頭を抱きしめて\nわたしの体温を感じながら、シコシコ続けてください❤,I'll hold your head tightly against my chest; so just keep masturbating as you feel the heat of my body against your skin.❤
オナニーに夢中で無防備なあなたをわたしが守ってあげます❤\n胸は大きくありませんが、\nこうしているだけで少しは安心できるでしょう？,I'll protect you while you're vulnerable and completely engrossed in masturbating.❤ My chest isn't very big; but you should feel safer like this; right?
うふふ❤どんどん体の力が抜けていきますね❤\nでも、しこしこする手は止まらない❤\nだらしないお顔になりながら、しこしこしこ❤しこしこしこ❤,Fufu~❤ Your body is feeling weaker and weaker; isn't it?❤ Yet your hand refuses to stop stroking.❤ You have such a blissful expression on your face as you keep stroking;❤ and stroking.❤
気持ちいいのとあったかいのに包まれて、\n何も考えられなくなりますか？それでいいんですよ❤\nムリして我慢なんてしなくていいんです❤,When you're wrapped in such a warm and pleasant sensation; it's hard to think about anything else; isn't it? It's alright~❤ There's no need to force yourself if you can't.❤
ううっ、あうう・・・❤,Ugh; uwaah...❤
そうそう。しこしこ上手ですね❤\n上手にできたえらい子は、頭を後ろからなでてあげますからね❤,Yes; that's it. You're stroking your thing so well; aren't you?❤ For such a good boy who's working so hard; I'll give you a pat on the head; okay?❤
息も大きく吸って、リラックスして…❤\nわたしの体、いい匂いがしますか？\nふふ、そう感じてもらえるならうれしいです❤,Just take a deep breath; and relax...❤ Do I smell good? Fufu; I'm happy if you think so.❤
しこしこ、しこしこ、イクまでゆっくり扱いていいですからね❤\nあなたの我慢はもうおしまい。\nあとは快感に身をゆだねて、ただただ楽しみましょう❤,Stroke stroke; stroke stroke~ Just take it slow; until you're ready to cum.❤ It seems you're about to reach your limit; so just give in to the pleasure and let it wash over you.❤ 
あら、体が震えて・・・❤\nもうすぐ出しちゃうんですね❤\nふふ、我慢はしなくていいですよ❤,Oh my; your body is trembling...❤ You're on the verge of ejaculating; aren't you?❤ Fufu; you don't need to hold back.❤
しこしこ❤しこしこ❤しこしこ❤\nはい、気持ちよく出しましょうね❤びゅ、びゅっー❤,Stroke stroke~❤ Stroke stroke~❤ Stroke stroke~❤ Okay; let's indulge ourselves and let it all out; shall we?❤ Pew; pew~❤
はひぃ・・・❤,Haaaah...❤
うふふ❤たくさん出せましたね❤\n戦いを捨て、快感に身を任せることができて、\nとてもいい子でしたよ❤えらい❤えらい❤,Fufu~❤ You managed to release so much; didn't you?❤ You're such a brave child; choosing to stop fighting and accept the feeling of pleasure.❤ Good boy.❤ You're such a good boy.❤ 
あなたのエナジーをいただいて、わたしも回復しました。\n快感であなたが癒されて、エナジーでわたしが癒される、\n二人とも幸せになれて、素晴らしい結果ですね❤ふふ❤,And thanks to your energy; now I've recovered as well. You were healed with pleasure; and I was healed with your energy... What a wonderful; mutually beneficial outcome; right?❤ Fufu~❤
あら？うずくまってどうされたのですか？\nもしかしてもあなたも・・・❤,My? Why are you bending over like that? Could it be that you also...?❤
ふふ、やはり手が小刻みに揺れていますね❤\n苦しいわけではなく自慰をしているだけのようです❤\n仲間の方が快楽に身を任せたのを見て、うらやましくなりましたか？,Fufu; your arms are rustling around; aren't they?❤ It seems you're not in pain; but simply masturbating instead.❤ Were you envious; seeing your ally give in to pleasure?
もう戦うのが辛いのですよね。\nそれなら、ほら、こうしてあげます❤,It's hard to keep fighting like that; isn't it? In that case; here; let me do something for you.❤
ぎゅっとあなたの頭を抱きしめて、\nわたしの体温を感じながら自慰を続けてください❤,I'll hold your head tightly against my chest; so just keep masturbating as you feel the heat of my body against your skin.❤
胸はほとんどないんですけども、\nこうしているだけで少しは安心できるでしょう？\nあなたを傷つける人間はいませんよ。わたしが守ってあげます❤,My chest is quite modest; but just being like this makes you feel a bit safer; doesn't it? I'll protect you; so no harm will befall you.❤
そうそう。しこしこ上手ですね❤\nあなた心安らかになれるように、\n頭を後ろからなでてあげますからね❤,Yes; that's it. You're stroking your thing so well; aren't you?❤ Let me stroke your head to help soothe you; okay?❤
息を大きく吸って、リラックスして…❤\nわたしの体、いい匂いがしますか？\nふふ、そう感じてもらえるならうれしいです❤,Just take a deep breath; and relax...❤ Do I smell good? Fufu; I'm happy to hear it.❤
ほら、わたしの体に身を預けて、\nしこしこ❤しこしこ❤\nはい、気持ちよく出しましょうね❤びゅ、びゅっー❤,Come on; press your body closer to mine. Stroke stroke~❤ Stroke stroke~❤ Okay; let it all out in one big; satisfying release!❤ Pew; pew~❤
うふふ❤たくさん出せましたね❤\n戦いを捨て、快感に身を増せることができて、\nとてもいい子でしたよ❤えらい❤えらい❤,Fufu~❤ You released so much; didn't you?❤ You're such a good boy; giving up on fighting to indulge in pleasure instead.❤ Good boy.❤ Such a good boy.❤
あなたのエナジーをいただいて、わたしも回復しました。\n快感であなたが癒されて、エナジーでわたしが癒される、\n幸せで素晴らしい結果ですね❤,I've recovered too; thanks to your energy. You were healed through pleasure; and I was healed with your energy. It's an outcome that leaves everyone happy; isn't it~❤
あううっ、だめですよ…。そんな暴力的なことばかりしちゃ…。\nねえ、武器なんて捨てて、お互いに癒しを与え合いませんか？,Owww; that's no good... You shouldn't be doing such violent things... Hey; why don't we lay down our weapons and try soothing each other instead?
例えばほら、わたしの膝の上に頭を乗せるのはどうでしょう。\nここに身をゆだねてくだされば、\n優しく頭をなでながら、あなたのこと気持ちよくしてあげますよ❤,For example; why don't you rest your head on my lap? If you'll allow me to; then I'll gently stroke your head and make you feel good.❤
もちろん、その大きくしてしまった男性器も、\nもう片方の手で優しく扱いてあげます。\n膝枕されながらの手での奉仕、きっと素敵な体験になりますよね❤,Naturally; I'll also use my other hand to caress that embiggened penis. Being serviced like that; while your head rests on my lap; would surely feel wonderful; wouldn't it?❤
