default
カクテルフェアリー・シトラス,Cocktail Fairy - Citrus
EU36_paizuriAnime,
お酒に宿る精霊。シトラスは３匹の中で一番ものぐさで、いつもお酒に気だるげに浮かんでいる。男のエナジーの味は好きなので、ボーっとしてるだけでエナジーを勝手にくれる男が現れてほしいというのが最近の願いである。\n\n　ものぐさだが意外とテクニシャンで、興が乗った彼女に責められると格上の相手でもあっさり射精に追い込まれることがある。特に胸の張りは抜群で、鼻の頭やペニスの先端を挟まれると、想像以上の快楽にたいていの男はビクンと体を跳ねさせてしまう。\n\n　ミレーヌに使役されて酒場で仕事をしているが、あまりやる気がない。ただしミレーヌから与えられる魔力も嫌いではないので、しぶしぶ仕事をしている。,Cocktail Fairies are spirits that dwell in alcoholic beverages. Citrus is the laziest of the three; often found listlessly floating in her drink. She loves the taste of male energy and wishes for a guy who would just hand over his energy without her having to do anything. Despite her laziness; she's surprisingly skilled. When she gets excited; she can easily make even a strong opponent climax. Her breasts; in particular; are outstanding. When she squeezes a man's nose or the tip of his cock between them; the pleasure is enough to make most men jump in shock. She works at a tavern under Mylene's orders; though she isn't really motivated. However; she doesn't dislike the magic Mylene provides; so she reluctantly does her job.
[1].このカードが召喚に成功したとき発動する。デッキから同名カード以外の「カクテルフェアリー」モンスターを１枚手札に加える。,[1]. When this card is successfully summoned; add one "Cocktail Fairy" monster other than "Cocktail Fairy - Citrus" from your Deck to your hand.
[2].このカードがフィールド上に存在する限り、自分のレベル３以下モンスターが受ける戦闘ダメージは200ポイントダウンする。,[2]. As long as this card is on the field; the battle damage that your level 3 or lower monsters take is reduced by 200 points.
[3].このカードが特殊召喚に成功したとき発動する。デッキから魔法カードををランダムに１枚手札に加える。,[3]. Activate when this card is successfully Special Summoned. Add a random Magic Card from your Deck to your hand.
んー…。マスターに攻撃しろって言われたけど、めんどくさいなぁ。てきとうに手で触ってればいいかしら。,Hmmm... Master told me to attack; but that’s a pain in the ass. Maybe I’ll just casually touch you with my hand.
カリの張り出しているところを、手でしこしこ、しゅこしゅこ…。ん、こんなので気持ちいいの？簡単ね。,I'm rubbing and stroking the swollen head with my hand... Does that feel good? This is so easy.
あまり長く飛ぶのは疲れるわ。あなたのペニスの上で休ませて？よいしょ…。,Flying for too long is tiring. Can I rest on top of your cock? There we go...
ただで居座るのも悪いし、ほら、お礼。竿のところを片手でなでなでしといてあげる。わたしが休んでいる間、気持ちよくなっていいわよ。,It's a bit rude to just stay for free; so here; a little thank you. I'll softly stroke your shaft with one hand. Feel free to enjoy yourself while I'm resting.
ふわぁ～。戦うのってめんどくさくてあくびが出ちゃう。おちんちんいじめるのなんて、適当でいいよね。,Fuwaa~ Fighting is so tedious that it makes me yawn. It's fine if I just lazily tease your cock instead; right?
先っぽを手で捕まえて、ごしごし、しこしこ。あは、こんなので声出している。雑に触っているのに、気持ちいいんだ？敏感なところもっといじめてあげるから、早く射精してくれるといいなぁ。,Grabbing the tip with my hand; rubbing and stroking it roughly... Aha; you're moaning so much from just this much. Even though I'm touching you so carelessly; it still feels good; doesn't it? I'll tease your sensitive spots even more; so I hope you'll cum quickly.
うーん、そっちまで飛んでいくのもめんどくさいし、ほら、わたしのおっぱい見てオナニーしていいよ。,Hmm; even having to move over there is such a hassle... Hey; feel free to jerk off while looking at my tits.
グラスのへりにおっぱいのせてムニムニしていれば、エロくて勝手に興奮するでしょ？両手でムニムニ、ムニムニ…。あ、おちんちんびくってした。くすくす❤,If I press my breasts against the rim of the glass and squish them around; it's so erotic that you'll get excited on your own; right? Here; I'll squish them with both hands... Ah; your cock just twitched. Hehe~❤
攻撃かぁ、パイズリしてあげるのもめんどう…。てきとうにおっぱい揺らしてあげるから、勝手に負けてくれるといいんだけどなぁ。,Attacking; huh? Giving a titjob is too much work... I'll just shake my tits around randomly and hope you end up losing on your own.
両手でおっぱいを下から持ち上げて、それをたぷん❤って落とす。何回か繰り返して見せれば、むらむらしてくるでしょ。オナニーしていいよー。,Holding my breasts from below with both hands and gently squeezing them... then letting them drop.❤ If I repeat this a few times; you'll get all worked up; won't you? Go ahead and jerk off.
