default
プラント,Clover
おや、あなたもカードマスターですか？,Oh! Are you a cardmaster too?
わたしはプラント。F級カードマスターです。,I'm Clover. I'm a F-rank cardmaster.
今回は多くのカードマスターと手合わせできるチャンスと聞いてやってきました。,I came to this event after I heard it was good opportunity to meet many other card masters.
では、さっそく手合わせお願いいたします！,So then; please battle me right away!
またお会いしましたね。,Hey; we meet again!
この間は負けましたが、今度は負けませんからね。さあバトルしましょう！,I may have lost last time; but this time will be different; OK? Let's battle!
この間はわたしの勝ちでした。今回も勝っちゃいますよ！,
強いですね…。ううっ、次は負けませんよ。,
ふふ、わたしの勝ちです。バトルありがとうございました！,
あなたのターンからですね。お手柔らかにお願いします。,
お手柔らかにお願いしますね。,
わたしのターンですね、ドローします。,
{使用カード}を上級召喚します。,
{使用カード}を召喚です。,
ううっ、あうう・・・❤,
あれあれ、蘇ってきたのに、まだ調子が悪そうですね。\nもしかして負けたときの快感が忘れられないのかな？,
くすくす❤あまり意味のない蘇生になっちゃいましたね。\n蘇らせる相手はもう少し選んだ方がいいと思いますよ。,
さらにもう1枚発動します.,
魔法カード発動！{使用カード}！風の刃で効果ダメージを与えます.,
風で切り裂きましょう。{使用カード}発動！,
魔法カード発動！{使用カード}！攻撃力をアップさせます！,
味方のモンスターを強化します。{使用カード}を発動！,
{使用カード}を発動！攻撃力をアップさせます！,
{使用カード}で味方の攻撃力を高めます！,
{使用カード}を発動！味方全体の攻撃力アップさせます！,
味方のモンスターを強化します！{使用カード}を発動！,
{使用カード}を発動！デッキから虫タイプのモンスターを2枚手札に加えます！,
{使用カード}を発動です！植物がいるので虫モンスターを2枚手札に加えます。,
{使用カード}を発動！デッキから虫タイプのモンスターを1枚手札に加えます！,
{使用カード}を発動です！デッキから虫モンスターを手札に加えます。,
装備魔法カード発動！{使用カード}！,Magic card activate! {使用カード}!
魔法カードを発動します！{使用カード}！,
トラップカードを発動します！{使用カード}！,
カードをセットです。,Card set.
カードを伏せます。,I'll place this card face down.
わたしも戦闘に加わります！{防御カード}を攻撃！,
バトルです！{使用カード}で{防御カード}を攻撃！,{使用カード}; attack {防御カード}!
うっ、なにもできませんね。ターンエンドです。,
この手札では…。ターンエンドです。,
ターン終了です。, My turn is over.,
ターンエンドします。,
わたしのターンはおわりです。,
く、攻撃が防がれましたか。,
