default
生意気キャロル,Cheeky Succubus - Carol
EU71_paizuriAnime,
EU71_bustShakeAnime,
生意気キャロルがサキュバス化した姿。もともと大きかった胸はさらに二回りほど大きくなり、その圧倒的な質量は暴力的なほどの快楽を生み出す。胸をわざとらしく揺らすだけで相手をすぐに前かがみにさせることができ、動きが鈍ったところを胸で捕まえてしまえば、顔や性器を挟まれ男はなすすべもなくエナジーを漏らすことになるだろう。,Carol's form after her succubus transformation. Her already large breasts have grown about two sizes bigger; their overwhelming mass now creating violently intense pleasure when used to attack. Just by bouncing her chest; she can make opponents instantly double over; and if she captures them with her breasts while their movements are slowed; any man will have their faces or genitals squeezed between them as their energy helplessly leaks out.
[1].１ターンに１度発動できる。相手フィールド上のすべての「おっぱいに弱い」状態のモンスターに「見惚れ」（この状態のモンスターはプレイヤーへの攻撃を防げない）状態を付与する。すでに「見惚れ」状態の場合、「魅了」状態を付与する。,[1]. Once per turn; apply [Mesmerized] (monsters in this state cannot prevent attacks against the player) to all monsters with [Weak to Breasts] status on the opponent's field. If already [Mesmerized]; applies [Charmed] status instead.
[2].1ターンに１度、相手がモンスターを場に出したとき発動できる。そのモンスターに「おっぱいに弱い」を付与する。,[2]. Once per turn when the opponent summons a monster to the field; apply [Weak to Breasts] to that monster.
(戦闘時に弱点を付与する。このカードは「おっぱいに弱い」相手から受ける戦闘ダメージが半分になる。),(Applies weakness during battle. This card takes half battle damage from opponents with [Weak to Breasts].)
あはん❤おっぱいマゾども～❤見てぇ❤\n超爆乳で、前かがみ❤\n深すぎる谷間見せつけながら～、ゆさゆさゆさぁ❤,Ahahn!❤ Hey; you breast-obsessed perverts~❤ Look at these!❤ My massive tits almost spill out of my top when I lean forward.❤ I'll go ahead and show off my impossibly deep cleavage. I'll even bounce them for you! Bouncy bouncy bounce~❤
両手でむにゅうっておっぱい持ち上げてぇ❤\nほらぁ、おっぱいマゾども、目そらしてみろよぉ❤\n今からこのおっぱい、どぷんって落としちゃうよ～❤,I'll lift my massive breasts; pushing them up with a squish~❤ Come on; you tit-masochists; just try looking away!❤ I'm about to drop these bad boys so hard~❤
あは、おっぱいばっかり見てるのバレバレなんですけどー❤\nエアパイズリで脳みそバカにしたげるよ、うりうり～❤,Aha; I can tell you're staring at my tits. You're so obvious~❤ I'll give the air a titjob and make you all dummies! Rub rub~❤
ぷぷっ、乳揺らしただけで見とれてメロメロ～❤\nおっぱいひとつで何にもできなくされて、\n恥ずかしくないの？チョロすぎじゃん❤きゃはは❤,Fufu; just bouncing my tits made you stare and fall totally head-over-heels~❤ Left completely helpless from just one pair of breasts... Aren't you embarrassed? You're way too easy!❤ Kyahaha~❤
くすくす❤どんだけおっぱい好きなんだっての❤\n目をハートにして棒立ちじゃん❤おっぱいひとつで何にもできなくされて、\nよっわ～い❤きゃはは❤,*Giggle*❤ Just how much do you love tits anyway?❤ Standing there frozen; staring at my chest all lovey-dovey.❤ Left completely helpless from just one pair of breasts... So weak!❤ Kyahaha~❤
やっほー。新しいモンスターくん❤\n歓迎にほら、わたしの谷間いっぱい見ていいよぉ～❤,Yoohoo! Hey; new monster boy.❤ As a way of saying welcome; look; I'll let you stare at my cleavage all you want~❤
モンスターくんがじーって見てる間、\nゆさゆさって揺らしたげる❤\n何秒ぐらい見続けちゃうかなぁ❤,And now that your eyes are; like; totally glued to them; I'll even give them a sway; just for you~❤ How long do you think you'll keep staring?❤
新しいモンスターくんに、おっぱいサービス❤\n肘でぎゅって谷間押し上げてぇ、\nほら、見てみてぇ～❤,Titty service time for the new monster boy!❤ I'll push my cleavage up with my elbows; so go on; take a look~❤
召喚されたばかりのところ悪いけどぉ、\nおっぱいに弱くしちゃうね～❤\nほら、エアパイズリでゆさゆさ～❤,Sorry to do this right after you 've been summoned; but I'm going to make you totally weak to breasts; okay?❤ Watch; I'll give the air a titjob! Bouncy bouncy~❤
あはぁ、めっちゃガン見じゃん❤\nもっともっと見てぇ、おっぱい大好きなマゾになっちゃえ❤\nきゃはは❤,Ahaha; you're totally staring!❤ That's it; keep staring and become a breast-loving pervert.❤ Kyahaha~❤
くす❤鼻息あら～い❤\n谷間見てここにチンポ挟まれた～いとか想像したの？\nやってほしいなら、ほらぁ、チンポ入れちゃっていいよ？きゃはは❤,*Giggle*❤ Your breathing's getting so heavy~❤ Were you imagining your cock getting trapped in my cleavage? If you want it that bad; come on; why not go ahead and put your cock in?❤ Kyahaha~❤
あはは❤ずりずりするたび体びくつかせちゃって面白～い❤\nこんな乳揺れでチンポビンビンにしちゃってさ、ザーコ❤,Ahaha!❤ It's funny watching you flinch every time my chest jiggles~❤ Your cock got rock hard just from seeing my tits bouncing. What a weakling~❤
