default
オクトパスレディ,章魚女郎
[1].このカードが召喚に成功したとき発動する。デッキから水属性の装備カードを１枚手札に加える。\n[2].このカードが水属性のモンスターを戦闘で破壊したときに発動する。このカードのHPを800ポイント回復し、このカードのこのターンの攻撃宣言回数を+1する。,[1].當這張卡通常召喚成功時發動。從牌組將１張水屬性裝備卡加入手牌。\n[2].這張卡戰鬥破壞水屬性怪獸時發動。這張卡HP回復800點，這回合可進行攻擊宣言回數+1。
[3].お互いのフィールド上に水属性カードが合計8枚以上ある場合、このカードの攻撃回数は+3される（この合計数は裏側表示のカードも含む）。,[3].困難以上中，雙方場上水屬性卡片合計在8張以上時，這張卡的攻擊次數+3（計算張數時包含裡側卡片）。
タコの体を持った女性のモンスター。八本の足は自由自在に動かすことができ、快楽攻撃を使わずとも数人の戦士を軽くあしらえるほどに強い。ひとたび触手に手足を絡めとられてしまえば、容易には振り払えず、そのまま彼女のおもちゃにされてしまうだろう。\n彼女も自身の強さと美貌をよく自覚しており、いつも自信満々の態度をとっている。巧みに動く手足はそのまま快楽攻撃の上手さにも直結しており、彼女の触手や足に快楽を与えられると、ほとんどの男は立っていることもできなくなってしまう。,有章魚身體的女性怪獸卡。能夠自由自在的操縱八隻觸手，即使不使用性愛攻擊也能輕鬆撂倒數名戰士。只要被她的觸手纏住身體一次就難以掙脫，很有可能就這樣順勢變成她的玩物。\n她深知自己的強大跟美貌，總是帶著充滿自信的笑容。靈活的觸手能充分活用在性愛攻擊上，被她的觸手與腿給予快感的話，幾乎所有男人都會再也站不起來。
わたしの触手にからめとられて、耐えられる？,わたしの触手にからめとられて、耐えられる？
7本の触手であなたの体を拘束して、\n残り１本の触手でチンポを激しくいじめてあげる。\nほらほら、ぐちゅぐちゅ扱かれて喘いでしまいなさい❤,7本の触手であなたの体を拘束して、\n残り１本の触手でチンポを激しくいじめてあげる。\nほらほら、ぐちゅぐちゅ扱かれて喘いでしまいなさい❤
触手でしごかれたことってあるかしら？,触手でしごかれたことってあるかしら？
手なんか比べ物にならない、ぴったりチンポに巻き付いて、\n上下ににゅこにゅこ…♪あっという間に骨抜きよ❤\n自在に動くこの触手で未知の快感を教えてあげる❤,手なんか比べ物にならない、ぴったりチンポに巻き付いて、\n上下ににゅこにゅこ…♪あっという間に骨抜きよ❤\n自在に動くこの触手で未知の快感を教えてあげる❤
わたしの触手をすべてかわせるかしら。\nふふ、８本同時に襲い掛かられたら無理よね♪,わたしの触手をすべてかわせるかしら。\nふふ、８本同時に襲い掛かられたら無理よね♪
ほら捕まえた❤\n手足を縛って、チンポにも触手を絡めて❤やりたい放題できちゃうわ。\nふふ、チンポをしごいて、一方的に搾り取ってあげるわ❤,ほら捕まえた❤\n手足を縛って、チンポにも触手を絡めて❤やりたい放題できちゃうわ。\nふふ、チンポをしごいて、一方的に搾り取ってあげるわ❤
わたしの前で頭をあげているなんて、生意気。\n地面にひれふしなさい。ほら！,わたしの前で頭をあげているなんて、生意気。\n地面にひれふしなさい。ほら！
