default
爆乳バニー,爆乳兔女郎
[1]このカードが通常召喚に成功したとき発動する。相手プレイヤーにぱふぱふを行い800ポイントのダメージを与える。相手が望むならこの効果を好きなだけ繰り返す。\n[2].１ターンに１度、LPを800払って発動できる。コイントスを３回行う。１回表の場合、相手プレイヤーに300ポイントのダメージを与える。２回表の場合、さらに300ポイントのダメージを与える。３回表の場合、さらにこのカードの攻撃力分のダメージを与え、「攻撃指示不能(2ターン)」「魅了」「メロメロ」を付与する。,[1].當這張卡通常召喚成功時發動。朝對手玩家進行埋胸造成800點傷害。之後如果對手還想要的話可以無限重複發動。\n[2].１回合１次，可以支付800點LP發動。投擲３次硬幣，１次正面以上的話給予對手玩家300點傷害。２次正面以上的話再追加300點傷害。３次正面的話再追加這張卡攻擊力的傷害，並賦予「無法下令攻擊」（2回合）「魅惑」「著迷」。
[3].このカードが自分フィールド上に存在する場合、１ターンに1度、コイントスで裏が出たとき発動する。その結果を表にする。,[3].困難以上中，當這張卡在自己場上時，每回合可在當硬幣出現反面時發動１次。將該結果改為正面。
胸での攻撃時、「おっぱいに弱い」を付与する。,交戰時如果以胸部攻擊則會賦予對方「胸部弱點」。
「おっぱいに弱い」相手から戦闘ダメージを受けない。,此卡受到有「胸部弱點」狀態角色的給予的戰鬥傷害改為０。
胸がとても大きなバニーガール。その胸の柔らかさはサキュバスにも引けをとらない。勝ちが続いている男性がいる場合、近くで胸を揺らしたり、あからさまに谷間を見せつけたりして集中を乱し、カジノの利益を陰ながら守っている。,胸がとても大きなバニーガール。その胸の柔らかさはサキュバスにも引けをとらない。勝ちが続いている男性がいる場合、近くで胸を揺らしたり、あからさまに谷間を見せつけたりして集中を乱し、カジノの利益を陰ながら守っている。
カードマスターくん、おっぱいでいいことしてあげる～❤\nいくよ～、ぱふぱふ❤ぱふぱふ❤,カードマスターくん、おっぱいでいいことしてあげる～❤\nいくよ～、ぱふぱふ❤ぱふぱふ❤
あひぃっ・・・・　❤,あひぃっ・・・・　❤
ほら、もう一回。ぱふぱふ❤ぱふぱふ❤,ほら、もう一回。ぱふぱふ❤ぱふぱふ❤
はううっ・・・・　❤,はううっ・・・・　❤
くすくす❤反応がかわいい～❤\nDランクになってもまだ女の子のおっぱいでそんな反応しちゃうんだ❤,くすくす❤反応がかわいい～❤\nDランクになってもまだ女の子のおっぱいでそんな反応しちゃうんだ❤
ねえねえ、そのままじっとしていれば\nもっとぱふぱふしてあげるよ～❤,ねえねえ、そのままじっとしていれば\nもっとぱふぱふしてあげるよ～❤
このやわらかいおっぱいでぇ、\nいっぱい気持ちよくしてほしいよねー❤\nほら、お返事は？,このやわらかいおっぱいでぇ、\nいっぱい気持ちよくしてほしいよねー❤\nほら、お返事は？
あは、強がってるけど～、\nそんなへっぴり腰じゃ、もうイキそうなのバレバレだよ❤\nほら、軽くおっぱいを目の前で揺らしてあげれば…❤,あは、強がってるけど～、\nそんなへっぴり腰じゃ、もうイキそうなのバレバレだよ❤\nほら、軽くおっぱいを目の前で揺らしてあげれば…❤
あっあっ、だめっ、そんな風にされたらっ・・・❤❤,あっあっ、だめっ、そんな風にされたらっ・・・❤❤
くすくす❤射精しちゃったね❤\nわたしの勝ち❤,くすくす❤射精しちゃったね❤\nわたしの勝ち❤
あん❤素直じゃないのね❤\nまあいいわ。すぐにおっぱいで骨抜きにしてあげるから❤,あん❤素直じゃないのね❤\nまあいいわ。すぐにおっぱいで骨抜きにしてあげるから❤
うふふ、おねだりしちゃって、本当にかわいいね❤\nおっぱいが気持ちよすぎて、今が戦闘中だってこと忘れちゃったのかな？\nいくよ～、ぱふぱふ❤ぱふぱふ❤,うふふ、おねだりしちゃって、本当にかわいいね❤\nおっぱいが気持ちよすぎて、今が戦闘中だってこと忘れちゃったのかな？\nいくよ～、ぱふぱふ❤ぱふぱふ❤
あっああっ・・・・　❤,あっああっ・・・・　❤
ほら、こうしてほしかったんでしょ？\nぱふぱふ❤ぱふぱふ❤,ほら、こうしてほしかったんでしょ？\nぱふぱふ❤ぱふぱふ❤
あは❤そっかー自分から降参しちゃうんだね❤\nわたしのぱふぱふに負けて、\nみんなの前で恥ずかしい敗北姿見せつけちゃうんだ❤,あは❤そっかー自分から降参しちゃうんだね❤\nわたしのぱふぱふに負けて、\nみんなの前で恥ずかしい敗北姿見せつけちゃうんだ❤
ほら、ぱふぱふでイっちゃおうね。ぱふぱふ❤ぱふぱふ❤,ほら、ぱふぱふでイっちゃおうね。ぱふぱふ❤ぱふぱふ❤
もう射精しちゃうね❤\nおっぱいで顔をむにむにされただけで負けちゃうね❤\nぱふぱふ❤ぱふぱふ❤,もう射精しちゃうね❤\nおっぱいで顔をむにむにされただけで負けちゃうね❤\nぱふぱふ❤ぱふぱふ❤
そうだよねー、頭の中うっとりしちゃうぐらい気持ちいいのに、\nおっぱいの間から逃げたくなんてないよねぇ❤\nいくよ❤ぱふぱふ❤ぱふぱふ❤,そうだよねー、頭の中うっとりしちゃうぐらい気持ちいいのに、\nおっぱいの間から逃げたくなんてないよねぇ❤\nいくよ❤ぱふぱふ❤ぱふぱふ❤
はひぃっ・・・・　❤,はひぃっ・・・・　❤
ずっとずっと楽しんじゃおう？\nぱふぱふ❤ぱふぱふ❤,ずっとずっと楽しんじゃおう？\nぱふぱふ❤ぱふぱふ❤
あぅううっ・・・・　❤,あぅううっ・・・・　❤
あはは、何回でも頼んじゃうね❤\nおっぱい気持ちよくてもうそれで頭の中いっぱいなのかな～❤\nほら、いくよ❤ぱふぱふ❤ぱふぱふ❤,あはは、何回でも頼んじゃうね❤\nおっぱい気持ちよくてもうそれで頭の中いっぱいなのかな～❤\nほら、いくよ❤ぱふぱふ❤ぱふぱふ❤
