default
エンジェル,Angel
EU21_PaizuriAnime,
とても柔らかい胸を持つ天使のモンスター。彼女の胸に挟まれるとたちどころに脱力してしまい、戦闘が困難になる。隙を見ては味方を回復し続けるので、理性を振りしぼり早急に彼女を倒さなければ、すぐに戦況は劣勢になるだろう。,An angelic monster with incredibly soft chest. You'll quickly lose strength if she catches you between her breasts; making fighting back extremly difficult. She’ll keep healing her allies whenever she can; so resist temptation and defeat her quickly; or the battle will quickly take a turn for the worse.
[1].お互いのターン終了時に発動する。自分フィールド上のすべてのモンスターのHPを200ポイント回復する。,Activate at the end of each player's turn. Restore 200 HP to all monsters on your side of the field.
戦闘時に「おっぱいに弱い」を付与する。,Grant "Breast Fetish" during combat.
パイズリしてあげるねぇ❤えーい❤ずぷずぷ～❤,I'll give you a paizuri; okay?❤ There we go.❤ Nice and tight~❤
おっぱいにおちんちん挟まれて気持ちいいねぇ❤たくさん前後に動いてあげるから、谷間の中に出していいよぉ❤,It must feel wonderful to have your penis squeezed between my breasts; doesn't it?❤ I’m gonna to start moving now; so feel free to cum inside my cleavage.❤
わたし癒しの天使だからぁ、おっぱいの感触もとってもリラックスできる柔らかさなんだよ？,Are you aware that; as a healing angel; my breasts are so soft that your body will relax from the sensation alone?
おちんちんを挟まれたらぁ、どれだけガチガチになっててもすぐにドピューってなっちゃって、あっという間にリラックス状態♪,No matter how stiff you are; once you are caught between these breasts; you will find yourself relaxing in no time~♪
あなたは癒されない自信はある？ほら、行くよー、おっぱいの中ににゅっぷん❤,Are you so confidant you can resist my healing? Allow me to test your resolve. There; I've caught you in my breasts~❤
おちんちん、気持ちよくしてあげるね。おっぱいでズリズリするから逃げちゃダメ❤,I'll make your penis feel wonderful; okay? Stay still and let me stroke you with my breasts~❤
ほら捕まえた。やわらか～い天使おっぱいに挟まれて腰抜けちゃいそうだねー❤きゃはは、わたしより身長大きいのにお兄さんかわいいー❤,Got you! You look like you’re about to give out from these soft angel breasts alone; aren't you?❤ Kyahaha; even though you're so much bigger than me; you're still so cute~❤
わたしの胸、とっても気持ちいいんだよぉ❤\nほら、さわってみて？,My breasts feel so good.❤ Here; don't you want to feel them?
あは、誘惑されたらすぐに触っちゃうんだ。\nおっぱい好きなの？すけべー❤,Aha; you couldn't help but touch them right away. Do you like breasts that much? You're such a pervert~❤
