default
闘技場へ行く,前往競技場
酒場へ行く(未実装),前往酒館(未製作)
学園へ行く(未実装),前往學校(未製作)
牢屋へ行く,前往牢房
❤行商人の女の子の家,❤旅行商人少女的家
メロディに会いに学園へ行く(未実装),去學校找美樂蒂(未製作)
(特殊)地下通路へ行く,(特殊)回到地下通道
見回りの兵士,巡邏士兵
モルゲン,摩爾根
バトル大会について,對戰大會
マップ画面ではフィールド上のカードマスターを選びバトルを開始することができます。バトルに勝利することで、賞金や経験値に加え、あなたの指輪にランクポイントがたくわえられます。,在地圖畫面上點選卡片玩家就會開始對戰。對戰勝利可以得到獎金跟經驗值，也能讓戒指累積階級積分。
ランクについて,階級
ランクポイントが上限に達すると、ギルドで昇格試験を受けられます。試験をクリアすることでランクが上昇します。Aランクを目指してがんばりましょう！,當階級積分達到上限後，就可以參加公會的升階測驗。通過測驗就可以提升階級。以升到Ａ級為目標吧！
上部メニューボタンを使用すると、ショップの利用やデッキの編集が行えます。ホームボタンを押すことで宿屋に戻ることができ、セーブは宿屋内で行うことができます。,點選上方的選項按鈕，可以進入商店跟編輯牌組。點選房間按鈕可以回到旅館，在旅館中可以存檔。
クエスト：Eランク昇格試験が発生しました,任務：Ｅ級升階考核出現了
クエストについて,任務
マップ画面では一定の条件を満たすとクエストが発生することがあります。画面上部のメニューから旗のマークを選択するとクエストを受けることができます。,在地圖畫面上滿足一定條件後就會出現任務。畫面的上方選單有一個旗子標誌，點選就可以接受任務。
カードパックがショップに追加されました。,商店增加了新卡包。
カードマスターが新たに登場するようになりました。,有新的卡片玩家出現了。
宿屋で休んだ翌日、僕はギルドに呼び出されていた。,在旅館休息後隔天，我被叫到公會。
お越しいただきありがとうございます、{主人公}さん！昨日は初めてのクエストでのサキュバス討伐、お疲れ様でした！,歡迎您的到來，{主人公}！昨天第一次的任務中順利討伐魅魔真是辛苦您了！
昨日はクエストから帰ってきた直後という事もあって、お伝えしていなかったことがあります。,因為昨天您剛完成任務所以未能跟您說明。
はい。この度ランク昇格に伴い、{主人公}さんは闘技場への入場許可が貰えるようになりました！,由於這次的升階，{主人公}可以參加競技場了！
D級以上のカードマスターの方々はその多くが闘技場に出入りしています。,Ｄ階以上的卡片玩家許多人都會挑戰競技場。
闘技場ではランクポイントも賞金もかなり多くもらえることになっているので、上手く闘技場で勝っていけば、ランクも上げやすくなりますよ！,競技場可以得到大量的階級積分跟獎金，在競技場當中勝利的話也更容易升階。
ですが闘技場に出入りするマスターはみな腕に覚えのある人ばかり。例え同じDランクでも、上のランクのマスターに勝てる人だっています。,因此在競技場戰鬥的玩家都是很有實力的人。例如說同樣是Ｄ階級，有些人甚至能打贏高階級的人。
一応お聞きしますが、闘技場への入場を希望いたしますか？,形式上還是讓我詢問一下您的意願，請問是否要登錄競技場呢？
承知しました。きっと{主人公}さんなら戦っていけるでしょう。,我了解了，我相信{主人公}一定沒問題的。
ふふ、頼もしい言葉です。{主人公}さんなら本当に戦い抜けるでしょうね。,嗯哼哼，真是可靠。{主人公}一定能連戰連勝吧。
Dランクになったギルドリングがそのまま参加許可証となるので、今からすぐに闘技場の試合に参加できます。頑張ってくださいね！,提升到Ｄ階級的公會戒指就是參加競技場的許可證，你現在就可以參加競技場的對戰了。加油吧！
メニューから闘技場に行けるようになりました。,可以從選單進入競技場了。
Dランク以降では闘技場で対戦をすることでストーリーが進むようになります。闘技場で一度勝利した相手は、それ以降街でも戦えるようになります（闘技場のマスターと街で戦う場合、敗北シーンはありません）。,升到Ｄ階以後，主要由競技場來推進故事。在競技場戰勝過的對手，也會在街道上出現（在街上與競技場對手對戰不會出現敗北事件）。
勝負のあと僕は闘技場のすぐそばにある、大きな図書館に来ていた。,對戰後我來到了位於競技場旁邊的圖書館。
聞くところによると、この図書館は闘技場の収益で運営されているそうだ。普通は入館料を取られるが、Ｄランク以上のマスターになると、入館料は無料になるらしい。,聽說這個圖書館是靠競技場的收入來營運的。原本會收取入場費，但是Ｄ階以上的卡片玩家可以免費入場。
（サキュバスについての本を読んでおきたいな。\nそれと、サキュバス化した人間を元に戻す方法の本が\nあったりしないだろうか・・・。）,（想找跟魅魔有關的書。\n最好是有關於將被魅魔化的人恢復原狀的內容。）
当てもなく見て回るが、それらしい本がどこにあるのか分からない。師匠に読み書きこそ教わったが、図書館というものに来るのも初めてのことだった。,我隨意在館內尋找，但找不到想要的書。雖然師傅有教我基本的讀寫，但是我還是第一次來圖書館。
あれ{主人公}さん、こんなところで会うなんて、\nめずらしいですね。\nお勉強ですか？,這不是{主人公}嗎？\n竟然會在這裡碰到你真是驚人啊。\n你在學習嗎？
わたしもそうなんですよ♪\n今日は休日なのですが、昔の戦いの記録などを読みに来たんです。,順便一提我就是來學習的。\n因為今天休息的關係所以來讀以前戰爭的紀錄。
カードが使えない分、\n知識や戦略でみなさんをサポートしたいので、\n休日はよくここに来てるんです。,因為不能使用卡片，\n所以我想要以知識跟戰術來輔助大家。\n所以我假日常常來這裡學習。
{主人公}さんはどういう本を探しに来たんですか？\nわたし、本はたくさん読んでいるので、\nここの蔵書なら案内することができると思います。,請問{主人公}想來找什麼書呢？\n因為我讀過很多書甚至可以幫你介紹書放哪了。
・・・・♪,…………。
これはありがたい申し出だ。僕はさっそく受付さんに探している本について伝えた。,這真是太好了。我馬上向櫃台小姐說明我想找的書。
なるほど。サキュバスについての本を探しているんですね。\nそれならこのあたりはどうでしょうか。,我了解了。想找關於魅魔的書嗎。\n那麼大概在這個位置。
そう言って受付さんは僕に一冊の本を手渡した。『サキュバスの生態入門』というタイトルだ。,然後櫃台小姐交給我一本書。上面標題寫著『魅魔生態入門』。
