default
マッサージ少女,Massage Girl
くす❤また来たの？\nでも今日はもうおしまい。,Ahaha❤ You're here again? Sorry; but I'm not giving you another massage.
だって、キミのお財布もタマタマもどっちも空っぽでしょ？\n都会に出てきたばっかりなのに大事な軍資金全部なくなっちゃったね❤,I mean; both your balls and wallet are already empty; right? You ended up blowing all your money despite just making it into the city.❤
お金取られちゃって悔しいかな？\nでもわたしとしてはキミには常連になってほしいな～❤なんて❤\nくすくす❤,Is it frustrating to lose it all just like that? But you know; I would like you to become a regular at my shop.❤ Eheh~❤
路地裏の入り口で、一人の女の子がつまらなさそうに壁にもたれかかって立っていた。,I saw a bored-looking girl leaning against a wall at the side of the street.
彼女は僕を見つけると、ニコリと笑い、こちらに話しかけてくる。,When she noticed my gaze; she smiled and came over to me.
ねえ、キミ。この街ははじめて？\nきょろきょろしながら歩いて、田舎から出てきたばっかりなのかな？\nくすくす♪,Hey; is this your first time in a city? You're looking like a country bumpkin with the way you're looking around. Ehehe♪
ふーん、カードマスターギルドを探しているんだ。\nてことはキミ、カードマスターなの？すごーい❤,Oh; you're looking for the cardmaster's guild? Does that mean you're a cardmaster? That's so cool!❤
ねえねえ、ギルドに行くのもいいけどさ、\nそれよりもっと楽しいことしない？,Hey; I'm sure that going to the guild is really important; by why not take a break and have some fun with me?
楽しいこと・・・？,Fun...?
わたしねー、男の人にマッサージするのが仕事なの❤\nだからキミにもマッサージをしてあげたいなぁ、なんて。,I work as men's masseuse.❤ I would like to offer my massage services to you.
いまちょうどお客さんが少なくて困っててさー、\nね、おねがい❤わたしを助けると思って、\nわたしのマッサージを受けてほしいなぁ❤ダメ？,I'm a bit troubled by the lack of customers currently; so you can think of it as helping me out; too!❤ Pretty please?❤
そう言って女の子は僕の手を両手で握り、上目遣いで頼んでくる。村には年の近い女の子なんて全然いなかったから、こんな風に手を握られるとそれだけでドキドキしてしまう。,The girl took my hand in hers and pleaded for me to buy her services while gazing up into my eyes. Just holding hands with her was making my heart race since there hadn't been any girls of my age at my village.
ううっ・・・。,Uuuh...
ギルドに行く前にこんな寄り道なんてしていていいのだろうか。彼女の提案に僕は・・・・。,Should I make a stop here before heading to the guild? At the girl's proposal; I...
彼女についていく,Went along with her
彼女を振り払う,Refused the offer
えー、そんなこと言わないでよ。\nそうだ、ちょっとだけマッサージのお試しをしてあげるね❤,Eeh? Please don't say that. Oh; I know! Let me give you a little trial run~❤
わたしのマッサージ気持ちいいんだよ～❤\nほら、キミの凝ったふとももを、もみもみ♪,My massages feel really good.❤ Let me help with those stiff thighs of yours~❤ Rub; rub♪
あう、ちょっ、そんなところ❤,Ah... W-Wait; that spot is...❤
えー、ふとももを触るぐらい普通だよ❤\nほら、脚の付け根に向かって、さわさわ❤なでなで❤,Thigh massage is a perfectly normal thing.❤ I'll keep going along your thighs up to the base of your legs~❤ Rub; rub~❤
くすくす❤どうしたの、そんなもどかしそうな顔しちゃって。\nわたしのマッサージが気持ちよくて、\nもっと続きをしてほしくなっちゃった？,Ehehe~❤ Look at you; making such a silly face. Are you starting to want more with how good it feels?
ねえ、こんな表通りじゃなくてさ、お店の中まで来てくれれば、\nもっと色んな「マッサージ」をしてあげるよ？\n人前じゃできないような、あんなこともこんなことも❤,You know... If we moved to my shop; I could offer many "other" types of massage too~❤ I could knead you in ways that couldn't be done here in the street before others' eyes~❤
ほらぁ、わたしのお店に行こ？\nおねがーい❤,So... Let's go to my shop. Pretty please?❤
ううっ・・・・❤,Uuuh...❤
あん、うう、頑固だなー。\nあっ、待ってよ、どっかいかないで。,Uuh. How stubborn... Ah; please wait! Don't go!
僕は彼女に背を向け、つかつかと歩き出した。このままあの場所にいては、怪しいお店に連れ込まれてしまうかもしれない。もう近寄らないようにしよう。,I turned my back to the girl and briskly walked away. It felt like she was trying to take me to some suspicious shop; so I decided it would be better to avoid her from now on.
あは、さっきの男の子じゃん。\nどうしたの？やっぱりわたしのマッサージ受けたくなった？,Ah; you're the guy from before. What is it? Did you change your mind about the massage?
おちんちん、ズボンの上から見ても分かるぐらい大きくなってるね❤\nくすくす❤さっきのお試しが効きすぎちゃったみたい❤,It's looking like the trial run from before was really effective.❤ Ehehe~❤ Your penis is bulging so hard that I can clearly make it out on your pants~❤ 
ううっ・・・❤,Uuh...❤
それじゃほら、ギルドに行く前に、\nわたしのお店で楽しいこと、しよっか❤\nお店はこっちだよ。おいでおいで❤,Now; take a break from finding the guild; and come enjoy my massage~❤ My shop is just around the corner. Follow me.❤
そう言って女の子は僕の手を取り、路地裏へと引っ張ってくる。僕は・・・・。,The girl took my hand and began leading me towards a side street. In that situation; I...
やった❤ありがと～❤\nうれしいからハグしちゃう❤ぎゅー❤,Yay!❤ Thanks for coming with me.❤ I'm so happy that I want to hug you.❤ Come here~❤ Squeeze~❤
あう、うう・・・❤,Ah... Uuuh...❤
