default
爆乳バニー,Bombshell-Bust Bunny
胸がとても大きなバニーガール。その胸の柔らかさはサキュバスにも引けをとらない。勝ちが続いている男性がいる場合、近くで胸を揺らしたり、あからさまに谷間を見せつけたりして集中を乱し、カジノの利益を陰ながら守っている。,A bunny girl with massive breasts. Their softness is unmatched; even by a succubus. If a man begins to win too often; she will sway her breasts nearby or openly show her cleavage to ruin his concentration; secretly working to protect the casino's profits.
胸での攻撃時、「おっぱいに弱い」を付与する。,When attacking with her chest; grant the target "Weak to Breasts."
「おっぱいに弱い」相手から戦闘ダメージを受けない。,Prevent combat damage to this card from opponents with "Weak to Breasts."
[1]このカードが通常召喚に成功したとき発動する。相手プレイヤーにぱふぱふを行い800ポイントのダメージを与える。相手が望むならこの効果を好きなだけ繰り返す。\n[2].１ターンに１度、LPを800払って発動できる。コイントスを３回行う。１回表の場合、相手プレイヤーに300ポイントのダメージを与える。２回表の場合、さらに300ポイントのダメージを与える。３回表の場合、さらにこのカードの攻撃力分のダメージを与え、「攻撃指示不能(2ターン)」「魅了」「メロメロ」を付与する。,[1]Activate when this card is successfully Normal Summoned. This card performs a puff-puff on the opponent; inflicting 800 points of damage. If the opponent wishes; this effect can be repeated as many times as they like.\n[2].Once per turn; activate this effect by paying 800 LP. Flip a coin three times.  If the first flip comes up heads; deal 300 points of damage to your opponent. If the second flip also comes up heads; deal an additional 300 points of damage. If the third flip also comes up heads; deal damage equal to this card's attack power and apply"Cannot attack (2 turns)," "Charmed," and "Infatuated."
[3].このカードが自分フィールド上に存在する場合、１ターンに1度、コイントスで裏が出たとき発動する。その結果を表にする。,When this card is on your field; once per turn; if a coin toss results in tails; you can activate this effect and treat it as heads.
EU51_paizuriAnime,
EU51_pafupafuAnime,
カードマスターくん、おっぱいでいいことしてあげる～❤\nいくよ～、ぱふぱふ❤ぱふぱふ❤,Oh; Mister Cardmaster. I'm going to do something nice for you with my breasts~❤ Here we go~ Puff-puff~❤ Puff-puff~❤
あひぃっ・・・・　❤,Ahh...❤
ほら、もう一回。ぱふぱふ❤ぱふぱふ❤,And again. Puff-puff~❤ Puff-puff~❤
はううっ・・・・　❤,Hahh...❤
くすくす❤反応がかわいい～❤\nDランクになってもまだ女の子のおっぱいでそんな反応しちゃうんだ❤,Hehe; your reaction is so cute~❤ Even at D-rank; a girl's breasts still make you react like that~❤
ねえねえ、そのままじっとしていれば\nもっとぱふぱふしてあげるよ～❤,Hey hey; if you stay still like that; I'll give you some more of my service~❤
このやわらかいおっぱいでぇ、\nいっぱい気持ちよくしてほしいよねー❤\nほら、お返事は？,Let me use these soft breasts to make you feel really good. Come on; what do you say?
もっとぱふぱふしてぇ…❤,Please... I-I want more..❤
そ、そんな誘惑には乗らない！,I-I won't fall for your temptation!
あは、強がってるけど～、\nそんなへっぴり腰じゃ、もうイキそうなのバレバレだよ❤\nほら、軽くおっぱいを目の前で揺らしてあげれば…❤,Ah; you're trying to act tough; but with that shaky posture; it's obvious you're about to cum~❤ Look; if I just sway my breasts in front of you...❤
あっあっ、だめっ、そんな風にされたらっ・・・❤❤,Ah... Ah; n-no... If you do that; I'll... ❤❤
くすくす❤射精しちゃったね❤\nわたしの勝ち❤,Giggle~❤ You just came; didn't you?❤ I win~❤
あん❤素直じゃないのね❤\nまあいいわ。すぐにおっぱいで骨抜きにしてあげるから❤,Ah~❤ You're not being honest with me~❤ Well; that's fine. I'll use my breasts and make you weak in no time~❤
うふふ、おねだりしちゃって、本当にかわいいね❤\nおっぱいが気持ちよすぎて、今が戦闘中だってこと忘れちゃったのかな？\nいくよ～、ぱふぱふ❤ぱふぱふ❤,Hehe; you're so cute when you beg like that~❤ Did my breasts feel so good you forgot you're in the middle of a battle? Well; here I go. Puff-puff~❤ Puff-puff~❤
あっああっ・・・・　❤,Ahh; ahhh...❤
ほら、こうしてほしかったんでしょ？\nぱふぱふ❤ぱふぱふ❤,See; isn't this all you wanted? Puff-puff~❤ Puff-puff~❤
あは❤そっかー自分から降参しちゃうんだね❤\nわたしのぱふぱふに負けて、\nみんなの前で恥ずかしい敗北姿見せつけちゃうんだ❤,Ahaha~❤ I see. So you're surrendering to me all by yourself~❤ You'll lose to my puff-puff and show everyone here your embarrassing defeat~❤
ほら、ぱふぱふでイっちゃおうね。ぱふぱふ❤ぱふぱふ❤,Okay; I'll start your puff-puff service now. Puff-puff~❤ Puff-puff~❤
もう射精しちゃうね❤\nおっぱいで顔をむにむにされただけで負けちゃうね❤\nぱふぱふ❤ぱふぱふ❤,I bet you're already about to cum~❤ Just having your face squished by my breasts is more than enough to make you lose~❤ Puff-puff~❤ Puff-puff~❤
そうだよねー、頭の中うっとりしちゃうぐらい気持ちいいのに、\nおっぱいの間から逃げたくなんてないよねぇ❤\nいくよ❤ぱふぱふ❤ぱふぱふ❤,I know. It feels so good you're going crazy; but my breasts are so inviting you don't want to escape~❤ Here we go~❤ Puff-puff~❤ Puff-puff~❤
はひぃっ・・・・　❤,Ah...❤
ずっとずっと楽しんじゃおう？\nぱふぱふ❤ぱふぱふ❤,Shall I offer you this service forever and ever? Puff-puff~❤ Puff-puff~❤
あぅううっ・・・・　❤,Ohhh...❤
あはは、何回でも頼んじゃうね❤\nおっぱい気持ちよくてもうそれで頭の中いっぱいなのかな～❤\nほら、いくよ❤ぱふぱふ❤ぱふぱふ❤,Ahaha; you can ask for this as many times as you want~❤ Maybe it feels so good it's all you can think about now~❤ Well then; lets keep going~❤ Puff-puff~❤ Puff-puff~❤
ねえねえ、どうするもっともっとぱふぱふする？,Hey; hey; what will you do? Do you just want more and more of my puff-puff?
あ、もうおちんちん限界みたいだね。あとちょっとで射精しちゃいそう❤,Ah; it looks like you've reached your limit. I think you're going to cum soon~❤
いいのかなー❤ここで「うん」って言っちゃったら、勝負に負けちゃうよ。\nぱふぱふなんかで骨抜きにされて、簡単に負けさせられて\nほんとにいいのかなー❤,I wonder if it’s really okay~❤ If you say "yes" now; you'll lose the match. Are you really fine with being entranced by my puff-puff and losing so easily?❤
どうする？ぱふぱふしてほしい？わたしのおっぱい気持ちいいよ？くすくす❤,So? What will you do? Do you want more of my puff-puff? My breasts feel so good; don't they? Giggle~❤
あん❤素直じゃないのね❤\nまあいっか❤どうせすぐにおっぱいで骨抜きになるんだから❤,Ah~❤ You're not being honest; are you?❤ Not that it matters.❤ My amazing breasts will have you putty in my hands soon enough~❤
運試しのコイントスよ。\n表が出た分だけあなたに気持ちいいことしてあげる❤,Let's test your luck with a coin toss. For every heads it lands on; I'll do something nice for you~❤
3回中何回表が出るかしら？ほら❤,How many heads can we get with 3 flips? Let's see~❤
あん、残念❤一回しか出なかったわ。,Ah; too bad~❤ I only got the one.
ぱふぱふは、一回だけね❤\nほら・・・❤ぱふぱふ❤,Only one puff-puff for you. Here I go...❤ Puff-puff~❤
うぐぅっ…❤❤,Ugh...❤❤
ちょっとしか気持ちいいことしてあげられなくて残念❤\nこれで終わりも寂しいし、\nあとでもっと楽しみましょうね。うふふ❤,I'm sorry I couldn't make you feel good longer.❤ It's such a shame to end it here; so let's play more later. Giggle~❤
２回表が出たから２回ぱふぱふしてあげる❤\nほら、おっぱいで顔を抱きしめて・・・❤,Since it came up heads twice; I'll give you two puffs~❤ Here; let your face be buried in my breasts...❤
ぱふぱふ・・・❤,Puff-puff...❤
はううっ・・・❤,Ahh...❤
ふふ、軽いぱふぱふだけど、結構効いているみたいね。\n他のバニーたちと一緒に、おっぱいでどんどん蕩けさせてあげる❤,Hehe; I only did it a little; but it seems to be working pretty well. Together; the other bunnies and I will make you melt more and more with our breasts~❤
あは、全部表よ♪\nよかったわね、たっぷりわたしのおっぱい楽しませてあげる❤,Aha; they all came up heads~♪ I'm so happy for you. That means you get to enjoy my breasts to the fullest~❤
ほら、ぱふぱふ・・・❤,Here we go. Puff-puff...❤
もう一回ぱふぱふ・・・❤,And again. Puff-puff...❤
あっ、ああっ・・・❤,Ahh; ahhh...❤
最後にお顔をおっぱいでぎゅって抱きしめて、\nぱふぱふ❤ぱふぱふ❤\nむぎゅむぎゅ～❤あはーん❤,Finally; I'll give you a tight hug wih your face in my breasts. Puff-puff~❤ Puff-puff~❤ I'll squeeze you tight~❤ Ahhaa~❤
あひっ、あへあっ・・・❤; Oh... Ugh...❤
うふふ❤完全にメロメロね❤\n次のターンまでそのままうっとりしちゃってなさい❤,Giggle~❤ You're completely smitten!❤ Be good and stay enchanted like that until the next turn~❤
あはん❤おっぱいで気持ちいいことしてあげる❤,Ah~❤ I'll make you feel good with my breasts~❤
ほら、顔の前でゆさゆさ❤\n両手でむぎゅって押しつぶして、むにむに❤,Here; I'll shake them in front of your face~❤ Then; I'll squeeze them with both hands and squish them together~❤
直接顔に当ててほしい？それなら自分から一歩前に出てね❤\nそうしたら、たくさん、ぱふんって挟んであげるから❤,Don't you just want to bury your face between them? Then step forward just a bit~❤ I'll give you lots of puffs~❤
あは、おっぱいにいらっしゃーい❤\n目の前で爆乳見せつけられて、おっぱいフェチのあなたの理性、\n飛んじゃったみたいだねー❤,Ah; you actually did it!❤ All your reason must have flown away in front of those huge breasts! You breast fetishist~❤
ほおら、こうされたかったんでしょ？ぱふぱふ❤ぱふぱふ❤\nぱふ、ぱふ・・・❤ぱふ、ぱふ・・・❤,See? This is what you wanted; right? Puff-puff~❤ Puff-puff~❤ Puff-puff...❤ Puff-puff...❤
あなたもおっぱい好きでしょ？\nわたしの爆乳で全部どうでもよくしてあげる❤,You like breasts too; don't you? I'll make you forget all about everything else with these huge breasts of mine~❤
顔におっぱいを押し当ててむぎゅー❤\nほら、むずかしいこと全部頭から飛んで行ったわね❤\nやわらかくていい匂いがして、最高の感触でしょ？,If I press my breasts against your face...❤ See? All the difficult thoughts just fly away. They're just so soft; smell so nice; and feel so wonderful; don't they?
くすくす❤\n手がぶらーんってなっちゃってる。\nあまりに気持ちよすぎて、力抜けちゃったのかしら❤,Giggle~❤ Your arms are just hanging at your side. I think I relaxed you too much because it just feels so good~❤
おっぱいフェチのあなたはこれでおしまい。\nほら、ぱふぱふ❤ぱふぱふ❤,This is the end for a breast fetishist like you. Here I go. Puff-puff~❤ Puff-puff~❤
攻撃するのなんてやめましょ？ほらセクシーポーズ❤\n両腕でおっぱい寄せ上げて、あざとく見せつけちゃう❤,Let's not fight; okay? Look; I'll do a sexy little pose~❤ I'll push my breasts up with both arms and show them off~❤
あは、動きが止まっておっぱい見ちゃってるじゃない❤\n顔を挟んで気持ちよくしてあげるから暴れちゃダメよ？\nはい、むぎゅー❤,Ah; you've stopped moving and are staring at my breasts~❤ I'll bury your face in them and make you feel good; so don't struggle; okay? And... Gotcha!❤
そのままおっぱいちゅーちゅーして、\n射精しちゃいましょうねー❤くすくす❤,There. Just keep suckling my breasts and cum; okay?❤ Giggle~❤
ふふ、ためらってるためらってる❤\nこんなきれいな体、傷つけたくないわよね❤\n優しいあなたに、ぱふぱふでご褒美あげちゃう❤ほら・・・❤,Hehe; you're hesitating~❤ You can't bring yourself to hurt such a beautiful body~❤ I know. I'll give you a puff-puff as a reward for being so nice~❤ Here I go...❤
わたし、勝ちすぎているお客さんの妨害が主な仕事なの。\nわたしが出てくれば運も実力も関係ないわ。\n横でおっぱい揺らしてあげれば、男はみんな骨抜き❤,My main job is to stop customers who are winning too much. When I show up: luck and skill don't matter. If I shake my breasts next to them: all men become putty in my hands~❤
集中力が乱れてありえないところでミスをして、\nそんなところに耳元で「あん❤頑張ってくださーい❤」って\n言ってあげればすぐにおかしくなっちゃうのよ。くすくす❤,When his concentration falters; and he makes an impossible mistake; I just whisper in his ear "Ahh~❤ Do your best~❤"; and he loses his mind almost instantly. Giggle~❤
あなたも体に密着されながら、耳元でささやいてほしい？\nおっぱいを肩に乗せて、あまーい声で気持ちよくしてあげる❤,Do you want me to put my body close to you and whisper in your ear; too? I'll put my breasts on your shoulder and make you feel good with my sweet voice~❤
うふふ❤なぁに？\n昇格戦の途中なのに、\nわたしにおねだりしちゃうんだ。,Giggle~❤ What's this? You've started begging me for something; even though we're in the middle of your promotion match.
わたしの爆乳を前に、\n我慢できなくなっちゃったのかしら。\nくすくす❤いいわよ。あなたのこと天国に送ってあげる❤,I guess: when faced with breasts as big as mine: you just couldn't resist. Giggle~❤ That's okay. I'll send you straight to heaven~❤
あはん❤\nわたしの必殺のぱふぱふで、おちんちん陥落❤\n一回も触れてないのにどぴゅどぴゅ出しちゃったわね❤,Ahaha~❤ Your cock lost in the face of my ultimate puff-puff~❤ Even though I didn't touch it once: you still came so much~❤
あなたの頭よりも大きい爆乳で挟まれて、\nまさに天国って感じの気持ちよさだったでしょ？\nふふ、蕩け顔になっちゃってる❤,Did being sandwiched between breasts bigger than your head feel like heaven? Hehe: your face looks so lewd~❤
あら？くすくす❤\nもしかして肩におっぱい乗せられただけで\n射精しちゃったの？,Oh? Giggle~❤ Did you really cum from just having my breasts on your shoulder?
ふふふ❤おっぱいに弱いって言っても限度があるわよ。\n敵におねだりしちゃうような弱ーい男だから、\n早漏なのもしょうがないのかしら。ふふっ❤おかしい❤,Hehehe~❤ Even if you say you're weak to breasts ; there's a limit ; you know. I guess it's no wonder you're premature since you're such a weak man that you'd even resort to begging your enemies. Giggle~❤ That's so funny~❤
うっ、ううっ・・・❤,Oh ; ugh...❤
あらあら、うずくまってどうしたの？\nって、ふふ❤\nわたしの爆乳見ながらシコシコしてるじゃない❤,Oh dear ; why are you kneeling like that? Giggle~❤ You're just staring at my big breasts and stroking yourself~❤
このエッチすぎるおっぱいを見てたら、\n戦いのことなんて頭から吹き飛んでしまったのかしら❤,I guess staring at these naughty breasts made you completely forget about the battle~❤
あなたにとって大事な大事な昇格戦。\nそれも無敗の記録をかけた一戦なのに、\nただエロいだけのバニーガールの前で、チンポしこしこしこ❤,It's a very important promotion match that could break your undefeated record ; and yet you're just stroking yourself in front of a bunch of sexy bunny girls~❤
あなたのマスターにとって大事な大事な昇格戦。\nそんなことしてる場合じゃないのは子供でも分かるのに、\nただエロいだけのバニーガールの前で、チンポしこしこしこ❤,It's your master's very important promotion match. Even an idiot would know how serious this is; but you're just standing here ; stroking yourself to a sexy little bunny girl~❤
さっきぱふぱふしてあげたのが効きすぎちゃった？\nぱふぱふされてすぐメロメロになるなんて、\nずいぶん弱い理性なのね。くすくす❤,Did the puff-puff I gave you earlier work a little too well? You must be pretty weak-willed to fall for me after something small like that. Giggle~❤
肩におっぱい乗せられながら、あぁん❤\nってささやいてあげたものね。\n頭の中ピンク色にさせちゃった？くす、エッチすぎてごめんなさい❤,When I put my breasts on your shoulder earlier and whispered in your ear; did it make your head go all hazy? Haha; sorry for being too naughty~❤
ううっ❤だめ、止まらない・・・❤ああっ・・・❤,Ugh...❤ No ; I can't stop...❤ Ahh...❤
うふふ❤性欲に脳みそ支配されたら、\n一発抜いちゃうまで、男の子ってそうなっちゃうわよね。,Giggle~❤ That's what happens to boys whose brains are taken over by desire. They lose control until they find their release.
あなたみたいな人、お客さんで何人も見てきたわ。\nギャンブルの途中なのにわたしの体に勝手に見とれて、\nムラムラでまともにものを考えられなくなるの❤,I've seen many customers like you. Even in the middle of gambling ; they can't help but get distracted by my body. They get so flustered they can't even think straight~❤
歩くだけでだぷんだぷんってとってもエッチに揺れるから\nそれで見とれちゃうんでしょうね❤\n男の子ってほんとおっぱいによわぁい❤,My breasts jiggle so enticingly with every step I take that it leaves everybody mesmerized~❤ When it comes to boobs; boys are just the cutest~❤
はぐぅうっ❤ゆらさないで…❤❤ああっ、えろすぎるぅ…❤❤,Ah... Don't jiggle them... Ah... Too sexy...❤
くす❤こうやってくねくねするだけでもダメ？\n体を少しひねるだけでおっぱいが左右に揺れて、\nだぶんだぶんってエロすぎるかしら❤,Giggle~❤ Is just wiggling like this too much for you? Just a little twist of my body makes my breasts sway side to side. Is it too sexy?❤
ギャンブル中にテーブルの下でチンポ膨らませて、\nどうしようもなくなって顔を真っ赤にしてる人がいたらね、\nそんなときは、こうしてあげるの❤,If I see someone gambling with their penis all swollen under the table ; all helpless and red-faced... At times like that ; I try to help them out. Like this~❤
お客さんの横からすっと手を伸ばして、チンポの上に手の平をぴと…❤,I'll reach my hand out from beside the customer and place my palm on his lap...❤
「あん❤お客様、ほこりがついています～❤」って言って、\nそのままズボン越しに、すぅーーってひと撫で❤,Then ; I'll say something like "Ah~❤ Customer ; there's some dust on you~❤" and quickly stroke him through his clothes~❤
手が離れる瞬間に合わせて、腕におっぱいをむぎゅって乗せるのよ❤\nそれだけで、あひぃってかわいい声あげて、\nびくんびくんズボンの中に出しちゃうの❤,When he tries to pull his hand away ; I'll press my breasts tight against his arm~❤ With just that; he can't help but to let out a cute moan and cum in his pants~❤
ふふふ❤\nあなたの場合、すでにそんなにシコっているから簡単に出ちゃいそうね。,Hehehe~❤ In your case; since you've already been stroking yourself so much; it seems making you cum would be too easy.
ほら、あなたのそばに近づいて…❤,Look; I'm getting closer to you...❤
腕におっぱいを、むにゅう❤\nああぁん❤たくましい腕❤\nかっこいいです～❤,I'll press my breasts against your arm; feeling them squish against your big; strong muscles.❤ Ahhhn~❤ What powerful arms you have.❤ You're so cool~❤
あっ、あっ、だめ、やわらかすぎてぇ❤❤❤,Ah; ah; no; it's too soft!❤❤❤
あひぃっ・・・❤きもちいいぃ・・・❤,Ahh...❤ It feels so good...❤
くすくす❤わたしに撫でられるまえに、\nおっぱいの感触だけで射精しちゃった❤,Giggle~❤ You came from just the feel of my breasts~❤ I didn't get to stroke you at all~❤
わたしのおっぱい、ずっしり重くてすごかったでしょ？\nあーあ、もっと頑張ればパイズリでもぱふぱふでも、\nたーっぷりサービスしてあげたのに。,My tits are so heavy; right? Aren't they amazing? Ah; if you'd tried harder; I could have given you plenty of service; like maybe a paizuri; or a puff-puff.
理性が弱くて早漏だと損ね❤ふふ❤,I guess you miss out when you're so weak-willed and premature~❤ Giggle~❤
あらあら、あなたもうずくまってシコシコしちゃうんだ❤\nわたしの爆乳見ながらチンポさわって\nくす、きもちよさそう❤,Oh my; you're already kneeling and stroking yourself~❤ Touching yourself while staring at my big breasts... Hehe; it looks like it feels really good~❤
うふふ❤やっぱりみんな同じ。性欲に脳みそ支配されたら、\n一発抜いちゃうまで、男の子ってそうなっちゃうわよね。,Giggle~❤ I guess everyone's the same after all. When their brains are taken over by lust; boys end up like this until they can find their release.
わたしの大きすぎるおっぱいが魅力的すぎるのかしら。\n片方だけであなたの頭ぐらいあるおっぱい❤\nあはん、指でつついてみたらこんなにぷにぷに❤,I guess my insanely big breasts are just too tempting. Each one is about the size of your head~❤ Ah; and when I poke one with my finger; it's feels so squishy~❤
さらに両側から手で持ち上げて、\nうっふ～ん❤エアパイズリ❤\nゆさゆさゆさって、とっても刺激的な光景でしょ？,What's more; if I lift them from both sides like this…❤ It's an air paizuri~❤ If I bounce and shake them like this; isn't it such a sexy sight?
くす❤ほんとに挟まれてるわけでもないのに、\nすっごい蕩け顔ね❤,Giggle~❤ You're not even really being squeezed; and yet your face is already twisted in bliss~❤
わたしがディーラーをやるときも、\nたまにこんな風におっぱい揺らしてあげるのよ。\n服がずれたのを直すふりして、むぎゅって寄せて…❤,When I'm the dealer; I sometimes shake my breasts like this. I'll squeeze them together while pretending to adjust my outfit...❤
あん❤っていやらしい声を出しながら、\n勢いよくだぶんって下に落とすの。\nお客さんはみんなそれだけで骨抜きになっちゃう❤,I'll let out a naughty moan and let their full weight drop.❤ That's all it takes to makes any customer go weak in the knees~❤
