default
ミレーヌ,Mylene
F13_paizuriAnime,
モルゲンの街にある人気店「旅人の酒場」のオーナー。子供の時からカードを使う才能にめぐまれ、Dランクまでとんとん拍子でランクアップした経歴を持つ。しかし、魔力の最大量が思ったほど伸びず上級モンスターを出すことができなかったため、Dランクより上に上がることはできずにいる。\n本人も自分なりに諦めがついており、カードマスターとして活躍する道ではなくバーのオーナーとして上手くやっていく道を模索している。使い魔のフェアリーたちを給仕に使った酒場は本人の美貌もあいまって、かなり好評である。\n\n戦法としてはフェアリーを途切れることなく展開し、相手の防御をかいぐぐってプレイヤーを直接攻める戦法が得意。本人の得意技は胸を使った責めで、パイズリのテクは目を見張るものがある。下級モンスターしかいないと油断すれば、あっという間に骨抜きにされてしまうだろう。,Owner of the popular inn "Fairy Tavern" in the town of Morgen. She was blessed with a natural talent for card games; and swiftly rose to D-rank. However; her maximum mana would not grow as high as she had hoped; leaving her unable to summon advanced monsters and thus unable to advance further. She has come to terms with her situation and; instead of pursuing a path as a cardmaster; she is exploring the possibility of becoming a successful bar owner. Her tavern; which employs fairies as waitstaff; is quite popular thanks in no small part to her own beauty. Her strategy involves continuously deploying fairies to bypass her opponent's defenses and directly attack the player; a tactic at which she excels. Her specialty is the use of her breasts; and her titjob technique is truly remarkable. If you let your guard down thinking she's only got lower-tier monsters; you'll quickly find yourself under her spell.
闘技場に挑戦する(必要ランクポイント:{$needPoint}),Challenge the Arena (Required Rank Points: {$needPoint})
今はやめておく,Not now
あら、ルーキーくんじゃない。\nせっかく合ったんだし、試しにバトルでもする？,Oh my; it's Mister Rookie. Since we bumped into each other; why don't we have a little battle; just for fun?
闘技場では負けちゃったけれど、\n今日はこのおっぱいで、気持ちよく負けさせてあげるわ❤,I may have lost in the arena before; but I'll make sure you lose to my breasts today~❤
あら、ルーキーくん、また会ったわね。\n今日もバトルする？,Oh my... Mister Rookie; we meet again. Would you like a battle today; too?
強いあなたの胸を借りるつもりで行くわね。\nあら、ちらっと谷間を見てる❤\nあなた的にはわたしのおっぱいを借りたいのかしら。くすくす❤,I plan to rely on your strength. Ara; I see you sneaking a glance at my cleavage.❤ Perhaps you want to borrow my breasts instead? Kusukusu❤
この間みたいにまたわたしが勝っちゃうかもしれないけれど、\n今日はどうかしら。\nさあ、フェアリーちゃんたちで翻弄してあげるわね❤,I might end up winning again just like last time; but who could say for sure? Now; why don't we let my fairy friends have some fun with you?❤
うう…、やっぱりルーキーくんは強いわ。\nレベルの低いモンスターたちだけじゃ限界があるのかしら…。,Ugh... You really are strong; Mister Rookie. Perhaps I've reached my limits using my low-level monsters...
くす❤気持ちよくなれてよかったわね❤\n男の子だもの、あなたがどれだけ強くても\nおっぱいにたまに負けちゃうこともあるわよね❤,Hmhm~❤ I’m glad you got to feel good.❤ Even as strong as you are; sometimes a boy just can’t help but lose to a nice pair of breasts.❤
挑戦するために必要なランクポイントに達していません(現在ランクポイント:{ランクポイント})。,You have not reached the required rank points for the challenge (current rank points:{ランクポイント})
前回の戦いから数日後。闘技場への２回目の挑戦だ。,Just a few days after my last battle; it's time for my second challenge in the arena.
１戦目はなんとか勝利することができた。今回も頑張るぞ！,I managed to somehow win the first round. I'll do my best this time; too!
さあ、本日も楽しみな試合がやってきました。\n初戦を勝利で飾った期待のルーキー、{主人公}選手です！\n彼の二戦目のお相手は…。,We have another exciting match for you today. Fresh off his victory in the first match; it's the promising rookie; {主人公}! His second round opponent is...
モルゲンの人気店、「妖精の酒場」の店長、ミレーヌ選手だ！,Mylene; proprietress of the popular "Fairy Tavern" in Morgen!
はぁい、よろしくね。ボウヤ❤,Hey; nice to meet you... Boy.❤
ミレーヌと紹介された対戦相手は僕に向かってにこやかにあいさつをした。そしてすぐに左右を向くと、観客に向かって大きく手を振った。,The opponent introduced as Mylene greeted me with a cheerful smile. She then immediately turned to both sides and waved energetically to the audience.
観客たちは彼女に応えて歓声をあげている。人気のある選手のようだ。,The audience responded to her with cheers. She must be a popular competitor.
ぴょこぴょこと飛び跳ねながら手を振っている彼女の姿は、胸が大きく揺れて扇情的で、ちょっと目のやり場に困ってしまう。,As she hopped around waving her hands; her large breasts bounced provocatively; making it hard to know where to look.
ミレーヌ選手はDランクながらギルドの仕事はあくまで副業、\nメインは酒場のオーナーです。,Mylene is a D-rank competitor; but being a cardmaster is just her side job. Her main role is as a tavern owner.
彼女が勝利したあとはいつも酒場で割引サービスが行われますが\n今回はどうなるのでしょうか。\n酒場の行きつけの方からの注目度も高い試合です！,After her victories; she always offers discounts at her tavern; but what today hold? This match has garnered a lot of attention from her regular patrons!
{主人公}くんっていうのね。\nわたしはミレーヌ。\nあなたとても強いらしいじゃない。お手柔らかにお願いするわ。,You're {主人公}; right? I'm Mylene. You seem pretty strong. Please be gentle with me.
わたしが試合に出るのはお店の宣伝のため・・・\nだから勝っても負けても別にいいんだけど、\nせっかくなら勝った方が盛り上がるわよね。,I'm only competing to promote my tavern; so winning or losing doesn't really matter to me... But if I win; it would make things much more exciting; don't you think?
新人ってことはまだまだうぶなんでしょ？\nフェアリーちゃんたちとわたしのおっぱいで気持ちよくイかせてあげる❤,Since you're a rookie; you must still be quite innocent; right? I'll make you feel amazing with my fairies and my breasts.❤
あら、うふふ…❤\nそんなにおっぱいが気になるんだ❤,Look; ufufu...❤ You can't take your eyes off my chest; can you?❤
・・・!,...!
それだけチラチラ見てたら気づくわよ。\nさっきから何度も谷間に目が吸い寄せられているわよね❤,I've noticed you glancing. Your eyes keep getting drawn to my cleavage over and over again; don't they?❤
それだけチラチラ見てたら気づくわよ。\n巨乳の女の子って胸への視線に敏感なのよ❤,I noticed you've been staring at them. Busty girls are very sensitive to eyes on their chests; you know.❤
おっぱいでイかせてあげるって言ったから、\nおっぱいが気になっちゃったの？かわいい❤,I said I'd make you come with my breasts; so your thoughts can't help but linger there; right? Absolutely adorable.❤
