default
炎熱の巫女,炎熱巫女
[1].このカードが炎属性カードによる効果ダメージを受けたとき発動する。デッキからカードを1枚ドローし、自分フィールド上のすべてのモンスターのHPを200回復する。この効果は自分の手札が5枚以下の時にのみ発動できる。\n[2].このカードが効果ダメージによって墓地に送られたとき発動する。このカードを墓地から特殊召喚する。,[1].當自己的手牌在５張以下且這張卡受到炎屬性卡片的效果傷害時發動。抽1張卡，自己場上所有怪獸的HP回復200點。\n[2].當這張卡因為卡片的效果傷害送往墓地時發動。這張卡從墓地特殊召喚到自己場上。
[3].このカードが戦闘で破壊され墓地へ送られたとき発動する。「ラヴァガール」を1体生成して特殊召喚する。,[3].困難以上中，當這張卡因戰鬥而被破壞送往墓地時發動。生成一張「熔岩女孩」特殊召喚到自己場上。
わたしの脚はどうかしら？なかなか奇麗だと思うのだけれど…❤,わたしの脚はどうかしら？なかなか奇麗だと思うのだけれど…❤
ほら、あなたのチンポを膝の裏でしごいてあげる\n❤気持ちよくなりなさい❤,ほら、あなたのチンポを膝の裏でしごいてあげる\n❤気持ちよくなりなさい❤
足裏で挟んであげるわ❤,足裏で挟んであげるわ❤
こうして両足で火でも起こすように、すりすり、すりすり…❤\nふふふ、気持ちよくてゾクゾクしちゃうわよね❤,こうして両足で火でも起こすように、すりすり、すりすり…❤\nふふふ、気持ちよくてゾクゾクしちゃうわよね❤
足でいじめてあげるわ。\nほら、足の指で挟んで上下にシコシコ♪シコシコ♪,足でいじめてあげるわ。\nほら、足の指で挟んで上下にシコシコ♪シコシコ♪
うふふ❤なかなかにリズミカルで気持ちいいでしょ？\nわたし踊りが得意なの♪だからリズムよく扱くのもお手のもの。,うふふ❤なかなかにリズミカルで気持ちいいでしょ？\nわたし踊りが得意なの♪だからリズムよく扱くのもお手のもの。
あなたが気持ちよくなっちゃうリズムもすぐに分かるわ。\nほらほら、シコシコ♪シコシコ♪,あなたが気持ちよくなっちゃうリズムもすぐに分かるわ。\nほらほら、シコシコ♪シコシコ♪
ふとももの間でしごいてあげる❤,ふとももの間でしごいてあげる❤
わたしの体あたたかいから、\nふとももに挟んであげるだけなのに\nセックスしているのと勘違いしちゃう人もいるのよ。,わたしの体あたたかいから、\nふとももに挟んであげるだけなのに\nセックスしているのと勘違いしちゃう人もいるのよ。
ほら、両ふとももでチンポ捕まえて、スリスリ♪スリスリ♪\nぎゅっと押さえ込んでパンパンパン❤\n気持ちいいでしょ？あなたもわたしのふとももに中出ししちゃう？,ほら、両ふとももでチンポ捕まえて、スリスリ♪スリスリ♪\nぎゅっと押さえ込んでパンパンパン❤\n気持ちいいでしょ？あなたもわたしのふとももに中出ししちゃう？
あなたのチンポ、口でくわえてあげる❤,あなたのチンポ、口でくわえてあげる❤
ベール越しになめられるのって興奮しちゃう？\nうっすらとしか見えないのが逆にいいなんて、男って変わっているわ❤,ベール越しになめられるのって興奮しちゃう？\nうっすらとしか見えないのが逆にいいなんて、男って変わっているわ❤
んちゅっ❤ぺろっ、えるっ、えろ…❤\nんふふっ❤我慢しないで口の中に出していいわよ❤,んちゅっ❤ぺろっ、えるっ、えろ…❤\nんふふっ❤我慢しないで口の中に出していいわよ❤
フェラで気持ちよくしてあげるわね❤,フェラで気持ちよくしてあげるわね❤
ほかほかの口まんこで、\nあなたの理性、どろどろに溶かしてあげる❤うふふ❤,ほかほかの口まんこで、\nあなたの理性、どろどろに溶かしてあげる❤うふふ❤
フェラしてあげるわ。あーむ❤,フェラしてあげるわ。あーむ❤
わたし、口があまり大きくないから\n根本まで咥えたりとかは無理なんだけど、\nその分唇の締め付けが強くてきもちいいでしょ？,わたし、口があまり大きくないから\n根本まで咥えたりとかは無理なんだけど、\nその分唇の締め付けが強くてきもちいいでしょ？
この状態で先端をピストンしてあげれば、みんなイっちゃうのよ。\nほら、んっ❤んっ❤じゅるるぅ❤,この状態で先端をピストンしてあげれば、みんなイっちゃうのよ。\nほら、んっ❤んっ❤じゅるるぅ❤
わたしの口でなめてもいい？\nまあ、嫌って言ってもしゃぶっちゃうんだけど❤,わたしの口でなめてもいい？\nまあ、嫌って言ってもしゃぶっちゃうんだけど❤
だいじょうぶよ。舌で亀頭の裏をぺろぺろしてあげているうちに、\nすぐに嫌だなんて思えなくなるから❤\nんふふ、れろーっ❤,だいじょうぶよ。舌で亀頭の裏をぺろぺろしてあげているうちに、\nすぐに嫌だなんて思えなくなるから❤\nんふふ、れろーっ❤
