default
ピンクスライム,粉紅史萊姆
スライムの下級モンスターであり、ステータスは低水準。しかし、彼女たちの粘液には相手を敏感にさせる成分が含まれており、油断するとステータスからは想像できないほどの強い快感を与えられてしまうので注意が必要である。下級モンスターとはいえ、スライムまみれにされた男性器をぐちゅぐちゅにされれば、多くの男はひとたまりもない。,史萊姆中的低階怪獸，能力值也在低水平。但是她的黏液含有使對手肉體變得敏感的成分，不小心沾到的話會產生無法從能力值想像的強大快感，必須小心。就算是低階怪獸，但大多數男性的男性器官被史萊姆完全包覆住的話還是會毫無抵抗能力的被征服。
戦闘時「ぬるぬる」状態を付与。ぬるぬる状態の相手は受ける快感ダメージが倍になる。,交戰時賦予對方「黏稠」狀態。（持有「黏稠」狀態的角色受到的快感傷害翻倍。）
ご主人さまにメロメロみたいだねぇ❤くすくす❤,你已經被主人給魅惑了呢，嗯哼哼❤。
ほらほら、ぬるぬるの手でシコシコしてあげるから、ご主人さまのこと大好きって思いながら気持ちよくなっちゃえ。,那麼我也用黏稠的手掌來手淫你，讓你一邊愛著主人一邊爽起來。
負けたらご主人さまと気持ちいいこといっぱいできるかもよ？ふふっ❤,就這樣輸掉的話說不定就可以跟主人做舒服的事情喔。嗯哼哼❤。
一緒にいる商人さんを守るためにも、カードマスターのあなたが頑張らないとだめなのに・・・❤,為了守護同行的商人，身為卡片玩家的妳不戰鬥不行，但是……❤。
わたしのご主人さまのキスでメロメロ❤くすくす、かっこわるい❤,卻被我的主人的吻給魅惑了。嗯哼哼❤，好遜喔。
ダメなカードマスターくんは、わたしの手で気持ちよくイかせてあげる。,沒用的卡片玩家就該被我的手給幹到射。
スライムハンドでしっかり包み込んで上下にぬちゅぬちゅ❤間抜けなとろけ顔のままイっちゃおうね❤,被史萊姆手掌給整根握住上下手淫，然後一臉變態的射精吧。
わたしのご主人さまにキスされてメロメロ❤いいのかな？あなたのマスターは戦ってほしいみたいだよ？,被我的主人給吻到魅惑了，你這樣子可以嗎？你的主人好像是想要你來戰鬥喔？
くすくす❤わたしにおちんちんを握られてもぜんぜん抵抗できないね。気持ちよくしてほしいよぉって自分から腰動かしちゃうね❤,嗯哼哼❤，但你卻被我握住雞雞後就完全不能抵抗耶。而且還因為想爽結果自己扭腰動起來了。
いいよ❤イかせてあげる❤ほら、手でぎゅって握ってシコシコ、ぬちゅぬちゅ❤,那麼我也來配合你喔，手淫到你射精，嗯哼哼❤。
わたしのご主人さまのキス、そんなによかった？全然体に力が入らなくなっているね❤,我的主人的吻有這麼舒服嗎？讓你爽到完全動不了了呢。
ほら、メロメロなあなたに追加のご褒美。わたしの手でしごいて、頭の中、もっとぐちゃぐちゃにしてあげる❤,來，這是當你被魅惑時會追加的獎勵。被我手淫，腦袋繼續被史萊姆的觸感攪弄吧。
どうしたの？ぽーっとした顔しちゃって、戦わないの？,怎麼了？怎麼呆站著不動，不想打嗎？
その武器は飾りなのかな？くすくす❤魅了されてカッコ悪いね❤,那個武器只是裝飾用的而已嗎？嗯哼哼❤被魅惑的樣子好遜喔。
頭の中とろけてていいよ。わたしが手でたくさんシコシコしてあげるから、,腦袋要被史萊姆攪弄，變得無法思考喔。我也會用這隻手幫你手交，
そのままわたしのマスターに屈しちゃえ❤うふふ❤,就這樣屈服於我的主人吧，嗯哼哼❤。
あは、スライムがついておちんちんぬるぬるになっちゃったね。,啊哈哈❤，被史萊姆纏住的雞雞已經滑溜溜的了。
この状態でシコシコしてあげると、ぬちゅぬちゅして、とってもきもちいいんだよ？腰がガクガクになっちゃうかも❤,這種狀態下被手淫的話，會有黏稠的觸感，那會非常舒服喔。腰がガクガクになっちゃうかも❤
手コキでおちんちんいじめてあげる❤,手淫你雞雞喔。
ぬるぬるおちんちんを何度もぐちゅぐちゅ、シコシコ❤我慢できなくなったら、魔物の食べ物になっちゃうかもだけど…,黏稠的雞雞不斷被我手淫後，就會被搞到忘記戰鬥，只想當魔物的食物。
とっても、とーってもきもちいいから、別にいいよね？ほら、ぐちゅぐちゅー❤,那種感覺真的非常～非常舒服喔！所以沒問題的。嗯哼哼❤被搞到認同我的話了對不對？
ねえねえ、魔物に手でされるのどうかな？きもちいい？,欸欸，被魔物手交的感覺如何？舒服嗎？
マスターのきみがイかされちゃったら、みんな魔物にやられちゃうね。たいへんだね。,身為卡片玩家的擬射精的話，現場的大家都會敗給魔物的喔。那樣很危險耶。
でも、ぬるぬる手コキでおちんちん気持ちよくなっちゃうんだもんね。,但是黏稠手交給雞雞的快感太棒～太棒了沒辦法呢。
くすくす❤腰が浮いてきちゃってる。イっちゃっていいよ❤びゅーって負けちゃおう？,嗯哼哼❤，你的腰爽到抖起來了呢。可以射精喔，用力射出來敗北吧。
おちんちんにスライムのぬるぬるがいっぱいついちゃったね❤滑りがよくなって手コキの気持ちよさが何倍にもなっちゃうよ❤,雞雞已經整根都是史萊姆了，滑溜溜的。在這種狀態下手交時快感會是原來的數倍喔。
ほら、こうやってぎゅって握って上下に、しこしこ❤しーこしこ❤,你可以透過史萊姆清楚看見我現在的手淫動作喔，嗯哼哼❤。
