default
カーバンクル,Carbuncle
EU64_paizuriAnime,
EU64_paizuriFlashAnime,
宝石の精霊のモンスター。宝石を持つものに幸運をもたらすと言われているが、実際は宝石の美しさを増幅させ持ち主に強い幸福感を与えるだけで、何か運勢を好転させる力があるわけではない。人によってはかえって宝石の美しさに魅入られることとなり、彼女との接触が順調だった人生を転落させてしまうきっかけになることもある。,A jewel dwelling spirit monster. It's said the gem brings good fortune to the owner; but in reality the monster only amplifies the gemstone's beauty and gives the owner intense feelings of happiness—it doesn't actually have any power to improve one's luck. Some people become enchanted by the beauty of her gem; causing her appearance to become a catalyst that sends their once-successful lives spiraling into ruin.
\n　額の宝石を使って相手を魅了することができ、それを活かした攻撃が得意。しかし宝石を使わずともその体は扇情的で、柔らかな胸や健やかな足で責められれば並みの男は快楽に喘がされてしまう。彼女にぎゅっと密着された状態で宝石の光と女体の快楽を同時に受ければ、熟練の戦士であろうと敗北は必至である。,She can charm opponents using the gem on her forehead; and is skilled in any attack that utilizes this ability. But even without the use of her gem; her alluring figure is just as seductive; and she is easily able to make the average man gasp in pleasure through the use of her soft breasts and toned legs. Even for a seasoned warrior; if they're being tightly embraced by her while simltaniously being exposed to the pleasures of her body and light of her gem; defeat is usually inevitable.
[1].「ジェム」カードが発動したとき発動する。チャージを+1する。\n[2].１ターンに１度、相手との戦闘開始時、チャージを２つ消費して発動できる。その相手キャラクターに「魅了」を付与する。,[1].When a "Gem" card is activated; gain +1 Charge.\n[2].Once per turn; at the start of battle with an opponent; you may consume 2 Charges to inflict the opposing character with "Charm."
[3].自分の墓地に「ジェム」カードが５種類枚以上ある場合、相手ターン開始時に発動する。自分フィールド上のすべてのモンスターに「次受ける戦闘ダメージまたは効果ダメージを0にする」を付与する。,[3].If there are 5 or more different "Gem" cards in your graveyard at the start of the opponent's turn; you may grant all monsters on your field "Nullify the next combat damage or effect damage received."
相手が魅了またはおっぱいに弱い状態のとき、パイズリ攻撃時に追加ダメージを与えることがある。,If an opponent has "Charm" or "Weak to Breasts"; additional damage may be dealt during titjob attacks.
わたしはカーバンクル、宝石の精霊なの。\nこの額の宝石があなたに幸福をもたらすんだよ。\nほら、見て・・・❤,I'm Carbuncle; a gemstone spirit. This gem on my forehead will bring you happiness. Here; take a look...❤
はうぅ、きれい・・・・❤,Hahh; it's beautiful...❤
くすくす❤光を当てられるだけで、幸せになってきたよね❤\n宝石には人間を惑わす不思議な力がある。\n宝石の魅力に取りつかれて、死ぬまで支配されるの、気持ちいいよ？,*Giggle*❤ Just being caught in the glow of my gem makes you happy; right?❤ Gems have this mysterious power that mesmerizes humans. Being captivated by their charm and led to your demise feels so good; doesn't it?
きらきらキレイな光、それを身に着けた女の子の美しさ♪\nメロメロになっちゃったあなたの体にも、\nたっぷり教えてあげるね❤,The sparkling; beautiful light; and the beauty of the girl wearing it...♪ Now that your body's fallen head-over-heels for me; I'll teach you a thing or two about pleasure; too~❤
あなたにも宝石の魅力を教えてあげるね❤\nこの額の宝石があなたに幸福をもたらすんだよ。\nほら、見て・・・❤,I'll teach you the charm of gems too; okay?❤ This gem on my forehead will bring you happiness! Here; just look...❤
はうぅ・・・・❤,Hahh...❤
くすくす❤あなたも宝石の光の虜だね❤,*Giggle*❤ You're captivated by the gem's light too; aren't you?❤
きらきらキレイな光、それを身に着けた女の子の美しさ♪\n男の子はみんな宝石でうっとりさせてあげる❤,The sparkling beautiful light; and the beauty of the girl wearing it...♪ I'll make sure all you boys are totally mesmerized by my gem~❤
宝石の美しさにあてられて、頭くらくらする？\n地面にへたぁって座りこんじゃったね❤,Awh; is your head getting all dizzy from the beauty of my gem? You've totally plopped yourself on the ground~❤
ほら、隙だらけになったあなたにパイズリご奉仕だよ❤\n今よりもっと、体に力が入らなくしてあげる❤,Here; now that you're all vulnerable; I'll go ahead and give you a titjob!❤ I'll just make your body even weaker than it already is~❤
わたしのおっぱいとってもやわらかいでしょう？\n額の宝石をじっと見ながら、\nおっぱいをゆさゆさされるの気持ちいいねー❤,My breasts are really soft; huh? Having them bounce in your lap while you're staring at my gem like that must feel so good; right?❤
うふふ❤幸福感で動けないあなたに、\nパイズリで追撃してあげる・・・❤\n嫌なら逃げてね？,Ufufu~❤ While you're paralyzed in bliss; I'll follow up with a titjob...❤ If you don't like it; you can just run away; okay?
くす❤マスターなのに逃げないんだ？\n完全に棒立ちだね。もう試合のことどうでもよくなっちゃった？,*Giggle*❤ You're a big cardmaster; but you don't wanna run? You're totally frozen! Have you stopped caring about the match?
ほら❤男の子が大好きなおっぱいだよー❤\nむにゅう～❤,Then here...❤ Enjoy these boobs that boys just love so much!❤ So soft and squishy~❤
くす❤全然逃げようとしないね❤\nおっぱいが近づいてきても、床にへたりこんで、あうあう言うだけ❤\nもう試合のことどうでもよくなっちゃった？,*Giggle*❤ You're not trying to escape at all; are you?❤ Even as I bring my boobs closer; you only let out sad little moans while you're collapsed on the floor~❤ Have you stopped caring about the match?
ずりずり・・・❤たぷたぷ・・・❤\nわたしのおっぱいやわらかいでしょ❤\nふんわりしてて、男の子は簡単に骨抜きになっちゃうの❤,Sliding and rubbing...❤ So bouncy and jiggly...❤ My boobs are so soft; aren't they?❤ They're fluffy; and turn boys into putty in my hands so easily~❤
そのまま射精するまでじっと身を任せちゃおっか。\nおちんちんから谷間の中にびゅーって出すの気持ちいいよ❤\nくす❤想像したら腰が動いちゃうね❤,Why not just stay like this until you cum. Shooting it all out from your dick into my cleavage will feel so good!❤ *Giggle*❤ Your hips moved just imagining it; didn't they?❤
ふふ、そんなにはぁはぁしちゃってどうしたの？\nわたしがぴょんって跳ねるたびに、視線が胸にクギ付けになってる❤\nわたしの胸、柔らかいから、むにゅんって動いてすごくエッチだよね❤,Fufu; why are you panting so much? Every time I bounce my boobs; your gaze gets glued to my chest~❤ My breasts are really soft; so they jiggle in such a sexy way; don't you think?❤
頭の中メロメロにされちゃってるあなたには、\nこんなちょっとの胸揺れでも刺激的すぎるのかなー❤くすくす❤\nねえ、このおっぱいで顔をぺちんって叩いてあげようか❤,For someone like you whose heads gone all lovey-dovey; every little bounce of my chest must be way too stimulating~❤ *Giggle*❤ Hey; should I maybe slap you in the face with them?❤
重～いおっぱいにビンタされれば、\n少しはふわふわした頭が晴れるかもよ❤\n顔の近くまでおっぱいを持ってきて・・・❤,Maybe if you got slapped by my big; heavy breasts; your fuzzy little head will clear up!❤ I'll bring them right up to your face...❤
正気に戻れるかな？それとももっとメロメロになっちゃうかな？\nいっくよー、えい❤ぱちん❤,Will you regain your senses? Or will you end up falling for me even more? Here I go! Hyah!❤ Smack~❤
ねえ、わたしおっぱい大きいでしょ？\nこの胸で気持ちいいことされたい？\n例えばあなたの指を挟んでぇ・・・❤,Hey; my breasts are so big; aren't they? Don't you want them to make you feel good? Like maybe I could trap your finger between them...❤
こうやって、やさしく上下に・・・。\nゆさ、ゆさ・・・❤ずり、ずり・・・♪\nあは、あなたの指がビクンって動いたぁ❤挟まれるの想像しちゃったんだ。,And then I'd gently bounce them up and down... Swaying...❤ And rubbing...♪ Aha; your finger twitched!❤ You just imagined slipping it in; didn't you?
