default
バスティスライム,波霸史萊姆
むちむちで張りのある体をした上級のスライム。胸で相手を虜にすることを得意とする。水質のきれいな湖に生息し、水辺に近づいてきた男性を人間に擬態して捕食する。,肉體豐滿且有彈性的高階史萊姆。擅長以胸部迷倒對手。她生長在水質清澈的湖泊，會擬態成人形捕食靠近河邊的男性。
戦闘時「おっぱいに弱い」を付与する。,交戰時賦予對方「胸部弱點」狀態。
.おっぱいに弱い相手から受けるダメージが半分になる。戦闘時「ぬるぬる」状態を付与する。,困難以上時，此卡受到有「胸部弱點」狀態的角色給予的戰鬥・效果傷害半減。且交戰時賦予對方「黏稠」狀態。
あは、わたしのおっぱい、好きになっちゃった？,嗯？開始愛上人家的奶子了嗎？
さっきよりおっぱいに弱くなっているの丸わかり。\nもっと挟んで気持ちよくしてほしいんだよね❤,你明顯比剛才還要更喜歡胸部了喔。\n還想被夾得更舒服對吧❤。
いいよ❤気持ちいいパイズリ攻撃たっぷりしてあげる❤\nほら、腰をわたしの方に突き出して・・・❤,沒問題喔❤，我可以幫你做舒服的乳交攻擊❤。\n來，把小弟弟朝我的方向伸出來❤。
おっぱいでむぎゅむぎゅしてあげるね・・・❤えい❤,我可以用奶子幫你揉一揉……❤，呀啊❤。
んー？挟んだだけなのに、\nおちんちんがビクビクしちゃっている。\nもしかして、おっぱいのこと大好き？,嗯？我只是夾住而已喔。\n為什麼小弟弟已經想射射了？\n難道說你超喜歡奶子的嗎？
おっぱいに弱いあなたなら、\nふふ、こんなふうにたぷんたぷんってされたら、\nすぐ負けちゃうんじゃない？,如果是超愛奶子的你。\n我光是這樣彈幾下你不就要馬上就要輸了嗎？
あは❤気持ちよさそうな声❤\nそのまま頭の中からっぽにしてていいよ❤\nすぐ終わらせてあげる❤,啊哈❤，你發出好舒服的聲音喔❤。\n你就這樣維持腦袋空空的就行了喔❤。\n我很快就會把事情結束的❤。
ふふ、おっぱいに見とれちゃってるね❤\n戦うのはもうおしまいかな？,嗯哼哼，你看奶子看傻了喔❤。\n你的攻擊已經結束了嗎？
そのままじっとしてて・・・。そうすれば、\nほら、こんなご褒美あげちゃう・・・❤,如果你願意就這樣發呆不動的話……。\n我可以給你這樣的獎勵喔……❤。
たぷんたぷんっておちんちん扱かれて、最高だよね❤\nいいんだよ。そのまま負けちゃっても。,用彈跳的方式來搞小弟弟，是最爽的喔❤\n那感覺很棒喔。要不要在這種方式下敗北呢？
エッチの経験が少ない男の子が、\nこんな気持ちいいパイズリされたら、勝てるわけないもん。\nほら、たくさん出して・・・❤えいえい❤,對於沒什麼做愛經驗的男孩子來說，\n被這種超爽的乳交幹的話，根本不可能贏的。\n來吧，全部射出來……❤，呀啊❤！
男のマスターに従っていても、いいことなんて何もないと思うなー。それに比べてほら・・・。,你在男性玩家底下戰鬥，一點好事也沒有呢。相較之下……。
わたしたちに負けちゃえば、こんな風に気持ちいいパイズリ、してもらえるんだよ❤,如果敗給我們的話，就可以像這樣享受我們超爽的乳交招待喔❤。
おっぱいが大好きなあなたが、死ぬほどしてほしかったパイズリ・・・。たくさんたくさんしてもらえるの❤,讓最喜歡奶子的你享受爽到死的乳交……。讓你一直爽❤一直爽❤喔。
おちんちんが気持ちよくて、もう最高に幸せで・・・❤どっちの方がいいか、考えなくてもわかるよね？うふふ❤,小弟弟能夠爽是世界上最幸福的事情❤，所以哪邊比較好連想都不用想對吧？嗯哼哼❤。
上級モンスターのパイズリだよ❤\nあなたなんてすぐイかせちゃうんだから❤,這可是上級怪獸的乳交喔❤，\n像你這種變態馬上就會射的喔❤。
ほらぁ、むぎゅっておちんちん挟み込んで、\nずりずり、ぐちゅぐちゅ❤\n死んじゃうぐらい気持ちいいでしょ？,開始嘍❤這對大奶子把小弟弟緊緊夾起來。\n上下揉弄，黏液纏繞❤。\n是不是爽得要死啊？
くすくす❤すごーく顔が蕩けちゃってる❤\nおっぱい大好きなんだ❤,嗯哼哼❤發情了呢，一臉呆愣地站著❤。\n你真的超級愛奶子耶❤。
おっぱいが好きなあなたなら、\nこんな大きいおっぱいでいじめてもらえて、うれしいよねー❤\nお口からよだれがでちゃってアヘアへ状態❤,對於你這種超級愛奶子的變態來說，\n被這麼大的奶子給虐的話一定超開心的對不對❤，\n你都嘴巴流口水吊白眼了呢❤。
ぷるんぷるんのスライムおっぱいで、もっとズリズリして\n骨抜きにしてあげる❤\nほらほらほら・・・❤,就讓這個不斷彈動的史萊姆奶子繼續幹你幹到骨頭散掉❤。\n準備好開始爽了嗎？
ほら、とびっきりのおっぱいで挟んで昇天させてあげる❤,來吧，讓這對清澈的奶子把你幹到昇天❤。
わたしのスライムおっぱい、\n張りがあるのにしっとりやわらかで、\nとっても気持ちいいんだよ❤えい❤,我的史萊姆奶子雖然緊實但同時也濕潤且柔軟，\n用來搞小弟弟的時候會非常爽喔❤\n呀啊❤。
どうかな？こんなふうにたぷんたぷんってされるの、\nすごく気持ちいいでしょ？,如何啊？被這樣彈弄的感覺，\n非常爽對不對？
あは❤隠したって無駄。\n気持ちよさそうな声、漏れちゃってるもん。\nそのまま頭の中からっぽにしてていいよ❤すぐ終わらせるから❤,啊哈哈❤你裝不了的。\n你舒服的聲音都叫出來了。\n你就這樣保持腦袋一遍空白吧❤，我會馬上結束你的❤。
うふふ❤抵抗しちゃダメだよ。\nわたしたちにおとなしく食べられちゃおうね。,嗯哼哼❤，不可以抵抗喔。\n只要想著怎樣爽就好，接下來讓我們吃掉就行了。
言うこと聞いてくれたら、\nほら、こんなご褒美あげちゃう・・・❤,只要乖乖聽我的話……，\n就給你像這樣的獎勵喔❤。
たぷんたぷんっておちんちん扱かれて、最高だよね❤\nこんなに気持ちいいんだもん。\nそのまま負けちゃっても仕方ないよ。,用猛烈彈動的乳交搞你的小弟弟，超爽的呢❤。\n這個真的爽得沒辦法。\n輸掉也沒人會怪你。
