default
ミレーヌ,米蓮
モルゲンの街にある人気店「旅人の酒場」のオーナー。子供の時からカードを使う才能にめぐまれ、Dランクまでとんとん拍子でランクアップした経歴を持つ。しかし、魔力の最大量が思ったほど伸びず上級モンスターを出すことができなかったため、Dランクより上に上がることはできずにいる。\n本人も自分なりに諦めがついており、カードマスターとして活躍する道ではなくバーのオーナーとして上手くやっていく道を模索している。使い魔のフェアリーたちを給仕に使った酒場は本人の美貌もあいまって、かなり好評である。\n\n戦法としてはフェアリーを途切れることなく展開し、相手の防御をかいぐぐってプレイヤーを直接攻める戦法が得意。本人の得意技は胸を使った責めで、パイズリのテクは目を見張るものがある。下級モンスターしかいないと油断すれば、あっという間に骨抜きにされてしまうだろう。,モルゲンの街にある人気店「旅人の酒場」のオーナー。子供の時からカードを使う才能にめぐまれ、Dランクまでとんとん拍子でランクアップした経歴を持つ。しかし、魔力の最大量が思ったほど伸びず上級モンスターを出すことができなかったため、Dランクより上に上がることはできずにいる。\n本人も自分なりに諦めがついており、カードマスターとして活躍する道ではなくバーのオーナーとして上手くやっていく道を模索している。使い魔のフェアリーたちを給仕に使った酒場は本人の美貌もあいまって、かなり好評である。\n\n戦法としてはフェアリーを途切れることなく展開し、相手の防御をかいぐぐってプレイヤーを直接攻める戦法が得意。本人の得意技は胸を使った責めで、パイズリのテクは目を見張るものがある。下級モンスターしかいないと油断すれば、あっという間に骨抜きにされてしまうだろう
あら、ルーキーくんじゃない。\nせっかく合ったんだし、試しにバトルでもする？,あら、ルーキーくんじゃない。\nせっかく合ったんだし、試しにバトルでもする？
闘技場では負けちゃったけれど、\n今日はこのおっぱいで、気持ちよく負けさせてあげるわ❤,闘技場では負けちゃったけれど、\n今日はこのおっぱいで、気持ちよく負けさせてあげるわ❤
あら、ルーキーくん、また会ったわね。\n今日もバトルする？,あら、ルーキーくん、また会ったわね。\n今日もバトルする？
強いあなたの胸を借りるつもりで行くわね。\nあら、ちらっと谷間を見てる❤\nあなた的にはわたしのおっぱいを借りたいのかしら。くすくす❤,強いあなたの胸を借りるつもりで行くわね。\nあら、ちらっと谷間を見てる❤\nあなた的にはわたしのおっぱいを借りたいのかしら。くすくす❤
この間みたいにまたわたしが勝っちゃうかもしれないけれど、\n今日はどうかしら。\nさあ、フェアリーちゃんたちで翻弄してあげるわね❤,この間みたいにまたわたしが勝っちゃうかもしれないけれど、\n今日はどうかしら。\nさあ、フェアリーちゃんたちで翻弄してあげるわね❤
うう…、やっぱりルーキーくんは強いわ。\nレベルの低いモンスターたちだけじゃ限界があるのかしら…。,うう…、やっぱりルーキーくんは強いわ。\nレベルの低いモンスターたちだけじゃ限界があるのかしら…。
くす❤気持ちよくなれてよかったわね❤\n男の子だもの、あなたがどれだけ強くても\nおっぱいにたまに負けちゃうこともあるわよね❤,くす❤気持ちよくなれてよかったわね❤\n男の子だもの、あなたがどれだけ強くても\nおっぱいにたまに負けちゃうこともあるわよね❤
前回の戦いから数日後。闘技場への２回目の挑戦だ。,前回の戦いから数日後。闘技場への２回目の挑戦だ。
１戦目はなんとか勝利することができた。今回も頑張るぞ！,１戦目はなんとか勝利することができた。今回も頑張るぞ！
さあ、本日も楽しみな試合がやってきました。\n初戦を勝利で飾った期待のルーキー、{主人公}選手です！\n彼の二戦目のお相手は…。,さあ、本日も楽しみな試合がやってきました。\n初戦を勝利で飾った期待のルーキー、{主人公}選手です！\n彼の二戦目のお相手は…。
モルゲンの人気店、「妖精の酒場」の店長、ミレーヌ選手だ！,モルゲンの人気店、「妖精の酒場」の店長、ミレーヌ選手だ！
はぁい、よろしくね。ボウヤ❤,はぁい、よろしくね。ボウヤ❤
ミレーヌと紹介された対戦相手は僕に向かってにこやかにあいさつをした。そしてすぐに左右を向くと、観客に向かって大きく手を振った。,ミレーヌと紹介された対戦相手は僕に向かってにこやかにあいさつをした。そしてすぐに左右を向くと、観客に向かって大きく手を振った。
観客たちは彼女に応えて歓声をあげている。人気のある選手のようだ。,観客たちは彼女に応えて歓声をあげている。人気のある選手のようだ。
ぴょこぴょこと飛び跳ねながら手を振っている彼女の姿は、胸が大きく揺れて扇情的で、ちょっと目のやり場に困ってしまう。,ぴょこぴょこと飛び跳ねながら手を振っている彼女の姿は、胸が大きく揺れて扇情的で、ちょっと目のやり場に困ってしまう。
ミレーヌ選手はDランクながらギルドの仕事はあくまで副業、\nメインは酒場のオーナーです。,ミレーヌ選手はDランクながらギルドの仕事はあくまで副業、\nメインは酒場のオーナーです。
彼女が勝利したあとはいつも酒場で割引サービスが行われますが\n今回はどうなるのでしょうか。\n酒場の行きつけの方からの注目度も高い試合です！,彼女が勝利したあとはいつも酒場で割引サービスが行われますが\n今回はどうなるのでしょうか。\n酒場の行きつけの方からの注目度も高い試合です！
{主人公}くんっていうのね。\nわたしはミレーヌ。\nあなたとても強いらしいじゃない。お手柔らかにお願いするわ。,{主人公}くんっていうのね。\nわたしはミレーヌ。\nあなたとても強いらしいじゃない。お手柔らかにお願いするわ。
わたしが試合に出るのはお店の宣伝のため・・・\nだから勝っても負けても別にいいんだけど、\nせっかくなら勝った方が盛り上がるわよね。,わたしが試合に出るのはお店の宣伝のため・・・\nだから勝っても負けても別にいいんだけど、\nせっかくなら勝った方が盛り上がるわよね。
新人ってことはまだまだうぶなんでしょ？\nフェアリーちゃんたちとわたしのおっぱいで気持ちよくイかせてあげる❤,新人ってことはまだまだうぶなんでしょ？\nフェアリーちゃんたちとわたしのおっぱいで気持ちよくイかせてあげる❤
あら、うふふ…❤\nそんなにおっぱいが気になるんだ❤,あら、うふふ…❤\nそんなにおっぱいが気になるんだ❤
・・・!,・・・!
