default
行商人の娘,行商人の娘
行商人の子供の女の子。お父さんのことが大好き。遠くの村に行商に行ってから父親が全然自分にかまってくれなくなり寂しい思いをしていた。ある日、父親が持つサキュバスカードを偶然手に取り、そこから徐々にサキュバス化が始まる。性知識はないが手を握っているとお父さんが自分に夢中になってくれることに気づき、手を握って弄ぶようになる。次第にサキュバスとしての飢えを感じるようになり強い魔力を求めて主人公に狙いを定めた。ただし計算づくで行動しているわけではなく、本能に引かれるままなんとなく「おいしそう」な感じがする主人公に声をかけただけである。,行商人の子供の女の子。お父さんのことが大好き。遠くの村に行商に行ってから父親が全然自分にかまってくれなくなり寂しい思いをしていた。ある日、父親が持つサキュバスカードを偶然手に取り、そこから徐々にサキュバス化が始まる。性知識はないが手を握っているとお父さんが自分に夢中になってくれることに気づき、手を握って弄ぶようになる。次第にサキュバスとしての飢えを感じるようになり強い魔力を求めて主人公に狙いを定めた。ただし計算づくで行動しているわけではなく、本能に引かれるままなんとなく「おいしそう」な感じがする主人公に声をかけただけである。
さいきんねー、なんだかお父さんの様子がおかしいの。\nわたしのお父さん行商人なんだけど、遠くの村に仕入れに行ってから\nなんだかへんになっちゃって・・・。,さいきんねー、なんだかお父さんの様子がおかしいの。\nわたしのお父さん行商人なんだけど、遠くの村に仕入れに行ってから\nなんだかへんになっちゃって・・・。
おうちにいてもずっとぼーっとしててね、\nなにか思い出しながら口をぽかんって開けてにやにやしてるの。\nどうしちゃったのかな。,おうちにいてもずっとぼーっとしててね、\nなにか思い出しながら口をぽかんって開けてにやにやしてるの。\nどうしちゃったのかな。
お医者さんに診てもらってもどこもおかしくないって言うし。\nあんまり心配してたら闘技場でも見とけって追い出されちゃった。\nうーん、心配だよ・・・。,お医者さんに診てもらってもどこもおかしくないって言うし。\nあんまり心配してたら闘技場でも見とけって追い出されちゃった。\nうーん、心配だよ・・・。
闘技場のすみでちょこんと座っている女の子が僕の方をじーっと見ている。,闘技場のすみでちょこんと座っている女の子が僕の方をじーっと見ている。
気になってこちらも見返すと、僕に向かって手招きをしてきた。僕は彼女に近づいてみることにした。,気になってこちらも見返すと、僕に向かって手招きをしてきた。僕は彼女に近づいてみることにした。
ねーねー、おにいさんってすごく強いマスターさんだよね。\nおにいさんにちょっと聞いてほしいことがあるの。,ねーねー、おにいさんってすごく強いマスターさんだよね。\nおにいさんにちょっと聞いてほしいことがあるの。
あのね、あのね。わたし最近体がすごく熱くなるんだ。\nこれって病気なのかな？ほら、さわってみて・・・？,あのね、あのね。わたし最近体がすごく熱くなるんだ。\nこれって病気なのかな？ほら、さわってみて・・・？
そう言って目の前の女の子は僕に手を握らせてきた。確かに普通の子供の手よりもなんだか温かいような気がする。,そう言って目の前の女の子は僕に手を握らせてきた。確かに普通の子供の手よりもなんだか温かいような気がする。
だがそれだけではないような、なにか触っているだけで心地よくなるような不思議な感じがする。なんだろう、きもちいい・・・❤,だがそれだけではないような、なにか触っているだけで心地よくなるような不思議な感じがする。なんだろう、きもちいい・・・❤
