default
お嬢様サキュバス,千金魅魔
[1].このカードが場に出たとき発動する。デッキからこのカード名以外の「サキュバス」モンスターをランダムに１枚手札に加える。\n[2].このカードは相手プレイヤーに直接攻撃できる。自分フィールド上に「{%%10060}」以外のモンスターがいる限り、相手はこのモンスターを攻撃対象に選択できない。,[1].這張卡出場時發動。從牌組隨機將１張與此卡同名以外的「魅魔」怪獸加入手牌。\n[2].這張卡可以直接攻擊對手玩家。當自己場上有「千金魅魔」以外的怪獸存在時，對手不可以將此怪獸作為攻擊對象。
魅了状態のモンスターとの戦闘後、「身代わり」を付与する。,與有「魅惑」狀態怪獸交戰後，賦予對方「擋箭牌」。
あら❤理性が弱いのね。所詮は庶民ということかしら。\nわたしのマスターの胸、そんなに見つめてバカみたい❤,あら❤理性が弱いのね。所詮は庶民ということかしら。\nわたしのマスターの胸、そんなに見つめてバカみたい❤
アナタがおっぱいに見とれている間に、\n遠くからペニスをいじめさせてもらうわ。\n好きなだけアホ面さらしておっぱい見てなさい❤,アナタがおっぱいに見とれている間に、\n遠くからペニスをいじめさせてもらうわ。\n好きなだけアホ面さらしておっぱい見てなさい❤
クス❤手の中ですごく固くなってる。\nほんの数回しごいただけよ❤\nもうイきそうなんだ？早漏❤,クス❤手の中ですごく固くなってる。\nほんの数回しごいただけよ❤\nもうイきそうなんだ？早漏❤
とどめ刺してあげるわ❤\nわたしの小さい手で、カリ首の裏を、\nほら、細かくシコシコシコシコ❤耐えられないでしょ？イ・ケ❤,とどめ刺してあげるわ❤\nわたしの小さい手で、カリ首の裏を、\nほら、細かくシコシコシコシコ❤耐えられないでしょ？イ・ケ❤
くす❤マスターに見限られてかわいそう❤\nあなたのマスターは、あなたのことより大きなおっぱいが大事みたいよ❤,くす❤マスターに見限られてかわいそう❤\nあなたのマスターは、あなたのことより大きなおっぱいが大事みたいよ❤
呆然として隙だらけね。\nこの隙に、あなたの下半身を術で呼び寄せてっと・・・❤,呆然として隙だらけね。\nこの隙に、あなたの下半身を術で呼び寄せてっと・・・❤
ほら、シコシコシコ♪シコシコシコ❤\nこうなったらもう抵抗できないわ。\n下半身を捕らえられて、一方的にされるがまま❤,ほら、シコシコシコ♪シコシコシコ❤\nこうなったらもう抵抗できないわ。\n下半身を捕らえられて、一方的にされるがまま❤
攻撃の命令を途中で止めるマスターが悪いのよ。\nあなたは悪くないわ。\nだから、責任を感じず、わたしの手に屈服していいの❤,攻撃の命令を途中で止めるマスターが悪いのよ。\nあなたは悪くないわ。\nだから、責任を感じず、わたしの手に屈服していいの❤
小さな女の子の、非力な手なんかに、\nつよーい男が屈服していいの。\nくす❤下半身は正直ね。わたしに服従できることを喜んでる❤,小さな女の子の、非力な手なんかに、\nつよーい男が屈服していいの。\nくす❤下半身は正直ね。わたしに服従できることを喜んでる❤
さ、果てなさい❤\n最後は指で裏筋を、\nつーっと❤撫でて、はい、終わり❤,さ、果てなさい❤\n最後は指で裏筋を、\nつーっと❤撫でて、はい、終わり❤
敵マスターのあなたに、わたしの魔術を見せてあげる。\nさあ、ゲートよ開きなさい❤,敵マスターのあなたに、わたしの魔術を見せてあげる。\nさあ、ゲートよ開きなさい❤
あなたの下半身をここに呼び寄せたわ。\nあは、自分の体が光に包まれて変な感じがする？\nそんなの気にしなくていいわよ。だって・・・。,あなたの下半身をここに呼び寄せたわ。\nあは、自分の体が光に包まれて変な感じがする？\nそんなの気にしなくていいわよ。だって・・・。
こうやって扱いてあげれば、\nゲートに体を入れた感じなんてどうでもよくなるでしょう？\nシコシコ❤シコシコ❤ほら、気持ちよくて腰が浮いてきた❤,こうやって扱いてあげれば、\nゲートに体を入れた感じなんてどうでもよくなるでしょう？\nシコシコ❤シコシコ❤ほら、気持ちよくて腰が浮いてきた❤
守りのモンスターが何体いても関係ない。\nわたしはあなたを一方的に攻撃できるの。\nほら、エナジーをわたしに献上しなさい❤シコシコシコシコ❤,守りのモンスターが何体いても関係ない。\nわたしはあなたを一方的に攻撃できるの。\nほら、エナジーをわたしに献上しなさい❤シコシコシコシコ❤
守りを固めても無駄よ。\nゲートを使って、あなたのチンポをこちらへ招けばいいんだから♪,守りを固めても無駄よ。\nゲートを使って、あなたのチンポをこちらへ招けばいいんだから♪
平民が、貴族のもとに自ら来るのは当然のことよね。\nわたしは一歩も動かずに、\nチンポだけご案内。さあ、扱いて気持ちよくしてあげる❤,平民が、貴族のもとに自ら来るのは当然のことよね。\nわたしは一歩も動かずに、\nチンポだけご案内。さあ、扱いて気持ちよくしてあげる❤
あら、武器を構えちゃてこわい❤\nでも、そんなの無意味だわ。ほら・・・❤,あら、武器を構えちゃてこわい❤\nでも、そんなの無意味だわ。ほら・・・❤
下半身だけこちらに召喚❤\nさあ、無防備な平民チンポ、\nわたしが扱いて一方的に搾取してあげる❤,下半身だけこちらに召喚❤\nさあ、無防備な平民チンポ、\nわたしが扱いて一方的に搾取してあげる❤
あら、もう戦う気力を失って棒立ちなのね。\nそれならぞんざいに搾り取ってあげるわ。\n足であなたのおちんちんを踏みつけてっと❤,あら、もう戦う気力を失って棒立ちなのね。\nそれならぞんざいに搾り取ってあげるわ。\n足であなたのおちんちんを踏みつけてっと❤
まるで虫でも踏みつぶすみたいに、ぐりぐりぐり❤\nあは、喘ぎ声あげちゃって、こんな風にされるのがうれしいんだ❤\nこのロリコンマゾ❤,まるで虫でも踏みつぶすみたいに、ぐりぐりぐり❤\nあは、喘ぎ声あげちゃって、こんな風にされるのがうれしいんだ❤\nこのロリコンマゾ❤
ぷぷ、あんあん、あんあん女みたいに喘いじゃって、カッコ悪い❤\nほら、ロリコンマゾ❤わたしの高貴な足に屈服なさい❤\n命を吐き出すまで踏みにじってあげるわ❤,ぷぷ、あんあん、あんあん女みたいに喘いじゃって、カッコ悪い❤\nほら、ロリコンマゾ❤わたしの高貴な足に屈服なさい❤\n命を吐き出すまで踏みにじってあげるわ❤
平民は近寄らないで。\nそれ以上来るなら、えいっ❤\n足で踏んで痛い目を見せてあげる❤,平民は近寄らないで。\nそれ以上来るなら、えいっ❤\n足で踏んで痛い目を見せてあげる❤
