default
怪盗サキュバス,Phantom Thief Succubus
EU70_handJobAnime,
EU70_handJobWithKissAnime,
EU70_bustShakeAnime,
卓越した盗みの技術を持つサキュバス。人の認知を操り、認識されない状態であらゆる場所に忍び込むことができる。十分に警戒していたはずでも、気が付くと彼女に密着され濃厚なキスを浴びせられ、たいていの場合、そのまま骨抜きにされてしまう。彼女の攻撃を一切受けずに戦うことは困難であり、もし彼女に勝つことを望むなら、サキュバスの甘い快楽攻撃を受けてもそれを振り払える強い精神力が必要である。,A succubus with exceptional thieving skills capable of manipulating people's perception and able to infiltrate any location without being detected. No matter how alert you believe yourself to be; before you know it she'll be pressed up against you—her lips against yours—making out with you in deep passionate kisses. In most cases you'll end up completely under her spell. Avoiding her attacks while fighting her often proves difficult; and if you want any hope of defeating her; you'll need strong mental fortitude in order to shake off her skilled pleasure attacks.
\n　彼女は特にキスが得意で、快楽に流されまいと固く口を閉じて身を守っても、舌でいつの間にか唇の中に侵入され、心をからめとるような舌遣いで脳を一瞬で蕩けさせてくる。あまりの気持ちよさに唇が離れたあとも彼女の顔をうっとりと眺めることしかできなくなれば、あとは顔中にキスマークをまぶされ、心の深いところまで魅了されてしまうだろう。そうなれば最後、二度と魅了を解くことはできず、あとは彼女の所有物としてその後の一生を過ごすことになるのである。,She's particularly skilled at kissing; and though you may try to seal your lips shut to avoid being swept away by her pleasures; no matter how you defend yourself; her tongue will always somehow slip past; allowing her to instantly melt your mind with her seductive and heart-captivating techniques. Should it ever reach the point where you feel so good you're unable to do anything but gaze dreamily at her face whenever her lips part; she'll pepper you with kisses; leaving her lipstick all over your face and charming you to the very depths of your soul. Once that happens; you will never recover from being charmed by her; and you'll spend the rest of your life as her plaything.
[1].このカードは「隠密」「ステルス」を持つ。このカードは相手プレイヤーに直接攻撃できる。,[1]. This card has "Stealth" and "Concealment." This card can attack the opposing player directly.
[2].このカードが相手プレイヤーに戦闘ダメージを与えたとき発動する。与えたダメージの分だけ自分プレイヤーのLPを回復する。,[2]. Whenever this card deals combat damage to an opponent player; recover LP equal to the damage dealt.
(ハード以上の場合、さらにデッキからトラップカードをランダムに１枚手札に加える),(On Hard difficulty; when this effect is triggered; also add 1 random trap card from your deck to your hand)
[3].このカードが破壊され墓地へ送られたとき発動する。「怪盗の挑戦状」を1枚生成し手札に加える。,[3]. When this card is destroyed and sent to the graveyard; create 1 "Phantom Thief's Challenge" and add it to your hand.
あなたの大事なエナジー、すぐにでも盗んであげる❤\nほら、グローブを亀頭にかぶせて・・・❤くる、くる❤シコ、シコ❤\n扱かれながら先っぽをこねこねされるの、たまらないでしょ？,I'll steal your precious energy in a flash~❤ Look; I'll start by slipping my glove over the head of your cock...❤ Twist; twist~❤ Stroke; stroke~❤ It's hard to hold it in when I pump your dick while kneading the tip at the same time; isn't it?
あは、いい表情❤その反応、大好きよ❤\nかっこいい顔をしてた男の子が、手の平をくるくる回されただけで、\n喘いでビクビクすることしかできなくなるの…❤楽しいと思わない？,Aha; what a nice expression.❤ I love that reaction~❤ A handsome boy can put on a cool face all he wants; but as I swirl my palm around him like this; all he can do is moan and twitch...❤ Rather pleasant; don't you think?
ふふ、される側からしたら「楽しい」なんて軽いものじゃ済まない\nかしら。あへあへ声をあげて、腰をビクンビクンって跳ねさせて❤\nもうイきたい？イっていいわよ❤ほら、シコ、シコ❤,Fufu; though I suppose on the receiving end; "pleasant" doesn't really cover just how intense it feels; does it? Making those pathetic sounds; your hips jerking and bouncing like that...❤ Do you want to cum already? Then go on; do it.❤ Come on; stroke; stroke~❤
あら、踏まれて喜んでる。\nあなたマゾなのね❤,Oh my; you're actually enjoying being stepped on! You're quite the masochist; aren't you?❤
マゾは簡単でいいわ❤\n優しい言葉をかけなくても、心の防御が最初から隙だらけ、\nちょっといじめてあげればすぐ虜になるんだもの❤,Masochists are so easy to handle~❤ I don't even need to pretend to be nice to them. Their mental defenses are so full of holes from the start; I just need to tease them a little and they become completely captivated right away.❤
ね❤あなたもこうやって足でぐりぐり踏まれて、\n心の扉をこじ開けられたいんでしょ？\n無理やり虜にして、わたしにエナジー貢ぐだけの存在にしてあげる❤,Hey~❤ You want to me rub your penis under my foot just like this; and open the gates to your heart as well; don't you? I'll force you into captivation and make you into someone who only exists to offer me energy~❤
この服を着ていると、\nへそを見ちゃう人とおっぱいを見ちゃう人に分かれるの。\nふふ、あなたはおっぱいばかり見ているわね❤,When I wear this outfit; people seem to get split between two types—those who look at my navel; and those who look at my breasts. Fufu; you're only looking at my breasts; aren't you?❤
味方の守りをかいぐぐられて、自分自身がピンチだというのに、\nずいぶん呑気❤マスターくんはおっぱいに夢中で\nそんなことどうでもいいのかしら？くすくす❤,Even though your allies' defenses have been breached and you're in grave danger yourself; you seem rather untroubled~❤ Perhaps you're so focused on my breasts that such things no longer concern you? *Giggle*❤
女のおっぱいがそんなに好きなら\nほら、服の下からあなたのチンポ入れて、\nたっぷり挟んであげる❤,If you love women's breasts that much; here. I'll slip your cock under my clothes and squeeze it tightly between them~❤
女の子のおっぱいが好きなの？\nそれなら、ほら、服の下からあなたのチンポ入れて、\nたっぷり挟んであげる❤,Do you like girls' breasts? Then here. I'll slip your cock under my clothes and squeeze it tightly between them~❤
服でぎゅっとしめつけられて、チンポ幸せでしょう？\nここは甘い快楽の牢屋❤チンポを捕まえられたらもう逃げられない❤\nたぱんたぱんって優しく揺らすだけで、頭の中まっしろ❤,Is your cock happy to be trapped under my clothes? It's like a sweet prison of pleasure.❤ Once your penis is caught like this; you have no hope of escape.❤ All I have to do is gently bounce my breasts like this; and your head will go completely blank~❤
ふふ、あなたの方が怪盗に捕まえられるなんてあべこべね❤\nあなたの心もエナジーも、全部わたしのおっぱいで奪ってあげる❤,Fufu; a virtuous man; captured by a phantom thief... Rather ironic; don't you think?❤ I'll use my breasts to steal everything from you—your heart and your energy~❤
どれだけ守りのカードを並べても無駄よ？\nわたしの動きは変幻自在。敵の守りを抜けることなんてたやすいわ。\nこうやって一気に接近して・・・❤,Don't you see? It doesn't matter how many defensive cards you line up. My movements are ever-changing. Slipping past enemy defenses is child's play to me. Before you know it; we'll be pressed up against each other like so...❤
相手マスターを胸に埋めてしまうことだって簡単ね❤\nむに、むに❤ぱふぱふ❤\nお姉さんのおっぱいは気持ちいい？くすくす❤,Burying the opposing master's face in my chest is such a simple task.❤ Squish; squish~❤ Puff-puff~❤ Don't my breasts feel amazing? *Giggle*❤
仲間のことなんて忘れていいのよ❤\nやわらかぁい胸の感触におぼれて、ただおっぱいに甘えればいいの❤\n分かったかしら、マスターのぼうや❤,It's okay; forget all about your allies~❤ Just sink into the embrace of my soft breasts; and let me pamper you properly.❤ Doesn't that sound nice; master boy?❤
相手の視線を誘導するのは盗みの基本よね。\nおっぱいを両手で持ち上げて、ゆさってすれば、\nほら、あなたも視線が釘付け❤,Being able to redirect your opponent’s focus is a basic part of thievery. If I lift my breasts with both hands and shake them like this... See? I can divert your attention, too~❤
この隙に持ち物を盗むのが常套手段だけど、\nわたしが今欲しいのはあなたのエナジーだし、そうね、\nおっぱい揺らしながらチンポをいじめてあげればいいのかしら。,Taking advantage of this opening to steal belongings is pretty standard practice; but what I want right now is your energy; so perhaps I should tease your cock while bouncing my breasts instead.
顔の前でわざとらしく胸を揺らして…❤頭バカになっている間に、\n膝でぐりぐり❤ぐりぐり❤\nふふ、効果てきめんみたい❤とってもアホ面よ、あなた。くすくす❤,First; I'll make a display of shaking my chest in front of your face...❤ Then; as your head goes stupid; I'll grind my knee against your crotch.❤ Grind; grind~❤ Fufu; looks like it's extra effective.❤ You look completely idiotic. *Giggle*❤
んっちゅ…❤キスをしながら、扱かれると、\nとても幸せな気分になるでしょう？\nふふ、実際はただエナジーを奪い取られようとしているだけなのに❤,Mmchu...❤ Being kissed and stroked at the same time just makes you feel so loved; doesn't it? Fufu; when in reality you're about to have your energy stolen~❤
唇が触れ合うだけで、脳が恋人と勘違いしちゃう❤\nチンポ触られただけで、好きって感情があふれてきちゃう❤\n人間ってほんと単純❤んっ、ちゅっ❤しこ、しこ・・・❤,Something as simple as our lips touching causes your mind mistake me for a lover.❤ Just having your cock touched makes feelings of romance flood through you.❤ Humans really are so simple.❤ Mm; chu~❤ Stroke; stroke...❤
あら、わたしに気持ちよくしてほしいの？\nふふ、自分からエナジー盗んでくださいって頼んじゃうなんて、\n悪い子ね❤,Oh my; do you want me to make you feel good? Fufu; asking me to steal your energy all by yourself... You're such a bad boy~❤
悪いサキュバスとのバトルで、\n他の人間たち命もかかっていて、\nそんな場面でもその下半身のうずきを我慢できなかったのでしょう？,You're battling with an evil succubus; with other humans' lives at stake. Even in a situation like this; you couldn't refuse the call of your cock; could you?
くすくす❤いいわ❤\nその浅ましい欲望に付き合ってあげる❤\nわたしに責められてどれぐらいで出してしまかしらね❤,*Giggle*❤ Alright.❤ I'll indulge that shameless desire of yours~❤ I wonder... Just how quickly will you cum once I start teasing you?❤
うふふ❤手袋にこんなにかけて、\nわたしの手さばきですぐ骨抜きになってしまったわね❤,Ufufu~❤ You shot so much out onto my glove. My handiwork must've put you completely under my spell~❤
あん❤谷間が熱い❤\nどろどろの濃いエナジーが溶けだしてるわ❤\nあなたの裏切りのおかげで体力も全回復ね❤,Ahn~❤ My cleavage feels so hot!❤ Your thick; gooey energy is spilling out all over my breasts~❤ Thanks to your betrayal; my health is fully recovered.❤
くす❤やはり男はこうやって胸に顔埋めると、\n我慢できずに漏らすように射精してしまうのね❤,*Giggle*❤ As expected; when a man buries their face between my tits; they can't help be leak everything out~❤
大事な命をこんなに簡単に盗まれて、\nずいぶんと脆弱なセキュリティしているわ❤\nおっぱいさえ当てていればいいんですもの❤くすくす❤,To have your own precious lifeforce stolen so easily... You have some real holes in your security~❤ All I needed to do was press my breasts against you~❤ *Giggle*❤
あらあら、足裏をこんなに汚して、\nやっぱりマゾは踏んであげるのに限るわね。\n雑に刺激してあげるだけで一番簡単に射精させられるわ❤,Oh dear; you got the sole of my foot all dirty. Just as I thought; there's nothing quite like stepping on a masochist. A little rough stimulation is the easiest way to make them ejaculate~❤
あっ、ああっ・・・❤,Ahh; ahhh...❤
あら、モンスターがわたしを見ながらオナニーをしてるわ❤\nくす、マスターばっかり狙って攻撃するから、\nうらやましくなってしまったのかしら❤,Oh my; one of my opponent's monsters is staring at me and touching himself.❤ *Giggle* Since I keep targeting and teasing his master; he must've gotten jealous.❤
あなたもわたしにエナジーを盗んでほしいの？\nそれなら、ほら・・・❤,Do you want me to steal your energy; too? Then; come here...❤
わたしのキスをほっぺにプレゼントしてあげる❤\nんっ・・・ちゅっ❤,I'll give you a little present—a kiss on the cheek.❤ Mm...chu~❤
はひぃっ・・・❤,Hahhh...❤
くす、ほっぺにキスされただけでイっちゃった❤\nキスマークをべっとり付けられたのが、\nよほど気持ちよかったみたいね❤,*Giggle* You came from just a kiss on the cheek.❤ Having a lipstick mark plastered on your cheek must have felt really good~❤
こんなに簡単だと盗み甲斐もないわ❤\nもう少し理性を強くして、心の扉をきっちり閉めてくれた方が、\nお姉さん楽しいかも。くすくす❤,If it's this easy; there's really no challenge in stealing.❤ It'd probably be more fun for me if you strengthened your resolve a bit more and kept the doors to your heart closed a little tighter. *Giggle*❤
あら、盗みに行くまでもなく、\nマスターくんの方からエナジーを差し出してくれるの？\nうふふ❤いつの間にかあなたの心を盗み終わっていたみたい❤,Oh my; it seems there's no need to steal anything—the cardmaster is offering me his energy all on his own. Ufufu~❤ I guess that means I've already stolen your heart.❤
わたしを熱っぽい目で見て「好き、好き」ってうわごとを言いながら、\nチンポをしこしこ❤しこしこ❤\n敵のことを好きになってしまうなんて悪い子ね❤,You're looking at me with so much passion in your eyes and; muttering "I love you" over and over while stroking your cock.❤ Stroke; stroke~❤ Falling in love with your enemy... You're such a bad boy~❤
わたしの虜になってしまったマスターくんに、\n気持ちいいご褒美よ❤\n濃厚なキスで何もかも吸い取ってあげる❤,Well then; here's a pleasurable reward for the cute little master who's already become completely captivated by me.❤ I'll drain everything from you with one. Deep. Kiss~❤
エナジーだけじゃなくて、魂ごとわたしに吸われてしまいなさい❤\nんっ・・・ちゅっ❤,But I want more than just your energy. Allow me to suck out your very soul.❤ Mmm... Chuu~❤
あひっ、ああっ・・・❤❤,Ahh; aahhh...❤❤
ふふ❤キスして少し舌を入れただけなのに、もうおしまいだなんて。\nそんなにビクビク大量に射精したら、あっという間に干からびちゃうわよ？,Fufu~❤ All I did was kiss you;—slip my tongue in just a little—and you finished already? If you cum so so much so vigorously; aren't you worried you'll shrivel away in no time?
せっかく死ぬのならもう少し我慢すればいいのに。\n好きなお姉さんにねっとりキスされたら、\n男の子じゃ耐えられないか❤,If you're going to die anyway; you really should have held out a bit longer. But I suppose when a boy gets kissed so passionately by the person he loves the most he just can't help it; can he?❤
ほら餞別代りにもう一度キスをしてあげる❤\nわたしの唇、死ぬ前に味わいなさい❤んっちゅ❤,Oh well. As a farewell gift; I'll give you one more kiss.❤ One last taste of my lips before you die.❤ Mmmchu~❤
あら、あなたも自分からわたしに盗まれに来ちゃうの？\nわたし人から与えられるより自分で盗みに行く方が好きなのだけど❤,Oh my, you're coming to let me rob you of your own accord? I really prefer stealing things myself rather than having them given to me; you know.❤
まあいいわ❤あなたのエナジーもサクっと奪いとってあげる❤\nしこしこ一生懸命しごいてるあなたのほっぺに・・・❤,Though; I suppose this is fine; too.❤ I'll quickly steal your energy as well~❤ I'll just place a kiss on your cheek while you're stroking yourself so desperatly...❤
怪盗からのキスマーク❤\nべっとりつけられて、その命ごとわたしのものになりなさい❤\nんっ・・・ちゅ❤,A gentle mark from the phantom thief.❤ Let it wash over you; and allow your very life to become mine.❤ Mmm... Chu~❤
くす、ほっぺにキスされただけであなたも陥落ね❤\nもう少し我慢して、抵抗してくれた方が堕とし甲斐もあるのに❤\nチョロい男の子ばっかりで残念だわ❤,*Giggle* I can see I've convinced you too; and all it took was just a kiss on the cheek~❤ Though it would be more satisfying if you had resisted a bit longer...❤ All you boys are so easy; it's kind of disappointing~❤
エナジーはありがたくもらっておくけど、\n他の子たちはもう少し頑張ってほしいわね❤\nくすくす♪,While I'll gratefully accept the energy you're giving me; I really do hope the other boys will try a little bit harder~❤ *Giggle*♪
せっかく死ぬのならもう少し我慢すればいいのに。\nんふふ、好きなお姉さんにねっとりキスされたら、\n男の子じゃ耐えられないか❤,If you're going to die anyway; you really should have held out a bit longer. Nfufu; but I suppose when a boy gets kissed so passionately by the person he loves the most he just can't help it; can he?❤
うそ、驚いた。わたしのいる場所に的確に攻撃を当ててくるだなんて。\nあなた何か特殊な能力でも持っているのかしら。,Wow; I'm impressed. To think you could manage to land your hits on me so accurately. Perhaps you have some kind of special skill...?
たまにいるのよね、異様に勘が鋭いというか、\nわたしの変装や潜伏が通用しない人。\nでもそういう相手に追い詰められたとき取る手は決まっているの❤,I run into people like that from time to time. Ones with unusually sharp instincts; people my disguises and stealth just don't seem to work on. But whenever I'm cornered by an opponent like that; there's a special move I have for just the occasion~❤
わたしのことが見えるのなら、ほら・・・❤\nしっかり見せつけてあげる❤,If you can see me; then look at this...❤ I'll give you good view of everything~❤
