default
ロリ巨乳バニー,Shortstack Bunny
EU52_paizuriAnime,
EU52_paizuriAnime2,
小さな体に大きな胸を実らせたバニーガールのモンスター。おっぱいに大して興味がないロリコン相手でも、彼女のご奉仕を受けると重度のおっぱいフェチになってしまうという。,A bunny girl with a small body and large breasts. It's rumored that even men with no interest in large breasts become obsessed with them after receiving her services.
[1].１ターンに１度、発動できる。コイントスを行う。表が出た場合、相手プレイヤーに自身の攻撃力分のダメージを与え、「おっぱいに弱い」を付与する。,One per turn; you may activate this ability and flip a coin. If it lands on heads; this monster deals damage equal to its attack power to the opponent and inflicts the "Weak to Breasts" status.
[2].このカードは「おっぱいに弱い」相手から反撃されない。,This card cannot be countered by opponents with "Weak to Breasts."
あはん❤前のターンは攻撃しないでいてくれてありがとうございます❤\nマスターさん、とってもやさしいんですね❤,Aha~❤ Thank you for not attacking on the previous turn; Master~❤ You're so kind~❤
うれしいので投げキスのサービスしてあげます❤\nんっちゅ❤\nハートを飛ばしてあげるので気持ちよくなってください❤,I'm so happy that I'll blow you a kiss; free of charge~❤ Mwah~❤ I'll send you my love; so please enjoy it~❤
あっ、ああっ・・・❤だめぇ❤,Ah, ahh...❤ No...❤
あん❤すごい勢いで射精しちゃってます❤\nまさか投げキスだけでびゅるるぅって出しちゃうなんて、\nわたしのことそんなに好きだったんですか？,Ah~❤ You're cumming so much~❤ I can't believe you came just from me blowing you a kiss. Do you really like me that much?
おっぱい以外で負けてくれるなんて、\nふふ、ちょっとうれしいです❤\nでも寂しいでしょうから、お顔を最後に、ぱふぱふぱふ❤,I'm a little happy I was able to beat you with something other than my boobs~❤ But since you missed out; let's end with a puff-puff~❤
はへぇ、あひぃ・・・❤❤,Hah, ahh...❤❤
くすくす❤気持ちよすぎて崩れ落ちちゃいました❤\n骨抜きになっちゃいましたね❤\nロリコンのマスターさん❤,Giggle~❤ It felt so good that I you've gone all wobbly~❤ You've completely fallen for my charms~❤ Lolicon Master~❤
はひぃっ❤あううぅ・・・❤すきぃ・・・❤,Ah...❤ Oh...❤ I love you...❤
わたしのこと好きなんですか？くす、ありがとうございます❤,You love me? Really? Hehe; that's so nice~❤
さてさて、それではサービスタイムです❤\nコイントスで表が出たら、マスターさんにぱふぱふしてあげますよ❤,Well then; it's time for your service~❤ I'll flip a coin; and if it comes up heads; I'll give Master a puff-puff~❤
サービスタイムです❤\nコイントスで表が出たら、マスターさんにぱふぱふしてあげますよ❤,It's service time~❤ If this coin flip lands on heads; I'll give Master a puff-puff~❤
やったー♪表が出ましたね❤\nそれじゃあ、さっそくサービスタイムです❤,Yay~♪ It's head~❤ I'll start your service right away~❤
ふふ、逃げることはできませんよ❤\nコイントスと一緒に誓約魔術がかかっているので、\n当たった時点でマスターさんも身動きできなくなるんです❤,Hehe; you can't run~❤ The coin toss casts a binding spell; so once it lands; Master won't be able to move~❤
お顔におっぱいを近づけて・・・・❤,So I'll just bring my boobs close to your face, and...❤
ぱふぱふ❤,Puff-puff~❤
もう一回、ぱふぱふ❤,And again. Puff-puff~❤
えへへ、どうでしたか？\nわたしのおっぱい、やわらかくて気持ちよかったですか？,Hehe; did you like that? Were my breasts nice and soft?
ってあれれ、わたしの体に白いのがついてる。\nくす、もしかして射精しちゃったんですか？\n早漏さんなんですね、マスターさん❤,Uh oh; there's white stuff on my body. Hehe; did you cum already? That's a little too fast; don't you think; Master?❤
ふふ、とろーんってした目をしてて、\nわたしのぱふぱふ気に入ってくれたみたいです❤,Hehe; your eyes are all glazed now. You must really like my puff-puff a lot~❤
次のターンもまたしてあげますね❤\n楽しみにしててください。\nくすくす❤,I'll do it for you again next turn~❤ So look forward to it; okay? Giggle~❤
やったー♪また表が出ましたね❤\nそれじゃあ、さっそく{$効果1ぱふぱふ回数}回目のサービスタイムです❤,Yay~♪ It came up heads again~❤ Alright; let's get started with your {$効果1ぱふぱふ回数}th service; okay?❤
さっきよりも無抵抗に見えますね。\n誓約魔術の効果を実感したからですか？\nそれとも・・・❤,You're not fighting as much as last time. Can you feel the effects of the binding magic now? Or...❤
わたしのおっぱい、好きになっちゃいましたか？\nあなたよりもずっと小さい女の子のおっぱいに夢中になるなんて、\nロリコンのへんたいさんです❤くすくす❤,Did you just fall in love with my boobs? You must be a perverted lolicon to be so obsessed with the boobs of a girl so much smaller than you~❤ Giggle~❤
ほら、ロリコンさんにぱふぱふサービスですよ❤\n挟む前からとろーんってしちゃってるお顔に、\n大きなおっぱいを近づけて・・・・❤,Here you go; one puff-puff service for the Lolicon Master~❤ I'll bring my big boobs close to your droopy face before giving them a nice squeeze...❤
えへへ、どうでしたか？\nわたしのおっぱい、{$効果1ぱふぱふ回数}回目も気持ちよかったですか？,Hehe; how was it? Did you still enjoy my boobs just as much the {$効果1ぱふぱふ回数}th time?
ってあれれ、わたしの体に白いのがついてる。\nくす、もしかして射精しちゃったんですか？,Uh oh; there's white stuff on my body. Hehe; did you cum already? 
