default
ファルコンーハーピー,Razor-Claw Harpy
EU46_kneeJobAnime,
鋭い爪を持った強力なハーピー。空中から物凄いスピードで襲い掛かり、大きな獣ですら軽く仕留めてしまう。,A powerful harpy with razor-sharp talons. She attacks from above at incredible speed; easily taking down even the largest of prey.
[1].このカードが場に出た時発動する。相手フィールド上の魔法・トラップカードをランダムに1枚破壊し、カードを１枚ドローする。,[1]. Activates when this card is played. Destroy 1 magic or trap card on your opponent's field at random; then draw 1 card.
[2].１ターンに１度、風属性の魔法カードが発動したときに発動する。デッキからカードを１枚ドローし、このカードの攻撃力と最大HPを300ポイントアップする。,[2]. Once per turn; when a Wind Attribute magic card is activated. Draw 1 card from your deck and increase this card's attack power and maximum HP by 300 points.
空中にいるのは卑怯？そうか、それなら降りて行ってやろう！,You think it's cowardly that I'm so high up? Fine then; if that's how you want it; I'll fight you down here!
ふふ、反応が追い付かなかったようだな。\nお前の頭はわたしの胸の中だ。息ができなくて苦しいだろう？,Fufu; it seems you couldn't keep up with me. Now I have your head buried between my breasts. Is it getting hard to breathe in there?
ほら、胸を揺さぶって精を搾り取ってやる❤\n息も絶え絶えなお前の頭を、ゆさゆさ❤ぱふぱふ❤\n甘い香りと柔らかい感触で、酸欠の脳は陥落寸前だな❤,Here; I'll smother you between my breasts as I milk your essence from your body.❤ I'll rub your had in my chest as you gasp for breath so desperately. ❤ Puff-puff~❤ Let your air-starved mind surrender to my soft; fragrant breasts~❤
ほら、捕まえたぞ。\nこのまま空高く連れて行ってやる！,There; I've caught you. I'll take you high into the sky with me!
怖いか？空中じゃあ逃げ場などないものな。\n暴れたところで地面に叩きつけられるだけ。\nおとなしく観念して、わたしのふとももとひと時の逢瀬を楽しむといい❤\n,Are you scared? This high up; there's nowhere for you to run. If you struggle; you'll just slam back down to the ground. Better to simply accept your fate and enjoy this brief moment of pleasure between my thighs~❤
ほら、抱きしめながらチンポをふとももで挟んで・・・❤\n左右交互にすりすりすり・・・♪\nあはは、節操なく腰が震えているな。,Here; I'll hold you tight and sandwich your cock between my thighs...❤ I'll rub you back and forth; side to side...♪ Ahaha; your hips are trembling so shamelessly.
わたしの脚が気になるか？\n視線をチラチラと感じるな。ふふ・・・❤,Have my legs caught your eye? I can feel your gaze running across them. Fufu...❤
お前が望むなら、このふとももでお前のチンポを挟んでやろう。\nむっちりした感触で男の弱点をすりすりと擦られれば、\nすぐにお前は腰砕けだ❤,If you wish; I'll happily squeeze your cock between my thighs. Once you feel the plump sensation rubbing against your most vulnerable part; you'll be left weak-kneed in no time~❤
ふ、自分から来るとは、脚フェチの変態だったか❤\nほら、待ち望んでいたふとももだ。\nチンポをゆっくり入れるといい。挿入してすぐに果てるなよ？,Fu; you came to me all on your own. So the pervert has a leg fetish~❤ Here; go ahead and slide yourself between the thighs you've been so desperate for. But do try not to finish from just putting it in; okay?
