default
メルティスライム,Melty Slime
EU8_handJobAnime,
[1]自分ターン終了時に発動する。自分の墓地のスライムタイプモンスターの数×40ポイントHPを回復する。,[1]. At the end of your turn; you may activate this card to restore HP = 40 x X (X = the number of Slime type monsters in your graveyard.)
体は小さいが、男性を搾り取ることに特化した肉体を持つ。手を筒状の搾精器官に変形させることができ、その手が与えてくる快楽ははかり知れない。,Though her body is small; her slime is specially made to milk men. She can transform her hand into a semen-squeezing apparatus; which is known to feel unfathomably pleasurable.
ふふ、マスターのキスで魅了されて、もう身動き取れないみたいね❤, Hehe; looks like you're completely entranced by my master's kiss—you can't even move anymore.❤
そんな状態で上級モンスターであるわたしの攻撃に耐えられるのかしら❤,In that state; I wonder if you can even handle an attack from a high-level monster like me.❤
このスライムハンドでチンポを全部包み込んで、\n何回も上下に動かしてあげれば・・・❤きっと瞬殺よね。ほら・・・♪,If I wrap your whole weenie in my slime hand and move it up and down over and over...❤ you'll be finished in an instant. Look...♪
あは、キスでメロメロにされて、武器も持てないの？よわーい❤,Ahaha; enchanted from a kiss; and you can't even hold your weapon? So weak~❤
わたしのマスターに魅了されちゃうなんてきっとロリコンなのね❤\nロリコンならわたしみたいな女の子好きでしょ？,Falling under my master's charm? You must be a lolicon; right?❤ If you're a lolicon; you must like girls like me; don't you?
ロリコンチンポ、たっぷりこの手の中でいじめ抜いて\nエナジー出すまでかわいがってあげる❤,I'll tease your little lolicon weenie nice and thoroughly in my hand; cherishing it until you release every last drop of energy.❤
きゃはは、カードマスターくん、どうしちゃったのかなー？\n目の焦点があってないよ？魅了されてもうたまらないって感じ？,Kya haha~ Cardmaster~ what's wrong with you? Your eyes aren't focused~? Feeling overwhelmed by my charm; aren't we??
こんなふぬけが相手なら、勝負はもう楽勝ね。\n魅了されてビンビンになったチンポを手で包み込んで・・・❤,If you're such a weakling; this match will be a breeze. I'll wrap my hand around your rock-hard weenie; now even more sensitive from my enchantment...❤
数回しごけばイっちゃうでしょ？\nほらほらほら❤天国見せてあげる❤,After a few strokes; you should be coming; right? Here; come on; come on.❤ I'll show you heaven.❤ 
きゃはは、どうしちゃったのかなー？\n目の焦点があってないよ？魅了されてもうたまらないって感じ？,Kyahaha~ what's happened to you? Your eyes are all hazy; aren't they? Feeling completely overwhelmed by my charm?
ふふ、あんたはわたしの手に包まれても耐えられるかしら❤,Hehe; I wonder if you can withstand being wrapped up in my hand.❤
このスライムハンドでチンポを全部包み込んで、\n何回も上下に動かすの・・・❤,With my slime hand completely enveloping your weenie; I'll move it up and down repeatedly...❤
たいていの男は悶絶しちゃって口もきけなくなるんだから❤\nほら、行くわよ❤,Most men end up writhing in ecstasy and can't even utter a word out when I do this.❤ Well then; here I come!❤
上級モンスターのくせに、体がちっちゃいとか思っている？\n顔を見れば、なめてるのすぐわかるんだから。,Do you think I'm weak just because I'm small? I can tell you're underestimating me just by looking at you.
体は小さくたって与える快感は一級品なの。\nわたしのスライムハンドにチンポしごかれて、\n耐えられる男なんていない・・・❤,Even though my body is small; the pleasure I provide is top-notch. No man can withstand having his weenie stroked by my slime hand...❤
ふふ、話聞いただけでチンポ固くなっちゃった？\nあんたが下に見てたスライムの強さ、たっぷり教えてあげる❤,Hehe; did your weenie get all hard just from hearing that? I'll show you the power of my slime that you underestimated.❤
ねえ、カードマスターくん、勝負なんてもうおしまいでいいでしょ？, Hey; Cardmaster; isn't it time to end this match?
だって、こうやってわたしの手でチンポしごいてあげれば、\n全部どうでもよくなっちゃうはずだもの❤ ほら、ほら♪,Because; if I stroke your weenie with my hand like this; you won't care about anything else.❤ Come on; come on♪
きゃはは、すっごい声出しちゃってる。\nわたしの手コキ、人間の女の子とエッチするよりもずーっと気持ちいいのよ。,Kyahaha; you're being so loud. My handjob feels so much better than having sex with a human girl.
天国感じながらイクまでじっとしてなさい。ロリコンマゾマスター❤\nくすくす❤,Stay still until you climax while feeling like you're in heaven. Lolicon masochist master.❤*Giggle*❤
あんたみたいな雑魚モンスター、わたしの手コキでイチコロよ❤,A weak monster like you is no match for my handjob. You'll be finished in no time.❤
スライムハンドでチンポを捕まえて、\n屈服するまでしごいてあげる❤ ほらほらほら❤,I'll grab your weenie with my slime hand and stroke it until you give in.❤ Come on; come on; come on~❤
くす❤ものほしそうな顔しちゃって、\nわたしのせくしーぼでぃーにもうメロメロなのかしら❤,*Giggle*❤ You're making such a needy face. Are you already falling for my sexy body?❤
チンポふりふりしてるだけじゃダメよ。ほらちゃんと自分の口で、\n何をしてほしいのか言ってみなさい❤,Just flailing your weenie around won't do. Come on; spill it and tell me what you want~❤
あうう、おねがいします❤手でしごいて・・・❤,Ahh; please.❤ Stroke me with your hand...❤
きゃはは上手におねだりできたじゃない❤いいわ❤\nわたしの手であなたのそのおちんちん、\n中身が空っぽになるまでしこしこしてあげる❤,Kyahaha; you begged so well!❤ Alright!❤ I'll stroke your weenie with my hand until you're completely drained.❤
あはん❤手の中でどくどくどくってたくさん出てる❤\nわたしのスライムハンドをおまんこと勘違いしちゃったのかしら❤\nくすくす❤,Ahah~❤ You're spilling so much into my hand.❤ Did you mistake my slime hand for a pussy?❤*Giggle*❤
きゃううっ！そんな…、わたしが追いつめられるなんて…。,Kyah! No way... For me to be pushed into corner like this...
ふん、あんた、なかなかやるじゃない。\nそうね、その実力に免じてご褒美をあげてもいいわ。,Hmph; you're not half bad. Well; considering your skills; I might reward you for that.
この手であんたのチンポ呑み込んで、\n中でぐちゅぐちゅにかき回してあげる❤,I'll swallow your weenie with this hand and stir it up inside until it's all wet and squishy~❤
ほら、捕まえた・・・❤,Look; I've caught you~❤
今から起きることを想像してみなさい。\nあんたのチンポ全体がわたしの手の中で、隙間なく愛撫されるの。,Imagine what's going to happen now. Your entire weenie will be stroked by my hand; leaving no spot untouched.
敏感な亀頭も、イきそうになっちゃう裏筋も、\n皮の中だって、全部なでまわしてあげるわ。,I'll stroke all over—your sensitive tip; that spot underneath that makes you twitch; and even the inside of your foreskin.
何人もの手で同時にしごかれているような、\n人間では絶対に与えられない快感よ…❤ 楽しみでしょ？,It'll feel like many hands are stroking you all at once—a pleasure no human could ever match...❤ Are you excited for this?
さあ、わたしに屈服しなさい。天国を見せてあげる・・・❤,Now; give in to me. I'll show you what heaven feels like...❤
彼女を振り払い、とどめを刺した,Shake her off and deal the final blow.
体を動かすことができなかつた,Stay still.
ううっ、くやしい・・・。,Ugh; frustrating...
ふふ、期待して動けないんだ？\nしょせん男なんてそんなものよね。,Hehe; are you too excited to move? I guess that's just typical of men; isn't it?
ほら、あんたが望んだご褒美よ。楽しみなさい？,Here it is; the reward you've been wishing for. Ready to enjoy it?
はううっ…❤❤,Oooh...❤❤
まだまだ。ほらほらほら❤,Not yet! Come on; come on; come on.❤
あぐぅっ…❤ああっ❤,Ngh...❤ Ahh...❤
ふふ。ロリコンチンポ、いじめられて満足？\nずいぶんかわいい声で鳴くのね。,Hehe. Are you enjoying being teased; lolicon weenie? You're making such lovely noises.
チンポをまんべんなくスライムで洗われて、腰がとろけそうでしょ？\nぐちゅぐちゅ、ぐちゅぐちゅ、混ぜるたびに腰が跳ねちゃってる❤,After being completely coated by my slime; your hips are practically melting; aren't they? Each slick; squishy slide of my slime around you makes you squirm even more~❤
わたしの本気の愛撫で、もっと頭の中どろどろにしてあげるわ。\nほら！ほら！,I'll make your mind all mushy with my serious caresses. Look at this! Look!
ああっ…❤こんなのっ、もうイくぅ・・・❤,Ahh...❤ This is too much; I'm gonna... cum already...❤
あっそ❤じゃあ、さっさとイきなさい。,Oh really?❤ Then hurry up and cum.
イく寸前まで手加減なし。あんたの精液根こそぎ搾りつくしてあげる❤,No mercy until you're right on the edge. I'll squeeze every drop of your semen out of you.❤
あひぃっ…❤,Ahh...❤
きゃは❤面白いぐらい出てる。\nこんなにわたしの手の中に出して、よっぽどチンポ気持ちよかったのね❤,Kyaha~❤ You're cumming so much! It's so funny! Your weenie must have felt amazing pouring this much into my hand.❤
まぬけなとろけ顔で敵を回復させちゃってさ❤\n最後の最後で手コキで逆転されてそんな顔が出来るなんてバカみたい。\nこのマゾ豚ロリコン❤,Look at you; making that silly melted face while giving your enemy a boost~❤  It's ridiculous that you lost in end; succumbing to my little strokes; and yet you're still wearing that pathetic face. You masochistic little perv~❤
きゃあっ！そんな…、\nまたわたしが追いつめられるなんて…。,Kyaa! No way... You're cornering me again...
ふん、あんたもなかなかやるじゃない。\nそうね、その実力に免じてあんたにもご褒美をあげてもいいわ。,Hmph; you're quite something; too. Alright; considering your skills; I suppose I can also give you a reward.
さっきの見てたでしょ？\nあんたの仲間がわたしの手でチンポもぐもぐされて、\nみっともなく喘がされているところ❤,Did you see what just happened? Your friend had his weenie sucked on by my hand and moaned like a fool~❤
あんたも同じ目にあえるのよ。\n人間では絶対に与えられないスライムの快楽…❤\n脳みそとろけさせてあげる❤,You'll be next. Pleasure from the slime that no human could ever give you...❤ I'll melt your brain into goo~❤
ふふ、妄想で頭いっぱいなのかしら。\nバカみたいに立っちゃって・・・❤,Hehe; are you so full of fantasies that your head's spinning? Look at you; getting all hard like an idiot...❤
ほら捕まえた…❤,Look; I've caught you~❤
敏感な亀頭も、イきそうになっちゃう裏筋も、\n皮の中だって、全部なでまわしてあげる。,I'll tease your sensitive glans and that spot that makes you want to cum; even inside your skin.
もう抵抗なんてできないわよね❤\n天国を見せてあげるからわたしの養分になっちゃいなさい・・・❤,You can't resist anymore; can you?❤ Just become my nourishment and I'll show you heaven...❤
きゃ、そんなっ・・・。,Kyaa; not like that...
そう、それでいいのよ♪\n戦うだけ無駄。男はわたしの与える快楽には勝てないの。,Yes; just like that~♪ Fighting back is pointless. No man can resist the pleasure I give.
さあ、お待ちかねのご褒美よ。楽しみなさい？,Now; here's your long-awaited reward. Ready for it?
ふふ。ロリコンチンポいじめられて満足かしら？\nあんたもかわいい声で鳴くのね。,Hehe. Are you satisfied being teased; little perverted penis? You're even making such lovely little noises.
こんな小さい女の子に喘がされて、恥ずかしくないの？\nチンポもぐもぐされちゃえば、そんなことどうだってよくなるのかしら。,Aren't you ashamed that such a little girl like me made you moan? Once your weenie is being gobbled up; does that make you forget about that?
