default
ギガントゴーレム,巨大魔像
[1].このカードは相手プレイヤーに直接攻撃できる。\n[2].自分のターンに相手プレイヤーに直接攻撃を行った場合、追加攻撃を行う。,[1].這張卡可以直接攻擊對手玩家。\n[2].在自己的回合中這張卡攻擊對手玩家時，進行追加攻擊。
[3].自分ターン終了時に発動する。このカードは守備状態になり自身の最大HPを800ポイントアップする。,[3].困難以上中，自己的回合結束時發動。這張卡改為守備狀態，最大HP提升800點。
ふふ。そんなにこの胸が気になるか？,ふふ。そんなにこの胸が気になるか？
いまさら隠したって無駄だ。\nお前の目がさっきからわたしの胸ばかり\n見ていたことには気づいているぞ。,いまさら隠したって無駄だ。\nお前の目がさっきからわたしの胸ばかり\n見ていたことには気づいているぞ。
自分の体よりもさらに大きい胸だものなぁ。\nククク、そのまま見とれて、たくさん欲情してしまえ❤,自分の体よりもさらに大きい胸だものなぁ。\nククク、そのまま見とれて、たくさん欲情してしまえ❤
お前、女の胸に弱いのか？\nただ軽く揺れているだけなのに、すっかり蕩けた顔じゃないか。,お前、女の胸に弱いのか？\nただ軽く揺れているだけなのに、すっかり蕩けた顔じゃないか。
その調子じゃあ、ほら、\nこんなふうに手で揺らされたらたまらないんだろう？\nいいぞ好きだけ見て、さっさと気持ちよくなってしまえ。,その調子じゃあ、ほら、\nこんなふうに手で揺らされたらたまらないんだろう？\nいいぞ好きだけ見て、さっさと気持ちよくなってしまえ。
カードマスターのくせに\nおっぱいから目をそらすこともできないみたいだな。\n好きなのか？女の胸が❤,カードマスターのくせに\nおっぱいから目をそらすこともできないみたいだな。\n好きなのか？女の胸が❤
谷間に身体ごと挟まれて、上下にパイズリされるのは気持ちがいいぞ？\n足も顔もチンコも全部もみくちゃにされて、\n体中が天国のようになる❤,谷間に身体ごと挟まれて、上下にパイズリされるのは気持ちがいいぞ？\n足も顔もチンコも全部もみくちゃにされて、\n体中が天国のようになる❤
ククク❤想像するだけでチンコが反応しているじゃないか。\nなんなら、このおっぱいをオカズに自分でしごいてしまうか？\nいいぞ揺らしてオカズを提供してやっても❤,ククク❤想像するだけでチンコが反応しているじゃないか。\nなんなら、このおっぱいをオカズに自分でしごいてしまうか？\nいいぞ揺らしてオカズを提供してやっても❤
わたしのおっぱいから目をそらすこともできないみたいだな。\n好きなのか？女の胸が❤,わたしのおっぱいから目をそらすこともできないみたいだな。\n好きなのか？女の胸が❤
おやおや、おっぱいにずいぶんと弱いみたいだな。\n目が釘付けじゃないか。,おやおや、おっぱいにずいぶんと弱いみたいだな。\n目が釘付けじゃないか。
そのまま見とれていれば、\nこの谷間に挟んでパイズリしてやってもいいぞ❤\nどうだ？魅力的な話だろう？,そのまま見とれていれば、\nこの谷間に挟んでパイズリしてやってもいいぞ❤\nどうだ？魅力的な話だろう？
その小さな体をわたしの大きな胸で何度もしごくんだ。\nどれほど気持ちいいんだろうな❤ククク❤,その小さな体をわたしの大きな胸で何度もしごくんだ。\nどれほど気持ちいいんだろうな❤ククク❤
守りのモンスターが何体いようともわたしには関係がない。\nこうしてその上からお前のことを捕まえられるからな。,守りのモンスターが何体いようともわたしには関係がない。\nこうしてその上からお前のことを捕まえられるからな。
カードマスターよ。いまから特等席に案内してやろう。,カードマスターよ。いまから特等席に案内してやろう。
特等席とはこの胸の間だ。\nやわらかくて大きなこの胸で挟まれれば、すぐに勝負などどうでもよくなるぞ❤\nククク❤,特等席とはこの胸の間だ。\nやわらかくて大きなこの胸で挟まれれば、すぐに勝負などどうでもよくなるぞ❤\nククク❤
ふふ、これだけ体格差があるとまるでおもちゃのようだな。\nお前の全身よりもわたしのおっぱいの方が大きいようだ❤,ふふ、これだけ体格差があるとまるでおもちゃのようだな。\nお前の全身よりもわたしのおっぱいの方が大きいようだ❤
この特大のおっぱいの間に、お前の体を埋めてやろう。\n幸せの極致を味わうといい❤,この特大のおっぱいの間に、お前の体を埋めてやろう。\n幸せの極致を味わうといい❤
どうだ？ずいぶんと大きな胸だろう？好きなだけ見ていいぞ。,どうだ？ずいぶんと大きな胸だろう？好きなだけ見ていいぞ。
お前の体よりも大きなこの胸。\nそれを使ってたっぷりと快楽を味合わせてやろう❤,お前の体よりも大きなこの胸。\nそれを使ってたっぷりと快楽を味合わせてやろう❤
たくさん胸を揺らして誘惑してやろう。ほらほら…❤,たくさん胸を揺らして誘惑してやろう。ほらほら…❤
こんな大きな胸は見たことがないだろう？\nお前の体全部を挟み込めるほどのおっぱいだ。たっぷり見とれてしまえ❤,こんな大きな胸は見たことがないだろう？\nお前の体全部を挟み込めるほどのおっぱいだ。たっぷり見とれてしまえ❤
この大きな胸で気持ちいいことをされたいのか？\n視線がチラチラと胸を見ているじゃないか。スケベめ。ククク❤,この大きな胸で気持ちいいことをされたいのか？\n視線がチラチラと胸を見ているじゃないか。スケベめ。ククク❤
これだけの体格差だからな。\nお前の全身をおっぱいで挟んだとしてもまだまだ余裕があるだろうな❤,これだけの体格差だからな。\nお前の全身をおっぱいで挟んだとしてもまだまだ余裕があるだろうな❤
体中をおっぱいでもみくちゃにされる全身パイズリ❤\nどれだけ気持ちいいのか、たっぷりと妄想するといい❤,体中をおっぱいでもみくちゃにされる全身パイズリ❤\nどれだけ気持ちいいのか、たっぷりと妄想するといい❤
ほら、胸の谷間を手で開いて見せてやろう❤,ほら、胸の谷間を手で開いて見せてやろう❤
どうだ？\nこの甘い匂いのする谷間の中。たまらなくエロイだろう？\nここに身体ごと挟んでやってもいいんだぞ❤,どうだ？\nこの甘い匂いのする谷間の中。たまらなくエロイだろう？\nここに身体ごと挟んでやってもいいんだぞ❤
挟んだあとは、イクまでしごいてやろう。\nおや…、誘われて足がふらふらとこっちにやってきているじゃないか❤\nククク❤,挟んだあとは、イクまでしごいてやろう。\nおや…、誘われて足がふらふらとこっちにやってきているじゃないか❤\nククク❤
ふ、この巨大な胸を前に理性を失ったか？\n敵の胸で気持ちよくなりたいなどと、浅ましく願って、\nなんて恥ずかしい男だ。,ふ、この巨大な胸を前に理性を失ったか？\n敵の胸で気持ちよくなりたいなどと、浅ましく願って、\nなんて恥ずかしい男だ。
そんなに胸が気になるなら、さあたっぷり揺らして見せつけてやろう❤\nお前の体をこの胸に挟んで、全身を快楽で包まれれば、\nどうせすぐに果てるのだろう？ククク❤,そんなに胸が気になるなら、さあたっぷり揺らして見せつけてやろう❤\nお前の体をこの胸に挟んで、全身を快楽で包まれれば、\nどうせすぐに果てるのだろう？ククク❤
そんなに胸が気になるなら、さあたっぷり揺らして見せつけてやろう❤\n自分の体よりも大きな胸で勝手に興奮してそこで果てるといい❤,そんなに胸が気になるなら、さあたっぷり揺らして見せつけてやろう❤\n自分の体よりも大きな胸で勝手に興奮してそこで果てるといい❤
ククク❤やはり少しも耐えられなかったな❤\n最上級モンスターの最高のおっぱいを前に、人間が耐えられるはずがないのだ。\n格の違いを思い知っただろう？,ククク❤やはり少しも耐えられなかったな❤\n最上級モンスターの最高のおっぱいを前に、人間が耐えられるはずがないのだ。\n格の違いを思い知っただろう？
ふ、目の前で胸を揺らされただけで、勝手に発情して勝手に射精❤\n矮小な生き物は、ずいぶんと脆い理性しか持たないんだな。\nククク❤,ふ、目の前で胸を揺らされただけで、勝手に発情して勝手に射精❤\n矮小な生き物は、ずいぶんと脆い理性しか持たないんだな。\nククク❤
さあ、カードマスターよ。最高の快楽を味合わせてやろう…❤,さあ、カードマスターよ。最高の快楽を味合わせてやろう…❤
ほら捕まえた…❤今から胸を揺らしてやるから、抵抗せずに搾られてしまえ❤ふふふ❤,ほら捕まえた…❤今から胸を揺らしてやるから、抵抗せずに搾られてしまえ❤ふふふ❤
これで終わりだな。ほら、ほら、ほら❤,これで終わりだな。ほら、ほら、ほら❤
ほお、この体格差で逃げるとはやるじゃないか。,ほお、この体格差で逃げるとはやるじゃないか。
だが、そんなに固くなったチンコでどれだけ我慢できるかな？\n自分からこの谷間に飛び込んでもいいんだぞ？ふふふ❤,だが、そんなに固くなったチンコでどれだけ我慢できるかな？\n自分からこの谷間に飛び込んでもいいんだぞ？ふふふ❤
む、逃げたか。意外と理性が強いことだ。\nあと少しこの谷間の中にいれば、射精の快楽を味わえたというのに、\nもったいないやつめ。,む、逃げたか。意外と理性が強いことだ。\nあと少しこの谷間の中にいれば、射精の快楽を味わえたというのに、\nもったいないやつめ。
まあいい。また捕まえて谷間に閉じ込めてやるからな。\nその蕩けかけた体で次は耐えきれるかな？ふふふ❤,まあいい。また捕まえて谷間に閉じ込めてやるからな。\nその蕩けかけた体で次は耐えきれるかな？ふふふ❤
もう射精が近いようだな。ほらほらほら、とどめにたくさん揺らしてやろう❤,もう射精が近いようだな。ほらほらほら、とどめにたくさん揺らしてやろう❤
腰がうずいて仕方ないのだろう？さっさと果ててしまえ❤,腰がうずいて仕方ないのだろう？さっさと果ててしまえ❤
頭の中はまっしろか？全身パイズリで射精するのは最高に気持ちいいぞ❤,頭の中はまっしろか？全身パイズリで射精するのは最高に気持ちいいぞ❤
ククク、腰をそんなにヘコヘコさせて、みっともないぞ❤そのまま谷間に漏らしてしまえ、カードマスター❤,ククク、腰をそんなにヘコヘコさせて、みっともないぞ❤そのまま谷間に漏らしてしまえ、カードマスター❤
イクのか？敵に負けて出してしまうのか？,イクのか？敵に負けて出してしまうのか？
ほらほら、とどめだ。たっぷり上下に揺らしてやろう❤,ほらほら、とどめだ。たっぷり上下に揺らしてやろう❤
全身を甘い感触に包まれて天国だろう❤ほうら、蕩けた脳みそでわたしに屈服しろ❤出してしまえ❤,全身を甘い感触に包まれて天国だろう❤ほうら、蕩けた脳みそでわたしに屈服しろ❤出してしまえ❤
そろそろ耐えられないんだろう？とどめに激しくもみこんでやる。ほらほらほら！,そろそろ耐えられないんだろう？とどめに激しくもみこんでやる。ほらほらほら！
おや、ずいぶんとおとなしいじゃないか。もう逃げるのはやめたのか？,おや、ずいぶんとおとなしいじゃないか。もう逃げるのはやめたのか？
おっぱいにされるがままだな。変態め❤,おっぱいにされるがままだな。変態め❤
もう気持ちよさで頭が働かないのだろう？このまま果てていいぞ。,もう気持ちよさで頭が働かないのだろう？このまま果てていいぞ。
ククク、無様だな。もう逃げる気力もわかないようだ。\nそのまま谷間に溺れてしまえ、カードマスター❤,ククク、無様だな。もう逃げる気力もわかないようだ。\nそのまま谷間に溺れてしまえ、カードマスター❤
どうした？抵抗が弱々しいぞ？気持ちよすぎてもう抗えないのか？\nククク❤,どうした？抵抗が弱々しいぞ？気持ちよすぎてもう抗えないのか？\nククク❤
