default
タイトルに戻る,回到標題
やっぱりやめる,取消
日本語,日本語
English,English
简体中文,繁體中文
言語が日本語に設定されました。,言語が日本語に設定されました。
The language has been set to English.,已設定語言為繁體中文。
To translate; open the text in CSV/Language/English and write the English text next to the comma. If you want to use commas in English text; please use semicolons.,翻譯還在測試當中，可能會有許多錯誤之處，請見諒
難易度を変更することができます。,請選擇要改變的難度。
難易度は\nハード（敵のパラメーター3割増加）\nノーマル\nイージー（敵のパラメータ2割減少）\nらくらく（味方のHP+2000Atk+800）\nの3つの中から選択できます。難易度は何度でも変更可能です。,難度為\n困難（敵方能力值增加３成）\n通常\n簡單（敵方能力值減少２成）\n休閒（我方玩家HP+2000Atk+800）\n以上四種。難度隨時都可以變更。
難易度を選択してください(現在の難易度:{難易度名})。,請選擇難度(現在的難度為:{難易度名})。
ハード,困難
ノーマル,通常
イージー,簡單
らくらくモード,休閒模式
難易度をハードに変更しました。,難度改為困難。
ハードでは相手の能力が上がるほか、一部敵カードに効果が追加される場合があります。,困難難度中除了敵方能力上升外，一部分的敵方卡片還會有追加效果。
難易度をノーマルに変更しました。,難度改為普通。
難易度をイージーに変更しました。,難度改為簡單。
イージーでは相手の能力が下がるほか、一部敵カードの効果が変更になる場合があります。,簡單難度中除了對手能力值下降外，一部分敵方卡片效果還會變化。
難易度をらくらくモードに変更しました。,難度改為休閒模式。
らくらくモードでは相手の能力が下がるほか、一部敵カードの効果が変更になる場合があります。,休閒模式中除了對手能力值下降外，一部分敵方卡片效果還會變化。
またバトル中３回だけ、数枚の強力なカードの中から１枚生成して手札に加えることができます。,同時１場對戰中有３次機會可以從數張強力卡片中選擇１張加入手牌。
主人公にイベントで付与された弱点を一時的に無効にできます。,暫時無效主角因為事件而被賦予的弱點。
無効にされるのはストーリー中に付与された弱点だけです。戦闘中に付与される状態異常は無効になりません。,能無效的只有劇情上的弱點。無法無效戰鬥中因卡片效果賦予的弱點。
弱点を一時的に無効にする,暫時無效弱點效果
弱点を有効にする,弱點效果變為有效
主人公にイベントで付与された弱点をすべて解除します。,解除所有主角在劇情中被賦予的弱點。
解除された弱点は元に戻せないのでご注意ください。,請注意這些弱點解除後無法復原。
弱点をすべて解除する,解除所有弱點
しない,放棄
本当にいいですか？,真的可以嗎？
はい,是
いいえ,不是
主人公に付与された弱点をすべてリセットしました。,主角被賦予的弱點全部解除。
主人公の攻撃力が低下している場合、攻撃力を1000に戻すことができます。,主角的攻擊力被下降的話，可以回復到1000點。
攻撃力を1000に戻す,將攻擊力回復到1000點
攻撃力をレベル相応({$攻撃力})に戻す,攻擊力恢復到參照等級的({$攻撃力})
主人公の攻撃力が{$攻撃力}に設定されました。,主角的攻擊力設定為({$攻撃力})。
現在の攻撃力が{$攻撃力}以上あるため変更されませんでした。,現在的攻擊力在({$攻撃力})以上因此無法變更。
いまのままにする,維持現狀
主人公の攻撃力が1000に設定されました。,主角的攻擊力被設定為1000。
自動文字送りを設定できます。メッセージの表示が終わってから一定時間で次のセリフに進むようになります。,可以設定是否自動閱讀。當訊息顯示結束後，經過一段時間就會自動進入下一段文字。
自動文字送りを有効にするか選んでください,請選擇要不要關閉自動閱讀
無効にする,關閉自動
有効にする,啟動自動
文字送りが無効になりました。,自動閱讀關閉。
文字送りが有効になりました。,自動閱讀啟動。
BGMの音量を変更できます,可以改變背景音樂音量
変更する,確定改變
変更しない,不要改變
BGMのボリュームが変更されました。,音量大小改變了。
SEの音量を変更できます。,可以改變音效大小。
SEのボリュームが{&amp;&amp;InputtedText}に変更されました。,音量大小改為{&amp;&amp;InputtedText}。
主人公のHPと攻撃力に一定の上限を設定できます。主に難易度を上げるために利用できる機能です。,可以限制主角的HP與攻擊力有上限。這是為了提升難度而設計的功能。
この機能を利用したとしてもバトル開始時のステータスが変更されるだけでレベルそのものに影響はありません。機能を解除することでいつでも本来のレベルのステータスに戻ることができます。,這個功能只影響戰鬥開始時的起始能力，不會影響戰鬥中的卡片效果。只要關閉此功能能力值就會恢復原來的等級對應的數值。
能力制限を入れるか選んでください,請選擇想要的能力限制
制限をしない,沒有限制
HP6000/Atk1000,HP6000/Atk1000
HP8000/Atk1300,HP8000/Atk1300
能力制限をしないモードになりました。HPと攻撃力はレベルによって決まります。,關閉能力限制功能。HP與攻擊力改為由等級決定。
主人公の能力上限をHP6000,主角的能力上限為HP6000
主人公の能力上限をHP8000,主角的能力上限為HP8000
カード効果欄に「おっぱいに弱い付与」などの能力を記載するかどうか選択できます。,可以選擇要不要讓卡片效果欄顯示「賦予胸部弱點」等類型的能力。
エロ系効果も表示する,也顯示色情效果文
エロ系効果は秘匿状態にする,隱藏色情效果文
エロ系効果もカードテキストに表示されるようになりました。,卡片效果也會寫上色情效果文。
エロ系効果はカードテキスト上で秘匿されるようになりました。,卡片效果會隱藏色情效果文。
ショップ画面で、パック内の未所持のカードも表示されるか設定できます（デフォルトでは非表示）。,在商店頁面中，可以在卡包內容一覽顯示還未獲得的卡片（預設為不會顯示）。
未所持カードも表示する,顯示未獲得卡片
未所持カードは秘匿状態にする,隱藏未獲得卡片
未所持カードも含めてショップ画面から閲覧できるようになりました。,可以在商店頁面中觀看未獲得的卡片。
