default
魅惑のマーメイド,魅音美人魚
[1].１ターンに１度、発動できる。すべての相手キャラクターの攻撃力を300ポイントダウンさせる。その後、攻撃力が自分の攻撃力以下のすべての相手キャラクターに「魅了」を付与する。\n[2].このカードが手札から捨てられたとき、相手フィールド上の攻撃力0のモンスター１体を選択して発動する。そのカードをゲームから取り除き、このカードを墓地から特殊召喚する。その後、自身に「攻撃宣言不能(1ターン)」を付与する。,[1].１回合可發動１次。所有對手角色的攻擊力減少300點。然後，賦予對手所有攻擊力在這張卡以下的角色「魅惑」。\n[2].當這張卡從手牌被捨棄時，選擇對手場上１體攻擊力0的怪獸發動。該卡從遊戲中除外，這張卡從墓地特殊召喚到自己場上。之後賦予這張卡「無法攻擊」（1回合）。
[3].自分が手札から水属性カードを捨てたとき発動する。すべての相手キャラクターの攻撃力を200ポイントダウンさせる。,[3].困難以上中，當自己從手牌捨棄水屬性卡片時發動。對手所有角色的攻擊力減少200點。
わたしの美しい歌声に聞きほれなさい❤\nら～♪ら～♪,わたしの美しい歌声に聞きほれなさい❤\nら～♪ら～♪
うふふ❤歌の魔力に抗えなかった男の子がいるわね❤\nうっとりした顔して、かわいいわ❤,うふふ❤歌の魔力に抗えなかった男の子がいるわね❤\nうっとりした顔して、かわいいわ❤
うふ❤おっぱいが気になるかしら？\nこの服、ほとんど胸が隠れてないものね。\n体が動けば、ずれて全部見えちゃうかも・・・❤,うふ❤おっぱいが気になるかしら？\nこの服、ほとんど胸が隠れてないものね。\n体が動けば、ずれて全部見えちゃうかも・・・❤
はい、隙あり❤\nおっぱいに見とれて足が止まっているわよ。\nそんな無防備じゃ、あなたのこと簡単に押し倒せちゃう。,はい、隙あり❤\nおっぱいに見とれて足が止まっているわよ。\nそんな無防備じゃ、あなたのこと簡単に押し倒せちゃう。
わたしの胸の中、とっても気持ちいいでしょう？\nほら、パイズリで天国に送ってあげる❤\n谷間から噴き出すぐらい、白いのたくさん出していいわよ❤うふふ❤,わたしの胸の中、とっても気持ちいいでしょう？\nほら、パイズリで天国に送ってあげる❤\n谷間から噴き出すぐらい、白いのたくさん出していいわよ❤うふふ❤
くすくす❤おっぱいにメロメロみたいね。\nうっとりした顔で無抵抗❤\nおっぱいをパンパンって叩きつけられて、腰から溶けそうなのよね❤,くすくす❤おっぱいにメロメロみたいね。\nうっとりした顔で無抵抗❤\nおっぱいをパンパンって叩きつけられて、腰から溶けそうなのよね❤
イくまで寝ていなさい❤\nおっぱいによわーいあなたなら、\nチンポが降参するまで、きっとすぐだから・・・❤くす❤,イくまで寝ていなさい❤\nおっぱいによわーいあなたなら、\nチンポが降参するまで、きっとすぐだから・・・❤くす❤
あはん❤谷間に顔を埋めてあげるわ❤\n両手で顔を捕まえて・・・。むぎゅ❤,あはん❤谷間に顔を埋めてあげるわ❤\n両手で顔を捕まえて・・・。むぎゅ❤
どう？柔らかくて甘い匂いがして…❤\n顔を埋めているだけで幸せになっちゃうわよね❤\nこれがわたしのおっぱいの感触よ❤,どう？柔らかくて甘い匂いがして…❤\n顔を埋めているだけで幸せになっちゃうわよね❤\nこれがわたしのおっぱいの感触よ❤
おまけで、耳元であなただけの子守唄を歌ってあげる❤\n歌とおっぱいで脳みそとろとろにされて、\n幸せ快楽に溺れなさい❤うふふふ❤,おまけで、耳元であなただけの子守唄を歌ってあげる❤\n歌とおっぱいで脳みそとろとろにされて、\n幸せ快楽に溺れなさい❤うふふふ❤
わたし胸が大きいのが自慢なの❤\n大きい胸ってセクシーよね❤\nこんな風に両手でむにゅって寄せ上げたり...❤,わたし胸が大きいのが自慢なの❤\n大きい胸ってセクシーよね❤\nこんな風に両手でむにゅって寄せ上げたり...❤
肘でむぎゅって谷間を強調したり…❤\nあら、目が吸い寄せられているわね。くすくす❤,肘でむぎゅって谷間を強調したり…❤\nあら、目が吸い寄せられているわね。くすくす❤
わたしのおっぱい、オナニーのおかずにしてもいいのよ❤\n頭空っぽにして、敵のおっぱいを見ながらシコシコ♪シコシコ♪\nきっと気持ちいいと思うわ❤,わたしのおっぱい、オナニーのおかずにしてもいいのよ❤\n頭空っぽにして、敵のおっぱいを見ながらシコシコ♪シコシコ♪\nきっと気持ちいいと思うわ❤
くす、ほんとに始めちゃった❤\n頭がメロメロになっているあなたには、\n谷間の誘惑は刺激が強すぎたかしら❤,くす、ほんとに始めちゃった❤\n頭がメロメロになっているあなたには、\n谷間の誘惑は刺激が強すぎたかしら❤
戦わなきゃいけないのに、おちんちんを触ってシコシコ❤シコシコ❤\n攻撃はやめてそのまま射精しちゃう？\nおっぱい見せつけられただけで、負けちゃっていいわよ。うふふふ❤,戦わなきゃいけないのに、おちんちんを触ってシコシコ❤シコシコ❤\n攻撃はやめてそのまま射精しちゃう？\nおっぱい見せつけられただけで、負けちゃっていいわよ。うふふふ❤
胸で挟んであげる❤\nわたしの大きいおっぱい、とっても気持ちいいわよ❤,胸で挟んであげる❤\nわたしの大きいおっぱい、とっても気持ちいいわよ❤
ほら、チンポが根元までずっぷり❤谷間に飲み込まれちゃった❤\n亀頭でおっぱいをかき分けて行く快感、\n腰が砕けそうだったでしょう？,ほら、チンポが根元までずっぷり❤谷間に飲み込まれちゃった❤\n亀頭でおっぱいをかき分けて行く快感、\n腰が砕けそうだったでしょう？
この状態で上下にゆさゆさってしてあげれば、\nみんなすぐ夢心地よ❤\nあなたは何回揺らしたときにイっちゃうかしら。くすくす❤,この状態で上下にゆさゆさってしてあげれば、\nみんなすぐ夢心地よ❤\nあなたは何回揺らしたときにイっちゃうかしら。くすくす❤
ゆさ、ゆさ…♪ゆさ、ゆさ…♪\nおっぱい気持ちよすぎて抗えないわね❤\n目にハートを浮かべちゃって、かわいいわ❤,ゆさ、ゆさ…♪ゆさ、ゆさ…♪\nおっぱい気持ちよすぎて抗えないわね❤\n目にハートを浮かべちゃって、かわいいわ❤
腰がもう震えてきた❤\nそろそろ射精しちゃうのかしら？\nおっぱいにエナジー搾り取られてしまいましょうね❤うふふ❤,腰がもう震えてきた❤\nそろそろ射精しちゃうのかしら？\nおっぱいにエナジー搾り取られてしまいましょうね❤うふふ❤
あらあら❤\nわたしに気持ちよくしてほしいの？,あらあら❤\nわたしに気持ちよくしてほしいの？
歌で魅了されて、\n自分からふらふらやってきておねだりしちゃうなんて、\nくすくす❤強そうなわりにかわいいのね❤,歌で魅了されて、\n自分からふらふらやってきておねだりしちゃうなんて、\nくすくす❤強そうなわりにかわいいのね❤
歌で魅了されて、\n自分からふらふらやってきておねだりしちゃうなんて、\nくすくす❤見た目通りかわいいのね❤,歌で魅了されて、\n自分からふらふらやってきておねだりしちゃうなんて、\nくすくす❤見た目通りかわいいのね❤
いいわよ❤\nおねだりできたご褒美に、\nおっぱいで可愛がってあげるわ❤,いいわよ❤\nおねだりできたご褒美に、\nおっぱいで可愛がってあげるわ❤
あはん❤谷間から白いのあふれちゃってる❤\nそんなに気持ち良かったかしら❤,あはん❤谷間から白いのあふれちゃってる❤\nそんなに気持ち良かったかしら❤
濃厚なエナジーが答えよね❤\nうふふ❤ごちそうさま❤,濃厚なエナジーが答えよね❤\nうふふ❤ごちそうさま❤
あん❤ぱふぱふだけでお漏らししちゃうなんて❤\nこらえ性がないのね❤くすくす❤,あん❤ぱふぱふだけでお漏らししちゃうなんて❤\nこらえ性がないのね❤くすくす❤
うふふ❤しこしこしてどぴゅどぴゅ射精❤\nわたしのおっぱいをおかずにできて満足した？,うふふ❤しこしこしてどぴゅどぴゅ射精❤\nわたしのおっぱいをおかずにできて満足した？
たっぷりのエナジーごちそうさま❤\nあなたが谷間に出した濃い精液、\n力に変えてまだ戦わせてもらうわ。うふふ❤,たっぷりのエナジーごちそうさま❤\nあなたが谷間に出した濃い精液、\n力に変えてまだ戦わせてもらうわ。うふふ❤
うっ、ああ・・・。,うっ、ああ・・・。
うふ❤ひとりでオナニー始めちゃった❤\n大きなおっぱい見てたらムラムラしちゃったのかしら❤,うふ❤ひとりでオナニー始めちゃった❤\n大きなおっぱい見てたらムラムラしちゃったのかしら❤
目にハートを浮かべて可愛い❤\nすっかり魅了されちゃったわね❤,目にハートを浮かべて可愛い❤\nすっかり魅了されちゃったわね❤
せっかく魅了に耐えたのに、\nオナニーしたら意味がないわよ❤くすくす❤,せっかく魅了に耐えたのに、\nオナニーしたら意味がないわよ❤くすくす❤
うう❤くそぉ・・・❤,うう❤くそぉ・・・❤
悔しがらないで、気持ち良くなる事だけ考えましょうね❤\nもっと～♪じっと見てぇ～♪,悔しがらないで、気持ち良くなる事だけ考えましょうね❤\nもっと～♪じっと見てぇ～♪
あうう・・・❤おっぱい・・・❤おっぱい・・・❤,あうう・・・❤おっぱい・・・❤おっぱい・・・❤
声に少し魅了を乗せたら効果てきめんね❤\nオナニーしてるくらいだもの、抗えるはずないわ❤,声に少し魅了を乗せたら効果てきめんね❤\nオナニーしてるくらいだもの、抗えるはずないわ❤
くすくす❤\nもうおっぱいしか目に映ってないのね❤\n魅了が効きすぎちゃったのかしら❤,くすくす❤\nもうおっぱいしか目に映ってないのね❤\n魅了が効きすぎちゃったのかしら❤
しこしこする手も激しくしちゃって・・・。\n何もしなくても射精するまでオナニーしそうね❤,しこしこする手も激しくしちゃって・・・。\n何もしなくても射精するまでオナニーしそうね❤
はぁ、はぁ・・・❤　はぁ、はぁ・・・❤,はぁ、はぁ・・・❤　はぁ、はぁ・・・❤
でもただ待ってるのも暇だし、\n早く射精できるようにしてあげるわ❤\nわたしのおっぱいで・・・❤,でもただ待ってるのも暇だし、\n早く射精できるようにしてあげるわ❤\nわたしのおっぱいで・・・❤
両手でむにゅって寄せてあげてみたり❤\n肘でぎゅ～って谷間を作ってみたり❤,両手でむにゅって寄せてあげてみたり❤\n肘でぎゅ～って谷間を作ってみたり❤
胸のリングを持って上下にゆさゆさ❤\nうふふ❤これが一番好きなのかしら❤\n凄い鼻息❤,胸のリングを持って上下にゆさゆさ❤\nうふふ❤これが一番好きなのかしら❤\n凄い鼻息❤
はっ、はっ❤はっ、はっ❤,はっ、はっ❤はっ、はっ❤
くすくす❤わんちゃんみたい❤\n頭はもう射精することでいっぱい❤,くすくす❤わんちゃんみたい❤\n頭はもう射精することでいっぱい❤
