default
ヒーラーハーピー,Soothing Harpy
EU44_handJobAnime,
癒しの力を持ったハーピー。風に乗せて回復魔法を味方全体に飛ばす。\n彼女は普通のハーピーよりも体温が高く、羽の感触もふわふわしている。男であれ女であれ、彼女に抱き着かれると簡単に脱力してしまい、戦う意思を奪われてしまうほどである。彼女の体に包まれながら優しい言葉をささやかれたとしても、気を強く持って彼女に身を任せないよう注意しなければならない。,A harpy with healing powers who uses the wind to carry recovery magic to all nearby allies. Her body temperature is higher than that of normal harpies; and her feathers are extra downy and plush. Anyone embraced by her; whether male or female; quickly find themselves powerless and stripped of all will to fight. Even while being wrapped in her body and whispered sweet words; one must steel their will and avoid surrendering to her completely.
[1].1ターンに1度、風属性カードの効果が発動したとき発動する。自分プレイヤーと自分フィールド上のすべての「ハーピー」モンスターのHPを連鎖発動した風属性カードの枚数×200ポイント回復する。。,[1] Once per turn; activate this effect when a Wind Attribute card effect is triggered. Recover HP equal to the number of Wind Attribute cards cast this turn ×200 for yourself and all "Harpy" monsters on your field.
[2].このカードがフィールド上に存在する限り、自分のハーピーモンスターが受ける効果ダメージは300ポイント減少する。,[2] As long as this card exists on the field; effect damage received by your Harpie monsters is reduced by 300 points.
ん、おっぱい吸っていいよ・・・❤,Mm; you can nurse on my breasts if you want...❤
わたしのおっぱい、もちもちしてて気持ちいいでしょ？\nおちんちん、羽でこしょこしょしててあげるから、\nそのままじっとしてようね・・・❤,Don't my breasts feel nice and soft? I'll tickle your penis with my feathers; so just stay still...❤
わたしの体に包まれて、ふんわりふわふわ…❤\n幸せいっぱいで、気持ちよくしてあげる❤,Now that you're wrapped in my soft; fluffy body...❤ I'll fill your heart with happiness and make you feel so wonderful...❤
わたしの体ね、とってもあったかくて、抱き心地がいいって\n仲間のハーピーによく言われるの。\nほら、あなたも抱っこしてあげる❤,My body is so warm; don't you think? All the other harpies tell me how nice it feels when I hold them all the time. Come here. Let me hold you; too~❤
ふふ、おっぱいに甘えんぼできて、いいこいいこ❤\n体の力抜いてていいよ。ぴゅっぴゅっできるまで、羽で\nおちんちんもなでなでしててあげるからね❤,Fufu; I'll let you cuddle against my breasts. There. That's a good boy~❤ Just relax. I'll stroke your penis with my feathers until you let it all out for me~❤
ねえ、こっち来て？ぎゅって抱きしめてあげる…❤,Hey; come here; okay? I'll give you a biiig hug...❤
そうそう❤いいこ、いいこ❤\nおいでって言われたら、足がふらふらーって、勝手に動いちゃったね。\nわたしに甘えたいって気持ち、抑えられなかったみたい❤,That's it.❤ Such a good boy~❤ When I called you over; your legs moved all on their own; wobbling so sweetly as you got closer and closer. Seems you couldn't hold back your desire to be pampered by me~❤
ほら、あまえんぼさんには、\nおっぱいまくらで顔をたくさんぱふぱふしてあげるね❤\nねんねするまで、わたしの体に包まれていよ？うふふ❤,Here; for a needy boy like you; I'll give you lots of Puff-Puffs with my pillowy breasts~❤ Stay wrapped in my body just like this until you fall asleep; okay? Ufufu~❤
わたしの羽ってすごくふわふわでね、触るととっても気持ちいいの。\nそれに男の子が大好きなおっぱい…❤\nおっきくてやわらかいよ？,My wings are super fluffy; and they feel really nice to the touch. And all the boys seem to like my breasts so much...❤ They're so big and plush; don't you think?
近くに来たら、ぎゅ～って抱きしめて、\nたくさん甘やかしてあげる。\n戦いなんてやめて、気持ちいいことだけわたしとしていよう？ほら…❤,If you come closer; I'll hug you tight and spoil you lots. Stop fighting and just do nice-feeling things with me; okay? Here...❤
ん？あたしに気持ちいいことしてほしいの…？,Hm? Do you want me to make you feel good...?
くす❤もじもじしながらおねだりして、\nかわいい…❤\nいいよ、いっぱい気持ちよくなろうね…❤,*Giggle*❤ The way you fidget while begging is so cute...❤ Let's feel really good together; okay...?❤
んっ、たくさん出た…❤\nわたしのおっぱいに甘えるの、気持ちよかった？,Mm; you came so much...❤ Did it feel good to cuddle against my breasts.?
ルーキーくんは甘えんぼさんなんだね。\nうっとりしちゃってかわいい。\nいいこ❤いいこ❤,You're such a clingy boy. You look so entranced. How cute~♪ Good boy.❤ Such a good boy~❤
幸せそうな顔だね…❤\nわたしでそんな風にとろーんってなってくれたんだ。\nうれしい…❤,You look so happy...❤ I'm so glad I got the chance to make you melt like this. It makes me happy; too...❤
あぅぅ……❤,Ahh...❤
ん…❤\nわたしのそばにやってきてどうしたの？,Mm...?❤ And what; exactly; brought you so close to me?
手がもぞもぞ動いてる。\nそっか、我慢できなくなっちゃったんだね…❤,Your hands are fidgeting. Ah; I see. You couldn't hold back anymore; could you...?❤
わたしのことオカズにして、\nしこしこってするの気持ちいい？\nくすくす❤,Does it feel stroking yourself to my soft; plush form? *Giggle*❤
うぅっ、だめなのに……❤,Uhh; I shouldn't...B-but I can't...❤
んーん、だめじゃないよ。\n男の子だもん。ムラムラしちゃったらしょうがないよね…❤,Oh no; it's not a bad thing. You're a boy; after all. When you get aroused it can't be helped; can it...?❤
ほら、しごいて、しごいて…♪\nわたしの体をとろーんってした目で見つめながら、\nおちんちん握って、しこしこ❤しこしこ❤,Here; stroke it; stroke it... ♪ Look at me with those lidded eyes while you hold your penis tight; okay?❤ Stroke; stroke; stroke~❤
シコシコすると、どんどん気持ちよくなっちゃうね❤\n腰がぴくぴくってふるえて、\n一生懸命射精をがまんしてる。かわいい❤,It's feeling better and better as you keep going; isn't it?❤ Your hips are twitching; desperately trying to keep yourself from cumming. How cute~❤
わたしの体のどこが好き？\nやわらかいおっぱい？\nそれともむにってしたふともも？,Which part of my body do you like? Is it... my soft breasts? Or maybe... my plump thighs?
どっちもたくさん見ていいよ❤\n気持ちよくなれるように、たくさんじーって見て、\nしこしこしようね…❤うふふ❤,You can look at both all you want~❤ If it helps you feel good; stare all you want and just keep stroking...❤ Ufufu~❤
ほら、わたしのあったかぁいおっぱいだよ。\nゆさ、ゆさ…❤ぷるん、ぷるん❤,Here; take a good look at my big; warm breasts. I'll sway them for you; like this...❤ And bounce them... Like this~❤
今度はわたしのふともも…❤\n羽のちょっと上ぐらいにおちんちん挟むとね、\nすりすりってたまにこすれて気持ちいいんだよ…❤,And let's not forget my thighs...❤ If you were to slide your penis just above where my wings are; it would occasionally rub against them and feel really; really good...❤
あううっ、えろいぃ…❤❤もうっ…❤,Ahh; so sexy...❤❤ I... I...❤
うんうん、もう出ちゃうんだね❤\nいいよ、がまんしないで、いっぱい出して…❤,Yes; that's it. You're about to cum; right?❤ It's okay; don't hold back. Let it all out...❤
わたしのエッチな体を見ながら、\nそう、しこしこしこ…❤手を止めちゃダメ❤\n気持ちよく出しちゃうまでゆっくりでも動かすの❤,Keep stroking yourself while looking at my sexy body...❤ Don't stop moving your hand.❤ Keep going; even if only slowly; until you feel good enough to let it all out~❤
ほら、出ちゃう❤出ちゃうね❤\nおちんちんからびゅーって出ちゃう❤\nわたしに向かって出して❤出して❤,Here it comes~❤ You're so close; aren't you?❤ You're about to let it out.❤ Give it to me~❤ Shoot it all out~❤
あん、おっぱいまで飛んできた…❤\nびゅるるってすっごい勢いだね。,Ah; it flew all the way to my breasts...❤ You came with such incredible force.
わたしでこんなに気持ちよくなってくれてうれしいな❤\nマスターくんの負けになっちゃったけど、\nあとちょっとまでよくがんばったよ。えらいえらい❤,I'm so happy I could make you feel this good.❤ Even though you lost; you did so well to last this long; Mister Master. Good job. Such a good boy~❤
わたしでこんなに気持ちよくなってくれてうれしいな❤\nんー？ほかの子もうらやましそうな顔してる。\nあなたたちもわたしでシコシコしたいの？くすくす❤,I'm so happy I could make you feel this good.❤ Hmm? Everyone else looks a little jealous. Do you all want to stroke yourselves to my body; too? *Giggle*❤
ん…❤\nあなたもわたしにオナニー見てほしいの？,Mm...❤ Do you want me to watch you masturbate; too?
くす❤恥ずかしそうにコクコク頷いてる…❤\nそっか、我慢できなくなっちゃったんだね…❤,*Giggle*❤ You're nodding shyly...❤ I see. You couldn't hold back anymore; could you...?❤
わたしのことオカズにして、\nしこしこってするの気持ちいい？,Does it feel stroking yourself to my soft; plush form?
あう、強いんだね…。\nわたしもう動けないかも…。,Oh my; you're so strong... I don't think I can keep fighting...
あれ、でもあなたもけっこう限界なのかな？\nわたしのおっぱいを見る目がとろんってしてるよ…❤\nくすくす❤,But... aren't you at your limit; too? You're staring at my breasts; and your eyes look all glazed over...❤ *Giggle*❤
わたし、もう体を動かすのも難しいし、\n羽を広げて、あなたが来るのを待つことにするね…❤,It's gotten so hard for me to move my body; so I'll just spread my wings and wait for you to come to me; okay...?❤
わたしの胸、やわらかそうでしょ？\nここに飛び込んできていいんだよ…❤,My breasts look soft; don't they? You can dive into them if you want...❤
頭を埋めてくれたらいっぱい、いいこいいこってしてあげる❤,If you bury your face in them; I'll pat your head and tell you what a good boy you are~❤
ほら、おいで・・・❤うふふ❤,Come on; come over here...❤ Ufufu~❤
理性を振り絞ってとどめを刺した,Muster all your willpower and deliver the final blow
ふらふらと引き寄せられてしまった,'So inviting... And so soft...'
あうう、ざんねん…。,Aww; too bad...
あううっ・・・❤,Ahhh...❤
くす❤ふらふら～っておっぱいに飛び込んできちゃったね❤\nやっぱりもう限界だったんだ…❤,*Giggle*❤ You just tumbled right into my breasts; didn't you?❤ Looks like you were at your limit after all...❤
わたしを追い詰めるぐらい強かったんだもん。\nきっと見えないところでいっぱい頑張ってきたんだよね…❤,Even so; you were still strong enough to corner me. You must have been working so hard behind the scenes; weren't you...?❤
だからね、たまには甘えちゃってもいいんだよ❤\n闘技場の試合とかサキュバスとの戦いじゃないもん。\n甘えたいってこころに素直になろう…❤,That's why it's okay to let yourself be spoiled sometimes~❤ This isn't an arena match or a battle with a succubus. Just be honest with your desire to be pampered...❤
ほら、おっぱいで頭をなでなでってしてあげる…❤\nいいこ❤いいこ❤,Here; I'll rub your head with my breasts...❤ Good boy~❤ Such a good boy~❤
はうぅう・・・❤きもちいいぃ・・❤❤,Hahh...❤ Feels good... So good...❤❤
おっぱいで頭をなでられて、\nとっても気持ちよさそう…❤\nあっという間にお顔がとろーんってなっちゃったね…❤,You look like you're really enjoying this...❤ Your face melted into bliss so quickly...❤
わたしの体、あったかくて落ち着くでしょ…❤\n体がぽかぽかしてるから、\n体をぴたってくっつけてるだけで気持ちいいよね…❤,My body is so warm and comforting; don't you think?❤ With how warm my body is; just being pressed against it feels good; doesn't it...?❤
おっぱいのやわらかさだけでも、あなたの体とろけちゃうのに、\nあったかいのに包まれて、\nもう全然力が入らない❤腕も足もだらーんってなっちゃってる…❤,The softness of my breasts alone makes your body melt; but when wrapped in my warmth; you can't muster any strength at all~❤ Your arms and legs have gone completely limp...❤
もっと頭の中がふわふわになれるように、羽で包んであげるね…❤\nわたしに包まれて、気持ちよくなって…❤幸せになって…❤,To make your mind even fuzzier; I'll wrap you in my wings; okay...?❤ Let yourself be embraced by me and feel good...❤ Just be happy...❤
あうう、とけるぅ・・・❤❤,Aww; I'm melting...❤❤
だいじょうぶ。とけちゃってもわたしがぎゅってしててあげるよ❤\nだから、なにも考えないで、\nおっぱいに顔をすりすりして、たくさん甘えちゃおうね…❤,It's okay. Even if you melt away; I'll still hold you tight.❤ So don't think about anything; okay? Just nuzzle your face against my breasts and let yourself be spoiled...❤
そう、じょうず、じょうず❤\nおっぱいに甘えるのじょうずだね❤\nん、もう出しちゃいそうなの…？,That's it; good job. Just like that~❤ You're so good at cuddling my breasts.❤ Hm; are you about to cum already...?
いいよ、好きな時にびゅってしちゃおう❤\nきょうはもう頑張らなくていいんだもん。\nおちんちんも我慢なんてしなくていいの…❤,It's okay. You can let it out whenever you want~❤ You don't have to try hard anymore today. Your penis doesn't need to hold back anymore; either...❤
気持ちよくびゅって出せるように、\nわたしからもおっぱいをぱふぱふってしてあげるからね❤\nうんうん、とっても幸せだね…❤きもちいいね…❤,To make sure you cum in pure bliss; I'll give you a Puff-Puff; too~❤ That's it. There you go. You're so happy; aren't you...?❤ It feels so good; doesn't it...?❤
はうぅうっ・・❤❤,Hah; haaah...❤❤
んふふ❤\nとろとろのお顔のまま、こんなにたくさん出しちゃった…❤\nわたしに甘えんぼしながら射精するの気持ちよかった？,Mfufu~❤ You looked so happy; and you came so much...❤ Did it feel good to cum while being spoiled by me?
わたしのこと回復させてくれてありがとう…❤\nわたしもあなたのこと幸せのとろとろにできて、\nうれしいよ…❤うふふ❤,Thank you for healing me...❤ And I'm so happy I could make you melt with pleasure...❤ Ufufu~❤
あう、あなたも強いんだね…。\nわたしもう動けないかも…。,Oh my; you're strong too; aren't you...? I might not be able to keep fighting like this...
さっきの人は甘えんぼさんだったけど、\nあなたは違うのかな。\nねえ、ほら見て…❤,The person before was the clingy type. Maybe you're not so different. Hey; look here...❤
わたしの胸、やわらかそうでしょ？\nあなたも、ここに飛び込んできていいんだよ…❤,My breasts look soft; don't they? You can dive into them; too; if you want...❤
頭を埋めてくれたらね、\nいっぱい、いいこいいこってしてあげる❤,If you bury your face in them; I'll pat your head and tell you what a good boy you are~❤
くす❤ふらふら～っておっぱいに飛び込んできちゃったね❤\nやっぱりあなたも甘えんぼさんだったんだ…❤,*Giggle*❤ You tumbled right into my breasts; didn't you?❤ So you really were the clingy type after all...❤
男の子っておっぱいに甘えるのが好きだよね。\nわたしも男の子を甘やかすの、大好きだよ…❤,Boys really do just love cuddling breasts; don't they? Well; I love spoiling boys; so I guess it's okay...❤
え？ほんとはこんなことしてちゃダメなのにって？\nくす❤いいんじゃない？だって闘技場の試合とか、\nサキュバスとのバトルじゃないんだもん。,What's that? You don't think we should be doing this? *Giggle*❤ It's not that bad; is it? This isn't an arena match or a battle with a succubus.
