default
細工師ノーム,Craftmaker Gnome
EU63_blowJobAnime,
　手先が器用で細かい金属飾り作るのが得意なノーム。宝石をカッティングしたり、指輪の飾りを作ったりと、どんなことでも上手にこなす。,A dexterous gnome who is skilled at making intricate metal ornaments. From cutting gemstones to embedding rings; she's skilled at making anything. 
\n　彼女の絶妙な力加減はエッチな攻撃にも存分に活かされており、両手で握ってしごかれるだけで、すぐにイかされそうになるぐらい巧みに手コキをしてくる。射精寸前になったのを見計らい、玉をもみほぐし先っぽを舌で刺激する必殺のテクニックがあり、この技を受けて耐えられる男は決して多くない。彼女の小さな口になさけなく屈服させられることになるだろう。Row29:Card Text:[1].このカードが召喚に成功したときLPを500払って発動できる。デッキから地属性の魔法カードをランダムに１枚手札に加える。,\n Her masterful dexterity is also used to the fullest in her erotic attacks. Merely holding and stroking with both hands will bring a man to orgasm from her skillful handjobs. She has a lethal technique where she massages a man's balls while stimulating the tip with her tongue until he's on the brink of climax. Few men can endure this technique; and most are left pathetically subjugated by her small mouth. [1].When this card is successfully summoned; you can pay 500 LP to add a random Earth Spell Card from your deck to your hand.  
[2].１ターンに１度、自分が「ジェム」カードを発動したときに発動する。手札からレベル３以下のモンスターを１体特殊召喚する。,[2] Once per turn; when you activate a "Gem" card; special summon 1 Level 3 or lower monster from your hand.
[3].このカードが受ける戦闘ダメージ・効果ダメージは自分の墓地に存在する「ジェム」カードの種類×50ポイントダウンする。,[3]. This card's battle damage and effect damage taken is reduced by 50 points for each type of "Gem" card in your Graveyard.
にひひ❤わたしのフェラ、とっても気持ちいいの❤\nわたしを見下ろしている、大きなお兄さんでも、\nぺろぺろぺろってなめてあげればぁ・・・❤,Ehehe~❤ My blowjobs feel amazing.❤ Even if a big guy like you looks down on me; if I can manage to lick and suck you below here...❤
気持ちよすぎて膝がガクガク❤すぐに立っていられなくなって\nわたしに見下ろされちゃうんだよ？,Your knees are trembling from the pleasure.❤ Soon you won't even be able to stand; and I'll then be the one looking down on you; right?
ねえ、今のを聞いて、自分のがなめられるのを想像しちゃった？\nんふ、それじゃ、さっそくやってあげるね❤\nわたしのかわいい舌でぇ、れろぉー❤,Hey; did you imagine getting your thing licked after hearing what I said? Heh; then I'll do it now.❤ I'll lick it with my cute little tongue~❤
わたしのお口小さいから、\nあんまり大きいおちんちんだと、口の中に入りきらないんだ。\nでもね。そんなときは・・・❤,Since my mouth is so small; I can't fit a dick in my mouth if it's too big. But you know? When that happens...❤
先っぽを唇でちゅぱ、ちゅぱって❤\n何回も吸い付くみたいにいじめてあげて、\n亀さんの裏側を舌でちろちろちろーってちょっと舐めてあげるの❤,I just suck on the tip instead.❤ I can tease you by sucking on it over and over again; and licking under the tip with my tongue.❤
竿までしゃぶらなくても、男の人ってこれだけでイっちゃうんだよ❤\nわたしの先っぽ責め、あなたは耐えられるかなあ❤,Even without having to suck their thing; men will cum from just this.❤ I wonder if you'll be able to endure me teasing your tip.❤
わたしフェラがいちばん得意なんだぁ❤\nおっぱい大きくないし、こんなちびっ子に負けるわけないって、\n油断したお兄さんを・・・❤,I'm really good at giving blowjobs.❤ Since my boobs are small; you thought it'd be impossible to lose against a little girl like me. But you ended up letting your guard down; Mister...❤
この赤い舌で、れろぉーってなめあげてぇ、\nそのまま咥えて、じゅぽじゅぽじゅぽ❤\n偉そうなこと言ってても、あっという間にわたしに負けちゃうんだよ❤,I'll lick it all over with my pink tongue; then I'll put it in my mouth and suck.❤ No matter how tough you act; I'll take you down in seconds.❤
お兄さんは今の話聞いたから、もう油断なんてしないよねぇ❤\nあれー、それにしては、おちんちんおっきくなって、\nしゃぶって欲しそうにびくびくしてるなぁ❤,Now that I've told you all this; Mister; you won't let your guard down again; right?❤ Huh~ But it looks like your dick grew bigger; and you're trembling like you want me to suck on it.❤
はやく小さくしないと、わたしのお口ですぐイかされちゃうよ？\nほら、あーむっ❤\nじゅるじゅぷじゅぽっ❤,If you don't shrink it down quickly; you'll instantly be made to cum in my mouth. Like this; chomp~❤ *Suck* *Slurp*❤
掘り出された鉱石を、ハンマーでトントントンって叩いて、\n宝石を取り出すのがわたしの仕事♪\n繊細で難しいけど、手先が器用だから完璧にこなせるんだよ♪,I pound excavated ore with a hammer and extract their gems for a living.♪ It's tough; delicate work; but I can do it flawlessly with my dexterous hands.♪
おちんちんでどれだけ器用か実演してあげよっか？\nお兄さんの大事なところを手で握って、\nほら、タマタマを、にぎにぎにぎ❤とんとんとん❤,Should I show your dick how handy I am? I'll hold Mister's important part in my hands. Look; I'll squeeze these balls;❤ then I'll pound them~❤
手の平でタマをとんとん♪ってたたかれるの、ぞわぞわしちゃうよね❤\n大丈夫❤やさしく触って\n中に隠れてる精液さん、ぜーんぶ出してあげるからね❤,When I tap your balls with the palm of my hand;♪ it feels arousing; doesn't it?❤ Don't worry.❤ I'll touch you gently and draw out all the semen hiding inside you; okay?❤
お兄さんのおちんちんに、手の平をぽんって被せてぇ、\n上からすりすりすり～❤なでなでなで～❤,Let me place my palm over Mister's penis and grind the top~❤ Grind grind~❤
くすくす❤体がびくびくしてる❤\n手袋の表面が少しざらざらしてるでしょ？\n手袋おててで亀さんすりすりされて、気持ちいいねー♪,*Giggle*❤ You're trembling.❤ These gloves feel a bit rough; don't they? Getting your tip rubbed by my gloved hand feels amazing; doesn't it~?♪
んー？なになに？わたしにエッチなことしてほしいって？\nくすくす❤わたしみたいなちっちゃい子にそんなお願いしちゃうんだ。\nお兄さん、ヘンタイだね❤,Hm~? What is it? You want me to do something naughty? *Giggle*❤ Begging a younger girl like me to do something like that; Mister is a pervert; isn't he?❤
わたし、フェラも手コキも上手だよ♪\nどっちでイかせてほしい？\nほら、おねだりしてみて？お兄さん❤,I'm great at both blowjobs and handjobs.♪ Which one would you like me to make you cum with?❤ Hey; why don't you try begging for it; Mister~?❤
土妖精の口遊び,Earth Gnome Blowjob
土妖精の手遊び,Earth Gnome Handjob
なんでも,You decide
んふふ、わたしのお口で気持ちよくしてほしいの？\nいいよ❤わたしの抜群のフェラテクで、天国を見せてあげる❤,Fufu; so you want me to make you feel good with my mouth? Okay~❤ I'll show you heaven with my amazing blowjob technique.❤
