default
ポイズンラミア,魅毒拉米亞
砂漠にすむ毒使いのラミア。自分の体内で調合した毒物を薄い霧状にして相手に吹き付ける。毒の中にはわずかながら彼女のフェロモンが含まれており、男性の方が無意識に深く吸い込んでしまうため重症になりやすい。彼女と口づけをすれば毒を深く肺に送り込まれてしまうため、甘い言葉で誘惑されたとしても口づけだけは許してはならない。,砂漠にすむ毒使いのラミア。自分の体内で調合した毒物を薄い霧状にして相手に吹き付ける。毒の中にはわずかながら彼女のフェロモンが含まれており、男性の方が無意識に深く吸い込んでしまうため重症になりやすい。彼女と口づけをすれば毒を深く肺に送り込まれてしまうため、甘い言葉で誘惑されたとしても口づけだけは許してはならない。
特性：「凍結弱点」\n[1].このカードが特殊召喚に成功した時、または相手モンスターを破壊したとき発動する。相手プレイヤーに「毒(400)」を付与する。,特性：「凍結弱點」\n[1].當這張卡特殊召喚成功或這張卡破壞對手怪獸時發動，賦予對手玩家「毒」（400）。
[2].戦闘時に相手に「毒」(300)を付与する。,[2].交戰時賦予對方「毒」（300）。
HPが50%以下になると戦闘時10%の確率でぱふぱふ攻撃をし、相手へ拘束攻撃を行う。,(1).HP在50%以下時，交戰後會有10%機率以埋胸進行追加攻擊。
蛇の力からは逃げられない。ほら・・・❤,蛇の力からは逃げられない。ほら・・・❤
おっぱいの甘い匂いだけを吸っていなさい。動かなくなるまでぎゅっと締めあげてあげる・・・❤,おっぱいの甘い匂いだけを吸っていなさい。動かなくなるまでぎゅっと締めあげてあげる・・・❤
ねえ、このベールの向こうがどうなっているか気になる？\n例えばわたしの舌・・・❤\nとっても長くてセクシーなのよ。,ねえ、このベールの向こうがどうなっているか気になる？\n例えばわたしの舌・・・❤\nとっても長くてセクシーなのよ。
ペニスに巻き付けてじゅるるってしゃぶってあげれば、\n男はみな悶絶しちゃう気持ちよさ❤\n実際に舐めて味合わせてあげる❤,ペニスに巻き付けてじゅるるってしゃぶってあげれば、\n男はみな悶絶しちゃう気持ちよさ❤\n実際に舐めて味合わせてあげる❤
ラミア種のフェラはどれも絶品よ。\nわたしの口は特にそう❤\n腰が抜けてアヘアへになっちゃうぐらい気持ちいいの❤,ラミア種のフェラはどれも絶品よ。\nわたしの口は特にそう❤\n腰が抜けてアヘアへになっちゃうぐらい気持ちいいの❤
ベール越しに何をされているのかよく分からない状態でしゃぶられて、\n全身が骨抜きになるような快感にあえぐ❤\nあなたもすぐに口に精を吐き出すわ。うふふ❤,ベール越しに何をされているのかよく分からない状態でしゃぶられて、\n全身が骨抜きになるような快感にあえぐ❤\nあなたもすぐに口に精を吐き出すわ。うふふ❤
口でしゃぶられてどれだけ耐えられるかしら。あーん❤,口でしゃぶられてどれだけ耐えられるかしら。あーん❤
