default
ガンナーハーピー,槍手哈比
[1].1ターンに1度、風属性カードの効果が発動したとき発動する。ランダムな相手モンスターに連鎖発動した風属性カードの枚数×200ポイントのダメージを与える。\n[2].１ターンに１度、手札の風属性カード１枚を捨てて発動できる。相手の魔法トラップカードをランダムに１枚破壊する。,[1].1回合1次，可在風屬性卡片效果發動時發動。給予隨機１體對手怪獸連鎖發動的風屬性卡片張數Ｘ200點的傷害。\n[2].１回合１次，可捨棄手上風屬性卡片發動。隨機破壞對手場上１張魔法・陷阱卡。
[3].自分の風属性カードによって相手モンスターが破壊されたとき発動する。ランダムな相手モンスターにこのターン発動した風属性カードの枚数×100ポイントのダメージを与える。,[3].當自己的風屬性卡片破壞對手怪獸時發動。隨機給予對手怪獸這回合發動的風屬性卡片張數Ｘ100點的傷害。
銃器の扱いに優れたハーピー。空中を風のように飛び回りながら銃で攻撃してくる。普段は風の魔力で作った弾を飛ばしているが、時には魅了の魔力を弾にして飛ばし、鎧や盾で受けようとした相手の不意を付くことがある。耐性のある装備で防がなければ、あっという間に魅了されてしまい、そのまま彼女の餌食になってしまうだろう。エッチなことはたいがい得意だが、特にパイズリが得意。,銃器の扱いに優れたハーピー。空中を風のように飛び回りながら銃で攻撃してくる。普段は風の魔力で作った弾を飛ばしているが、時には魅了の魔力を弾にして飛ばし、鎧や盾で受けようとした相手の不意を付くことがある。耐性のある装備で防がなければ、あっという間に魅了されてしまい、そのまま彼女の餌食になってしまうだろう。エッチなことはたいがい得意だが、特にパイズリが得意。
オラ、胸でしごいてやるよ❤,オラ、胸でしごいてやるよ❤
アタシの胸、抜群のハリだろ？\nぎゅって押しつぶされて、挟まれた瞬間に天国❤\n激しく扱いてあっという間にイかせてやるからな❤,アタシの胸、抜群のハリだろ？\nぎゅって押しつぶされて、挟まれた瞬間に天国❤\n激しく扱いてあっという間にイかせてやるからな❤
アタシのスピードについてこれるか？\nほら、隙ありだ！,アタシのスピードについてこれるか？\nほら、隙ありだ！
へへ、一回挟んじまえばこっちのもんだぜ。\nアタシ自慢のおっぱいで、お前なんて速攻昇天❤パイズリで天国行きさ❤,へへ、一回挟んじまえばこっちのもんだぜ。\nアタシ自慢のおっぱいで、お前なんて速攻昇天❤パイズリで天国行きさ❤
この反応、お前おっぱい大好きだろ？\n上下に激しくズられて\n何秒耐えられるかな？おらおらおら❤,この反応、お前おっぱい大好きだろ？\n上下に激しくズられて\n何秒耐えられるかな？おらおらおら❤
手の平でぐりぐり押し付けて、\nさらに上下にズリズリズリっと♪\nおらおら❤全部出しちまえよ❤,手の平でぐりぐり押し付けて、\nさらに上下にズリズリズリっと♪\nおらおら❤全部出しちまえよ❤
男をイかせるなんて朝飯前さ。\nアタシのおっぱいでちょっとかわいがってやれば、\nすぐに骨抜きになるならかな❤,男をイかせるなんて朝飯前さ。\nアタシのおっぱいでちょっとかわいがってやれば、\nすぐに骨抜きになるならかな❤
なに？自分は耐えられるって？\nははっ、ほんとかどうか、パイズリして試してやるよ。\nほらよっ❤,なに？自分は耐えられるって？\nははっ、ほんとかどうか、パイズリして試してやるよ。\nほらよっ❤
んー？どうした？腰がふるえてるんじゃねえのか？\n強がってもチンポは正直みたいだなぁ❤うりうりうり❤,んー？どうした？腰がふるえてるんじゃねえのか？\n強がってもチンポは正直みたいだなぁ❤うりうりうり❤
あん？アタシに気持ちよくしてほしいだって？,あん？アタシに気持ちよくしてほしいだって？
はっ、実力を試すためのバトルだってのに、\n何言ってんだ。\nやる気あんのか？,はっ、実力を試すためのバトルだってのに、\n何言ってんだ。\nやる気あんのか？
ううっ…❤ごめんなさい、我慢できなくて…❤,ううっ…❤ごめんなさい、我慢できなくて…❤
たく、しょうがねえな。\nいいぜ。さっさとわたしの胸で抜いてやるよ❤\n脳みそムラムラして、もう勝負になんねえんだろ。弱っちい野郎だ❤,たく、しょうがねえな。\nいいぜ。さっさとわたしの胸で抜いてやるよ❤\n脳みそムラムラして、もう勝負になんねえんだろ。弱っちい野郎だ❤
まったくチョロいもんだぜ。\n挟んで擦ってやれば、すぐ出しやがってよ❤,まったくチョロいもんだぜ。\n挟んで擦ってやれば、すぐ出しやがってよ❤
そんなんじゃ、アタシのマスターからの花丸はもらえねえな。\n雑魚❤,そんなんじゃ、アタシのマスターからの花丸はもらえねえな。\n雑魚❤
