default
ぱふぱふ処刑人,埋胸處刑人
戦闘時相手に「おっぱいに弱い」を付与する。,交戰時賦予對方「胸部弱點」。
[1].このカードが相手モンスターを破壊したとき、自分フィールド上のすべての「処刑人」モンスターに「再生(200)」を付与する。,[1].當這張卡破壞對手怪獸時發動。賦予自己場上所有「處刑人」怪獸「再生」（200）。
ぱふぱふが上手な処刑人。教義に基づき、男性を「処刑」し、その考えを改めさせることを仕事としている。パイズリ処刑人とよく共に仕事をし、パイズリ処刑人が強い快楽で徹底的に男をなぶったあと、彼女がその男をぱふぱふで甘やかして洗脳する流れはきわめて有効である。彼女たちの巧みな飴と鞭に抗える男性は多くない。,擅長埋胸的處刑人。根據教義「處刑」男性，使其想法改變是她的工作。與乳交處刑人一起工作，當乳交處刑人以強烈快感徹底幹翻男人後，再由她用甜蜜的埋胸洗腦對手是非常有效的宣揚教義的手段。能夠抵抗她們強力的皮鞭與糖果戰術的男性並不多。
いまからあなたのことを処刑いたします。怖いですか？でも大丈夫、こうやっておっぱいに顔を埋めてしまえば…❤,いまからあなたのことを処刑いたします。怖いですか？でも大丈夫、こうやっておっぱいに顔を埋めてしまえば…❤
ほおら、恐怖なんて無くなってとっても気持ちよくなってしまいますでしょう？そのまま天国までイってしまいなさい。くすくす❤,ほおら、恐怖なんて無くなってとっても気持ちよくなってしまいますでしょう？そのまま天国までイってしまいなさい。くすくす❤
男の人を処刑するのにこの斧を使う必要はありませんわ。だってほら…❤,男の人を処刑するのにこの斧を使う必要はありませんわ。だってほら…❤
おっぱいに顔を押し付けてあげれば、それだけで蕩けてしまうんですもの。ぱふぱふ❤ぱふぱふ❤とっても気持ちいいでしょう？,おっぱいに顔を押し付けてあげれば、それだけで蕩けてしまうんですもの。ぱふぱふ❤ぱふぱふ❤とっても気持ちいいでしょう？
うふふ❤もがいても無駄ですわ。こう見えてけっこう力は強いんです。それに…。,うふふ❤もがいても無駄ですわ。こう見えてけっこう力は強いんです。それに…。
ぱふぱふされながら本気の力を出せる男なんていないでしょう？ほら、ぱふぱふ❤ぱふぱふ❤,ぱふぱふされながら本気の力を出せる男なんていないでしょう？ほら、ぱふぱふ❤ぱふぱふ❤
癒しこそがわたしたちの教義。あなたにわたしたちの教えの素晴らしさをしっかり教えてさしあげますね。,癒しこそがわたしたちの教義。あなたにわたしたちの教えの素晴らしさをしっかり教えてさしあげますね。
こうやって子を抱きしめるように、ぱふぱふ❤ぱふぱふ❤,こうやって子を抱きしめるように、ぱふぱふ❤ぱふぱふ❤
癒されるでしょう？素晴らしいでしょう？心ゆくまでわたしのぬくもりを楽しんでください。うふふ❤,癒されるでしょう？素晴らしいでしょう？心ゆくまでわたしのぬくもりを楽しんでください。うふふ❤
くすくす❤熱心にわたしに頼み込んで、入信の願いでしょうか❤\n女神さまの教えのすばらしさを、\nその身で体験したくてたまらなくなったようです❤,くすくす❤熱心にわたしに頼み込んで、入信の願いでしょうか❤\n女神さまの教えのすばらしさを、\nその身で体験したくてたまらなくなったようです❤
わたしは男性を胸であやすのが得意です。\nほら、この胸で顔を甘やかして信者になる喜びの一端を、\nあなたに教えてあげますね❤,わたしは男性を胸であやすのが得意です。\nほら、この胸で顔を甘やかして信者になる喜びの一端を、\nあなたに教えてあげますね❤
あなたは気持ちよくなるたびに、女神様への感謝を口に出しなさい❤\n口に出し続けている限り、胸で快楽を与えつづけてあげましょう❤,あなたは気持ちよくなるたびに、女神様への感謝を口に出しなさい❤\n口に出し続けている限り、胸で快楽を与えつづけてあげましょう❤
くすくす❤「女神様ぁ」といいながら射精してしまいました❤\nわたしの胸で頭を揺さぶられ、\nあなたの古い価値観はどこかに行ってしまったようですね❤,くすくす❤「女神様ぁ」といいながら射精してしまいました❤\nわたしの胸で頭を揺さぶられ、\nあなたの古い価値観はどこかに行ってしまったようですね❤
女の庇護に入るこの喜び、よくよく覚えておいてください❤\nこれがこの先あなたの生きる指針になるのですから。うふふ❤,女の庇護に入るこの喜び、よくよく覚えておいてください❤\nこれがこの先あなたの生きる指針になるのですから。うふふ❤
あっ、ああっ・・・。,あっ、ああっ・・・。
あらあら。地面に膝をついてオナニーを始めてしまいました。自ら敗北を選ぶなんて、ずいぶんと潔いのですね。,あらあら。地面に膝をついてオナニーを始めてしまいました。自ら敗北を選ぶなんて、ずいぶんと潔いのですね。
いえ、潔いのではなく単に欲望に負けただけでしょうか。わたしの胸をオカズにそんなに扱いて、敗北は気持ちいいですかぁ？くすくす❤,いえ、潔いのではなく単に欲望に負けただけでしょうか。わたしの胸をオカズにそんなに扱いて、敗北は気持ちいいですかぁ？くすくす❤
ううっ・・・❤,ううっ・・・❤
笑われながら興奮しているなんて罪深い人❤しゃがんで見下ろされているのもマゾのあなたにとっては興奮の一因になっているのでしょうか❤,笑われながら興奮しているなんて罪深い人❤しゃがんで見下ろされているのもマゾのあなたにとっては興奮の一因になっているのでしょうか❤
あなたの位置からだとわたしの下乳がしっかり見えるでしょう？これだけボリュームがあると重そうで気持ちよさそうですよねぇ❤,あなたの位置からだとわたしの下乳がしっかり見えるでしょう？これだけボリュームがあると重そうで気持ちよさそうですよねぇ❤
このおっぱい、今からお顔の上に落としてあげましょう…❤仲間を裏切ったご褒美です。,このおっぱい、今からお顔の上に落としてあげましょう…❤仲間を裏切ったご褒美です。
ただのぱふぱふとは違いますよ。おっぱいの重量をどっしりと感じさせるおっぱいプレスです❤味わってみたいですよねぇ❤,ただのぱふぱふとは違いますよ。おっぱいの重量をどっしりと感じさせるおっぱいプレスです❤味わってみたいですよねぇ❤
あは、シコシコしながら必死に頷いちゃって、ずいぶんと従順❤みっともなくてかわいらしいこと❤,あは、シコシコしながら必死に頷いちゃって、ずいぶんと従順❤みっともなくてかわいらしいこと❤
いいですよ、従順は美徳ですから。素直なあなたには、おっぱいプレス、してあげましょう❤,いいですよ、従順は美徳ですから。素直なあなたには、おっぱいプレス、してあげましょう❤
みっともなくシコシコしているあなたの顔の上におっぱいを構えて、３、２、１…。おっぱいをドーン❤,みっともなくシコシコしているあなたの顔の上におっぱいを構えて、３、２、１…。おっぱいをドーン❤
はぐぅぅっ…❤,はぐぅぅっ…❤
うふふ、おっぱい落とした瞬間にイっちゃいましたね。あら気絶している。あまりの快楽に意識ごと飛んじゃったみたいです❤,うふふ、おっぱい落とした瞬間にイっちゃいましたね。あら気絶している。あまりの快楽に意識ごと飛んじゃったみたいです❤
マスターさんは、この間もこうやっておっぱいで処刑されて負けちゃいましたよね。くすくす❤わたしのせいで変な性癖つけちゃってごめんなさい❤,マスターさんは、この間もこうやっておっぱいで処刑されて負けちゃいましたよね。くすくす❤わたしのせいで変な性癖つけちゃってごめんなさい❤
また今度もおっぱいプレスで負けちゃっていいですよ❤待ってますね。うふふ❤,また今度もおっぱいプレスで負けちゃっていいですよ❤待ってますね。うふふ❤
ほら、他の人もわたしの足元にひざまずいてください。今ならおっぱいを頭の上に落として処刑してあげますよ？くすくす❤,ほら、他の人もわたしの足元にひざまずいてください。今ならおっぱいを頭の上に落として処刑してあげますよ？くすくす❤
うふふ。あなたもわたしのおっぱいを顔に落としてほしいんですか？,うふふ。あなたもわたしのおっぱいを顔に落としてほしいんですか？
断頭台は罪人を裁くものですが、こんなに便利な断頭台はありませんね。だって相手から「処刑してくれぇ」っておねだりに来ちゃうんですもの❤,断頭台は罪人を裁くものですが、こんなに便利な断頭台はありませんね。だって相手から「処刑してくれぇ」っておねだりに来ちゃうんですもの❤
ほら、わたしに断罪してほしいなら、もっと一生懸命しごいてください。情けなーくシコシコしながらおねだりしないと、おっぱいプレス、してあげませんよ？,ほら、わたしに断罪してほしいなら、もっと一生懸命しごいてください。情けなーくシコシコしながらおねだりしないと、おっぱいプレス、してあげませんよ？
あううっ、おねがいします……❤,あううっ、おねがいします……❤
くすくす❤いい表情です。おっぱいを使って少し誘惑しただけなのに、敵の前でそんな風に頼めちゃうなんて、ほんとうに男って愚か。,くすくす❤いい表情です。おっぱいを使って少し誘惑しただけなのに、敵の前でそんな風に頼めちゃうなんて、ほんとうに男って愚か。
いいですよ、従順は美徳ですから。素直なあなたに免じておっぱいプレスしてあげましょう。,いいですよ、従順は美徳ですから。素直なあなたに免じておっぱいプレスしてあげましょう。
何回もおっぱいに押しつぶされたければ射精は我慢してください。まあたぶん無理ですけど…❤,何回もおっぱいに押しつぶされたければ射精は我慢してください。まあたぶん無理ですけど…❤
行きますよ？あなたの顔の上におっぱいを構えて、３、２、１…。ドーン❤,行きますよ？あなたの顔の上におっぱいを構えて、３、２、１…。ドーン❤
あは、やっぱりおっぱいを落とした瞬間にイっちゃいましたね。1回だけで済んでほんとに楽な処刑です。,あは、やっぱりおっぱいを落とした瞬間にイっちゃいましたね。1回だけで済んでほんとに楽な処刑です。
ほら、他の人もわたしの足元にひざまずいてください。今ならおっぱいを頭の上に落として何度でも処刑してあげますよ？くすくす❤,ほら、他の人もわたしの足元にひざまずいてください。今ならおっぱいを頭の上に落として何度でも処刑してあげますよ？くすくす❤
ううっ、強いですね…。,ううっ、強いですね…。
あなたの実力はわかりました。確かな腕を持っているようです。ですが…。,あなたの実力はわかりました。確かな腕を持っているようです。ですが…。
あなたの理性ももう限界ですよね？ぎゅうー❤,あなたの理性ももう限界ですよね？ぎゅうー❤
押し付けられる感触で分かります。ペニスはガチガチに勃起して、今にも精を吐き出してしまいそう。,押し付けられる感触で分かります。ペニスはガチガチに勃起して、今にも精を吐き出してしまいそう。
そんな状態でわたしの拘束から逃げ出せますか？射精したくてたまらないのではないですか？,そんな状態でわたしの拘束から逃げ出せますか？射精したくてたまらないのではないですか？
このままじっとしていれば、\nたくさんぱふぱふしながら、脚も動かしてあげますよ❤\nふとももにこすりつけながら、甘い快楽で脱力させてあげます❤,このままじっとしていれば、\nたくさんぱふぱふしながら、脚も動かしてあげますよ❤\nふとももにこすりつけながら、甘い快楽で脱力させてあげます❤
ほら、すりすり❤ぱふぱふ❤ 脳みそとろとろになっちゃうぐらい気持ちいいでしょう？,ほら、すりすり❤ぱふぱふ❤ 脳みそとろとろになっちゃうぐらい気持ちいいでしょう？
こんな天国のような状況から抜け出すなんて嫌ですよね❤なら、快感に身をゆだねてわたしの抱擁に負けてしまいしょう❤とても楽になれますよ？うふふ❤,こんな天国のような状況から抜け出すなんて嫌ですよね❤なら、快感に身をゆだねてわたしの抱擁に負けてしまいしょう❤とても楽になれますよ？うふふ❤
あうっ、この状況で振り払えるなんて…！,あうっ、この状況で振り払えるなんて…！
