default
ジェリーフィッシュ,Jellyfish
EU24_sexAnime,
クラゲの女性モンスター。普段はふわふわと海流に乗ってのんびりと過ごしている。獲物が体に触れると麻痺針が飛び出すようになっており、相手を痺れさせて捕食する。人間の様な大きな生き物は消化できないため、精を奪ってエネルギーにしたあとは、浜辺に解放していくのだという。\n　本来は陸上にいると干からびそうになってしまうが、カードから召喚されている場合、マスターから供給される魔力によって水分を保つことができる。ぷるぷるとしたその肌触りはスライムとはまた違った感触であり、麻痺針に伴う恍惚感と合わせて、一度味わうと癖になってしまうものが跡を絶たないという。一説によれば、彼女が獲物を浜辺に放すのも、快感を忘れられなくなった男が自らまた精を捧げに来るのを知っているからだと言われている, A jellyfish girl monster. Normally she lives by leisurely floating with the ocean current. When prey touches her; her paralyzing needles jump out allowing her to predate on her target. It is said that large animals like humans cannot be digested; so after stealing their semen and energy; she releases them onto the beach. \n Normally she dries up on land; but when she is summoned by a card; the magical power provided by her master allows her to maintain her moisture. With the elastic feeling from her skin that differs from that of a slime; and the feeling of ecstasy that accompanies the paralyzing needles; there is no end to the number of people who become addicted after experiencing the pleasure. According to one theory; she releases her prey on the beach because she knows they will return to give her their semen; having not forgotten the pleasure.
[1].戦闘後に発動する。相手に「麻痺」を付与する。,[1].Activate after combat. Inflicts "Paralysis" on the opponent.
[2].水属性のモンスターと戦闘する場合、受けるダメージが100ポイント減少する。, [2].When fighting a Water Attribute monster; reduce damage taken by 100 points.
おいで…❤脚で挟んであげるよ…❤,Come here...❤ I'll sandwich you with my thighs...❤
え？なんだか肌に触れるとピリピリする？\nくすくす❤そんなの気にしなくていいの❤だって気持ちいいでしょ…？\nほら…❤ぎゅ～…❤,Eh? It feels tingly for some reason? Ehehe❤ You don't have to worry about that❤ Doesn't it feel good...? Here...❤ Squeeze~❤
触手でぐるぐるぐる～…。捕まえた…❤\nおちんちんをふとももに入れちゃうね❤,I'll wrap you with my tentacles～... Gotcha...❤ Now I'll slide your dick in my thighs; okay❤
体がしびれて逃げられないでしょ？\nそのまま射精するまで、ふとももでにゅこにゅこされていようね…❤,Your body's paralyzed and can't move right? I'll keep stroking your dick with my thighs until you cum; okay...❤
わたしの体には毒針があって、\nスカートみたいになっているところが、とくに針が多いの…❤,My body has tiny stingers all over; especially around the skirt-looking part...❤
でも、こうやってスカートをまくってあげたら、\nみんな自分から刺されに来るんだよ。なんでだろうね…❤, But; when I lift my skirt; everyone comes to get stung on their own. I wonder why...❤
