default
淫魔化キャロル,魅魔卡蘿兒
[1].１ターンに１度発動できる。相手フィールド上のすべての「おっぱいに弱い」状態のモンスターに「見惚れ」（この状態のモンスターはプレイヤーへの攻撃を防げない）状態を付与する。すでに「見惚れ」状態の場合、「魅了」状態を付与する。\n[2].1ターンに１度、相手がモンスターを場に出したとき発動できる。そのモンスターに「おっぱいに弱い」を付与する。,[1].１回合可發動１次。向對手場上所有持有「胸部弱點」狀態的怪獸賦予「著迷」（此怪獸無法保護玩家不受攻擊）。如果已經在「著迷」狀態下，則改為賦予「魅惑」。\n[2].１回合１次，對手怪獸出場時發動。賦予該怪獸「胸部弱點」。
戦闘時に弱点を付与する。,交戰時賦予對方與攻擊方式相應的弱點。
このカードは「おっぱいに弱い」相手から受ける戦闘ダメージが半分になる。,困難以上中，此卡受到有「胸部弱點」狀態角色給予的戰鬥傷害半減。
あはん❤おっぱいマゾども～❤見てぇ❤\n超爆乳で、前かがみ❤\n深すぎる谷間見せつけながら～、ゆさゆさゆさぁ❤,あはん❤おっぱいマゾども～❤見てぇ❤\n超爆乳で、前かがみ❤\n深すぎる谷間見せつけながら～、ゆさゆさゆさぁ❤
両手でむにゅうっておっぱい持ち上げてぇ❤\nほらぁ、おっぱいマゾども、目そらしてみろよぉ❤\n今からこのおっぱい、どぷんって落としちゃうよ～❤,両手でむにゅうっておっぱい持ち上げてぇ❤\nほらぁ、おっぱいマゾども、目そらしてみろよぉ❤\n今からこのおっぱい、どぷんって落としちゃうよ～❤
あは、おっぱいばっかり見てるのバレバレなんですけどー❤\nエアパイズリで脳みそバカにしたげるよ、うりうり～❤,あは、おっぱいばっかり見てるのバレバレなんですけどー❤\nエアパイズリで脳みそバカにしたげるよ、うりうり～❤
ぷぷっ、乳揺らしただけで見とれてメロメロ～❤\nおっぱいひとつで何にもできなくされて、\n恥ずかしくないの？チョロすぎじゃん❤きゃはは❤,ぷぷっ、乳揺らしただけで見とれてメロメロ～❤\nおっぱいひとつで何にもできなくされて、\n恥ずかしくないの？チョロすぎじゃん❤きゃはは❤
くすくす❤どんだけおっぱい好きなんだっての❤\n目をハートにして棒立ちじゃん❤おっぱいひとつで何にもできなくされて、\nよっわ～い❤きゃはは❤,くすくす❤どんだけおっぱい好きなんだっての❤\n目をハートにして棒立ちじゃん❤おっぱいひとつで何にもできなくされて、\nよっわ～い❤きゃはは❤
やっほー。新しいモンスターくん❤\n歓迎にほら、わたしの谷間いっぱい見ていいよぉ～❤,やっほー。新しいモンスターくん❤\n歓迎にほら、わたしの谷間いっぱい見ていいよぉ～❤
モンスターくんがじーって見てる間、\nゆさゆさって揺らしたげる❤\n何秒ぐらい見続けちゃうかなぁ❤,モンスターくんがじーって見てる間、\nゆさゆさって揺らしたげる❤\n何秒ぐらい見続けちゃうかなぁ❤
新しいモンスターくんに、おっぱいサービス❤\n肘でぎゅって谷間押し上げてぇ、\nほら、見てみてぇ～❤,新しいモンスターくんに、おっぱいサービス❤\n肘でぎゅって谷間押し上げてぇ、\nほら、見てみてぇ～❤
召喚されたばかりのところ悪いけどぉ、\nおっぱいに弱くしちゃうね～❤\nほら、エアパイズリでゆさゆさ～❤,召喚されたばかりのところ悪いけどぉ、\nおっぱいに弱くしちゃうね～❤\nほら、エアパイズリでゆさゆさ～❤
あはぁ、めっちゃガン見じゃん❤\nもっともっと見てぇ、おっぱい大好きなマゾになっちゃえ❤\nきゃはは❤,あはぁ、めっちゃガン見じゃん❤\nもっともっと見てぇ、おっぱい大好きなマゾになっちゃえ❤\nきゃはは❤
くす❤鼻息あら～い❤\n谷間見てここにチンポ挟まれた～いとか想像したの？\nやってほしいなら、ほらぁ、チンポ入れちゃっていいよ？きゃはは❤,くす❤鼻息あら～い❤\n谷間見てここにチンポ挟まれた～いとか想像したの？\nやってほしいなら、ほらぁ、チンポ入れちゃっていいよ？きゃはは❤
あはは❤ずりずりするたび体びくつかせちゃって面白～い❤\nこんな乳揺れでチンポビンビンにしちゃってさ、ザーコ❤,あはは❤ずりずりするたび体びくつかせちゃって面白～い❤\nこんな乳揺れでチンポビンビンにしちゃってさ、ザーコ❤
あはぁ、おっぱいに釘付けじゃん❤\nこういう状況でも男ってそうなっちゃうんだー❤\n理性ザコすぎじゃない？ザーコ❤,あはぁ、おっぱいに釘付けじゃん❤\nこういう状況でも男ってそうなっちゃうんだー❤\n理性ザコすぎじゃない？ザーコ❤
なに？バカにされて怒ってるの？\nザコって言われて怒るならぁ、\nほらぁこうやっておっぱい揺らされても、目そらしてみなよ～❤,なに？バカにされて怒ってるの？\nザコって言われて怒るならぁ、\nほらぁこうやっておっぱい揺らされても、目そらしてみなよ～❤
あれー全然そらせてないんですけどー❤\nくすくす❤どんだけおっぱい好きなんだっての❤\nアンタみたいなおっぱいマゾ、乳揺れだけで射精しちゃうんじゃない？ほらほらぁ～❤,あれー全然そらせてないんですけどー❤\nくすくす❤どんだけおっぱい好きなんだっての❤\nアンタみたいなおっぱいマゾ、乳揺れだけで射精しちゃうんじゃない？ほらほらぁ～❤
わたしの胸、見てよこれ。バカみたいにでかくない？\nマスターがサキュバス化して、わたしもこんな風になっちゃった❤\n頭より余裕ででかいなんて、ウけるんだけど❤,わたしの胸、見てよこれ。バカみたいにでかくない？\nマスターがサキュバス化して、わたしもこんな風になっちゃった❤\n頭より余裕ででかいなんて、ウけるんだけど❤
ねぇー、ねぇー、このおっぱいさぁ、\nアンタも味わってみたいよねぇー❤チンポ入れたら、\nぜぇーったい気持ちいいじゃん❤挿れた瞬間、射精するんじゃない？,ねぇー、ねぇー、このおっぱいさぁ、\nアンタも味わってみたいよねぇー❤チンポ入れたら、\nぜぇーったい気持ちいいじゃん❤挿れた瞬間、射精するんじゃない？
きゃは❤ほらぁ、おっぱい近づけるから逃げるなよー❤\nま、こんなでかいおっぱいを前に、逃げたくなる男なんて\nいないと思うけど❤えい、チンポずぶずぶ～❤,きゃは❤ほらぁ、おっぱい近づけるから逃げるなよー❤\nま、こんなでかいおっぱいを前に、逃げたくなる男なんて\nいないと思うけど❤えい、チンポずぶずぶ～❤
きゃは、羽で飛べるのって便利―❤\nほらぁ、アンタの頭より高く飛べるよ❤すごくない？,きゃは、羽で飛べるのって便利―❤\nほらぁ、アンタの頭より高く飛べるよ❤すごくない？
速度も案外出るし、えいっ、空を飛びながら、\nアンタの顔めがけて、おっぱいダーイブ❤\n顔を爆乳に沈めてあげる❤むっにゅうぅ❤,速度も案外出るし、えいっ、空を飛びながら、\nアンタの顔めがけて、おっぱいダーイブ❤\n顔を爆乳に沈めてあげる❤むっにゅうぅ❤
ほらほらぁ、アタシのおっぱいたっぷり楽しんでいいよ～❤\n谷間のフェロモンで脳を焼かれて廃人になっちゃえ❤,ほらほらぁ、アタシのおっぱいたっぷり楽しんでいいよ～❤\n谷間のフェロモンで脳を焼かれて廃人になっちゃえ❤
ねえ、ねえ～❤戦いなんてやめてさぁ、\nわたしたちに降参しちゃおうよ～❤\nこのおっぱい見たら分かるでしょ？男じゃ勝つのムリだって❤,ねえ、ねえ～❤戦いなんてやめてさぁ、\nわたしたちに降参しちゃおうよ～❤\nこのおっぱい見たら分かるでしょ？男じゃ勝つのムリだって❤
だってさー、頭もチンポも余裕で全部挟めちゃうんだよ？\n一回挟まれたら、身をよじってもジタバタしても、\nデカすぎおっぱいの中からは逃げられない❤絶対射精させられちゃう❤,だってさー、頭もチンポも余裕で全部挟めちゃうんだよ？\n一回挟まれたら、身をよじってもジタバタしても、\nデカすぎおっぱいの中からは逃げられない❤絶対射精させられちゃう❤
くすくす❤今の話聞いて、チンポビンビンにしちゃってるし❤\nほら、爆乳おっぱいでなでなでしたげるから\nさっさと降参してエナジーよこしなよ❤マゾチンポ❤きゃはは❤,くすくす❤今の話聞いて、チンポビンビンにしちゃってるし❤\nほら、爆乳おっぱいでなでなでしたげるから\nさっさと降参してエナジーよこしなよ❤マゾチンポ❤きゃはは❤
