default
メルティスライム,嬌柔史萊姆
[1]自分ターン終了時に発動する。自分の墓地のスライムタイプモンスターの数×40ポイントHPを回復する。,[1].自己的回合結束時發動。這張卡的HP回復自己墓地的史萊姆種類怪獸張數Ｘ40點。
体は小さいが、男性を搾り取ることに特化した肉体を持つ。手を筒状の搾精器官に変形させることができ、その手が与えてくる快楽ははかり知れない。,雖然身體嬌小，但卻是特化成搾取男性的模樣。手可以變形成筒狀的搾精器官，那可以帶來的快感無法計量。
戦闘時「ぬるぬる」状態の相手に「魅了」を付与する。,困難以上中，交戰時如果對手有「黏稠」狀態則賦予對手「魅惑」狀態。
ふふ、マスターのキスで魅了されて、もう身動き取れないみたいね❤,嗯哼哼，被主人的吻給魅惑，身體已經動不了了呢❤。
そんな状態で上級モンスターであるわたしの攻撃に耐えられるのかしら❤,這種狀態還能熬過我這個上級怪獸的攻擊嗎？
このスライムハンドでチンポを全部包み込んで、\n何回も上下に動かしてあげれば・・・❤きっと瞬殺よね。ほら・・・♪,這隻史萊姆手掌把你老二全包住，\n然後上下幹幾下……一定能秒殺你耶。實際體驗一下吧……嘿嘿。
あは、キスでメロメロにされて、武器も持てないの？よわーい❤,啊哈，被接吻到在那邊發呆，連武器都沒拿？廢物耶❤。
わたしのマスターに魅了されちゃうなんてきっとロリコンなのね❤\nロリコンならわたしみたいな女の子好きでしょ？,會被我的主人給魅惑你一定是個蘿莉控吧❤。\n是蘿莉控的話一定會特別喜歡我這種女孩子對吧？
ロリコンチンポ、たっぷりこの手の中でいじめ抜いて\nエナジー出すまでかわいがってあげる❤,我就用手虐你這根蘿莉控老二，\n幹到你射出能量為止。
きゃはは、カードマスターくん、どうしちゃったのかなー？\n目の焦点があってないよ？魅了されてもうたまらないって感じ？,呀哈哈，卡片玩家哥哥，你怎麼了啊？\n眼睛完全沒對焦喔？被魅惑到受不了了嗎？
こんなふぬけが相手なら、勝負はもう楽勝ね。\n魅了されてビンビンになったチンポを手で包み込んで・・・❤,面對這種色胚對手，對戰肯定能贏呢。\n我只要把這根被魅惑到勃起的老二給抓起來……
数回しごけばイっちゃうでしょ？\nほらほらほら❤天国見せてあげる❤,隨便幹幾下就會射了吧？\n嗯哼哼❤，把你幹到昇天喔。
きゃはは、どうしちゃったのかなー？\n目の焦点があってないよ？魅了されてもうたまらないって感じ？,呀哈哈，你怎麼了啊？\n眼睛根本沒對焦喔，是被魅惑到根本動不了嗎？
ふふ、あんたはわたしの手に包まれても耐えられるかしら❤,嗯哼哼，你能熬過被我的手包住的感覺嗎？
このスライムハンドでチンポを全部包み込んで、\n何回も上下に動かすの・・・❤,被我用這隻史萊姆手掌給包住，\n不斷上下套弄……。
たいていの男は悶絶しちゃって口もきけなくなるんだから❤\nほら、行くわよ❤,男生大多數都會爽到腳軟沒辦法正常說話呢。\n啊哈哈❤，我要開始嘍。
上級モンスターのくせに、体がちっちゃいとか思っている？\n顔を見れば、なめてるのすぐわかるんだから。,你是不是在想我明明是上級怪獸身體卻這麼小呢？\n看你表情就知道你在小看我。
体は小さくたって与える快感は一級品なの。\nわたしのスライムハンドにチンポしごかれて、\n耐えられる男なんていない・・・❤,我雖然身體小但是給予的快感是頂級的喔。\n被我用史萊姆手掌幹老二的男生沒一個是忍得住的喔。
ふふ、話聞いただけでチンポ固くなっちゃった？\nあんたが下に見てたスライムの強さ、たっぷり教えてあげる❤,啊哈哈❤，你光聽我說話老二就硬了呢，\n就讓你見識你小看的史萊姆有多強吧。
ねえ、カードマスターくん、勝負なんてもうおしまいでいいでしょ？,欸，卡片玩家哥哥，對戰就這樣子結束如何啊？
だって、こうやってわたしの手でチンポしごいてあげれば、\n全部どうでもよくなっちゃうはずだもの❤ ほら、ほら♪,畢竟，只要能被我用手幹老二，\n其他事情就全部不重要不是嗎？就像這樣……
きゃはは、すっごい声出しちゃってる。\nわたしの手コキ、人間の女の子とエッチするよりもずーっと気持ちいいのよ。,呀哈哈，叫出好誇張的聲音喔。\n我的手交可是遠比跟人類女孩子做愛還要爽的喔。
天国感じながらイクまでじっとしてなさい。ロリコンマゾマスター❤\nくすくす❤,不要抵抗，感受快感直到昇天吧。蘿莉控Ｍ男卡片玩家，\n嗯哼哼❤。
あんたみたいな雑魚モンスター、わたしの手コキでイチコロよ❤,像你這種廢渣怪獸卡被我的手交幹一下就要秒殺了啦。
スライムハンドでチンポを捕まえて、\n屈服するまでしごいてあげる❤ ほらほらほら❤,我的史萊姆手掌抓住你老二，\n幹到你屈服為止，開始嘍❤。
くす❤ものほしそうな顔しちゃって、\nわたしのせくしーぼでぃーにもうメロメロなのかしら❤,嗯哼哼❤，一臉很想要的樣子。\n這是已經被我的「性感」身體給魅惑了嗎？
チンポふりふりしてるだけじゃダメよ。ほらちゃんと自分の口で、\n何をしてほしいのか言ってみなさい❤,只是硬著雞雞的話我聽不懂喔。\n要好好的從自己嘴巴說出來你想要什麼。
あうう、おねがいします❤手でしごいて・・・❤,啊嗚嗚，拜託啊，用手幫我做……。
きゃはは上手におねだりできたじゃない❤いいわ❤\nわたしの手であなたのそのおちんちん、\n中身が空っぽになるまでしこしこしてあげる❤,呀哈哈❤，還真的開口拜託我了呢。\n好啊，就用我的手把你這根老二搞到沒精液。
あはん❤手の中でどくどくどくってたくさん出てる❤\nわたしのスライムハンドをおまんこと勘違いしちゃったのかしら❤\nくすくす❤,啊哈哈❤，你的老二在我手中射出好多黏糊糊的東西喔。\n這是把我的史萊姆手掌跟女生的小穴給好混了嗎？\n嗯哼哼❤。
きゃううっ！そんな…、わたしが追いつめられるなんて…。,呀啊啊！竟然能把我打到這種地步……。
ふん、あんた、なかなかやるじゃない。\nそうね、その実力に免じてご褒美をあげてもいいわ。,哼，你很厲害嘛。\n好吧，以你這實力要給你獎勵不是不行。
この手であんたのチンポ呑み込んで、\n中でぐちゅぐちゅにかき回してあげる❤,我可以用我這隻手掌把你的老二給吞進去，\n狠狠在裡面套弄喔。
ほら、捕まえた・・・❤,你看，抓住嘍……。
今から起きることを想像してみなさい。\nあんたのチンポ全体がわたしの手の中で、隙間なく愛撫されるの。,給我想像接下來會發生什麼事情。\n你的整根老二被我緊緊握在手掌中，毫無間隙得遭到愛撫。
敏感な亀頭も、イきそうになっちゃう裏筋も、\n皮の中だって、全部なでまわしてあげるわ。,不管是敏感的龜頭，還是快高潮的繫帶、甚至是包皮內側，\n全部都給你摸一遍。
何人もの手で同時にしごかれているような、\n人間では絶対に与えられない快感よ…❤ 楽しみでしょ？,簡直就像是被無數隻手同時幹，\n是人類絕對無法給予你的快感……想不想體驗啊？
さあ、わたしに屈服しなさい。天国を見せてあげる・・・❤,好了，屈服於我吧。我會讓你昇天……。
ううっ、くやしい・・・。,嗚嗚、好不甘心……。
ふふ、期待して動けないんだ？\nしょせん男なんてそんなものよね。,嗯哼哼，因為期待起來所以動不了了呢。\n所謂男人就是這種程度呢。
ほら、あんたが望んだご褒美よ。楽しみなさい？,好了，這就是你想要的獎勵。好好享受喔。
はううっ…❤❤,哈嗚嗚……
まだまだ。ほらほらほら❤,啊哈哈，我才剛開始喔❤。
あぐぅっ…❤ああっ❤,啊咕嗚嗚……啊啊！
ふふ。ロリコンチンポ、いじめられて満足？\nずいぶんかわいい声で鳴くのね。,嗯哼哼。蘿莉控老二被幹有沒有爽到？\n你都叫出好可愛的聲音喔。
チンポをまんべんなくスライムで洗われて、腰がとろけそうでしょ？\nぐちゅぐちゅ、ぐちゅぐちゅ、混ぜるたびに腰が跳ねちゃってる❤,老二整根被史萊姆洗過，整個身體像融化一樣動不了了對吧？\n你每被洗一次身體就彈一下呢❤。
わたしの本気の愛撫で、もっと頭の中どろどろにしてあげるわ。\nほら！ほら！,接下來我會全力愛撫你，讓你連腦袋都融化掉。\n哈啊！哈啊！
ああっ…❤こんなのっ、もうイくぅ・・・❤,啊啊……這樣子、我要射……！
あっそ❤じゃあ、さっさとイきなさい。,這樣啊，那你趕快射一射吧。
イく寸前まで手加減なし。あんたの精液根こそぎ搾りつくしてあげる❤,我會狠狠幹到你射，把你的精液從根榨乾！
あひぃっ…❤,啊咿……。
きゃは❤面白いぐらい出てる。\nこんなにわたしの手の中に出して、よっぽどチンポ気持ちよかったのね❤,啊哈哈❤，好好玩你射得好多喔。\n在我的手掌中射這麼多，你的老二一定很爽對不對？
まぬけなとろけ顔で敵を回復させちゃってさ❤\n最後の最後で手コキで逆転されてそんな顔が出来るなんてバカみたい。\nこのマゾ豚ロリコン❤,以一臉蠢樣射精讓敵人回復。\n在最後一刻被敵人用手交逆轉還可以笑得那麼白癡。\n真是一隻Ｍ豬蘿莉控❤。
きゃあっ！そんな…、\nまたわたしが追いつめられるなんて…。,呀啊！怎麼會……，\n我又被逼到這種地步……。
ふん、あんたもなかなかやるじゃない。\nそうね、その実力に免じてあんたにもご褒美をあげてもいいわ。,嗯，你也很厲害嘛。\n那麼我就看你這實力上也給你獎勵好了。
さっきの見てたでしょ？\nあんたの仲間がわたしの手でチンポもぐもぐされて、\nみっともなく喘がされているところ❤,你剛才也看到了吧？\n你的同伴身上的老二被我的手掌揉來揉去丟人嬌喘的模樣。
あんたも同じ目にあえるのよ。\n人間では絶対に与えられないスライムの快楽…❤\n脳みそとろけさせてあげる❤,你也可以遭到同樣對待喔。\n人類絕對無法做出的史萊姆快感……，\n把你連腦袋都融化掉喔。
ふふ、妄想で頭いっぱいなのかしら。\nバカみたいに立っちゃって・・・❤,嗯哼哼，你是不是正滿腦子妄想呢？\n竟然一臉蠢樣的站在原地❤。
ほら捕まえた…❤,我都抓住你嘍……
敏感な亀頭も、イきそうになっちゃう裏筋も、\n皮の中だって、全部なでまわしてあげる。,敏感的龜頭、隆起的血管、甚至包皮內……\n全部都給你摸個透。
もう抵抗なんてできないわよね❤\n天国を見せてあげるからわたしの養分になっちゃいなさい・・・❤,你已經無法抵抗了呢，\n乖乖成為我的養分，我就讓你昇天❤。
きゃ、そんなっ・・・。,呀啊！怎麼會這樣……。
そう、それでいいのよ♪\n戦うだけ無駄。男はわたしの与える快楽には勝てないの。,對，這樣就對了。\n戰鬥是沒意義的。因為男人無法戰勝我賜予的快感。
さあ、お待ちかねのご褒美よ。楽しみなさい？,這就是你期待的獎勵喔。好好享受吧。
ふふ。ロリコンチンポいじめられて満足かしら？\nあんたもかわいい声で鳴くのね。,嗯哼哼。蘿莉控老二被女生虐有沒有感覺很爽？\n你叫出好可愛的聲音喔。
こんな小さい女の子に喘がされて、恥ずかしくないの？\nチンポもぐもぐされちゃえば、そんなことどうだってよくなるのかしら。,被這麼小的女孩子弄到不斷嬌喘不覺得很丟臉嗎？\n還是說只要老二能在手中被幹到不斷滴出水聲，就怎樣都好了呢？
まだまだ気持ちいいのは序の口よ。\nわたしの本気の手コキで、頭の中どろどろにしてあげる。ほら❤ほら❤,但是這種快感還只是剛開始而已喔。\n就用我動真格的手淫把你腦袋幹到融化喔。嗯哼哼❤如何啊❤。
イく寸前まで手加減なし。あんたの精液根こそぎ搾りつくしてあげるわ。,我會全力幹到你射。把你的精液連根榨乾。
ほらほらほらっ…❤イケっ、マゾ豚❤,嘎哈哈哈❤給我射！Ｍ豬❤！
あんたたち揃いもそろって手コキで逆転されて、ほんと救えないわ。\nこのマゾ豚ロリコン❤,你們這些人就算一起上也只會被我用手交逆轉，已經沒有救了。\n就是群Ｍ豬蘿莉控❤！
うっ、ううっ・・・。,嗚、嗚嗚……。
きゃは❤必死にはぁはぁ言いながらシコシコしてる❤\nわたしの、せくしーぼでぃに見とれちゃったのかな？くすくす❤,呀哈哈❤，拼命地一邊呻吟一邊自慰耶。\n你被我的「性感」身體給誘惑了，忍不住想要用來自慰嗎？
うあっ、ううっ・・・。,嗚啊、嗚嗚……。
おちんちん触る手止まんないの？きもちわるーい❤\nいくらわたしの体がエロいからって、\n味方を裏切ってシコシコ始めちゃうなんて。この変態❤ ロリコン❤,摸老二的手停不下來嗎？好噁心喔❤。\n就算我的身體再怎麼色情，怎麼可以背叛同伴自慰呢？你是變態❤蘿莉控❤！
うわーロリコンって言われてチンポビクビクさせてるじゃん。\nもっときもちわるーい❤ マーゾ❤,嗚哇好髒，被罵蘿莉控老二竟然還興奮抖起來。\n變得比剛才還要噁～心了啦❤！Ｍ～男❤。
そうだ。\nチンポをわたしのおまたにくっつけながら、イかせてあげようか？,啊。\n你那老二要不要插我小穴來射精？
スライムおまんこの中に、びゅーって中だし❤\nチンポにみっちり絡みついてきて、気持ちいいと思うなー❤,在史萊姆小穴中舒服射精，\n裡面的黏液會緊緊纏在你的老二上，那感覺很舒服的喔。
あっ、あっ❤おねがい・・・❤おねがいします❤,啊、啊！拜託……！拜託妳！
きゃはは❤\nそんなにさせてほしいんだ。でも、ダーメ❤,呀哈哈❤。\n原來你這麼想要被幹啊。但是，不給你❤。
おまんこに入れなくなたって、イっちゃうんでしょ？\n馬鹿にされて喜ぶ、ロリコンマゾだもんね❤,反正你不用插小穴也會射吧？\n你可是被罵就會興奮的蘿莉控Ｍ男耶❤。
ほら、シコシコって言われるだけで手が動いちゃう❤\nもっと気持ちいいことしてもらえるかもしれないのに、\nシコシコ❤ シコシコ❤ やめられない❤,你看，被我這樣玩弄你手淫速度就變快了。\n這不是感覺比剛才還舒服嗎？\n聽著蘿莉的嘲笑聲❤持續摸自己老二❤好舒服停不下來喔❤。
おちんちんびくびくして、もう限界なんだ❤\n好きなだけ出すといいわ❤\n仲間のことなんて忘れて、どぴゅどぴゅってイっちゃえ、マゾ男❤,你老二在顫抖了啦，已經忍不住要射精了啦。\n你就乾脆盡情射光好了，把同伴的存在全部忘光只想著射精。\n在蘿莉史萊姆面前自慰射精吧，你這變態Ｍ男❤。
あん❤どばどば出てる❤エナジーおいしいー❤,啊哈❤，一直噴出來耶，能量的感覺好棒喔。
ふふ、中だしできなくて残念だったわね。\nこれでわたしたちの勝ち。\n自分から自爆しちゃうカードマスターで助かったなー♪,嗯哼哼，沒辦法中出好可惜喔。\n這麼一來就是我贏了喔。\n會自己過來自爆的卡片玩家真是太好了呢。
ねえほかの人もこっちおいでよ。\nオナニーしこしこするところ、見ててあげるよ。,其他人也趕快過來吧。\n我會好好看你自慰的樣子的。
もしかしたら、もっと気持ちいいサービスしちゃうかも。\nほら、おいで、おいで・・・❤,說不定還會送你更舒服的服務喔。\n過來啊，這裡有小穴喔……❤。
きゃはは❤ ほんとにまたオナニーしちゃうんだ。\n武器を放りだして敵の女の子の前でシコシコ、シコシコ・・・❤,呀哈哈❤，真的過來自慰了耶。\n丟下武器在敵對女孩子面前自慰……。
わたしの体も罪だなぁ❤ せくしー過ぎてこまっちゃう。\nほら、近くでたっぷり見ていいよ❤ くすくす❤,我的身體真是有罪，實在是太「性感」過頭了呢。\n來啊，繼續靠近點看啊，是你最喜歡的蘿莉體型喔❤。
張りのあるちっちゃなおっぱいにぃ、\nぷにぷにのわたしのおまんこ❤,緊實的小胸部跟軟綿綿的小穴❤。
こんな女の子の体で、何人も裏切りシコシコしちゃうなんて、\n変態のロリコンさんばっかり❤,這種小女生的身體已經讓好幾個人做背叛自慰了，\n那都是些變態蘿莉控哥哥❤。
くすくす❤馬鹿にされてあなたも気持ちよくなっちゃうの？\nシコシコ早くなってるじゃん。きもちわるーい❤,嗯哼哼❤，被嘲笑反而讓你舒服起來了？\n手淫速度變快了耶。好噁心喔❤。
