default
ラヴァガール,熔岩女孩
[1].このカードが炎属性のカードから受ける効果ダメージは半分になる。\n[2].炎属性カードの効果で効果ダメージを受けたとき発動する。このカードの攻撃力と最大HPを300ポイントアップする。,[1].這張卡受到炎屬性卡片的效果傷害半減。\n[2].這張卡受到炎屬性卡片的效果傷害時發動。這張卡的攻擊力與最大HP提升300點。
[3].自分フィールド上に「溶岩地帯」がある場合、自分ターン終了時に発動する。HPを300回復する。,[3].困難以上時，當我方場上有「熔岩地帶」
 自己的回合結束時發動。HP回復300點。
わたしの手ってたくさんあるんです❤\nこれ、全部自分の思う通りに動かせるんですよ。,わたしの手ってたくさんあるんです❤\nこれ、全部自分の思う通りに動かせるんですよ。
例えば、あなたの脇をくすぐりながら、\nおちんちんをシコシコ♪ってしてあげたり…\nそんなこともできちゃいます❤,例えば、あなたの脇をくすぐりながら、\nおちんちんをシコシコ♪ってしてあげたり…\nそんなこともできちゃいます❤
やられたいですか？くすぐられながら手コキされると\n頭の中まっしろになっちゃうらしいですよ？\nほら、こしょこしょー❤,やられたいですか？くすぐられながら手コキされると\n頭の中まっしろになっちゃうらしいですよ？\nほら、こしょこしょー❤
たくさんある手を使っていいことしてあげますね❤,たくさんある手を使っていいことしてあげますね❤
おちんちんを両手でシコシコしながらぁ、\n亀さんを別の手の平でグリグリしてぇ、\nそのうえタマタマも握ってもみもみ❤,おちんちんを両手でシコシコしながらぁ、\n亀さんを別の手の平でグリグリしてぇ、\nそのうえタマタマも握ってもみもみ❤
あは、こんなにあちこちから責められたことありませんか？\n夢心地って感じ？\nイっちゃってもいいですよぉ❤,あは、こんなにあちこちから責められたことありませんか？\n夢心地って感じ？\nイっちゃってもいいですよぉ❤
あなたの手足をわたしの分身ハンドで捕まえて、\n隙だらけのおちんちんを両手でしこしこ～❤\nどうです？わたしの手コキ、気持ちいいですか？,あなたの手足をわたしの分身ハンドで捕まえて、\n隙だらけのおちんちんを両手でしこしこ～❤\nどうです？わたしの手コキ、気持ちいいですか？
