default
試験官（ハンター）,考官（獵人）
ギルドに所属する中堅マスター。ハンタータイプのカードをメインに使用し、戦士やフクロウのカードをサポートに用いる。\n常日頃から谷間を露出させた格好で出歩いており、人に見られるのがわりと好きな性格。男の子が彼女の胸に見とれていたりすると、両手で寄せ上げてサービスポーズを見せつけたりしてくるので、性癖がゆがむ男の子が後を絶たない。\nランクはC級だが、試験のために実力を抑えている。,隸屬於公會的中堅玩家。主要使用獵人類型的卡片，並以戰士跟貓頭鷹為輔助。\n平常就會穿著露出乳溝的衣服外出，是喜歡吸引他人目光的性格。當男孩子看她的胸部看傻眼後，她就會做出雙手擠胸部的殺必死姿勢，使得性癖被扭曲的男孩不絕於後。\n雖然階級是Ｃ階，但為了考核有在控制自己的實力。
いくつかのバトルを経て、ランクポイントが十分にたまった僕はギルドの建物を訪れていた。,經過數次對戰後，得到充分的階級積分的我來到公會。
あら、また会いましたね、新人マスターさん。ギルドへようこそ。大会での戦いは順調ですか？,啊，又見面了呢，新人卡片玩家。歡迎來到公會。大會的對戰還順利嗎？
おお、本当ですか！,喔喔！真的啊！
すばらしいです！まだ大会も始まったばかりだというのに、良いすべり出しですね！,真是太厲害了呢！大會也才剛開始，你就有這麼好的勢頭了耶！
それではギルドリングをこちらにお渡しください。ポイントを確認させていただきます。,那麼請將公會戒指交給我。讓我來確認積分。
ありがとうございます。確かに指輪には必要量のランクポイントが貯まっていますね。,感謝您的配合，這是您的公會戒指。戒指確實有必要數量的階級積分。
これであなたはFランクからEランクに昇格できるわけですが…。,這麼一來你就能從Ｆ階級升成Ｅ階級但是……。
ランク昇格の際には、１つ試験をこなしてもらわないといけません。,要提升階級必須要通過一次考核才行。
試験の内容はランクごとに異なります。Eランクの昇格試験は、ギルド職員との戦闘試験です。,考核內容根據階級而有所不同。Ｅ階級升階考核是跟公會人員的對戰考核。
担当職員を呼んできますので、少々お待ちください。,我請負責人員過來，請稍後。
やっほー！わたしがEランクの昇格試験を担当する試験官だよ。よろしくね！,你好啊！我是負責Ｅ階升階考核的考官喔。
ギルドに入りたてのあなたに、Fランクに見合った戦闘力があるかどうか、試させてもらうよ。,我要測試你這個剛加入公會的人是不是有跟Ｅ階相襯的戰鬥能力喔。
剣士とハンターを組み合わせたわたしのデッキにうまく対処できるかな？さあ、バトルを始めよう！,你能應付我這個劍士與獵人混合的牌組媽？那麼對戰開始！
お、また来たね。ランク昇格試験、もう一回受ける？,喔，你又來了呢。要再接受一次升階考核嗎？
わたしのデッキは、1体1体の戦闘力はそこまでないけど盤面にカードを多く出すから、魔法の全体攻撃とかを使うと戦いやすいと思うよ。,我的牌組單體的戰鬥力並沒有很強，卻在場上布置多數卡片為主的戰術，所以你如果以魔法採取全體攻擊戰術的話會比較好。
いてて、これはお見事。\n新人マスターくん、なかなか強いねぇ。,好痛……做得好！\n新人卡片玩家，你的力量不錯。
うん、これだけの実力があれば十分だよ。\nあなたは試験に合格。これからEランクだね！,有這樣的實力的話就沒問題了。\n考核成功！你是Ｅ階級了喔！
Eランク昇格おめでとうございます！さすがですね。,恭喜您升格為Ｅ階級！
それではギルドリングに特殊な装置で魔力を込めます。\nちょっと待っていてくださいね。,接著我要在這個裝置上給公會戒指注入魔力。\n請稍後。
戻ってきた受付さんにギルドリングを返してもらうと、指輪にはめられた宝石の色が濃い緑色に変化していた。,櫃台小姐將公會戒指交還給我後，我發現戒指上鑲嵌的寶石變成了深綠色。
どうです、指輪の色が変わっているでしょう？\nこれがEランクの証です。,戒指的顏色有確實變化了對吧？\n那就是Ｅ階級的證明。
Aランクになるとそれは奇麗な赤色になるんですよ。\nあなたの指輪がその色になるのが今から楽しみです。,如果是升為Ａ階級的話就會是漂亮的紅色。\n我已經在期待您的戒指成為那顏色的時候了。
へぇー、わたしに何回も負けたのにけっこう言うじゃん❤,欸～，都敗給我多少次了還真會說啊❤。
ま、気持ちいいことされても癖にならないで最後には勝てたんだから、\n将来性はあるのかな？くすくす❤,不過，就算被幹過無數次也沒染上奇怪的性癖並且在最後勝利，\n也算是一個可以期待的新人吧？嗯哼哼❤。
ううっ…。それは…。,嗚嗚……。這個……。
こら。あんまり茶化しちゃかわいそうですよ。\n試験に無事合格したんですから今は応援しましょ。,喂。不要在這種時候挖苦他啦。\n現在要慶祝他順利通過考核才對。
