default
ガンナーハーピー,Harpy Gunslinger
EU43_paizuriAnime,
銃器の扱いに優れたハーピー。空中を風のように飛び回りながら銃で攻撃してくる。普段は風の魔力で作った弾を飛ばしているが、時には魅了の魔力を弾にして飛ばし、鎧や盾で受けようとした相手の不意をつくことがある。耐性のある装備で防がなければ、あっという間に魅了されてしまい、そのまま彼女の餌食になってしまうだろう。エッチなことはたいがい得意だが、特にパイズリが得意。,A harpy skilled at handling firearms. She flies around in the sky; quick as the wind; raining bullets down from above. Her bullets are normally infused with wind magic; but at times she'll infuse them with charm magic to pierce the defenses of her opponents. Without special equipment to resist her magic; any struck by these attacks will be charmed instantly and become her prey. While generally talented in sexual acts; she's especially skilled at paizuri.
[1].1ターンに1度、風属性カードの効果が発動したとき発動する。ランダムな相手モンスターに連鎖発動した風属性カードの枚数×200ポイントのダメージを与える。\n[2].１ターンに１度、手札の風属性カード１枚を捨てて発動できる。相手の魔法トラップカードをランダムに１枚破壊する。,[1] Once per turn; you may discard one Wind Attribute card from your hand to destroy a magic or trap card your foe controls.\n[2] Once per turn; you may discard one Wind Attribute card from your hand. Destroys one random magic or trap card your opponent controls.
[3].自分の風属性カードによって相手モンスターが破壊されたとき発動する。ランダムな相手モンスターにこのターン発動した風属性カードの枚数×100ポイントのダメージを与える。,[3] When an opponent's monster is destroyed by a Wind attribute you control; deal damage to a random opponent's monster equal to the number of Wind attribute cards activated this turn ×100 points.
オラ、胸でしごいてやるよ❤,Howdy; cutie. I'm gonna work your cock over good with my tits!❤
アタシの胸、抜群のハリだろ？\nぎゅって押しつぶされて、挟まれた瞬間に天国❤\n激しく扱いてあっという間にイかせてやるからな❤,My tits are nice 'n' firm; dontcha think? When I wrap them around your cock and squeeze; you'll go straight to heaven!❤ I'll stroke ya hard and make you cum in no time~❤
アタシのスピードについてこれるか？\nほら、隙ありだ！,Think you can keep up with my speed? Watch out; I found an opening!
へへ、一回挟んじまえばこっちのもんだぜ。\nアタシ自慢のおっぱいで、お前なんて速攻昇天❤パイズリで天国行きさ❤,Hehe; once I've gotcha between my tits; you're all mine. With these prized breasts of mine; I'll send ya straight to heaven!❤ Get lost in the bliss of my titjob~❤
この反応、お前おっぱい大好きだろ？\n上下に激しくズられて\n何秒耐えられるかな？おらおらおら❤,That reaction... You really love tits; dontcha? How long do ya think you can last being stroked like this? Come on; let's find out!❤
手の平でぐりぐり押し付けて、\nさらに上下にズリズリズリっと♪\nおらおら❤全部出しちまえよ❤,I'll squeeze my breasts together using the palms of my hands and start sliding up and down like this~♪ That's it; come on~❤ Let it all out!❤
男をイかせるなんて朝飯前さ。\nアタシのおっぱいでちょっとかわいがってやれば、\nすぐに骨抜きになるならかな❤,Making a man cum is easy as pie. If I pamper him with my tits a tad; any guy'd be under my spell before he knew it~❤
なに？自分は耐えられるって？\nははっ、ほんとかどうか、パイズリして試してやるよ。\nほらよっ❤,What? You think you can resist? Haha; let's test that with a titjob; shall we? Here we go~❤
んー？どうした？腰がふるえてるんじゃねえのか？\n強がってもチンポは正直みたいだなぁ❤うりうりうり❤,Hmm? What's wrong? Are your hips starting to shake? You can act tough as you like; but your cock is ratting you out!❤ Rub; rub; rub~❤
あん？アタシに気持ちよくしてほしいだって？,Huh? You want me to make you feel good?
はっ、実力を試すためのバトルだってのに、\n何言ってんだ。\nやる気あんのか？,Ha; what are ya talking about? This is supposed to be a battle to test your skills! Ain't ya serious about this at all?
ううっ…❤ごめんなさい、我慢できなくて…❤,Ugh...❤ I-I'm sorry... I couldn't hold back...❤
たく、しょうがねえな。\nいいぜ。さっさとわたしの胸で抜いてやるよ❤\n脳みそムラムラして、もう勝負になんねえんだろ。弱っちい野郎だ❤,Geez; can't be helped; I s'pose. Fine. I'll make you cum with my tits right quick.❤ Your brain's all horny and fried; you can't even put up a fight anymore. What a weakling~❤
まったくチョロいもんだぜ。\n挟んで擦ってやれば、すぐ出しやがってよ❤,Talk about a pushover. Just a squeeze and a rub between my tits; and you cum right away~❤
