default
サムライ師範シズク,武士宗師綾
[1].このカードが通常召喚に成功したとき、相手フィールド上のモンスター１体を選択して発動する。そのモンスターに500ダメージを与え攻撃力を1500ダウンさせる。,[1].這張卡通常召喚成功時，選擇對手場上１體怪獸發動。該怪獸受到500點傷害，攻擊力減少1500點。
戦闘時におっぱいに弱い付与。,交戰時賦予對方「胸部弱點」。
ほら、やわらかいおっぱいですよー❤,請看，是柔軟的奶子喔❤
むにむに❤ぱふぱふ❤,你要被好色大姊姊的奶子幹臉了喔❤
うふふ❤力抜けちゃいましたね。ちゃんと立ってられますか？,嗯哼哼❤已經腿軟了呢。還能站起來嗎？
って、あらあら。もうイっちゃったんですね❤,嗯哼❤哎呀這真是。怎麼已經射了啊。
おっぱいぱふぱふだけで逝っちゃうなんてかわいいですね❤,只是被奶子幹臉就射的孩子真可愛呢。
あら、マスターの魔法で完全に魅了されてますね。うふふ❤,哎呀，已經完全被主人的魔法給魅惑了呢。嗯哼哼❤。
そんな状態で、ふわふわおっぱいでパイズリされて、\n耐えられるんでしょうか。,你在這種狀態下\n能熬過軟綿綿的乳交攻擊嗎？
きっと耐えられないですよ。\n腰が溶けるように気持ちよくて、\nあっという間にイかされちゃうんです❤,我看根本就忍不住吧❤。\n讓你連站都站不直的快感，\n會瞬間就讓你射精喔。
ほら❤\nメロメロ頭で気持ちいいパイズリ、\nたっぷり楽しんでくださいね❤,嗯哼哼❤\n好好享受這個可以\n魅惑整個腦袋的的乳交吧。
うふふ❤大事な試験中なのに\nわたしのマスターに魅了されちゃいましたね❤,嗯哼哼❤在這麼重要的試驗中\n被我的主人給魅惑了呢。
もうこのまま負けちゃいましょうか❤\nきっと気持ちいいですよ❤,乾脆就這樣輸掉如何❤？\n一定會非常爽的喔❤。
試験のことなんて忘れて、\n自分で腰をへこへこ動かすおっぱいおもらし❤,把試驗本身給忘掉，\n只會自己扭腰然後射在奶子上❤。
どうですか？気持ちよさそうでしょう？\nほら、ぎゅーってしてあげますから、\nわたしの谷間でカッコ悪く射精。しちゃいましょうね❤,如何啊❤？很爽對不對？\n我會緊緊抱住你，\n讓你在我的乳溝中丟人的射精喔。
わたしのマスターに魅了されちゃいましたね❤\nどうです？あなたのマスターなんかより\nずっと素敵な方でしょう？,你被我的主人給魅惑了呢，\n感覺如何啊？是不是比你的主人還要棒呢❤？
くすくす❤否定しようとしても、\nちゃんと体が動いていないですよ？,嗯哼哼❤想要否定的話，\n必須要讓身體好好戰鬥才行喔。
首を横に振るのもつらいぐらいメロメロなあなたに、\nとどめのふわふわパイズリ❤,對你這個已經被魅惑到連搖頭都不行的變態，\n就要用舒服的乳交來打敗❤。
さ、ご主人のことなんて忘れて、\n自分で腰をへこへこ動かして負けちゃいましょうね❤,來吧，把主人給忘記，\n自己扭腰扭到輸吧。
メロメロになっててかわいいです❤\n童貞マスターさん❤,被魅惑的樣子好可愛喔❤，\n童貞玩家❤
とびっきりのパイズリで、\nあなたのことをイかせてあげますね❤うふふ❤,就用我的極品乳交讓你射精喔，嗯哼哼❤。
メロメロになっててかわいいです❤\n童貞モンスターさん❤,被魅惑的樣子好可愛喔❤\n童貞怪獸❤
この胸であなたのことを虜にしてあげます❤,接下來用這胸部來把你迷倒喔❤。
パイズリ天国であっという間にあの世逝き❤\nうふふ、楽しんでくださいね❤,在乳交天堂當中去了前往那個世界吧❤\n嗯哼哼❤好好享受吧。
わたしの胸に挟まれたら、みんなメロメロになってしまうんです❤,只要被我的胸部夾住，不管是誰都會被迷倒喔❤。
見てください、ほら❤\n大きくて柔らかそうな胸でしょう？,請看❤\n是又大又柔軟的奶子喔。
挟んでしごいて、すぐに逝かせてあげますね❤,被夾住用力幹的話，很快就會射了喔❤。
童貞マスターさん❤あなたのこと、始末しちゃいますね❤,童貞玩家❤，我要用這對柔軟的奶子來幹掉你喔❤。
大丈夫です。怖くなんてないですよ。\nおっぱいで逝かされるだけですから、\nとっても気持ちいいんです❤,別擔心，一點也不可怕喔。\n只是在奶子中去了而已，\n那可是非常爽的事情喔❤。
わたしの大きな胸で何度もズリズリ❤\nうふふ天国を見せてあげます❤,來在我胸前不斷被幹，\n享受性感天堂吧。
あなたのこと、始末しちゃいますね❤,我要來幹掉你嘍❤
くす❤わたしにエッチなことをしてほしいんですか？\nダメじゃないですか、お師匠様の前でそんなお願いしちゃ❤,嗯哼哼❤想跟我做愛嗎？\n不可以喔，竟然在自己的師傅前面對我說這種話❤。
ふふふ、そうはいってもわたしのエッチなおっぱいを見たあとじゃ、\nもう自分が抑えられないんですよね❤かわいい❤,嗯哼哼❤但是男孩子看見我色情的奶子後，\n就無法控制自己的行動了呢，好可愛喔❤。
