default
オクタ,Octa
F14_footJobAnime,
闘技場ではあなたに負けたけれど、\n今日は負けないわよ。,I might've lost back in the colosseum; but I won't lose today.
周りに観客がいなければ緊張もしないしね。\n先輩としてあなたより強いところを見せてあげる❤,I won't get nervous if there's no spectators around. As a senior; I'll show you that I'm stronger.❤
あら、{主人公}、また会ったわね。,Oh; {主人公}. We meet again.
今日はこの間とは同じ結果にはならないわ。\nわたしの水属性デッキの力、思い知らせてあげる！,This time will be different. I'll show you the power of my Water Attribute deck!
ふふ、この間はわたしの勝ちだったわね。\nまた負けさせられたいのかしら。,Hehe; it was my win last time. Perhaps you wanted to lose again?
先輩として闘技場以外でならわたしの方が強いってところ、\n何度でも見せてあげる❤\nおとなしくわたしにポイントと魔力を献上しなさい❤,I'll show you that I'm stronger as your senior outside the colosseum.❤ Just be obedient and give me your power and points~❤
ううっ、さすがね、{主人公}。\nでも、次は勝つんだから。,Ugh; as expected from {主人公}. But I won't lose the next time.
ふふ、負けっぱなしってわけじゃないのよ。\nわたしの先輩としての実力分かったかしら♪,Hehe; I won't keep losing; you know. Maybe now you've learnt the power of a senior♪
Dランクに挑戦する,Challenge a D-rank
今はやめておく,Stop for now
早速申し込みを行い、僕は試合時間を待っていた。対戦相手はオクタという名前のDランクマスターらしい。,I quickly applied; and received the time for the match. My opponent seems to be a D-rank cardmaster named Octa.
初めての闘技場での試合に、体が緊張しているのを感じる。多くの人が会場へと入っていくがあの人たち全員が観客なのだろうか。これまでの１対１の戦いとは少し違う、異質な戦い…。,I'm feeling nervous since it's my first time fighting in the colosseum. Lots of people are heading towards the venue. Are they all spectators for the match? It's completely different from the one-on-one fights I've been doing up until now...
ダメだ。考えていると余計にドキドキしてきた。人の少ない場所に行って、ちょっと心を落ち着けよう。,No; I shouldn't be thinking about that. It'll just make me even more nervous. Let's go somewhere empty to calm down.
闘技場のメインホールから少し奥へ行くと、通用路のような場所に出た。ここなら人もいないし、ちょうどよさそうだ。試合までここで精神を集中させることにしよう。,Going deeper into the colosseum from the main hall is a place that looks like an alley. It doesn't seem like there's anyone here; so this place should be good. I'll focus my mind and concentrate here until the match starts.
はぁ…。最近あんまり勝てないなぁ…。\nエルルと差が付いちゃう…。,Haah... I haven't been able to win lately... I'm gonna be left behind by Eruru...
ん？誰？\nここに先客がいるなんて、珍しいわね。,Hm? Who's there? It's strange to see someone here.
わたし？わたしはオクタ。Dランクのカードマスターよ。\n今から試合があるの。って、その指輪アナタもDランクね。,Me? I'm Octa; a D-rank cardmaster. I have a match soon... Wait; that ring in your finger means you're also a D-rank.
あなたも一人になりたくてこに来たのかしら。\nやっぱり試合前って緊張するわよね。,I'm guessing you also came here to find a place without people. The wait before a match sure is nerve-wracking; isn't it?
そう言って肩をすくめると、オクタと名乗ったカードマスターは僕の隣に腰かけた。,As she said that; the cardmaster Octa shrugged her shoulders and sat down next to me.
ぼくは{主人公}です。はじめまして。,I'm {主人公}; good to meet you.
えっ、{主人公}・・・？\n・・・！\nってことはわたしの対戦相手じゃない。,{主人公}...? Wait... That means you're my opponent; aren't you?
あは、あなたみたいに初心者が相手だって思うと、\nわたしも少しは気が楽になるわ。\nあ、こんなこと言ったら失礼か。,Ehe; I feel a bit better already if a beginner like you is my opponent. Ah; sorry for saying that.
この街に来たのはつい最近なの？\n試合が始まるまで少しお話しましょ。その方が互いに気もまぎれるし。,Are you new in town? Let's talk a bit more before the match starts. It’ll help take our minds off of it.
ええ・・・。うそ、昇格試験でサキュバスに勝ったの？,Wha... No way; you won against a succubus on a rank promotion exam?
初心者かと思ったら全然実力者じゃない。\nうう、そう思ったらまた緊張してきちゃった。,I thought you were just a beginner; but you're actually strong; aren't you? Uuu; I'm nervous again because of that.
男のマスターでサキュバスに勝つって相当なものよ。\nたとえＣランクのマスターでも、\n男ならたいてい下級サキュバスにすら勝てないわ。,Male cardmasters beating a succubus is quite the feat. Even for a male C-rank cardmaster; most of them can't win against a low-rank succubus. 
みんな自分の性欲に負けて、あっさりやられちゃうの。\n男の子って、ここでモノを考えてる人ばっかりだから。,They all get easily beaten by a succubus because they lose themselves to their own desires. After all; boys can only think with this thing.
そういってオクタさんは何気なくちょんちょんと僕の股のところをつついてきた。,As she says that; Octa casually poked at my crotch.
彼女からすれば軽いたわむれぐらいのつもりだったのだろうが、完全に不意打ちだったので、つい僕は体をびくっとさせ、「はひっ」と情けない声を漏らしてしまう。,She probably didn't mean anything by it; but I was taken by surprise and squealed out.
・・・・ふふ❤\nくすくす❤\nサキュバスに勝ったにしては、かわいい反応するじゃない❤,...Hehe.❤ *Giggle*❤ Even though you won against a succubus; you sure can make such a cute reaction.❤
そんな反応されると、ちょっと火が付いちゃうわね。\nもっとからかってあげたくなっちゃう❤,That kind of reaction is... Making me want to tease you a little more~❤
ねえ、聞いて。\nわたし最近負け越してて、あんまり黒星をつけたくないの。\nだから、こういうことしちゃってもいい？,Hey; I have a proposal. Lately I've been having a losing streak; and I don't want it to keep going. Can you help me out?
オクタさんは小悪魔のように微笑みながら、服のポケットから青い小瓶を取り出した。,Octa took a small blue bottle out of her pocket while letting out a devilish smile.
これはね、わたしが水の魔法で作った特別なローション❤\nちょっとエッチな成分も混ぜてあるの❤,This here is a special lotion made using my water magic.❤ I also mixed some lewd ingredients in it.❤
サキュバスとの戦い大変だったわよね？\nぬるぬるの体で何度も扱かれて、\nでもサキュバス相手じゃ、射精するわけにもいかない…❤,Fighting succubi must be tough; isn't it? They'll use their slimy bodies on you again and again; but you can't ejaculate on them...❤
我慢して我慢してようやく勝った。とっても偉いと思うわ。\nだから、ふふ・・・❤\nわたしから先輩としてご褒美をあげるの❤,I think it's really impressive that you kept enduring and enduring until you finally won against them. That's why; hehe...❤ I'll give you a reward as your senior~❤
彼女は片手を筒の形にすると、ズボンのすぐ上で、手を上下に動かして僕に見せつけてきた。ギリギリ触らないぐらいの距離でゆっくりトントントンと、上下に動かす。,She makes a ring shape with her hand right on top of my pants; and moved it up and down for me to see. A constant; gentle movement at a close enough distance it can almost touch my pants.
僕はその動きに思わず自分のものが扱かれているのを想像して、ごくりとつばを飲んでしまう。,I gulped when I imagined her moving like that on my thing.
そんな反応を見て気をよくしたのか、さらに彼女はもう片方の手を手筒の上にかぶせ、まるでなにかを弄ぶように、指をうねうねと動かして見せた。,Perhaps pleased from my reaction; she uses her other hand to cover the top of her ring-shaped hand and showed off her fingers moving in a wavy way as if playing with it.
ふふふ❤わたし手でするのには自信があるのよ❤\nね、あなたのアソコ、触ってもいい？,Hehe.❤ I'm pretty confident doing it with my hand.❤ So; do you want me to touch you down there?
想像して…❤この筒の中にチンポを入れたらね、\n出てきた亀頭をわたしの指でわしゃわしゃされちゃうの…❤,Just imagine it...❤ Your dick going inside of this; and my fingers rubbing your glans...❤
そのまま扱くだけでも気持ちいいのに、\nローションでぬるぬるの指が、\nあなたの亀頭をわしゃわしゃ…❤ぐちゅぐちゅ…❤,Just stroking it would feel good already; but my fingers will be coated in lotion and stroking your glans...❤ Squish; squish...❤
チンポの先っぽって敏感だものね。\nきっとすぐに腰がガクガクになって、\n頭真っ白に気持ちよくなれると思うわ❤,The tip of your dick is very sensitive. I'm sure your hips will give out from it; and it'll feel so good your head will go blank~❤
まるで一つの生き物であるかのように、自在に動く指先。さっきまで精神を集中していたはずなのに、いまはもうその手から目を離すことができなくなっていた。,Her fingertips are moving like they're alive. I was supposed to concentrate; but now I couldn't take my eyes off her hands.
（あううっ…❤すごい…）,(Ahhh...❤ So good...)
オクタさんがすっと腕を伸ばしてくる。,Octa reached out her arms to me.
ほら、もう勃起しちゃっているじゃない…❤\nズボンの上から分かるぐらい大きくなって、\nすっかりガチガチね…❤,See; you're already hard aren't you...❤ It's so big I can even see it clearly through your pants. You're totally stiff...❤
ズボンの上からきれいな指がすぅーっとペニスをなでる。指先についたローションが、しっとりとしみこんで、ズボンがほんのりと濡れていく。,Her beautiful fingers smoothly caressed me over my pants. Her fingertips coated in lotion slowly soak into my pants; turning them wet.
指が這っただけ、それだけなのに、僕は腰を跳ねさせてしまう。,My hips jerked just from her hands crawling over me.
ふふ、もう待ちきれないって感じね❤\n大丈夫よ、射精したらそのあとは試合を棄権すればいいの❤\nどうせカードも出せなくなるし、試合なんて無理になっちゃうんだから❤,Hehe; looks like you can't wait any longer~❤ It's alright; even if you came you can just withdraw from the match later.❤ You won't be able to play any cards; so it'll be impossible for you to fight anyway.❤
あなたは先輩の女の子に気持ちよくどぴゅどぴゅ抜いてもらえる❤\nわたしはあなたより弱いほかのマスターと戦える❤\nね、悪い話じゃないでしょ？ほら、指でされて気持ちいい❤,You get a female senior to make you cum.❤ And I could always fight other cardmasters weaker than you.❤ It's not a bad deal; is it? Here; my fingers feel good; don't they?❤
二本の指でつまんで、さわさわ、しこしこ❤\nね❤わたしの手でもっと激しく、\nアナタのチンポごしごし扱いていいわよね❤ほら、ほら、ほら…❤,I'll hold it between my two fingers; brushing and rubbing it.❤ Hey~❤ My hand will move even faster; and your dick will reach it's limit~❤ Come on; come on...❤
オクタさんはダメ押しとばかりにぬちゅぬちゅとなまめかしく手を動かし、ズボンの上からペニスを弄んできた。,Octa drove her point further by moving her hands seductively and starting to play with my dick through my pants.
このまま口を閉ざしていたら、流されるまま射精させられてしまうだろう。せっかくの初試合をそんな形で棄権してもいいのだろうか。,I might get carried away and cum if I stay quiet. Is it really fine to throw away my debut match like this?
この状況に僕は・・・。,Faced with this situation; I...
彼女を振り払った。,Shook her off.
彼女の提案にうなずいてしまった。,Nodded.
きゃ、もうそんな乱暴に振り払わなくたっていいじゃない。,Kyah; you didn't have to shake me off that roughly.
え？正々堂々カードで戦いましょうって？\nふーん。かっこいいこと言うじゃない。,Eh? Let's have a fair and square fight? Hmm; you really have a way with words.
しょうがない。わたしもあなたの先輩マスターだし、\n少しはまじめにやりますか。ま、それに\nこれだけ触られたら少しは試合にも影響するでしょ？,Oh well; I'm still your senior so maybe I'll take this a bit more seriously. And even this much touching would impact you; wouldn't it?
わたしに対してムラムラしたまま、試合に臨むといいわ。\n卑怯だって？いいじゃない。これぐらいハンデよ、ハンデ。,You should be turned on like this during the match. That's unfair? It's fine; just think of it as a handicap.
なんだか一緒に話してたおかげで、\nあなたに対する緊張はもう取れちゃった。\n水属性デッキの力を見せてあげる。,Somehow; I'm not nervous anymore after talking with you. I'll be showing you the power of my Water Attribute deck in the match.
くす…❤\nとうとうコクンってうなずいちゃったわね❤,*Giggle*❤ Finally you agreed to it~❤
後輩くん❤素直でいい子❤\nそれじゃローションをたっぷり手に絡めて…❤,What an obedient junior~❤ Now I'll put the lotions on my hand...❤
ズボンの中に手を入れて直接しごいてあげる…❤\nほら、ぬちゅぬちゅぬちゅ❤,My hand will go inside your pants and jerk it off...❤ Squish; squish~❤
うあっ、あうう・・・❤,Uwahh...❤
うふふ❤そんなに声をこらえなくても、\nここなら少し騒いだって大丈夫よ。\n闘技場はうるさいんだから、わたしたちの声なんて聞こえないわ。,Ehehe.❤ You don't have to hold your voice down. It's fine to let all your moans out. The colosseum is quite noisy; so no one will hear any sounds we make here.
あなたとわたしの二人きり❤闘技場の裏でこんなことして\n何だか背徳感を感じちゃうわね❤\nあなたなんてまだ初試合もしてないのに、最初からこれだもの❤,Just the two of us~❤ Doing something like this behind the colosseum~❤ It feels like we're doing something we shouldn't be doing; doesn't it?❤ You haven't even had your debut match and yet you're already like this.
対戦相手にチンポを握られて、\nぬちゅぬちゅぬちゅ❤ぐちゅぐちゅぐちゅ❤\n激しくされて気持ちよさそうにあえいでる❤,Having your match opponent grab your dick and jerk it.❤ Squish; squish~❤ Looks like you're enjoying it when I go rougher from your moans.❤
ねえ、わたしの指キレイでしょ？\nいっつも部屋の中で研究ばかりしてるから、日焼けもしないで肌も白いの❤,My finger are pretty; aren't they? I'm always indoor doing research. That's why my skin is this white without a hint of a tan.❤
そんなきれいな手にチンポぎゅって包まれて、\nあん、腰が抜けちゃいそうに気持ちいいわね❤\nいいとろけ顔になってるわ❤,With such pretty fingers grasping your dick; you'll feel so good that your hips will give out.❤ And you'll melt from the pleasure~❤
あっ、あぐぅ❤オクタさん、オクタさん❤\nあひぃっ❤あっ、ああっ・・・❤,Aaagh~❤ Octaa~❤ Ahiiie~❤ Octa; ahhh...❤
くすくす❤後輩をいじめるのって楽しいわね❤\nそんな素直な反応されると、もっともっとしてあげたくなっちゃう❤,*Giggle*❤ Seems you really like getting teased by your senior.❤ Show me more and more of your honest reactions.❤
ほら、腰を突きだしていいのよ。\nあなたは今日はもう棄権するんだもの❤\n快感をこらえたりしなくていいの❤,Go on; stick out your hips even more. You're going to withdraw from the match today anyway.❤ So you don't have to hold back from this pleasure.❤
ローションでぬるぬるになった手の筒に包まれて、\nそこにおちんちんを出して、入れて、ぐちゅぐちゅぐちゅ❤\nいっぱい気持ちよくなっていいの❤,My ring-shaped hand covered in lotion is going up and down your dick.❤ Squish; squish~❤ It's fine; just enjoy it.❤
あはは、腰がひくひく動いてる❤\nほんとかわいい❤言われるがままじゃない❤\n女の言葉のいいなりになんかなっちゃ本当はダメなのよ？,Ahaha; your hips are twitching so much.❤ That's so cute.❤ But you shouldn't just blindly do what any girl says; you know?
サキュバスだけじゃないの。闘技場には\n悪い女のマスターがたくさんいるんだから❤\nそんな風にだらんって力を抜いて、女に体を任せたりなんてしたらダメ❤,Even if it’s not a succubus; there’s a lot of bad girls in the colosseum.❤ You can't relax yourself like this and let them do as they please wit your body.❤
ううっ❤オクタさんっ❤\nああっ❤もうっ・・・❤うううっ❤,Uuu~❤ Octaa~❤ Aaahh~❤ I'm going to...❤ Uuuu~❤
そうね、そろそろ試合も始まる時間だし、\nさくっと出して、棄権届けを受付に出しに行かないとね❤,Oh right; the match will start soon. Let's hurry up and finish this so you can submit your withdrawal.❤ I'll also use my fingers to rub around the tip.❤ I'll keep teasing your glans until you can't think anymore.❤
ほら、筒をぎゅってしめて、上下にごしごしごし❤\n先っぽに被せた手の指もわしゃわしゃわしゃ❤\nあなたのカリ首を意識が飛びそうになるぐらいいじめてあげちゃう❤,Here; I'll hold it even tighter and rub it up and down.❤ I’ll also cover the tip with fingers.❤ I’ll tease your glans until you’re unconscious.❤
こうやって敏感なところ責められると、\nもう頭がまっしろでしょ？\n射精を我慢なんてできないでしょ？,Your mind is blanking from having your sensitive place stimulated like this; isn't it? You can't hold back much longer; right?
もうイク、出ちゃう❤\n腰の奥から、気持ちいいのが上ってきちゃう❤\nびゅうって射精する❤出る、出る、出る❤,It's about to come out.❤ Something pleasurable is coming out from deep inside your hips.❤ Just ejaculate and splurt it.❤ Cum; cum; cum~❤
５、４、３、２、１・・・・❤\nくすくす❤\nでも、残念❤これでおしまい❤,5; 4; 3; 2; 1...❤ *Giggle*❤ But unfortunately for you~❤ I'll stop right there.❤
はい、ここまで…❤\n先輩からのご褒美は気持ちよかったかしら…？,Alright; so how was my reward?❤ Did it feel good...?❤
あっ、ああっ・・・❤なんでっ・・・❤そ、そんな・・・❤,Ahh...❤ Why did...❤ You stop...❤
くすくす❤そんなに射精したかった？\nでもだめよ。そんな風に媚びた目をしても、\n今はいったんおしまいなの❤,*Giggle*❤ You wanted to cum? But too bad; I'm stopping here; even if you beg me with puppy-dog eyes.
だって、あなたを棄権させてほかの相手と戦うより、\n今のあなたと戦った方が、\nずっと簡単に勝てそうなんだもの❤,After all; rather than having you withdraw and finding another opponent... It'd be way easier to fight you in a state like this.❤
わたしにメロメロで、わたしにすぐ負けちゃいそうな男の子を、\n試合前にイかせてあげる必要なんてないでしょう？\nくすくす❤,A boy who's head over heels for me and gonna lose right away? There's no reason for me to make him cum before the match; no? *Giggle*❤
あ、そうそう❤そのローション簡単には取れないから❤\n試合までに落とすのは無理だと思うわ。\nそれじゃ、試合会場で会いましょうね❤,Ah; that lotion doesn't come off easily; either❤ I don't think you'll be able to take it off until the match is over. Well; see you at the match venue~❤
そう言い残してオクタさんは試合会場の方へ歩いて行った。,With those words; Octa walked away to the match venue.
試合までもう時間がない、僕も急いで行かなくては。前かがみのまま僕はひょこひょこと会場へと向かったのだった。,There isn't much time left until the match. I have to hurry up and go there; too. Still hunched over; I walked wobbily to the venue.
さあ、本日の注目の一戦です！,Now; it's time for the featured match of the day!
ギルドに登録してわずか1か月でDランクに昇格！\n更に昇格試験ではサキュバスを2体も退けるほどの活躍を見せたのが\nこのマスター！,This cardmaster reached D-rank in just one month after registering in the guild! And he even repelled two succubi during his rank promotion exam!
誰が呼んだか「期待のルーキー」、\nＢランクマスターコノハの秘蔵弟子、{主人公}選手の登場です！！,People even call him the "Highly Anticipated Newcomer"; B-rank Cardmaster Konoha's treasured pupil; {主人公} has arrived!!
おお、観客のみなさんも盛り上がっていますねー！\n大きな拍手が聞こえてきます！,Ohh; the spectators are getting excited! You can hear such a big applause for him!
続く対戦者は水属性デッキの使い手！,His next opponent is a Water deck user!
相手のカードさえも水属性に染めるその特殊なデッキは、\n対戦相手の戦術を崩壊させるほどの力を秘めています！\nさあ、彼女は新人の第一歩をくじいてしまうのでしょうか！,Her deck is able to paint opponent's cards into Water Attribute! This unique deck has the ability to destroy their opponent's strategies! Now; will she be able to stop the newcomer on his first step?
年上相手だと緊張しがち、意外と小心者の女の子！\nＤランクマスター、{自分}選手の入場です！,She gets nervous around older men; and is a surprisingly timid girl! D-rank cardmaster; {自分} has arrived!
（うぐ、随分と注目されちゃってる。\nさっきあの子と話してなかったら、\n緊張でガチガチになってたかも。）,(Ugh; so much spectators. If I hadn't talked to that kid earlier; I might still be frozen stiff by now.)
勝つのは期待のルーキーか！\nそれともDランクの水の乙女か！,Will the winner be the highly anticipated newcomer!? Or will it be the D-rank water girl!?
さあ胸が高鳴るバトルの開始です！,The exciting battle is about to start!
ねえ、ルーキーくん。\n初めての舞台にしては、すごい観客の数よね。\n緊張でガチガチになっちゃっているんじゃない？,Hey; newcomer. This is your first time in the stage; yet there's so much spectators. It really makes you nervous; doesn't it?
ほら、まずは握手をしましょう。\nよろしくね。ふふ…❤,Let's start with a handshake. Hehe...❤
彼女の差し出した手に握手を返すと、オクタさんは握った指をなまめかしく絡ませてきた。そして離れぎわ、手の平をつつぅーっとなであげてきた。,When I shook her hand; Octa entwined her fingers with mine seductively. And just before parting; she stroked the palm of my hand.
・・・っ❤,...❤
くす❤さっきしてあげた手の感触、\n思い出しちゃった？,*Giggle*❤ Did you remember the feeling of my hand from earlier?
わたしの「ご褒美」を断らなければ\n今ごろどぴゅどぴゅ気持ちよく射精して、\n今日の試合はお休みできたのに、もったいないことしたわね❤,If you had accepted my "reward"; you would've been able to go splurt splurt by now and take a rest from today's match. What a waste~❤
え？そんなことはない？僕は快楽に負けないって？\nふふ、やっぱりかっこいいじゃない。\nそのキリっとした目、初舞台にしては上出来よ。,Eh? That wouldn't happen? You wouldn't lose to pleasure? Hehe; you're kinda cool; aren't you. Those sharp eyes are impressive for a debut.
でも、これから先輩として実力を見せてあげる。\n水に溺れて、快楽に溺れて、\n何もできず無様にやられてしまいなさい！,But I'll show you the power of a senior from here on out. 
チンポ、ずっとギンギンのまま収まらないわね❤\n観客からは見えないみたいだけど、\n司会者のお姉さんには、気づかれてるみたいよ❤,Your dick has been so hard; it's not settling down at all~❤ Looks like the spectators haven't noticed; but the announcer seems to have.❤
ほら、今もちらっと見てる❤\nそんなところガチガチにして、緊張するべき場所が違うと思うんだけど。\n期待のルーキーくん？くすくす❤,Look; she's glancing here even now.❤ I think that place is the wrong place to be tense at a place like this. Mr. Highly Anticipated Newcomer? *Giggle*❤
ううっ、くそぉ・・・❤,Ughh; damn you...❤
あはは、そんな状態ですごまれても、全然怖くないわ❤,Ahaha; even if you try intimidating me; I'm not scared at all with you in such a state.❤
そうね、試合が始まったら、\nいきなり続きをおねだりしてもいいわよ…？\nどうせ負けるんだもの❤すぐに射精しても同じことでしょ？,Ah; right. The match is about to start; so you can just beg to continue where we left off earlier... After all; you're just gonna lose anyway~❤ What's the difference if you just came immediately?
それともマゾなあなたは、\n無意味な抵抗をしてから負ける方がお好みかしら…❤\nいずれにせよ、たっぷり私に溺れさせてあげる❤,Or perhaps; since you're a masochist; you’d prefer to lose while resisting meaninglessly...❤ Whichever one; I'll make sure to drown you completely.❤
水に溺れて、快楽に溺れて、\n何もできず無様にやられてしまいなさい！,Drown in water; drown in pleasure; and lose pathetically without being able to do anything about it!
決着ー！！勝者は{主人公}選手！,The winner is {主人公}!
見事な速攻で勝負を決めました！とても新人とは思えない、カードさばきです！これはすごい新人が現れました！,The battle was decided with an impressive swift attack! His card handling skill is nothing like a rookie! This is one talented newcomer!
大観衆のなかDランク相手に一歩も引かない実力を発揮しました！見事な勝利です！これはすごい新人が現れました！,He didn't back down at all against a D-rank in front of such a large crowd! What an impressive battle! This is one talented newcomer!
うう…、まさか寸止めされた状態で勝つなんて…。なんて精神力…。,Ugh... To win in such a condition after I left you on the edge... What unbelievable willpower...
サキュバスに勝ったってのは伊達じゃないわね。たいしたものだわ。,You weren't joking when you said you won against a succubus. That's very impressive.
うう…、試合前のちょっかいをはねのけたときといい、たいした精神力ね…。,Ugh... To brush off my advances before the fight. What impressive willpower...
サキュバスに勝ったってのは伊達じゃないみたい。完全にわたしの負けよ。,Looks like you weren't joking when you said you won against a succubus. It's my complete loss.
闘技場で勝利した！勝利報酬を得た！,You won in the colosseum! You've received your rewards!
闘技場Dランク2回戦に挑戦できるようになりました。,You can now challenge D-rank 2nd round.
あなたのターンからね。さて、噂の新人マスターはどんな初動をするのかしら。,It's your turn. Now; I wonder what the newcomer cardmaster is gonna do next.
わたしのターンからね。さあ、Dランクの実力を見せてあげるわ。,It's my turn. I'll show you the strength of a D-rank.
あなたのターンからね。さて今日はどんな動きをするのかしら？,It's your turn. Now; I wonder what you'll do next?
わたしのターンからね。ふふ、水モンスターの力を思い知りなさい。,It's my turn. Hehe; you'll learn the power of my Water monsters.
ドローするわ。,I'll draw.
わたしのターンね、ドロー。,It's my turn; draw.
（さて、この隙にっと・・・。）,(Alright; I'll use this opportunity to...)
オクタは袖の中で手を軽く上下に動かした。,Octa is moving her hand up and down in her sleeve.
はうっ！ううっ・・・❤,Hauuu! Uuu...❤
ローションが彼女の動きに合わせて微弱に上下に動いてくる！,The lotion is moving; gently following her movements!
（くすくす❤もだえてる、もだえてる・・・♪）,(*Giggle*❤ Keep struggling...♪)
（何回耐えられるかしらね？ほらほら・・・❤❤）,(I wonder how long you can endure this? Here's more...❤❤)
オクタは袖の中で手を軽く上下に動かした！,Octa is moving her hand up and down in her sleeve!
モンスターをコストに{使用カード}を上級召喚！,I advance summon {使用カード} with this monster!
{使用カード}を召喚！,Summon {使用カード}!
うえ、強そうなカードが出てきた…。,Uwah; a strong-looking monster appeared...
ねえ、ちょっとは手加減してよ。そのカードで攻撃するのはやめてくれるとうれしいんだけど。,Hey; go easy on me. It'd be really nice if you you don't attack with that card.
もちろんお礼はしてあげるよ。だから、おねがい❤,Of course; I'll make sure to reward you. So pleease~❤
オクタにつけられた粘液が股間を甘く刺激してくる・・・。,Weeing the lotion sticking on Octa is stimulating my crotch...
ううっ・・・・❤,Uuu...❤
召喚したモンスターに攻撃命令を出せなくなってしまった！,I couldn't order the monster I just summoned to attack!
ううっ、あうう・・・❤,Uuu... Ahh...❤
ぷっ、くすくす❤\nなんで蘇ったばかりでそんな顔してるわけ？\nカッコわる❤,Pfft.❤ You just got revived; so why are you already making a face like that? That's so lame~❤
どうせさっき負けたのが忘れらないんでしょ❤\nあーあー、男ってほんとバカみたいだね❤\nそこで間抜け面さらして棒立ちしてれば？くすくす❤,You probably couldn't forget how you lost last time.❤ Haah; men really are idiots~❤ How about you just keep standing there with that stupid look on your face? *Giggle*❤
ちぇ、言うこと聞いてくれればいいのに。,Tch; if only you had done what I said.
あは、またターン終了してくれるんだ。,Ehe; your turn is over again.
もう膝ぐりぐりに夢中じゃん❤くすくす❤,You're already absorbed in my knee grinding.❤ *Giggle*❤
ほら、こうしてほしいんでしょ？またいじめてあげる❤,Here; you want more of this, right? I'll tease you again.❤
うりうりー❤気持ちいい・・・？,Grind; grind~❤ It feels good; doesn't it...?
わたしのためになることすると、気持ちいいことしてもらえるって体が覚えちゃったね❤,Your body has learned that if you do something for me; you'll get to feel good~❤
あっ、あああっ・・・❤❤,Ahh; ahhhh...❤❤
あは、イっちゃった❤膝でぐりぐりされただけで射精しちゃったよ。,Ehe; you came.❤ I was just grinding you with my knee and you came.
うっ、ううっ・・・。,Uuu; uuu....
ねえ、まだ攻撃できるみたいだけど、ターン終了してくれるの？,Hey; it looks like you can still attack; but you're ending your turn?
もしかしてまたご褒美がほしくなっちゃった？くすくす・・・❤,Could it be that you wanted another reward? *Giggle*...❤
ほら、こうしてほしいんでしょ？膝でいじめてあげる❤,This is what you wanted; no? To get teased by my knee.❤
ふふ、ありがとー。強いモンスターで攻撃しないでくれたね。,Hehe; thanks for not attacking with your strong monster.
ほら、ご褒美・・・・❤,Here's your reward...❤
膝でいじめてあげる❤,I'll tease you with my knee.❤
わたしの言うこと聞けば、もっと気持ちよくなれるよ？くすくす❤,If you keep doing what I say; I'll make you feel even better; you know? *Giggle*❤
あは、イっちゃった❤膝でぐりぐりされただけで射精しちゃったよ❤\nザーコ❤,Ehe; you came.❤ I was just grinding you with my knee and you came.❤ Looser~❤
さらにもう1枚発動！,I'll activate one more card!
