default
師匠,師傅
主人公の師匠。Bランクの実力派。主に戦士系のカードを使うがそれ以外の魔獣モンスターも巧みに操る。,主角的師傅。是B階級的中堅人物。主要使用戰士類型的卡片，也能巧妙操縱魔獸。
主人公の見た目を選択してください。,請選擇主角外貌。
主人公の見た目が決定されました。この内容はいつでもオプションで変更できます。,已決定主角外貌。此內容隨時都可以在選項中更變。
僕はこの村でカードの修行をしていた。,我在這個村子中進行卡片的修行。
師匠のもと、毎日バトルに明け暮れる日々...,在師傅的指導下，每天從早對戰到晚上…
これまで大変な思いは何回もしたけれど、,雖然途中有不少挫折，
今日はついに、町へ行くための試験の日だった！,但今天終於到了確認是否可以外出的試驗了！
よおし、それじゃどれぐらいうまくカードが使えるようになったか、見てあげる。,那麼，就讓我看看你能使用卡片到什麼程度吧。
わたしのこの練習デッキに勝てれば、町に行ってもオッケー。弱いままで外に出たら、モンスターに襲われるかもしれないからね。,只要能戰勝我的訓練牌組就允許你上街。如果讓弱小的徒弟外出可能會被怪物打倒呢。
わたしに勝てるぐらいの実力を見せてみて。いくよ！,開始吧！讓我見識青出於藍的實力吧。
その意気や良し。さあ始めるよ！,氣勢很好。那麼對戰開始！
今回はわたしが先攻ね。ドロー！,這次由我先攻。抽牌！
チュートリアル１：ドロー,教學１：抽牌
プレイヤーのゲーム開始時の手札は５枚です。自分のターンが来るたびに、山札からカードを１枚引きます。山札からカードを引くことを「ドロー」といいます。,玩家在遊戲開始時持有５張手牌。每當自己回合開始時，從牌組抽取１張卡。從牌組抽取卡片的行為統稱為「抽牌」。
{使用カード}を上級召喚！,上級召喚{使用カード}！
{使用カード}を召喚！,召喚{使用カード}！
チュートリアル２：召喚,教學２：召喚
プレイヤーは手札から１ターンに１度だけモンスターを召喚することができます。場に出したモンスターはHPがゼロになると破壊され墓地へ送られます。レベルが５以上のモンスターは場のモンスターをコストに支払わないと召喚することができません（レベルが５～６の場合１体、レベルが７以上の場合２体）。,玩家１回合１次可以從手牌當中召喚怪獸。出場的怪獸HP歸零時會被破壞送往墓地。等級５以上的怪獸需要以場上的怪獸為代價才能召喚（等級５～６時為１體，等級７以上為２體）。
チュートリアル３：攻撃,教學３：攻擊
召喚したモンスターは相手に攻撃することができます。ただし先攻１ターン目のプレイヤーは攻撃することができません。,召喚出的怪獸可以對對手進行攻擊，但是先攻第１回合的玩家不能宣言攻擊。
チュートリアル６：勝利条件,教學６：勝利條件
先に相手のライフポイント(LP)をゼロにした方が勝者です。ライフを減らすためには相手プレイヤーに攻撃をする必要があります。ただし場に相手のモンスターがいる場合は、相手プレイヤーに直接攻撃できないので、先にモンスターを倒さなければなりません。,先將對手的生命值(LP)歸零的玩家為贏家。想要減少生命值必須要攻擊對方玩家。但是如果對手場上有怪獸的狀況下不能直接攻擊玩家，必須要先打倒怪獸才行。
このゲームではプレイヤー自身も相手に攻撃を行うことができます。プレイヤーの攻撃力は比較的高いので、積極的に攻撃をしかけていくことが重要です。,這個遊戲玩家本人自己也可以攻擊對方。玩家的攻擊力通常比怪獸卡要高，積極地進行攻擊非常重要。
それでは実際に自分のカードを操作して、デュエルに勝利してみましょう。,那麼接下來就實際操作自己的卡片來贏得決鬥吧！
{使用カード}の効果発動！手札からレベル３以下のモンスター１体を特殊召喚！,{使用カード}的效果發動！從手牌特殊召喚１體等級３以下的怪獸！
{使用カード}のモンスター効果発動！攻撃力が500ポイントアップ！,{使用カード}的怪獸效果發動！攻擊力提升500點！
魔法カード発動！{使用カード}！自分のモンスターに１回きりのバリアを付与するわ。,魔法卡發動！{使用カード}！給予自己怪獸一次防護罩。
{使用カード}を発動し、敵から身を守る盾を味方に付与！,發動{使用カード}，賦予我方守護之盾！
魔法カード発動！{使用カード}！相手表側モンスター全体に500ダメージ！,發動魔法卡！{使用カード}！給對手場上所有怪獸５００傷害！
しびれなさい！{使用カード}発動！,麻痺吧！發動{使用カード}！
もう一発いくわ。{使用カード}発動！,再來一發。發動{使用カード}！
魔法カード発動！{使用カード}！デッキから地属性のモンスターをランダムに手札に加えるわ。,發動魔法卡！{使用カード}！從牌組隨機將１張地屬性怪獸加入手牌。
毒をくらいなさい。魔法カード発動！{使用カード}！,中毒吧！發動魔法卡！{使用カード}！
魔法カード発動！{使用カード}！,發動魔法卡！{使用カード}！
トラップカード発動！{使用カード}！,發動陷阱卡！{使用カード}！
チュートリアル４：魔法,教學４：魔法
緑色の枠のカードは「魔法カード」です。１ターンに何枚でも使うことができます。効果はカードによりさまざまです。,綠色外框的卡片是「魔法卡」。１回合可以使用任意張數。魔法卡擁有各式各樣的效果。
チュートリアル５：トラップ,教學５：陷阱
赤色の枠のカードは「罠カード」です。自分の場に伏せた次のターンから使うことができます。条件を満たせば相手ターンでも発動できます。,紅色外框的卡片是「陷阱卡」。覆蓋在自己場上後下一回合才可以使用。只要滿足條件即使是對手回合也可以發動。
カードをセット。,蓋一張卡片。
カードを伏せるわ。,覆蓋一張卡片。
バトルよ！{使用カード}で{防御カード}を攻撃！,戰鬥！{使用カード}對{防御カード}進行攻擊！
ターン終了よ。,回合結束了。
ターンエンド。,回合結束。
わたしのターンはおしまい。ターンエンド。,我的動作結束了。回合結束。
攻撃を無効にするトラップね。うまく使えているじゃない。,是讓攻擊無效的陷阱呢。你用得很好呢。
負けないぞ！,我不會輸的！
絶対勝ってやる！,我絕對會贏給妳看！
