default
サキュバス少女,魅魔少女
スライムを操る下級サキュバスの少女。自身の体をスライム化させることができ、わずかな隙間があればどんなところにでも侵入できる。\n下級サキュバスの中でもそれほど戦闘力は高くない方だが、その便利な特性ゆえに侵入や諜報は得意で、様々な場面で活躍している。,可以操縱史萊姆的低階魅魔少女。可以將自己的身體史萊姆化，入侵各式各樣的空隙。\n雖然在低階魅魔中也屬於戰鬥力不高的魅魔，其能力的變性性質讓她可以進行入侵跟間諜活動，可以適用於各種戰鬥。
導入イベントをスキップしますか？,要跳過開場事件嗎？
よし、それじゃあ、ギルドのある隣街に向かおう！,接下來目標是隔壁街上的公會！
おや、守護者のお弟子さんじゃないですか。これからどちらへお出かけで？,啊，這不是守護者的徒弟嗎？你要去哪呢？
・・・なるほど。ギルドのある隣街っていうと、モルゲンですね。,……原來如此，有設立公會的隔壁城鎮摩爾根嗎。
今から馬車でちょうどモルゲンへ行くんですが、よろしければご一緒いたしませんか？,剛好我的馬車也要前往摩爾根，要跟我同行嗎？
いいんですか？,可以嗎？
ええ。守護者のお弟子さんが一緒なら、もし魔物が出ても安心です。,當然。是我覺得如果跟守護者的徒弟同行的話，就不用擔心路上的魔物了。
普段は魔物から逃げ切れるように、あまりたくさん荷を積まないのですが...,我平常為了防範被魔物追趕，都還辦法載上太多貨。
護衛の方がいると馬車が重くなっても大丈夫なので、一度に多く運べるんです。,但是如果有護衛的話就可以不在意重量，一次載多一些貨了。
どうです、ともに利益のある話でしょう？ぜひ、ウチの馬車に乗ってくださいな。,如何？同行的話確實對雙方都有好處對吧？請務必搭乘我的馬車。
はは、さすがは守護者のお弟子さん。頼もしいですね！,哈哈哈，真不愧是守護者的徒弟。這還真是可靠。
短い間ですが、よろしくお願いします。,那麼這段時間的護衛就麻煩妳了。
一緒に来てくださいますか！ありがとうございます。,你願意跟我同行嗎！真是太感謝了。
短い間ですが、よろしくお願いしますね！,那麼一路上就麻煩你照顧了！
こうして旅商人に馬車に乗せてもらって5日が経った。,就這樣搭乘旅行傷人的馬車經過了五天。
道中、何体か魔物が出たけれど・・・,雖然路上有數隻魔物出現……
たいして強くはない個体で、僕は難なくそれらを退けていた。,但都不是什麼強大的個體，我毫無困難的擊退牠們。
はぁ、はぁ・・・・。倒したのか・・・？,哈、哈……。打倒了嗎？
僕の最後の一撃を受けて、サキュバスは光の粒になって消えていった。これで退治できたのだろうか…？,接受我的致命一擊，魅魔化為光粒消失。這是打倒她了嗎……？
ううっ・・・。,嗚嗚……。
・・・・！大丈夫ですか？,……！沒事吧？
はは、すみません。体から力が抜けてしまって…。,是的，不好意思。稍微沒力而已……。
あんな小さな女の子なのにあれがサキュバスなんですね…。,那麼小的女孩子竟然是魅魔……。
恥ずかしながら魔力で魅了されてしまっていたみたいです。,真丟臉，我也被她的魔力給魅惑了。
わたしは妻一筋だったはずなのに…。うううっ…。,我明明只愛著我的妻子啊……。嗚嗚嗚……。
・・・・。,…………。
守護者のお弟子さん、あなたのおかげで助かりました。,守護者的徒弟啊，多虧有你我才能得救。
いまは急いでモルゲンを目指しましょう。また魔物に襲われたらたまりません！,趁現在趕快前往摩爾根吧。要是再被魔物襲擊可就受不了了！
こうして僕らはモルゲンに向かって急いで馬車を走らせ、その日のうちに街へ着いたのだった。,就這樣我們持續駕駛馬車趕路，總算在當天就抵達城鎮。
街の外で見かけたサキュバスについては、モルゲンの門番に報告しておいた。魔族領から遠いこの地でサキュバスが出ることは珍しく、彼は非常に驚いているようだった。,同時我將在外面遭遇魅魔的事情與摩爾根的守衛報告。距離魔族領地這麼遠的地方出現魅魔是很稀有的事情，因此對方非常驚訝。
まさか最初の依頼からこんなことになるとは…。初めてのサキュバスとの戦いで疲れた僕は、宿屋に入るなりベッドに倒れこんでしまった。,沒想到第一次接受委託就碰到這種事情……。就這樣第一次跟魅魔戰鬥而累垮的我，進入旅店後就倒在床上。
師匠が会えと言っていた、ギルドのリーフさんに会うのは、また明日にしよう…。,雖然師傅要求我去找人，但是跟公會的莉芙小姐見面的事情還是明天再說吧……。
商人から護衛の報酬を得た！,從旅行商人得到擔任護衛的報酬！
いやあ、おかげさんで順調ですねぇ。その若さでたいしたもんです。,托你的福順利載了大量貨物抵達。還這麼年輕就這麼厲害了。
あと何時間かでモルゲンの街につきますよ。,再過幾小時就能抵達摩爾根了。
ほら、そこの街道を右に行くと…。うん…？,只要往這條路的右邊走就……。嗯……？
あのー、お兄さんたち、街へ行こうとしているんですか？,那個，大哥們，請問是要前往城鎮的嗎？
実はわたし、いまちょっと困ってて助けてほしいんです・・・。,其實人家現在需要有人幫忙……。
お兄さんたち、こっちに来てくれませんか？,大哥可以過來這邊一下嗎？
・・・・・・？,……？
うふ、そばに来てくれてありがとうございます。,嗯呼呼，感謝你特地來人家身邊呢。
実はわたし、さっきからずーっとおなかがすいていて…。,其實人家從剛才開始肚子就一直餓著呢……。
お兄さんたちの精気、わけてほしいんです❤,所以人家想要大哥把精氣分給我❤。
彼女はそういうと、突然背伸びをして僕の頭に顔を近づけてきた。,她突然惦起腳靠近我的臉頰。
ちゅっ❤,啾。
っ・・・・・❤,嗚……。
くす❤もしかしてキスされるの初めてですか？,嗯哼哼❤，難道說你是第一次被女孩子親嗎？
こんなちっちゃな子にファーストキス奪われて、唇と唇が触れただけでとろーんてなっちゃって…❤,被這麼小的女孩子搶走初吻，絕對會在唇與唇交疊的瞬間就受不了了呢……
かわいいですね❤お兄さん❤,你好可愛喔，大哥❤。
お、おいどうなっているんだ。女の子から悪魔の羽・・・！？,這、這是怎麼回事？女孩子身上有惡魔的翅膀……！
うふふ❤商人さんはじっとしててください。あなたのこともすぐに食べてあげます。,嗯呼呼❤商人大哥請待在原地別動。人家待會也會來吃掉你的。
でもまずはこちらのカードマスターのお兄さんから❤,不過人家現在要先吃這邊的卡片玩家大哥喔❤
ん、ちゅっ・・・❤,嗯、啾❤……。
はうぅぅっ・・・・・❤,哈嗚嗚嗚嗚……。
メロメロにして、カードも使えなくして・・・❤そのまま搾っちゃいますね❤,被魅惑到無法使用卡片……，就這樣放任自己被榨乾吧❤。
あやしい・・・・・・。,好奇怪……。
こんな道の真ん中でどうしたんだい？,為什麼她會在野外道路中呢？
ちょっと今降りるから待ってなよ。,妳等等我馬上過去。
商人が馬車から降りようとする。僕は彼を引き留め、小さな女の子に対して警戒の目を向けた。,商人打算從馬車上下來。我將他拉住，對那小女孩露出警戒的目光。
あれ、どうしてそんなに怖い顔をしているんですか？,奇怪，為什麼要做出這麼恐怖的眼神呢？
わたしのそばに来てください。足を怪我してしまったんです。おねがいします・・・。,拜託過來人家身邊嘛。人家的腳受傷了。拜託啦……。
なぜだろう、嫌な予感がする。見た目はただの小さな女の子のはずなのに・・・。,不知道為什麼有不好的預感。明明她外表只是一個普通的小女孩……。
んー・・・。何か怪しまれるようなところあったかなぁ・・・。あ、もしかして、,嗯……？你怎麼會覺得人家很奇怪呢……？啊，難道說，
魔力が漏れているのがバレちゃいました？くすくす❤,是發現人家外露的魔力嗎？嗯呼呼❤
気づかずに来てくれれば、唇でちゅってしてあげたのに・・・❤ほら、こんな風に。,要是你沒注意到就靠近的話，就可以讓人家用嘴巴這樣幹你的說……就像這樣❤。
そう言うと少女は唇に指をあて、ちゅっと弾いて見せた。,少女說著彈了自己的嘴唇。
・・・・・・!,……!
そ、その羽！！な、なんで魔族領でもないのにサキュバスが！？,那、那翅膀！為、為什麼會在非魔族領地的地方出現魅魔？
あは❤驚いた顔してますね。サキュバスを見るのは初めてですか？,啊哈哈，看你驚訝的樣子。是第一次看見魅魔嗎？
わたしがここにいる理由なんて気にしてもしょうがないですよ。だって……。,就算你知道人家會出現在這裡的理由也沒有意義喔。因為啊……。
今からあなたたちはわたしに食べられちゃうんだから❤,接下來你們就要被人家吃掉了呢❤。
まずはそこの、カードマスターのお兄さんからです。,首先從卡片ㄨㄢ玩家大哥開始喔。
この足でぬちゅぬちゅしごいて、きもちよーく何回もイかせてあげますね❤,這隻腳上有黏滑的史萊姆，可以讓你舒服連射好幾次喔。
うふふ、わたしのターンからですね❤,嗯呼呼，人家的回合呢。
お兄さん、キスでもうメロメロですか？わざわざモンスター出さなくても勝てちゃいそうです❤,大哥，你被吻到著迷了嗎？看來就算不出怪獸也能贏呢。
頭の中ピンク色になっているうちに、きもちよく、終わらせてあげます❤ほら・・・。,就這樣趁你腦袋只有粉紅色的這時候，讓你舒服的結束喔，嗯呼呼……❤。
わたしの気配に気づくぐらいだから、きっとお兄さん強いんですよね？,大哥能注意到人家的真身，一定很強對吧？
