default
エルル,Eruru
EP06_HandJob (1),
Kiss01,
Sexy01,
闇属性のモンスターを好んで使うD級のカードマスター。特殊召喚を多用し、初心者を苦しめる。鍵開けなどの盗賊としての技能を身に着けており、手先が器用。そんな彼女の手コキは絶品で、戦闘後に彼女の虜になってしまう男が後を絶たないという。また大きな胸を活かしたパイズリも得意。男性が彼女に勝つためには強い理性が必要だろう。,A D-rank card master who prefers to use dark-attribute monsters; she often uses special summons and torments beginners. She possesses skills in lockpicking and other thievery; and as a result her hands are very dexterous. Her handjobs are exquisite; and many men become her captives after battle. She’s also skilled in the art of tittyfucking; thanks to her large breasts. Men need a strong willpower to have any hope of defeating her.
ん？この辺じゃ見ない顔ね。初心者のカードマスターかしら。,Hmm? I haven't seen your face around. Are you a beginner cardmaster?
はじめまして。わたしは、エルル。D級のカードマスターよ。,I'll introduce myself. I'm Eruru; a D-Rank cardmaster.
あなたのランクはF級？ふーん、まだカードを始めたばっかりなんだ。,You're an F-rank; huh? Hmm; so you're just starting out.
さっそくバトルと行きましょ。上級者として軽く倒してあげる。,So; wanna have a battle? I'll beat you easily since I'm more experienced.
やっほー。{ランク名}級カードマスターくん。また会ったわね。バトルする？,Well; if it isn't the {ランク名}-rank. We meet again! Wanna have a battle?
この間わたしが負けたのは運よ。運。今度は勝つわ。さあ行くわよ！,It was just bad luck that I lost last time. Bad luck; I tell you! This time I'll definitely win. Come at me!
この間みたいに、キャロルのおっぱいでまた負けさせてあげるわ。ふふふ、せいぜい楽しみなさい。,Maybe this time; I'll make you lose to Carol's breasts again. Fufu; you should look forward to it.
ふふ、前はわたしの勝ちだったわね。またこてんぱんにしてあげる。,Fufu; you lost to me last time. I'll beat you thoroughly this time; too.
やっほー。F級カードマスターくん。また会ったわね。バトルする？,Well; if it isn't the F-rank. We meet again. Wanna have a battle?
え？もうF級じゃない、{ランク名}級になったって？\nへぇー、すごいじゃない。,Eh? You're not F-rank anymore; but {ランク名}-rank? Woow; impressive~
とはいえまだわたしより下のランクでしょ。\n前回たまたま負けちゃったけれど、今日はわたしが勝つんだから。\nさあ行くわよ！,Though; it's still a lower rank than mine. My loss last time was just an accident. I'll definitely win today. Come at me!
でも結局、またわたしのモンスターに負けちゃうんでしょ？\nふふ、ランクが上がったところでパイズリにアヘらされてるようじゃ\n仕方ないわね❤,But in the end; you'll lose to my monsters again; won't you? Fufu; your rank might've increased; but you still go so crazy over a titjob. Oh well~❤
この間みたいに、キャロルのおっぱいで負けさせてあげるわ。\nせいぜい楽しみなさい❤,I'll make you lose to Carol's breasts just like last time. Fufu; make sure you enjoy it as much as you can~❤
でも結局、またわたしに負けちゃうんでしょ？\nランクが１つ上がったところで、たいして変わらない❤\n今日もこてんぱんにしてあげる❤,But in the end; you'll lose to me again. Your rank might've increased by one; but you still haven't changed a bit~❤ I'll beat you thoroughly.❤
やっほー。E級カードマスターくん。また会ったわね。バトルする？,Well; if it isn't the E-rank. We meet again. Wanna have a battle?
やっほー。{主人公}。\n今時間ある？それならわたしとバトルでもしましょう。,Well; if it isn't {主人公}. Are you free? Then let's have a battle.
同じDランク同士、闘技場に向けてしっかり調整していかないとね。\nこの間は負けたけど、今日は勝たせてもらうわ！,We're fellow D-ranks; so make sure you're well prepared before you head out to the colosseum. I might've lost last time; but I'll get my win today!
くぅ、格下に負けるなんて屈辱…。次は負けないわ！,Ugh; it's humiliating to lose to someone who's lower rank than me... I won't lose next time!
はい、わたしの勝ち。やっぱりF級とD級じゃ、実力が違うわよね。クスクス。,Yep; looks like I won. There really is a big gap between F-rank and D-rank; *Giggle*
はい、わたしの勝ち。やっぱりE級とD級じゃ、実力が違うわよね。クスクス。,Yep; looks like I won. There really is a big gap between E-rank and D-rank; *Giggle*
うっ、さすがね。やるじゃない、{主人公}。\nでも次は勝つわ。またバトルしましょう。,Ugh; I thought so. You're not half bad; {主人公}. But next time; victory will be mine. Let's battle again sometime; OK?
はい、わたしの勝ち❤\n気持ちよく射精できてよかったわね❤うふふ❤,Yep; looks like I won.❤ I bet you're glad to get such a pleasurable ejaculation.❤ Ufufu~❤
あなたのターンからね。さあ、いいバトルをしましょう。,Looks like it's your turn. Let's have a good battle.
わたしのターンからね。いくわよ、わたしの闇属性モンスターでこてんぱんにしてあげる。,Looks like it's my turn. My Dark Attribute monster's are gonna mess you up good!
わたしのターン、ドロー。,My turn. Draw!
{使用カード}を上級召喚するわ。,I'll special summon {使用カード}.
{使用カード}を召喚！,Summon {使用カード}!
ううっ、あうう・・・❤,Uuu; ahh...❤
ぷぷっ、蘇ったばっかりなのに、もう前かがみなんだけど❤\n自滅しちゃうようなザコじゃ、\n何度出てきても意味ないわよね❤,Pfft; you've only just been called out and you're already hunching over like that.❤ For a weakling that loses on their own like you; the results won't change no matter how many times you try.❤ 
そこで勃起チンポ抱えてじっとしてれば？\nすぐにまたエナジーを搾り取ってあげる❤\nま、ほかのモンスターにぼこられちゃうかもだけど❤,How about you just stay still and hold that erection out? I'll squeeze your mana again real soon.❤ Well; the other monsters might get to you first~❤
さらにもう1枚発動！,And I'll activate one more card!
{使用カード}の効果発動！カードを1枚ドロー！.,Activate {使用カード}'s effect! Draw one card!
{使用カード}が場に出たとき効果発動！山札から1枚ドロー！,When {使用カード} enters the field; I can draw one card from my deck!
{使用カード}の効果発動！相手の攻撃力を300ポイントダウン！,{使用カード} activate! Lower my opponent's attack power by 300 points!
力を奪ってあげる。{使用カード}の効果を発動！,I'll steal your power. {使用カード} activate!
{使用カード}の効果発動！闇属性モンスターの攻撃力を300ポイントアップ！,I activate {使用カード}; and increase a random Dark Attribute monster's attack power by 300!
{使用カード}の効果を発動！闇属性モンスターの攻撃力をパワーアップ！,I activate {使用カード}; and increase a random Dark Attribute monster's power by 300 points!
破壊されたとき{使用カード}の効果発動！罠カードをサーチするわ！,When {使用カード} is destroyed in battle; I can search for a trap card to add to my hand!
{使用カード}が破壊されたとき効果を発動！罠カードを山札から手札にサーチ！,When that card is destroyed; {使用カード} lets me search for a trap card from my deck to add to my hand!
魔法カード発動！{使用カード}！手札からレベル4以下の闇属性モンスターを特殊召喚するわ.,Magic card activate! {使用カード}! I special summon one level 4 Dark Attribute monster from my hand.
{使用カード}発動！手札から闇属性の下級モンスターを特殊召喚するわ。,Activate {使用カード}! Now I can special summon a lower-rank Dark Attribute monster from my hand.
