default
ドワン,Dwan
曲がったことは嫌いな心根のまっすぐなマスター。高い突貫力を誇るがあまり持久力がない。,A straightforward cardmaster who hates underhanded tactics. He favors fast attacks; but he doesn't have much endurance. 
よお、闘技場ぶりだな。\n今日は街で修行のバトルか？,Hey; it's been awhile since I saw you at the arena! \nAre you out battle training in town today?
それなら俺とやろうぜ！\n俺のドリルデッキでお前の守りを貫いてやるよ！,If so; then let's have a match! \nI'll pierce your defenses with my drill deck!
よお、また会ったな、ルーキー！\n前は負けて悔しい思いをしたが、今日は勝ってやるぜ！,Hey; good to see you again; rookie! \n I was disappointed to lose before; but I'm going to win today!
俺のドリルデッキの突貫力はDランク随一だぜ。\n今日こそ勝利をつかんでみせる！,My drill deck has the best penetration in D rank. \nI'm going to win today!
よお、また会ったな、ルーキー！\n前は俺の勝ちだったし、今日も勝たせてもらうぜ！,Hey; good to see you again; rookie! \nI won before and I'm going to win again today!
俺のドリルデッキの突貫力はDランク随一だぜ。\nお前の守りも軽く貫いてやらぁ！,My drill deck has the best penetration power in D rank. \nI'm going to pierce your defenses as well!
くっ、相変わらずやるじゃねえか。\nだけど次は俺が勝つぜ！\nまたやろうな！,Damn; you're still on top of your game; aren't you? \nI'll beat you next time; let's do it again!
へへん、見たか！これが俺の実力だ！\n楽しいバトルだったぜ、次もまたやろうな！,Heh; you see? That's what I'm capable of! \nI had a fun battle; let's do it again next time!
挑戦するために必要なランクポイントに達していません(現在ランクポイント:{ランクポイント})。,You have not reached the required rank points for the challenge (current rank points:{ランクポイント})
俺はドワン！おまえが話題の新人か。\n戦えるのを楽しみにしてたぜ！,I'm Dwan! You're the newcomer everyone's been talking about. \nI've been looking forward to fighting with you! 
今日は低ランクの男同士だからなのか、\n実況もつかない不人気試合みてえだが、\n俺たちは楽しくやろうぜ！,There's not much of a crowd today. \nMaybe because it's a match between low-ranked guys. \nWell whatever! That just means we can battle without distractions!
