default
サキュバスメイド,魅魔女僕
魔王に仕えるサキュバスのメイド。その極上のご奉仕はあらゆる男を骨抜きにするという。,侍奉魔王的魅魔族女僕。那極品的侍奉可以讓所有男人渾身酥麻。
戦闘時に弱点付与。おっぱいに弱い相手に追加攻撃。,交戰時賦予對方與攻擊方式相應的弱點。交戰對手有「胸部弱點」時，會進行追加攻擊。
うふふ❤\n目にハートを浮かべて、すっかり魅了されてしまったようです。,嗯哼哼。\n眼睛都冒出愛心，這已經完全被魅惑了呢。
追い打ちさせていただきますね。\nサキュバスのパイズリでもだえてくださいませ❤,那麼就讓我追擊您吧。\n請體驗魅魔的乳交。
お客様、戦わなくていいんですか？\nうっとりした顔で、ポーっとしちゃって。,客人，放棄戰鬥真的可以嗎？\n您一臉爽樣的呆站著呢。
無抵抗なら楽に挟めます。\nほら甘いパイズリの快楽で、戦う力を根こそぎにしてあげますね❤,如果不抵抗的話我就繼續夾到您爽死。\n讓我用乳交的甜蜜觸感完全剝奪您戰鬥的力氣吧。
おっぱいで挟んで戦う意志をとろけさせてあげます❤,讓我用胸部夾您融化您戰鬥的意志。
まあ、既に魅了の魔力でメロメロみたいですけど❤くすくす❤,啊，您已經完全被魅惑了呢，嗯哼哼。
お客様に最上のご奉仕を❤ \nほら、お胸で挟んでさしあげますね❤,我會為客人獻上最極致的侍奉。 \n您看，我要用胸部夾您了呢。
わたしの胸でお客様にご奉仕させていただきます。,請讓我用胸部服侍您。
やわらかい胸でしっかりと包み込んで、上下にすりすり…❤\n気持ちよさで腰を抜かさないで下さいね？,柔軟的胸部緊密的包覆您，然後上下擺動……\n請不要爽到腿軟喔。
この胸で挟んでさしあげれば、\n男の方は立っていることすらできなくなります。,被我這個胸部夾過後，\n男人都會爽到站不起來了呢。
ペニスを挟んで、何度もむぎゅむぎゅ...❤\nふふ、どうぞ快楽の時間をお楽しみください。,讓我夾住您的陰莖，不斷揉壓……。\n嗯哼哼，請享受這段快樂的時光吧。
わたしの胸でご奉仕してあげます,我會用胸部侍奉您的。
サキュバスのパイズリでもだえてくださいませ❤,請儘管在魅魔的乳交中掙扎吧。
わたしの胸とてもやわらかそうでしょう？\nこれでお客様の大事なところ、挟んであげます。,我的胸部非常柔軟對吧？\n我要開始夾住客人重要的東西了喔。
甘い快楽でもみほぐされて、戦う力なんて残りませんわ。うふふ❤,被甜美的快感侵犯身體，已經沒有戰鬥的力氣了呢。嗯哼哼❤。
この気持ちよさの前なら、\nバトルなんてどっちだっていいですよね？くすくす❤,在這份快感面前，\n戰鬥本身已經怎樣都好的對吧？嗯哼哼❤。
お客様に最上のご奉仕を❤\nほら、お胸で挟んでさしあげますね❤,我要給客人最極致的侍奉❤\n請看，我要用胸部夾住您了。
どれだけ強いモンスターでも、サキュバスの快楽の前では無力ですわ❤,無論是多強的怪獸，在魅魔的快樂面前都是無能為力的呢。
こうして手でしごいてあげれば・・・。\nくすくす❤腰が浮いてしまっていますね❤,只要像這樣用手幫你弄……。\n嗯哼哼，馬上就腿軟了呢。
この胸で顔を挟ませていただきます。\nほら、ぱふぱふ・・・❤ぱふぱふ・・・❤,我用這胸部來夾住您的臉。\n嗯哼哼……❤
とろけたお顔になっていますね。\n気持ちいいですか？お客様❤,已經一臉陶醉的樣子呢。\n請問還舒服嗎？客人❤。
わたしの胸、けっこう大きいですよね？,我的胸部非常大對吧？
この胸でお顔を挟めば、あっという間に天国ですよ？\nほら・・・❤,被這對胸部夾臉的話，可是會馬上升天喔。\n我要來了……❤。
あら？おっぱい好きなんですか？それなら…❤,哎呀？您喜歡胸部呢。那麼我就……
あは、もう終わりですね❤,哎呀，才這樣就結束了呢❤
あら、意外と頑張るんですね。もっと楽しんでいってもいいんですよ？,哎呀，意外得很能撐呢。如果還想爽的話只要說一聲就行了喔。
どうせあとちょっとでイっちゃうんですから。\nくすくす・・・❤,反正客人只要再一下就射了不是嗎？\n嗯哼哼……❤。
あん、せっかくなら射精するまで楽しめばいいのに・・・❤,哎呀，明明難得人家幫您做，而您只需要享受到射精就好的說……。
このおっぱいであと数しごき・・・❤\nびゅーって出したら気持ちいいですよ？,只要這對胸部再幹您幾下，\n就會舒服到射出來了喔？
気持ちいいですか？逃げちゃダメですよ？,請問還舒服嗎？不可以逃跑喔。
おっぱいでたくさんしごかれて、射精しちゃいましょうね❤,我要用胸部用力幹您幹到射精喔❤。
ほらほらほら❤,嗯哼哼❤。
抵抗はやめて、おっぱいに負けちゃいましょう？,放棄抵抗，敗給魅魔女僕的胸部吧。
おちんちんをいじめられたら、すぐに負けちゃいますね❤,陰莖只要被欺負的話就會馬上輸掉的喔。
腰が震えてますね。気持ちいいの、隠せてません❤,您的腿都在發抖了呢。您的快感已經藏不住了呢。
早く逃げないと、わたしの勝ちになっちゃいますよ？いいんですか？,不趕快逃走的話，就會變成是我贏了喔。這樣真的可以嗎？
わたし、これ、とっても得意なんです❤たっぷり楽しんでください❤,我啊，非常擅長這招，讓我來讓您幸福吧。
谷間の中に、びゅっびゅっーって出してください❤,請在我的乳溝中射出來吧。
ライフポイントはまだまだたくさんあるでしょ？だから大丈夫❤,請看您的生命值還很多不是嗎？表示還可以繼續被幹喔❤。
もしこのまま動かないでいてくれたら、デュエルのあともたっぷり甘やかしてあげます❤,如果您願意就這樣不動的話，決鬥後我也可以疼愛您喔❤。
ねえ、もういいでしょう？サレンダー、しちゃいましょ？,欸，已經可以了吧？可以投降了嗎？
マスターのことなんて忘れて快楽に負けちゃいましょ？,忘掉主人的命令，敗給快感吧。
あなたが負けても別のモンスターが頑張ってくれますよ❤,即使是你輸了還有其他怪獸會幫他的啦。
おちんちんビクビクしてます❤\nもうすぐ出しちゃいそうなんですか？,陰莖正在顫抖著呢，\n馬上就要射出來了對吧？
いいですよ。次のターン、わたしでオナニーしちゃっても❤\nそのびくびくしちゃっているおちんちん、気持ちよく解放しちゃいましょ？,來吧。下一回合，對著我自慰吧。\n讓那根顫抖的陰莖舒服得釋放出來吧。
あは❤あと一押しで射精しちゃいますね。,嗯哼哼，再一下就要射精了呢。
もっといじめてほしければ、じっとしててくださいね❤\n気持ちよく逝かせてあげます❤,想繼續被虐的話，就站著不要動喔。\n我會讓您很爽得去的。
ふふ、もう射精寸前。\nおっぱいの中でビクンビクン震えています❤,嗯哼哼，已經快射了。\n陰莖在我的胸部當中發抖著呢。
おねだりして、わたしのおっぱいで気持ちよーく射精❤しちゃいませんか？,來，求我吧。說想在我的胸部當中舒服的射精吧。
あともう一押し、ですね❤,再最後一下就行了呢。
そのまま力を抜いて、おっぱいに負けちゃっていいですよ。\nお客様❤,把全身的力氣放掉，讓自己敗給胸部吧。\n客人。
あら？少し挟まれただけで、イキそうなんですか？,哎呀？稍微夾一下就要射了？
次のターンは攻撃しないでじっとしててくださいね❤\n谷間の中で、気持ちよく果てさせてあげます❤,下一回合不要攻擊我站著別動喔。\n我會讓您在乳溝中舒服得射的。
ううっ・・・。,嗚嗚……。
くすくす❤なぜご自分でしごかれているのですか？\nわたしに攻撃でもすればいいのに・・・❤,嗯哼哼❤。為什麼您開始摸自己了呢？\n明明是要來攻擊我的……❤。
そうやって自分を追い込んで、\nシコシコ❤シコシコ❤\nみっともないですね❤,您這樣把自己摸到很爽的丟人模樣好可愛喔❤
あら、馬鹿にされてむしろ興奮していますね？\nペニスがぴくぴく反応していらっしゃいます❤,哎呀，被罵以後反而興奮起來了嗎？\n陰莖一抖一抖的反應很好呢。
どうぞ、見ていてあげますから、\n出すまでしっかりしごいてください。,請繼續做，我會仔細看著，\n請您就這樣手淫到射出來為止。
師匠の期待を裏切って、\n気持ちいい射精❤しちゃいましょ？,背叛師傅的期待，\n來一段舒服的射精吧❤。
マスターを裏切って、\n気持ちいい射精❤しちゃいましょ？,背叛主人的期待，\n來一段舒服的射精吧❤。
