default
カクテルフェアリー・シトラス,雞尾酒仙精・柑橘
[1].このカードが召喚に成功したとき発動する。デッキから「カクテルフェアリー」モンスターを１枚手札に加える。\n[2].このカードがフィールド上に存在する限り、自分のレベル３以下モンスターが受ける戦闘ダメージは200ポイントダウンする。,[1].當這張卡通常召喚成功時發動。從牌組將１張與此卡同名以外的「雞尾酒妖精」怪獸卡加入手牌。\n[2].當這張卡在場上時，我方場上等級３以下的怪獸受到的戰鬥傷害減少200點。
[3].このカードが特殊召喚に成功したとき発動する。デッキから魔法カードををランダムに１枚手札に加える。,[3].困難以上中，當這張卡特殊召喚成功時發動。從牌組隨機將１張魔法卡加入手牌。
んー…。マスターに攻撃しろって言われたけど、めんどくさいなぁ。てきとうに手で触ってればいいかしら。,んー…。マスターに攻撃しろって言われたけど、めんどくさいなぁ。てきとうに手で触ってればいいかしら。
カリの張り出しているところを、手でしこしこ、しゅこしゅこ…。ん、こんなので気持ちいいの？簡単ね。,カリの張り出しているところを、手でしこしこ、しゅこしゅこ…。ん、こんなので気持ちいいの？簡単ね。
あまり長く飛ぶのは疲れるわ。あなたのペニスの上で休ませて？よいしょ…。,あまり長く飛ぶのは疲れるわ。あなたのペニスの上で休ませて？よいしょ…。
ただで居座るのも悪いし、ほら、お礼。竿のところを片手でなでなでしといてあげる。わたしが休んでいる間、気持ちよくなっていいわよ。,ただで居座るのも悪いし、ほら、お礼。竿のところを片手でなでなでしといてあげる。わたしが休んでいる間、気持ちよくなっていいわよ。
ふわぁ～。戦うのってめんどくさくてあくびが出ちゃう。おちんちんいじめるのなんて、適当でいいよね。,ふわぁ～。戦うのってめんどくさくてあくびが出ちゃう。おちんちんいじめるのなんて、適当でいいよね。
先っぽを手で捕まえて、ごしごし、しこしこ。あは、こんなので声出している。雑に触っているのに、気持ちいいんだ？敏感なところもっといじめてあげるから、早く射精してくれるといいなぁ。,先っぽを手で捕まえて、ごしごし、しこしこ。あは、こんなので声出している。雑に触っているのに、気持ちいいんだ？敏感なところもっといじめてあげるから、早く射精してくれるといいなぁ。
うーん、そっちまで飛んでいくのもめんどくさいし、ほら、わたしのおっぱい見てオナニーしていいよ。,うーん、そっちまで飛んでいくのもめんどくさいし、ほら、わたしのおっぱい見てオナニーしていいよ。
グラスのへりにおっぱいのせてムニムニしていれば、エロくて勝手に興奮するでしょ？両手でムニムニ、ムニムニ…。あ、おちんちんびくってした。くすくす❤,グラスのへりにおっぱいのせてムニムニしていれば、エロくて勝手に興奮するでしょ？両手でムニムニ、ムニムニ…。あ、おちんちんびくってした。くすくす❤
攻撃かぁ、パイズリしてあげるのもめんどう…。てきとうにおっぱい揺らしてあげるから、勝手に負けてくれるといいんだけどなぁ。,攻撃かぁ、パイズリしてあげるのもめんどう…。てきとうにおっぱい揺らしてあげるから、勝手に負けてくれるといいんだけどなぁ。
両手でおっぱいを下から持ち上げて、それをたぷん❤って落とす。何回か繰り返して見せれば、むらむらしてくるでしょ。オナニーしていいよー。,両手でおっぱいを下から持ち上げて、それをたぷん❤って落とす。何回か繰り返して見せれば、むらむらしてくるでしょ。オナニーしていいよー。
見て？カクテルをかき混ぜるやつを、おっぱいで挟んで、むにむに、ずりずり…。これならわたしはカクテルから出なくていいし、楽だよね。いっぱい見せてあげるからオナニーして負けていいよ❤,見て？カクテルをかき混ぜるやつを、おっぱいで挟んで、むにむに、ずりずり…。これならわたしはカクテルから出なくていいし、楽だよね。いっぱい見せてあげるからオナニーして負けていいよ❤
あなたもさ、戦いはめんどうでしょ。だからおちんちん触って頭からっぽにしちゃお？ほらほら、おっぱいをたぷたぷ、ゆっさゆっさ❤がまんしないでシコシコしちゃおうよ。,あなたもさ、戦いはめんどうでしょ。だからおちんちん触って頭からっぽにしちゃお？ほらほら、おっぱいをたぷたぷ、ゆっさゆっさ❤がまんしないでシコシコしちゃおうよ。
