default
ゾンビガール,殭屍女孩
[1].このカードは「ゾンビ」状態を持ち。戦闘時に相手に「ゾンビ」状態を付与する。\n[2].このカードが墓地から特殊召喚されたとき発動する。フィールド上の「ゾンビ」状態のモンスターの数×100ポイント、自身の攻撃力をアップさせる。,特性：「殭屍」\n[1].交戰時賦予對方「殭屍」。\n[2].當這張卡從墓地特殊召喚時發動。這張卡的攻擊力提升場上有「殭屍」狀態的怪獸張數Ｘ100點。
[3].このカードが戦闘で「ゾンビ」状態の相手モンスターを破壊したとき発動する。破壊したモンスターのパラメーターを半分にして自分フィール上に特殊召喚する。,[3].困難以上中，當這張卡戰鬥破壞「殭屍」狀態的對手怪獸時發動。將破壞的怪獸數值半減並特殊召喚到自己場上。
あなたの体、おいしそう・・・❤,あなたの体、おいしそう・・・❤
かじっていい？\nかじっている間は、代わりに手コキしてあげるから・・・❤\nしこ、しこ・・・❤,かじっていい？\nかじっている間は、代わりに手コキしてあげるから・・・❤\nしこ、しこ・・・❤
あ、胸、見てる・・・❤\nけっこう大きいから、つい目で追っちゃうのかな・・・？\n男ってわかりやすい・・・❤,あ、胸、見てる・・・❤\nけっこう大きいから、つい目で追っちゃうのかな・・・？\n男ってわかりやすい・・・❤
ねえ、おっぱい好きなら、挟んで、気持ちよくしてあげるよ・・・❤\nでも射精したらその瞬間、あなたのお肉食べさせてね・・・。ふふふ❤,ねえ、おっぱい好きなら、挟んで、気持ちよくしてあげるよ・・・❤\nでも射精したらその瞬間、あなたのお肉食べさせてね・・・。ふふふ❤
あは、舌が気になるの・・・？\nさっきから舌なめずりしてたから期待させちゃったのかな・・・❤,あは、舌が気になるの・・・？\nさっきから舌なめずりしてたから期待させちゃったのかな・・・❤
ほんとに食べたいのはあなたのお肉だけれど、\nいいよ。この口でフェラしてあげる❤\nお腹空いてるから、エナジーごちそうしてね・・・❤れろーっ❤,ほんとに食べたいのはあなたのお肉だけれど、\nいいよ。この口でフェラしてあげる❤\nお腹空いてるから、エナジーごちそうしてね・・・❤れろーっ❤
スカートの中、見たい？\nふふ、こんなときでもパンツが気になるなんて変態だね・・・❤,スカートの中、見たい？\nふふ、こんなときでもパンツが気になるなんて変態だね・・・❤
ミニスカートがひらひらして、気が散っちゃったの・・・？\nほら、ぴらり❤\n見て釘付けになっているところ、噛みついてあげる・・・❤,ミニスカートがひらひらして、気が散っちゃったの・・・？\nほら、ぴらり❤\n見て釘付けになっているところ、噛みついてあげる・・・❤
ふふ・・・❤\nゾンビのわたしにおねだりするの？\nあなた、いい趣味してるね・・・❤,ふふ・・・❤\nゾンビのわたしにおねだりするの？\nあなた、いい趣味してるね・・・❤
