default
巨乳アラクネ,Large Breasted Arachne
EU48_paizuriAnime,
EU48_oppai,
EU48_paizuriBindAnime,
胸がとても大きなアラクネ。天井から糸を伝って現れると、その大きな胸がゆさりと揺れて、かなりの迫力がある。男は不意の襲撃に警戒するどころか、間抜けな顔でその胸に見とれてしまい無防備な姿をさらしてしまうという。\n男を胸を使ってからかうのが好きで、わざとらしく胸を揺らしたり目の前で揉んで見せたりして、男を挑発してくる。彼女の胸はシルクのようになめらかな感触で、顔やペニスを擦られればたちまち恍惚としてしまう。どれだけ挑発されても理性を強く保ち、彼女の誘惑をはねのけなければならない。,An arachne with large breasts. When she hangs from a thread on the ceiling; her large breasts will sway and shake; making for an impressive view. Instead of being on guard for an attack; a man will be struck dumb and captivated by her breasts; leaving him defenseless. She likes to tease men with her breasts; and she provokes them by deliberately shaking and rubbing her breasts in front of them. Her breasts are as smooth as silk, and if she rubs against your face or penis, you will instantly fall into ecstasy. No matter how much she provokes you, you must keep calm and avoid her temptations. 
はぁい❤こんにちは。\nあなたのことわたしの糸でぐるぐる巻きにしてあげるわね❤,Al~right;❤ nice to meet you. I'll wrap you up in my threads.❤
逃げても無駄よ？\n蜘蛛の眼はどれだけ早い動きでも正確に捉えられるんだから。\nえい❤,There's no escaping~ An arachnid's eyes can accurately track your every move; no matter how fast. Ei!❤
はううっ・・・❤,Hauu...❤
あらあら…❤糸に巻き付けられただけでイっちゃったの？\nアラクネの糸には男をうっとりさせる成分が入っているけれど…。,Ara ara...❤ Did you cum just from being wrapped in my threads? Arachnid threads do contain a component that entices men; but...
それにしても縛られるだけでイっちゃうなんてね。\n変態マゾさんは縛られるのがそんなにうれしかったのかしら❤\nくすくす❤,Even so; it's impressive that you can cum just from being tied up. Is the perverted masochist that excited about being tied up? *giggle*~❤
あううっ・・・❤,Auu...❤
くす、糸で締め付けられると、なぜだかじんわり気持ちいいでしょ？\n獲物が逃げ出さないように、\n獲物をうっとりさせる成分がわたしの糸に含まれているの。,Fufu; it feels really good when the threads tighten around you; right? My threads contain a compound that entices my prey to keep them from escaping.
でも、おちんちんもちゃんと気持ちよくなりたいわよね？\nそのままうっとりしていれば、\nすぐにわたしのおっぱいで気持ちよくイかせてあげるわ❤うふふ❤,Though; you want your penis to feel good too; don't you? As long as you stay there; all dreamy like that; I'll use my boobs to make you cum right away.❤ Ufufu~❤
うふふ、ぐるぐる巻きにされてかわいそう❤\nだってほら・・・❤,Ufufu~ Poor boy; all wrapped up and trapped.❤ Look...❤
こうやって目の前にえろぉい谷間があるのに、なんにもできないんでしょ？\n体をそらして気を紛らわすこともできないし、\nずっとおちんちんの前でたぷたぷ揺らされたら、たまらないわよね❤,You have such a sexy cleavage in front of you; yet you can't do anything; can you? You can't turn your body to look away; and it's so sexy when I keep jiggling them in front of your penis.❤
ちょっとだけ糸を緩めてあげようかしら。\nあなたがおっぱいから逃げれるように・・・❤,Maybe I should loosen the threads a little. That way you can get away from my boobs...❤
ううっ…❤ああっ❤❤,Uu...❤ Aah...❤❤
あは❤緩めた途端に、逃げるどころか腰振り始めちゃった❤\nおっぱいセックス、我慢できなかったわね❤\nそのまま出すまでパンパンしちゃう？くすくす❤,Aha~❤ The moment I loosen them; rather than run away; you start thrusting your hips.❤ You just can't resist having sex with my boobs.❤ Are you going to keep thrusting until you cum? *giggle*~❤
