default
プラント,芙蘭
山奥の村から今回の大会に参加した新人のカードマスター。村にはほとんどカードマスターがいなかったため、あまり実戦の経験がない。虫タイプと植物タイプのモンスターを好んで使う。,從深山中的村子前來參加這次大會的新人卡片玩家。因為其村子幾乎沒有卡片玩家，所以沒什麼實戰經驗。喜歡使用昆蟲種類跟植物種類的怪獸卡。
おや、あなたもカードマスターですか？,啊，你也是卡片玩家嗎？
わたしはプラント。F級カードマスターです。,我是芙蘭，Ｆ階卡片玩家。
今回は多くのカードマスターと手合わせできるチャンスと聞いてやってきました。,因為聽說這裡可以跟許多卡片玩家對戰所以才來參加大會。
では、さっそく手合わせお願いいたします！,那麼，請跟我對戰！
またお会いしましたね。,又見面了呢。
この間は負けましたが、今度は負けませんからね。さあバトルしましょう！,上次雖然輸給你，但這次我不會輸了！來對戰吧！
この間はわたしの勝ちでした。今回も勝っちゃいますよ！,上次是我贏了呢。這次我也會贏喔！
強いですね…。ううっ、次は負けませんよ。,你好強喔……。嗚嗚，下次我不會輸。
ふふ、わたしの勝ちです。バトルありがとうございました！,嗯哼哼，是我贏了呢。謝謝指教！
あなたのターンからですね。お手柔らかにお願いします。,從你的回合開始呢。請多指教。
お手柔らかにお願いしますね。,請多指教。
わたしのターンですね、ドローします。,我的回合，進行抽牌。
{使用カード}を上級召喚します。,上級召喚{使用カード}到場上。
{使用カード}を召喚です。,召喚{使用カード}到場上。
ううっ、あうう・・・❤,嗚嗚、啊呼呼……。
あれあれ、蘇ってきたのに、まだ調子が悪そうですね。\nもしかして負けたときの快感が忘れられないのかな？,哎呀呀，明明都復活了，但是一臉茫然的樣子。\n難不成是忘不了敗北時的快感嗎？
くすくす❤あまり意味のない蘇生になっちゃいましたね。\n蘇らせる相手はもう少し選んだ方がいいと思いますよ。,嗯哼哼，這就變成沒有意義的復活了呢。\n我認為你應該慎選復活對象喔。
さらにもう1枚発動します.,再追加發動一張！
魔法カード発動！{使用カード}！風の刃で効果ダメージを与えます.,發動魔法卡！{使用カード}！以風刃造成效果傷害。
風で切り裂きましょう。{使用カード}発動！,風刃將切斷你。{使用カード}發動！
魔法カード発動！{使用カード}！攻撃力をアップさせます！,發動魔法卡！{使用カード}！提升攻擊力！
味方のモンスターを強化します。{使用カード}を発動！,怪獸強化吧。發動{使用カード}！
{使用カード}を発動！攻撃力をアップさせます！,發動{使用カード}！提升攻擊力！
{使用カード}で味方の攻撃力を高めます！,以{使用カード}讓我方攻擊力提升！
{使用カード}を発動！味方全体の攻撃力アップさせます！,發動{使用カード}！我方全體攻擊力提升！
味方のモンスターを強化します！{使用カード}を発動！,強化我方怪獸！發動{使用カード}！
{使用カード}を発動！デッキから虫タイプのモンスターを2枚手札に加えます！,發動{使用カード}！從牌組將２張昆蟲種類的怪獸卡加入手牌！
{使用カード}を発動です！植物がいるので虫モンスターを2枚手札に加えます。,發動{使用カード}！場上有植物，所以可以將２張昆蟲怪獸卡加入手牌。
{使用カード}を発動！デッキから虫タイプのモンスターを1枚手札に加えます！,發動{使用カード}！從牌組將１張昆蟲種類的怪獸加入手牌！
{使用カード}を発動です！デッキから虫モンスターを手札に加えます。,發動{使用カード}！從牌組將１張昆蟲種類的怪獸加入手牌！
装備魔法カード発動！{使用カード}！,發動裝備魔法卡！{使用カード}！
魔法カードを発動します！{使用カード}！,發動魔法卡。{使用カード}！
トラップカードを発動します！{使用カード}！,發動陷阱卡！{使用カード}！
カードをセットです。,蓋一張卡片。
カードを伏せます。,覆蓋一張卡片。
わたしも戦闘に加わります！{防御カード}を攻撃！,我也加入戰鬥！攻擊{防御カード}！
バトルです！{使用カード}で{防御カード}を攻撃！,戰鬥！以{使用カード}攻擊{防御カード}！
うっ、なにもできませんね。ターンエンドです。,嗚、什麼也做不了。回合結束。
この手札では…。ターンエンドです。,這種手牌只好……。回合結束。
ターン終了です。,回合結束。
ターンエンドします。,我的回合結束。
わたしのターンはおわりです。,我的回合結束了。
く、攻撃が防がれましたか。,嗚，攻擊被防下了嗎。
