default
ゴーレム,魔像
[1].召喚に成功したとき発動する。デッキから「{%%10028}」1枚を手札に加える。,[1].此卡通常召喚成功時發動。從牌組將1張「{%%10028}」加入手牌。
[1].防御状態で攻撃を受けたとき発動する。相手に「おっぱいに弱い」を付与する。\n[2].このカードは「おっぱいに弱い」状態の相手から戦闘ダメージを受けない。,在守備狀態中受到攻擊時發動。賦予對方「胸部弱點」。此卡受到有「胸部弱點」角色給予的戰鬥傷害改為０。
頑丈な体を持つ岩の兵士。胸部を一部分だけ露出させているのは相手を興奮させるため。相手がおっぱいに夢中になり戦意を失ったところで確実にしとめるのを得意戦術としている。,擁有堅硬肉體的岩石士兵。露出一部分胸部是因為要讓對手興奮。讓對手陶醉在胸部中失去戰役再確實擊敗對手是其主要戰術。
ふふ、攻撃しながらどこを見ているのですか？,ふふ、攻撃しながらどこを見ているのですか？
ううっ…❤❤,ううっ…❤❤
ここだけずいぶんと柔らかそうですもんね。たっぷり見とれておっぱいにメロメロになってください。\nくすくす❤,ここだけずいぶんと柔らかそうですもんね。たっぷり見とれておっぱいにメロメロになってください。\nくすくす❤
ふふ、あなたも攻撃中おっぱいばかり見ていましたね…❤,ふふ、あなたも攻撃中おっぱいばかり見ていましたね…❤
あううっ…❤❤,あううっ…❤❤
やっぱりここが気になりますか？\n仲間といっしょにたっぷり見とれて\nおっぱいにメロメロになっていいですよ❤ほら、ほら❤,やっぱりここが気になりますか？\n仲間といっしょにたっぷり見とれて\nおっぱいにメロメロになっていいですよ❤ほら、ほら❤
どうしました？もしかしてわたしの胸に見とれているのですか？,どうしました？もしかしてわたしの胸に見とれているのですか？
そんな状態ではまともに武器も使えませんよね。うふふ❤,そんな状態ではまともに武器も使えませんよね。うふふ❤
わたしの岩の体に攻撃するにしては、力が入っていませんね。まあ、理由は単純なようですが❤,わたしの岩の体に攻撃するにしては、力が入っていませんね。まあ、理由は単純なようですが❤
わたしのおっぱいに見とれているんでしょう？ここだけ柔らかそうですものね。くすくす❤,わたしのおっぱいに見とれているんでしょう？ここだけ柔らかそうですものね。くすくす❤
わたしの胸に挟まれて力が出ませんか？とってもやわらかいですよね。,わたしの胸に挟まれて力が出ませんか？とってもやわらかいですよね。
この胸は防御力を犠牲にしてあえて露出させているんです。その方が男相手の勝率がいいものですから❤,この胸は防御力を犠牲にしてあえて露出させているんです。その方が男相手の勝率がいいものですから❤
胸に夢中になった男はこうして挟んでずり上げてしまえば、抵抗することもできない❤今回も楽勝のようですね。ふふふ❤,胸に夢中になった男はこうして挟んでずり上げてしまえば、抵抗することもできない❤今回も楽勝のようですね。ふふふ❤
うふふ、わたしの胸から目が離せませんか？すっかり棒立ちになっていますよ。,うふふ、わたしの胸から目が離せませんか？すっかり棒立ちになっていますよ。
そんな状態じゃあ、ほら、こんなに簡単に挟めちゃう❤おっぱいで捕まえられちゃいましたね。,そんな状態じゃあ、ほら、こんなに簡単に挟めちゃう❤おっぱいで捕まえられちゃいましたね。
おっぱい好きのあなたは、もう戦う気力なんて湧かないのでしょう？さあ、たくさん扱いてあげますからそのまま果ててしまってください。くすくす❤,おっぱい好きのあなたは、もう戦う気力なんて湧かないのでしょう？さあ、たくさん扱いてあげますからそのまま果ててしまってください。くすくす❤
ふふふ、マスターさんがそんな目で敵のことを見ていていいんですか？おっぱいに釘付けになっているのがバレバレですよ❤,ふふふ、マスターさんがそんな目で敵のことを見ていていいんですか？おっぱいに釘付けになっているのがバレバレですよ❤
この胸でパイズリされたいんでしょう？ほら、素直になってください。無抵抗でいればたくさん挟んであげますから。くすくす❤,この胸でパイズリされたいんでしょう？ほら、素直になってください。無抵抗でいればたくさん挟んであげますから。くすくす❤
そんな目で敵のことを見ていていいんですか？おっぱいに釘付けになっているのバレバレですよ❤,そんな目で敵のことを見ていていいんですか？おっぱいに釘付けになっているのバレバレですよ❤
この胸でパイズリされたいんでしょう？ほら、素直になってください。無抵抗でいればたくさん挟んであげますからね。くすくす❤,この胸でパイズリされたいんでしょう？ほら、素直になってください。無抵抗でいればたくさん挟んであげますからね。くすくす❤
戦わずに楽しいことをしませんか？そう、この胸であなたのペニスを可愛がってあげます。,戦わずに楽しいことをしませんか？そう、この胸であなたのペニスを可愛がってあげます。
うふふ❤言われて本当に武器を捨ててしまうんですね。おっぱいにすっかり夢中になったあなたには刺激が強すぎる提案だったみたいです。,うふふ❤言われて本当に武器を捨ててしまうんですね。おっぱいにすっかり夢中になったあなたには刺激が強すぎる提案だったみたいです。
さあ、それじゃあ挟んでイかせてしまいますね❤武器を捨てた分、たっぷり楽しんでください❤くすくす❤,さあ、それじゃあ挟んでイかせてしまいますね❤武器を捨てた分、たっぷり楽しんでください❤くすくす❤
わたしの胸で挟んであげますね。体は固い岩で出来ていますが、ここだけはとてもやわらかいんです。,わたしの胸で挟んであげますね。体は固い岩で出来ていますが、ここだけはとてもやわらかいんです。
ほら、むにむに、むにむに…❤敏感なペニスで、たっぷりおっぱいの柔らかさを味わってください❤,ほら、むにむに、むにむに…❤敏感なペニスで、たっぷりおっぱいの柔らかさを味わってください❤
わたしの胸に視線が吸い寄せられてますね。やっぱり気になっちゃいますか？。,わたしの胸に視線が吸い寄せられてますね。やっぱり気になっちゃいますか？。
このおっぱいでパイズリされると天にも昇る心地よさですよ。さあたくさん扱いてあげます❤,このおっぱいでパイズリされると天にも昇る心地よさですよ。さあたくさん扱いてあげます❤
