default
ファルコンハーピー,獵鷹哈比
[1].このカードが場に出た時発動する。相手フィールド上の魔法・トラップカードをランダムに1枚破壊し、カードを１枚ドローする。\n[2].１ターンに１度、風属性の魔法カードが発動したときに発動する。デッキからカードを１枚ドローし、このカードの攻撃力と最大HPを300ポイントアップする。,[1].當這張卡出場時發動。隨機破壞對手場上１張魔法・陷阱卡，抽１張卡。\n[2].１回合１次，風屬性魔法卡發動時發動。抽１張卡，這張卡的攻擊力與最大HP提升300點。
[3].手札にこのカードが存在する場合、相手の魔法・トラップカードが破壊されたとき手札を１枚捨てて発動できる。このカードを手札から特殊召喚する。,[3].當手上有這張卡，對手的魔法・陷阱卡被破壞時，可捨棄１張手牌發動。這張卡從手牌特殊召喚到自己場上。
鋭い爪を持った強力なハーピー。空中から物凄いスピードで襲い掛かり、大きな獣ですら軽く仕留めてしまう。,鋭い爪を持った強力なハーピー。空中から物凄いスピードで襲い掛かり、大きな獣ですら軽く仕留めてしまう。
空中にいるのは卑怯？そうか、それなら降りて行ってやろう！,空中にいるのは卑怯？そうか、それなら降りて行ってやろう！
ふふ、反応が追い付かなかったようだな。\nお前の頭はわたしの胸の中だ。息ができなくて苦しいだろう？,ふふ、反応が追い付かなかったようだな。\nお前の頭はわたしの胸の中だ。息ができなくて苦しいだろう？
ほら、胸を揺さぶって精を搾り取ってやる❤\n息も絶え絶えなお前の頭を、ゆさゆさ❤ぱふぱふ❤\n甘い香りと柔らかい感触で、酸欠の脳は陥落寸前だな❤,ほら、胸を揺さぶって精を搾り取ってやる❤\n息も絶え絶えなお前の頭を、ゆさゆさ❤ぱふぱふ❤\n甘い香りと柔らかい感触で、酸欠の脳は陥落寸前だな❤
ほら、捕まえたぞ。\nこのまま空高く連れて行ってやる！,ほら、捕まえたぞ。\nこのまま空高く連れて行ってやる！
怖いか？空中じゃあ逃げ場などないものな。\n暴れたところで地面に叩きつけられるだけ。\nおとなしく観念して、わたしのふとももとひと時の逢瀬を楽しむといい❤\n,怖いか？空中じゃあ逃げ場などないものな。\n暴れたところで地面に叩きつけられるだけ。\nおとなしく観念して、わたしのふとももとひと時の逢瀬を楽しむといい❤\n
ほら、抱きしめながらチンポをふとももで挟んで・・・❤\n左右交互にすりすりすり・・・♪\nあはは、節操なく腰が震えているな。,ほら、抱きしめながらチンポをふとももで挟んで・・・❤\n左右交互にすりすりすり・・・♪\nあはは、節操なく腰が震えているな。
わたしの脚が気になるか？\n視線をチラチラと感じるな。ふふ・・・❤,わたしの脚が気になるか？\n視線をチラチラと感じるな。ふふ・・・❤
お前が望むなら、このふとももでお前のチンポを挟んでやろう。\nむっちりした感触で男の弱点をすりすりと擦られれば、\nすぐにお前は腰砕けだ❤,お前が望むなら、このふとももでお前のチンポを挟んでやろう。\nむっちりした感触で男の弱点をすりすりと擦られれば、\nすぐにお前は腰砕けだ❤
ふ、自分から来るとは、脚フェチの変態だったか❤\nほら、待ち望んでいたふとももだ。\nチンポをゆっくり入れるといい。挿入してすぐに果てるなよ？,ふ、自分から来るとは、脚フェチの変態だったか❤\nほら、待ち望んでいたふとももだ。\nチンポをゆっくり入れるといい。挿入してすぐに果てるなよ？
先っぽが入ってきたな…❤ほら、ぎゅうっ❤\nくくく、敏感な先端を押しつぶされて、最高だろう？\nこの状態でゆっくり前後に動かしてやる。天国を味わえ❤,先っぽが入ってきたな…❤ほら、ぎゅうっ❤\nくくく、敏感な先端を押しつぶされて、最高だろう？\nこの状態でゆっくり前後に動かしてやる。天国を味わえ❤
なに？わたしに気持ちよくしてほしいだと？,なに？わたしに気持ちよくしてほしいだと？
力の差に圧倒されたか？\nふふ、自ら敗北を乞うとは、情けないやつだ❤\nいいだろう、搾り取ってやる❤,力の差に圧倒されたか？\nふふ、自ら敗北を乞うとは、情けないやつだ❤\nいいだろう、搾り取ってやる❤
くく、すぐ出してしまったな❤\nその蕩けた顔、ずいぶんと気持ちよかったようだ。,くく、すぐ出してしまったな❤\nその蕩けた顔、ずいぶんと気持ちよかったようだ。
わたしの体に抱きとめられて天国を見れたのだろう？\n情けなくおねだりした甲斐はあったか？\nふふ・・・❤,わたしの体に抱きとめられて天国を見れたのだろう？\n情けなくおねだりした甲斐はあったか？\nふふ・・・❤
くく、案の定すぐ射精したな。この雑魚め❤\n朦朧とした意識のなか、\n胸で揺さぶられてたまらなかったか？,くく、案の定すぐ射精したな。この雑魚め❤\n朦朧とした意識のなか、\n胸で揺さぶられてたまらなかったか？
わたしの体に抱きとめられて天国を見れたのだろう？\nその顔❤情けなくおねだりした甲斐はあったようだな❤\nふふ・・・❤,わたしの体に抱きとめられて天国を見れたのだろう？\nその顔❤情けなくおねだりした甲斐はあったようだな❤\nふふ・・・❤
あぅぅ……❤,あぅぅ……❤
おや、もしかして自分でしごいているのか？,おや、もしかして自分でしごいているのか？
これは実力を見るための試験。\nお前のオナニーを見るための時間ではないぞ？,これは実力を見るための試験。\nお前のオナニーを見るための時間ではないぞ？
両手でしこしこ扱いてないで、\n早く武器を持ったらどうだ。\nほら・・・❤,両手でしこしこ扱いてないで、\n早く武器を持ったらどうだ。\nほら・・・❤
こうやって胸を揺らされたり・・・❤,こうやって胸を揺らされたり・・・❤
ふとももをぎゅっと寄せられたりしても、\nそんなことは気にせず、武器を持ち直すんだ❤,ふとももをぎゅっと寄せられたりしても、\nそんなことは気にせず、武器を持ち直すんだ❤
あうぅっ、エロいぃ……❤,あうぅっ、エロいぃ……❤
くく、ダメだな。\nこの程度の挑発でそんなに興奮して、\nまるで猿のようじゃないか❤,くく、ダメだな。\nこの程度の挑発でそんなに興奮して、\nまるで猿のようじゃないか❤
お前のちっぽけな脳みそでは、\nエロいことしか考えられないんだろう？\nしこしこ必死に扱いて、敵に屈服するのがそんなに嬉しいか。マゾめ❤,お前のちっぽけな脳みそでは、\nエロいことしか考えられないんだろう？\nしこしこ必死に扱いて、敵に屈服するのがそんなに嬉しいか。マゾめ❤
ふ、マゾと罵られてさらに興奮しているのか？\n扱く速度が速くなっているぞ？,ふ、マゾと罵られてさらに興奮しているのか？\n扱く速度が速くなっているぞ？
ううっ、もうっ……❤,ううっ、もうっ……❤
もう限界か。\nマゾのうえ早漏とは、実に情けないな❤,もう限界か。\nマゾのうえ早漏とは、実に情けないな❤
どうやらお前は胸に特に弱いようだ。\nほら、頑張ってここまで飛ばしてみせろ❤,どうやらお前は胸に特に弱いようだ。\nほら、頑張ってここまで飛ばしてみせろ❤
わたしの大きな胸にかけたいんだろう？\n軽く揺らしてやる❤\n波打つ胸に興奮して、さっさと果てろ。雑魚マスター❤,わたしの大きな胸にかけたいんだろう？\n軽く揺らしてやる❤\n波打つ胸に興奮して、さっさと果てろ。雑魚マスター❤
わたしの大きな胸にかけたいんだろう？\n軽く揺らしてやる❤\n波打つ胸に興奮して、さっさと果てろ。雑魚モンスター❤,わたしの大きな胸にかけたいんだろう？\n軽く揺らしてやる❤\n波打つ胸に興奮して、さっさと果てろ。雑魚モンスター❤
ふふ、ずいぶん勢いよく射精したものだ❤\n見ろ、谷間がどろどろになってしまった。,ふふ、ずいぶん勢いよく射精したものだ❤\n見ろ、谷間がどろどろになってしまった。
ん？わたしのふとももが気になるか？\nはぁはぁと息を荒げながら、\nここばかり見ているな❤,ん？わたしのふとももが気になるか？\nはぁはぁと息を荒げながら、\nここばかり見ているな❤
わたしの中に入れたいのか、それとも\nふとももに挟まれるところを想像しているのか…。\nどちらにしろオナニーしていてはかなわないだろうに❤,わたしの中に入れたいのか、それとも\nふとももに挟まれるところを想像しているのか…。\nどちらにしろオナニーしていてはかなわないだろうに❤
手を止めればふとももで挟んでやってもいいぞ。\nほら、見ろ。こうやってピッタリくっつけて・・・❤,手を止めればふとももで挟んでやってもいいぞ。\nほら、見ろ。こうやってピッタリくっつけて・・・❤
前後にすり合わせて、\nお前のその小さなものを挟みつぶしてやろう。\nすりすり、むぎゅむぎゅと極楽を味合わせてやる❤,前後にすり合わせて、\nお前のその小さなものを挟みつぶしてやろう。\nすりすり、むぎゅむぎゅと極楽を味合わせてやる❤
あっ、ああっ、エロすぎるぅっ……❤,あっ、ああっ、エロすぎるぅっ……❤
くく、手を止める前に、\nわたしの脚の動きを見て、射精してしまったな❤\n我慢できなかったのか？,くく、手を止める前に、\nわたしの脚の動きを見て、射精してしまったな❤\n我慢できなかったのか？
お前の与えたエナジーでわたしの体力は完全回復だ。\n仲間たちを裏切ってオナニーで自滅するとは、\nまったく情けないマスターもいたものだ。,お前の与えたエナジーでわたしの体力は完全回復だ。\n仲間たちを裏切ってオナニーで自滅するとは、\nまったく情けないマスターもいたものだ。
お前の与えたエナジーでわたしの体力は完全回復だ。\nせっかくのバトルをオナニーで締めくくるとは、\nまったく情けないマスターもいたものだ。,お前の与えたエナジーでわたしの体力は完全回復だ。\nせっかくのバトルをオナニーで締めくくるとは、\nまったく情けないマスターもいたものだ。
お前の与えたエナジーでわたしの体力は完全回復だ。\n仲間たちを裏切ってオナニーで自滅するとは、\nまったく情けないモンスターもいたものだ。,お前の与えたエナジーでわたしの体力は完全回復だ。\n仲間たちを裏切ってオナニーで自滅するとは、\nまったく情けないモンスターもいたものだ。
・・・・。実力を見せてみろとわたしは言ったんだがな。\n無敗のルーキー、お前のしているそれが、\nお前の「実力」なのか？,・・・・。実力を見せてみろとわたしは言ったんだがな。\n無敗のルーキー、お前のしているそれが、\nお前の「実力」なのか？
敵のモンスターの前にやってきて、シコシコ、シコシコ、\nみっともない蕩け顔で小さいチンポをいじる❤\nそれしかお前にはできないというわけだ❤,敵のモンスターの前にやってきて、シコシコ、シコシコ、\nみっともない蕩け顔で小さいチンポをいじる❤\nそれしかお前にはできないというわけだ❤
お前の手下たちが次々自滅していったのも当然だな。\n主人がこのような軟弱ものでは、\n手下も軟弱ものになるのだろう❤,お前の手下たちが次々自滅していったのも当然だな。\n主人がこのような軟弱ものでは、\n手下も軟弱ものになるのだろう❤
ほら、これだけ馬鹿にされているんだ。\n両手で扱いてないで、早く武器を持ったらどうだ。\nほら・・・❤,ほら、これだけ馬鹿にされているんだ。\n両手で扱いてないで、早く武器を持ったらどうだ。\nほら・・・❤
・・・・。またオナニーか。\nお前たちはまともに実力を見てもらう気があるのか？,・・・・。またオナニーか。\nお前たちはまともに実力を見てもらう気があるのか？
人のカラダで勝手に興奮して、\n勝手に自滅して・・・。\n雑魚ばかりで情けなくなってくるな。,人のカラダで勝手に興奮して、\n勝手に自滅して・・・。\n雑魚ばかりで情けなくなってくるな。
胸を弾むように揺らされたり・・・❤,胸を弾むように揺らされたり・・・❤
ふとももを前後に擦り合わせられたりしても、\nそんなことは気にせず、武器を持ち直すんだ❤,ふとももを前後に擦り合わせられたりしても、\nそんなことは気にせず、武器を持ち直すんだ❤
くく、ダメだな。\n一度自分でしごき始めたら、\nもう止まらないようだ。,くく、ダメだな。\n一度自分でしごき始めたら、\nもう止まらないようだ。
しこしことチンポをしごくたびに、\n腰が震えるように気持ちいいのだろう？\nわたしに呆れられながら扱くのがそんなにいいか。このマゾ❤,しこしことチンポをしごくたびに、\n腰が震えるように気持ちいいのだろう？\nわたしに呆れられながら扱くのがそんなにいいか。このマゾ❤
ふ、マゾと罵られてさらに興奮しているな❤\n扱く速度が速くなっているぞ？,ふ、マゾと罵られてさらに興奮しているな❤\n扱く速度が速くなっているぞ？
胸を揺らし、軽く罵られただけですぐに屈服してしまう❤\nずいぶんと簡単な生き物だな、お前たちは❤,胸を揺らし、軽く罵られただけですぐに屈服してしまう❤\nずいぶんと簡単な生き物だな、お前たちは❤
視線を見る限り、胸が特に好きなのだろう？\nほら、少しだけ顔の近くに寄せてやろう❤,視線を見る限り、胸が特に好きなのだろう？\nほら、少しだけ顔の近くに寄せてやろう❤
弾力たっぷりのわたしの巨乳。\n近くで揺らされたらたまらんだろう？\n波打つ胸に興奮して、さっさと果てろ。雑魚マスター❤,弾力たっぷりのわたしの巨乳。\n近くで揺らされたらたまらんだろう？\n波打つ胸に興奮して、さっさと果てろ。雑魚マスター❤
弾力たっぷりのわたしの巨乳。\n近くで揺らされたらたまらんだろう？\n波打つ胸に興奮して、さっさと果てろ。雑魚モンスター❤,弾力たっぷりのわたしの巨乳。\n近くで揺らされたらたまらんだろう？\n波打つ胸に興奮して、さっさと果てろ。雑魚モンスター❤
まるで噴水のような射精だな❤\nわたしの巨乳がよっぽど効いたか？このおっぱいマゾめ❤,まるで噴水のような射精だな❤\nわたしの巨乳がよっぽど効いたか？このおっぱいマゾめ❤
手を止めればふとももで挟んでやってもいいのだがな❤\nほら、見ろ。こうやってピッタリくっつけて・・・❤,手を止めればふとももで挟んでやってもいいのだがな❤\nほら、見ろ。こうやってピッタリくっつけて・・・❤
