default
サムライガール,Samurai Girl
EU2_paizuriAnime,
修行中の侍の少女。武技に優れるが夜伽も得意。相手の隙をついてふところに飛び込み、快楽や武力であっという間に相手を制圧してしまう。,A samurai girl in training; skilled in martial arts but also adept in various bedroom arts. She takes advantage of her opponent's openings to swiftly move in close; using both pleasure and martial prowess to quickly dominate them.
くく、すっかりメロメロのようでござるな❤\n拙者の体を見てはぁはぁ息を荒げおって。,Kuhu; you appear to be completely infatuated; breathing heavily while staring at my body like that.❤
魅了状態でパイズリしてやれば、それは極楽❤\n頭の中が真っ白に溶けてしまうほどに気持ちいい❤,Being given a paizuri while captivated is pure bliss.❤\nIt feels so good that your mind will go completely blank and melt away.❤
想像して動けぬか？そのままじっとしておれ❤\n男の喜びをたっぷり教えてやるでござる❤,Can you imagine it?❤ Stay still and I shall show you the pleasures of being a man.❤
魅了されるのは初めてでござるか？\n頭の中がふわふわして、ぼんやり気持ちよくて、たまらんであろう？,Is this your first time being fascinated? Your head must feel so light and fluffy; and the pleasure is just overwhelming; isn't it?
夢見心地のまま、逝かせてしまうでござる❤\n張りのあるこのおっぱいで天国送り。ほらほらほら❤,I'm going to let you pass away in a dreamy state.❤ I shall send you to heaven with these firm tits. There; there; there.❤
とろけた目で拙者の体に見とれているでござる❤\nいいんでござるか？そんな体たらくでは反撃もできんでござるよ？,You're admiring my body with such glazed over eyes.❤ Is that okay? When you're charmed like that; you can't even think of counterattacking; can you?
くく、反論の一つもできぬほどメロメロのようでござるな❤\nこのまま拙者のパイズリで天国に逝かせてやるでござる❤,Heh; you’re so lovey-dovey that you can't even argue back.❤ I'll send you to heaven by squishing my boobs around your cock~❤
着やせして見えるかもしれぬが、意外と胸には自信があるでござる。,I may look skinny; but I am surprisingly confident in my chest.
この胸でチンポを挟まれて耐えられるでござるか？えい❤,Can you stand having your dick between these breasts; can you?❤
張りのあるこのおっぱいで、気持ちよくしてやるでござる。,I will make you feel good with these firm tits; that's a promise.
童貞マスターのおぬしなら、\nパイズリですぐ喘いでしまうのでござろう？ほらほらほら❤,Being a virgin master...\nIt's only natural that you'd start panting from a simple paizuri; wouldn't you? Hora; hora; hora~❤
服越しに胸を押し付けてやるだけで、\nすぐ喘いでしまうのでござろう？ほらほらほら❤,Simply pressing my breasts against you through the fabric of my own clothes is already making you start to pant; isn't it? Hora; hora; hora~❤
胸でいじめられるのは好きでござるか？,You like to be teased by my breasts; don't you?
おぬしが大人になったお祝いでござる。\n拙者のパイズリでたっぷり気持ちよくしてやるでござる❤,I congratulate you on becoming an adult. I will make you feel good with my titjob.❤
マスターのことなど忘れさせてやるでござる。\n拙者のパイズリでたっぷり気持ちよくなれ❤ククク❤,I will make you forget about Master; that I will. You will feel good with my titjob.❤kukkuk.❤
どうした？もうメロメロでござるか？,What's the matter? Are you melting already?
拙者のマスターの魔法で頭がぽーっとするのでござろう？\nそのまま快楽にひたっていてよいでござるよ❤,My master's magic makes your head light up; doesn't it? You may continue to bask in the pleasure.❤
ほら、拙者が天国に行く手伝いをしてやるでござる。\n両手で筒を作って、しこしこ❤しこしこ❤,I shall make you feel as though you're in heaven. I shall make a tube with both hands and squish.❤ Squish.❤ squish❤
ククク、間抜けなとろけ顔でござるなぁ❤\nすぐに果ててしまっていいでござるよ❤しこしこ、しこしこ❤,Kukuk; your face look like it's melting.❤ Yes; you can go ahead and cum soon.❤ Squeeze; squish; squish.❤
ククク、腑抜けになってしまったようでござるな。,Kukuku; it looks like you've gone slack.
魅了された状態でされる手コキはなかなかのものでござるよ。\nさあ、たっぷり楽しんでさっさと果てるでござる❤,It's true that a receiving a handjob while charmed it quite different from the usual experience. Now; you should enjoy yourself and cum.❤
夢見心地で反撃もできぬようでござるなぁ❤\nほら、手でにぎられて上下にしごかれても、剣を振ることすらできぬ❤,You're so dazed you can't even fight back.❤ See; when I hold it in my hand and squeeze it like this you can't even swing your sword.❤
勝負のことなど忘れてしまえ。\n気持ちいいのが正義でござる❤しこしこ、しこしこ❤,Forget about the match; feeling good is what feels right; isn't it?❤Squeeze; squish; squish.❤
手でしごかれるのは好きでござるか？,You like it when I squeeze it with my hands; don't you?
剣の扱いには慣れているでござる❤手でやさしくいじめてやれば……❤ほら、気持ちよくて力が抜けるでござろう？,I've gotten good with my hands from handling my blade.❤ If I tease you with my hands like this...❤ See how nice and relaxing it feels?
拙者の指使いはどうでござるか？いちもつをそっと握って、\nしこしこ、しこしこ❤しこしこ、しこしこ❤\n頭まっしろにして、そのまま負けていいでござるよ❤童貞マスター❤,How's my handjob feel? Squish.❤ Squish. ❤ Squish. ❤ Go ahead and lose.❤ Virgin Master.❤
拙者の指使いはどうでござるか？いちもつをそっと握って、\nしこしこ、しこしこ❤しこしこ、しこしこ❤\n頭まっしろにして、そのまま負けていいでござるよ❤,How's my handjob? Gently grasping your wood and rubbing it...Stroke~❤ Stroke~❤ Stroke~❤ Go ahead and cum.❤ Virgin Master.❤
ふふ、手で気持ちよくしてやるでござる❤,I'm certain my hands will make you feel good.❤
おぬしのイチモツを優しく指で包んで、しこしこ…❤しこしこ…❤,I'll gently wrap my fingers around your cock and stroke...❤ Stroke...❤ Stroke~❤ Stroke~❤
こうして女の手でしごかれるのははじめてか？\nなかなかに気持ちいいでござろう？,Is this the first time you've had a woman's hands on you like this? It feels pretty good; doesn't it?
くく、たまらぬようでござるな。\n腰を浮かせて、へこへこして❤\nさっさと逝ってしまえ、変態❤, Heh. You can't hold it back anymore; can you? \nYou’re thrusting your hips so desperately.❤ \nJust cum already you pervert~❤
拙者、手さばきの器用さにはそこそこ自信があるでござる。,I shall have you know that I'm rather confident in my dexterity.
ほら、なかなかにきれいな指であろう？\nこれでおぬしのいちもつを服越しにしこしこ❤しこしこ❤\nククク、腰が砕けてきているぞ？,Hora; aren't my fingers beautiful? I'll use them to stroke your shaft over your clothes~❤ Stroke; stroke~❤ Kuhuhu; your hips are starting to give out; aren’t they?
ふっ、剣の稽古をしていたときには\n見せなかった顔をしているでござるな❤\nもう限界なのでござるか？,You never had that look on your face when you were training.❤ Are you at your limit already?
