default
ミニキノコズ,迷你蘑菇群
[1].このカードが場に出たとき発動する。「よわよわ胞子」を１枚手札に加える。\n[2].自分よりも攻撃力が低い相手と戦闘を行う場合、このカードの攻撃回数は+２される。,[1].這張卡出場時發動。生成一張「好弱好弱孢子」加入手牌。\n[2].這張卡與攻擊力比自己低的對手交戰時，這張卡的攻擊次數+2。
[3].このカードが墓地に送られたとき発動する。デッキから植物タイプモンスター１体をランダムに手札に加える。,[3].當這張卡被送往墓地時發動。隨機從牌組將1張植物類型怪獸卡加入手牌。
ひ弱なおにいさんは、\n三人がかりでぺろぺろされて逃げられるかなぁ❤\nほら、んれろっ❤れるぅ❤,ひ弱なおにいさんは、\n三人がかりでぺろぺろされて逃げられるかなぁ❤\nほら、んれろっ❤れるぅ❤
あはは、気持ちよさそうな顔ー❤\nおちんちんもう負けちゃう？\nんちゅ❤じゅぷぅ❤れろぉ～❤,あはは、気持ちよさそうな顔ー❤\nおちんちんもう負けちゃう？\nんちゅ❤じゅぷぅ❤れろぉ～❤
おにいさん力弱ーい❤\nわたしたちにぺろぺろされても、\n全然ふりほどけないね❤,おにいさん力弱ーい❤\nわたしたちにぺろぺろされても、\n全然ふりほどけないね❤
ほらほらほら、\nそんな力じゃイくまでいじめられちゃうよー❤\nえろれろれろー❤,ほらほらほら、\nそんな力じゃイくまでいじめられちゃうよー❤\nえろれろれろー❤
三人いっしょにおちんちんなめてあげるー❤\n嫌なら逃げてねー❤,三人いっしょにおちんちんなめてあげるー❤\n嫌なら逃げてねー❤
おにいさん力がよわよわだから、\nわたしたちを振りほどけないんじゃない？\nほらぁ、えるぅ❤ちゅぱ❤れろぉ❤,おにいさん力がよわよわだから、\nわたしたちを振りほどけないんじゃない？\nほらぁ、えるぅ❤ちゅぱ❤れろぉ❤
三人がかりでフェラ攻撃だー❤\nんちゅう❤ちゅぱぁ❤,三人がかりでフェラ攻撃だー❤\nんちゅう❤ちゅぱぁ❤
先っぽをちゅうちゅうされて気持ちよさそー❤\nわたしはカリのところをたくさんぺろぺろしてあげるね❤\nれろれろぉ❤,先っぽをちゅうちゅうされて気持ちよさそー❤\nわたしはカリのところをたくさんぺろぺろしてあげるね❤\nれろれろぉ❤
ねえ、知ってる？\nおちんちんってなめられると気持ちよくなるんだよ？\n,ねえ、知ってる？\nおちんちんってなめられると気持ちよくなるんだよ？\n
わたしたちのベロで\n先っぽのほうをぺろぺろってしてあげると、\nすぐに精液出しちゃうの❤,わたしたちのベロで\n先っぽのほうをぺろぺろってしてあげると、\nすぐに精液出しちゃうの❤
ほらぁ、おにいさんも\nおちんちんなめられてエナジー吸われちゃお？\nれろれろぉ～❤,ほらぁ、おにいさんも\nおちんちんなめられてエナジー吸われちゃお？\nれろれろぉ～❤
ねえねえ、見てぇ❤\nわたしたちのおくち❤\nこのおくちにおちんちん入れていいよぉ❤,ねえねえ、見てぇ❤\nわたしたちのおくち❤\nこのおくちにおちんちん入れていいよぉ❤
わたしはねぇ、背伸びして乳首をぺろぺろしてあげる❤\n乳首とおちんちん、一緒に気持ちよくなろうねー❤,わたしはねぇ、背伸びして乳首をぺろぺろしてあげる❤\n乳首とおちんちん、一緒に気持ちよくなろうねー❤
わたしたちでフェラしてあげるね❤\nちゅぷ、えろれろぉ❤,わたしたちでフェラしてあげるね❤\nちゅぷ、えろれろぉ❤
あん、逃げちゃダメ❤\nおちんちんにベロが当たるの気持ちいいでしょ？\nそのまま力抜いていようよー❤,あん、逃げちゃダメ❤\nおちんちんにベロが当たるの気持ちいいでしょ？\nそのまま力抜いていようよー❤
おちんちんをおくちで咥えちゃうね❤あーむ❤\n,おちんちんをおくちで咥えちゃうね❤あーむ❤\n
あは、おにいさんのおちんちん、\nわたしたちのお口にぴったりサイズだねぇ❤\nちっちゃいお口でたくさんじゅぷじゅぷフェラされて気持ちよさそー❤,あは、おにいさんのおちんちん、\nわたしたちのお口にぴったりサイズだねぇ❤\nちっちゃいお口でたくさんじゅぷじゅぷフェラされて気持ちよさそー❤
あは、もしかして\nわたしたちに押さえつけられて逃げられないの？\nおにいさん、力よわーい❤,あは、もしかして\nわたしたちに押さえつけられて逃げられないの？\nおにいさん、力よわーい❤
足で一方的にふみふみされちゃうね❤\nほらほらほら♪イっていいよー❤,足で一方的にふみふみされちゃうね❤\nほらほらほら♪イっていいよー❤
わたしたちにふみふみされて逃げられないんだぁ❤\nこんな小さい子に見下ろされるのってどんな気分？,わたしたちにふみふみされて逃げられないんだぁ❤\nこんな小さい子に見下ろされるのってどんな気分？
おちんちんを足の裏でしゅこしゅこしゅこー❤\nあはは、おなかを見せて寝ころんで\nわんちゃんみたいだねー❤,おちんちんを足の裏でしゅこしゅこしゅこー❤\nあはは、おなかを見せて寝ころんで\nわんちゃんみたいだねー❤
くすくす❤顔まっ赤だよ？\n恥ずかしいならがんばって逃げなきゃだめじゃんねー❤\nきゃはは❤,くすくす❤顔まっ赤だよ？\n恥ずかしいならがんばって逃げなきゃだめじゃんねー❤\nきゃはは❤
おにいさん力よわいねー❤\nほら、わたしたちでも押さえつけれちゃうよ？,おにいさん力よわいねー❤\nほら、わたしたちでも押さえつけれちゃうよ？
三人でいっぱいおちんちんいじめてあげる❤\nうりうりうり～❤\n足でふまれてかっこ悪く射精しちゃえ❤,三人でいっぱいおちんちんいじめてあげる❤\nうりうりうり～❤\n足でふまれてかっこ悪く射精しちゃえ❤
ねえねえ♪\n小さな女の子より、力が弱いってどんな気分？\n男として恥ずかしくなっちゃう？くすくす❤,ねえねえ♪\n小さな女の子より、力が弱いってどんな気分？\n男として恥ずかしくなっちゃう？くすくす❤
ほらぁ、よわっちいおにいさんを、\n押し倒していじめてあげる❤\nおちんちんたくさん踏まれて気持ちよくなっちゃえ❤へんたいさん♪,ほらぁ、よわっちいおにいさんを、\n押し倒していじめてあげる❤\nおちんちんたくさん踏まれて気持ちよくなっちゃえ❤へんたいさん♪
おちんちん、足でこすってあげるね❤,おちんちん、足でこすってあげるね❤
ほら、すりすりすりー❤\n足の裏、けっこう気持ちいいでしょー？\nみんなでふみふみされてたまらないの？きゃはは❤,ほら、すりすりすりー❤\n足の裏、けっこう気持ちいいでしょー？\nみんなでふみふみされてたまらないの？きゃはは❤
おちんちんを、何回も上にびくんびくんって突き出しておもしろーい❤\nほらほらもっと踏んであげるから、\nたくさん腰へこへこして？くすくす❤,おちんちんを、何回も上にびくんびくんって突き出しておもしろーい❤\nほらほらもっと踏んであげるから、\nたくさん腰へこへこして？くすくす❤
えいえい、足コキ攻撃ー❤\nおちんちんをたくさん足の裏で気持ちよくしてあげる❤,えいえい、足コキ攻撃ー❤\nおちんちんをたくさん足の裏で気持ちよくしてあげる❤
わたしたちみたいなちっちゃな女の子に踏まれて\n気持ちよくなっちゃダメなんだよ？そういう人って\nへんたいのロリコンさんっていうんだって。くすくす❤,わたしたちみたいなちっちゃな女の子に踏まれて\n気持ちよくなっちゃダメなんだよ？そういう人って\nへんたいのロリコンさんっていうんだって。くすくす❤
そんなこと言われても\nおちんちんをしゅこしゅこ擦られたら我慢できないもんねー❤\nほらほらほらー❤,そんなこと言われても\nおちんちんをしゅこしゅこ擦られたら我慢できないもんねー❤\nほらほらほらー❤
男の人ってね、なんでか知らないけど\nおちんちんを踏まれると気持ちいいんだって。\nこうやって三人がかりで・・・❤,男の人ってね、なんでか知らないけど\nおちんちんを踏まれると気持ちいいんだって。\nこうやって三人がかりで・・・❤
えい❤すりすりすり～❤,えい❤すりすりすり～❤
あはは、すっごく腰が動いちゃってる。\n踏まれただけでわたしたちの思い通りだね❤\nかっこわるーい❤,あはは、すっごく腰が動いちゃってる。\n踏まれただけでわたしたちの思い通りだね❤\nかっこわるーい❤
わたしたちの得意技はね、\n足でおちんちんをかわいがってあげることなんだー❤,わたしたちの得意技はね、\n足でおちんちんをかわいがってあげることなんだー❤
三人でおちんちんを囲んで、\nいっせいにすりすり、しゅこしゅこって\n足でおちんちんをこすってあげるの❤,三人でおちんちんを囲んで、\nいっせいにすりすり、しゅこしゅこって\n足でおちんちんをこすってあげるの❤
気持ちよくて、みんなすぐイっちゃうんだよ❤\nおにいさんもされたいよねー、くすくす❤,気持ちよくて、みんなすぐイっちゃうんだよ❤\nおにいさんもされたいよねー、くすくす❤
えー❤わたしたちに気持ちよくしてほしいの？,えー❤わたしたちに気持ちよくしてほしいの？
おにいさんって、体は大きいのに、\nおちんちんはがまん強くないんだね。\nくすくす❤,おにいさんって、体は大きいのに、\nおちんちんはがまん強くないんだね。\nくすくす❤
なにしてほしい？\n足でふみふみ？お口でぺろぺろ？\n教えて、教えて♪,なにしてほしい？\n足でふみふみ？お口でぺろぺろ？\n教えて、教えて♪
足でふんでほしいの？\nくすくす❤へんたいさんさんだー❤,足でふんでほしいの？\nくすくす❤へんたいさんさんだー❤
