default
行商人の娘,Peddler's Daughter
行商人の子供の女の子。お父さんのことが大好き。遠くの村に行商に行ってから父親が全然自分にかまってくれなくなり寂しい思いをしていた。ある日、父親が持つサキュバスカードを偶然手に取り、そこから徐々にサキュバス化が始まる。性知識はないが手を握っているとお父さんが自分に夢中になってくれることに気づき、手を握って弄ぶようになる。次第にサキュバスとしての飢えを感じるようになり強い魔力を求めて主人公に狙いを定めた。ただし計算づくで行動しているわけではなく、本能に引かれるままなんとなく「おいしそう」な感じがする主人公に声をかけただけである。,A peddler's daughter who loves her father. She has felt lonely after her father suddenly stopped playing with her after a peddling trip to a faraway village. This led to her taking away the succubus card that was taking her father's attention; which triggered her gradual transformation into a succubus. While she doesn't possess sexual knowledge; she started noticing her father getting crazy about her whenever she held hands with him. As her transformation progressed; she started to hunger for stronger mana; which made her take note of the protagonist. However; she didn't call him out with bad intentions but because she instinctively sensed him as something "delicious."
さいきんねー、なんだかお父さんの様子がおかしいの。\nわたしのお父さん行商人なんだけど、遠くの村に仕入れに行ってから\nなんだかへんになっちゃって・・・。,My father has been acting a bit weird recently. He's a peddler and hasn't been like himself ever since coming back from a trip to a faraway village...
おうちにいてもずっとぼーっとしててね、\nなにか思い出しながら口をぽかんって開けてにやにやしてるの。\nどうしちゃったのかな。,He often spaces out; even at home. When this happens; he starts grinning and opening his mouth as if remembering something. I wonder what happened to him?
お医者さんに診てもらってもどこもおかしくないって言うし。\nあんまり心配してたら闘技場でも見とけって追い出されちゃった。\nうーん、心配だよ・・・。,I asked him to see a doctor; but they found nothing wrong with him. That made him think I was overprotective; and I got shooed off to have fun at the arena... But I still can't help worrying.
闘技場のすみでちょこんと座っている女の子が僕の方をじーっと見ている。,I noticed a small girl quietly sitting and staring at me from the side of the arena reception room.
気になってこちらも見返すと、僕に向かって手招きをしてきた。僕は彼女に近づいてみることにした。,I returned her gaze out of curiosity; which made her beckon me over. I decided to see what she had to say.
ねーねー、おにいさんってすごく強いマスターさんだよね。\nおにいさんにちょっと聞いてほしいことがあるの。,Hey; hey. Onii-san; you're a really strong cardmaster; right? Can I ask something?
あのね、あのね。わたし最近体がすごく熱くなるんだ。\nこれって病気なのかな？ほら、さわってみて・・・？,You see; I've been feeling really hot recently. Could this be some sickness? Just try how hot my body feels...
そう言って目の前の女の子は僕に手を握らせてきた。確かに普通の子供の手よりもなんだか温かいような気がする。,The girl took my hand into her own after saying that. Her body temperature certainly felt warmer than normal. 
だがそれだけではないような、なにか触っているだけで心地よくなるような不思議な感じがする。なんだろう、きもちいい・・・❤,However; that wasn't everything. Simply by holding her hand; I started to feel this strange but comfortable sensation. What could this be...? It feels good❤
（ううぅ❤なんで、体に力が入らない・・・❤）,(Uuuh❤ Why... I'm feeling weak❤）
・・・くすくす❤\nお兄さんもそういう顔になっちゃうんだ❤,...Ehehe❤ Holding hands with me makes you; too; make that kind of face; Onii-san❤
わたしのお父さんもね、わたしにさわられてるだけで、\n顔が赤くなってすごく気持ちよさそうな顔しちゃうんだよ❤,My father is the same. He can't help blushing and making a pleasant-looking face whenever I touch him❤
お父さんは商人なんだけどね、\n最近ずっと女の子の絵のカードをぼーっと見てたの。\nわたしお父さんにかまってほしくて、そのカードを取っちゃったの。,He's a merchant; but recently; he has always been staring at his card with a picture of a girl. I wanted him to pay more attention to me; so I took the card from him.
そしたらね、わたしの体がぽーっとあったかくなって、\nそれからなんだ、男の人の体をさわるとね、\nその人がわたしに夢中になっちゃうの❤,But after I did that; I've been feeling really hot; and whenever I've touched a man's body; they've become crazy about me❤
お父さんもわたしのことばっかり考えてくれるようになったんだよ❤\n手をぎゅって握ってあげながら、お父さんの顔をじーって見てあげるの。\nそうしたら・・・,Even my father couldn't help doing the same❤ I tried staring at his face while holding his hand; and then...
