default
フラワー,葉花
村娘に化けていた下級サキュバス。キノコのカードを好んで使う。純真そうな見た目でありながら、相手の能力を下げて無力化し一方的にいたぶるのが好きというサディスティックな一面を持つ。胸が体格の割に大きく、パイズリが得意。\n下級サキュバスとして一見平凡な能力に見えるが魔力を隠すのが得意であり、たいていのカードマスターには見抜かれない擬装ができる。エルルは魔力観察については上位ランクのマスター並みの実力があるため、今回は擬装がバレてしまった。もし何も気が付かなければ、完全に油断したところをいつの間にかキノコの力で弱体化させられて、一方的に精を搾り取られてしまっていただろう。,村娘に化けていた下級サキュバス。キノコのカードを好んで使う。純真そうな見た目でありながら、相手の能力を下げて無力化し一方的にいたぶるのが好きというサディスティックな一面を持つ。胸が体格の割に大きく、パイズリが得意。\n下級サキュバスとして一見平凡な能力に見えるが魔力を隠すのが得意であり、たいていのカードマスターには見抜かれない擬装ができる。エルルは魔力観察については上位ランクのマスター並みの実力があるため、今回は擬装がバレてしまった。もし何も気が付かなければ、完全に油断したところをいつの間にかキノコの力で弱体化させられて、一方的に精を搾り取られてしまっていただろう。
ランクポイントが貯まった僕は、ランクアップのために再びギルドの建物を訪れていた。,ランクポイントが貯まった僕は、ランクアップのために再びギルドの建物を訪れていた。
新人マスターさん、ギルドへようこそ！\nお元気そうですね。,新人マスターさん、ギルドへようこそ！\nお元気そうですね。
もうランクアップ試験ですか？\nこの短い期間で、さすがです！,もうランクアップ試験ですか？\nこの短い期間で、さすがです！
EランクからDランクに昇格するためには、\nクエストを１つクリアしてもらうのが条件です。,EランクからDランクに昇格するためには、\nクエストを１つクリアしてもらうのが条件です。
ちょうどあなた宛てに依頼が届いているので、\n今回はそれをこなしてもらうことにしましょう。,ちょうどあなた宛てに依頼が届いているので、\n今回はそれをこなしてもらうことにしましょう。
クエストの内容は\n「街付近に現れたサキュバスの調査」です。,クエストの内容は\n「街付近に現れたサキュバスの調査」です。
はい。あなたが街の近くで出会ったというサキュバスですね。\n衛兵へ報告いただきありがとうございました。\nそのときの報告がギルドにも上がってきています。,はい。あなたが街の近くで出会ったというサキュバスですね。\n衛兵へ報告いただきありがとうございました。\nそのときの報告がギルドにも上がってきています。
情報を見る限り下級のサキュバスのようですが…。\n普段この辺りにサキュバスは現れませんし、出現したのがたとえ下級サキュバスであったとしても注意すべき事態であるとギルドは考えます。,情報を見る限り下級のサキュバスのようですが…。\n普段この辺りにサキュバスは現れませんし、出現したのがたとえ下級サキュバスであったとしても注意すべき事態であるとギルドは考えます。
そこで、目撃者であるあなたに、\nこの件のくわしい調査をお願いしたいわけです。,そこで、目撃者であるあなたに、\nこの件のくわしい調査をお願いしたいわけです。
