default,
Cランクに昇格する権利を得た僕は、ギルドリングをCランクのものに変えてもらうため、ギルドを訪れていた。,After becoming eligible to become a C-rank cardmaster; I visited the guild to in order to have my ring upgraded.
ギルドに入ると受付さんがニコニコとした表情で僕を迎えてくれた。\nどうやら僕が勝ったという話をすでに誰かから聞いていたようだ。,The receptionist greeted me with a beaming smile as I entered the guild. She likely already heard about my victory from someone.
{主人公}さん、おめでとうございます！\nCランクへの昇格戦も見事に勝ちましたね！,Congradulations on reaching C-rank; {主人公}! I heard you won your promotion match spectacularly! 
本当はわたしも応援に行きたかったのですが、\n試合の日はお仕事の都合がつかなくて・・・・。\n{主人公}さんが活躍するところちゃんと見たかったです。,I really wanted to come cheer you on in person; but I had work that day and couldn't get away... I would have loved to see you in action; {主人公}.
Fランクのころから活躍を見ているので、\nすっかりわたしも{主人公}さんのファンになっちゃいました。\nこの先、Cランクでの試合も頑張ってくださいね！,I've been keeping an eye on your progress ever since you were F-rank. You could say I've become quite the fan! I'm sure you'll have no trouble during your C-Rank matches as well!
はい、勝ちまくります！,You bet! I'll win them all!
強い人揃いだと思いますが頑張ります！,There will be many strong foes ahead; but I'll do my best!
ふふ、頼もしいですね。\n本当にそれを実現してしまいそうだから、{主人公}さんはすごいです。,Fufu; I would expect nothing less. If anyone can pull it off; it's you {主人公}—You're really a one of a kind cardmaster.
Cランクともなれば手練れ揃いですが、\n{主人公}さんならきっと勝てますよ！\n試合が楽しみです。,C-rank is filled with seasoned fighters; but I'm sure you can win; {主人公}! I'm looking forward to your matches.
さて、それでは昇格の手続きをしますね。\nギルドリングをこちらにお渡しください。,Now then; let's process your promotion. Please hand over your guild ring.
僕はギルドリングを受付さんに手渡した。彼女は作業をするため、リングを持ってギルドの奥に入っていく。,I handed my guild ring to the receptionist. She took the ring and headed to the back of the guild to process it.
受付さんが戻ってくるまで手持ちぶさたに待っていると、外のドアから誰かが入ってきた。,As I waited idly for the receptionist to return; someone entered through the front door.
んー、ギルドに戻るのも久しぶりね。\n王都では戦の準備ばっかりで疲れちゃった。\nん、あら・・・？,Mm; it's been a while since I've been back to the guild. All the war preparations at the royal capital really takes it out of you.... Hm? Could it be...?
あなた、もしかしてコノハの言っていた男の子かしら？,Excuse me; you wouldn't be the boy Konoha told me about; would you?
・・・・？,...?
わたしはリーフ、カードマスターギルドのギルドマスターよ。\nあなたの師匠であるコノハはわたしの一番弟子なの。\nそして・・・。,My name is Leaf; the guild master of the Card Master Guild. Your mentor Konoha is my top disciple.
あなたがこの街に来るから気にかけてくれって、\nコノハから頼まれていたわ。\nわたしの名前をコノハから聞いているでしょう？覚えてる？,Konoha asked me to look after you since you'd be coming to this town. You surely must have heard my name from her; right? Do you remember?
はい、しっかり覚えています,Yes; I remember clearly
すみません、忘れていました,Sorry; I forgot
そう、いい心がけね。\nあの子もちゃんと弟子の教育ができているじゃない。,Good; very good. So that girl can properly educate her disciples after all.
