default
ロリ巨乳バニー,羅莉巨乳兔女郎
[1].１ターンに１度、発動できる。コイントスを行う。表が出た場合、相手プレイヤーに自身の攻撃力分のダメージを与え、「おっぱいに弱い」を付与する。,[1].１回合可發動１次，投擲１次硬幣。出現正面的話，給予對手玩家這張卡攻擊力的傷害，賦予「胸部弱點」。
[2].このカードは「おっぱいに弱い」相手から反撃されない。,[2].這張卡不會受到有「胸部弱點」狀態的角色反擊。
小さな体に大きな胸を実らせたバニーガールのモンスター。おっぱいに大して興味がないロリコン相手でも、彼女のご奉仕を受けると重度のおっぱいフェチになってしまうという。,在嬌小的身體張有碩大胸部的兔女郎怪獸卡。即使是對大胸部沒興趣的羅莉控在接受她的招待後也會變成重度胸控。
あはん❤前のターンは攻撃しないでいてくれてありがとうございます❤\nマスターさん、とってもやさしいんですね❤,あはん❤前のターンは攻撃しないでいてくれてありがとうございます❤\nマスターさん、とってもやさしいんですね❤
うれしいので投げキスのサービスしてあげます❤\nんっちゅ❤\nハートを飛ばしてあげるので気持ちよくなってください❤,うれしいので投げキスのサービスしてあげます❤\nんっちゅ❤\nハートを飛ばしてあげるので気持ちよくなってください❤
あっ、ああっ・・・❤だめぇ❤,あっ、ああっ・・・❤だめぇ❤
あん❤すごい勢いで射精しちゃってます❤\nまさか投げキスだけでびゅるるぅって出しちゃうなんて、\nわたしのことそんなに好きだったんですか？,あん❤すごい勢いで射精しちゃってます❤\nまさか投げキスだけでびゅるるぅって出しちゃうなんて、\nわたしのことそんなに好きだったんですか？
おっぱい以外で負けてくれるなんて、\nふふ、ちょっとうれしいです❤\nでも寂しいでしょうから、お顔を最後に、ぱふぱふぱふ❤,おっぱい以外で負けてくれるなんて、\nふふ、ちょっとうれしいです❤\nでも寂しいでしょうから、お顔を最後に、ぱふぱふぱふ❤
はへぇ、あひぃ・・・❤❤,はへぇ、あひぃ・・・❤❤
くすくす❤気持ちよすぎて崩れ落ちちゃいました❤\n骨抜きになっちゃいましたね❤\nロリコンのマスターさん❤,くすくす❤気持ちよすぎて崩れ落ちちゃいました❤\n骨抜きになっちゃいましたね❤\nロリコンのマスターさん❤
はひぃっ❤あううぅ・・・❤すきぃ・・・❤,はひぃっ❤あううぅ・・・❤すきぃ・・・❤
わたしのこと好きなんですか？くす、ありがとうございます❤,わたしのこと好きなんですか？くす、ありがとうございます❤
さてさて、それではサービスタイムです❤\nコイントスで表が出たら、マスターさんにぱふぱふしてあげますよ❤,さてさて、それではサービスタイムです❤\nコイントスで表が出たら、マスターさんにぱふぱふしてあげますよ❤
サービスタイムです❤\nコイントスで表が出たら、マスターさんにぱふぱふしてあげますよ❤,サービスタイムです❤\nコイントスで表が出たら、マスターさんにぱふぱふしてあげますよ❤
やったー♪表が出ましたね❤\nそれじゃあ、さっそくサービスタイムです❤,やったー♪表が出ましたね❤\nそれじゃあ、さっそくサービスタイムです❤
ふふ、逃げることはできませんよ❤\nコイントスと一緒に誓約魔術がかかっているので、\n当たった時点でマスターさんも身動きできなくなるんです❤,ふふ、逃げることはできませんよ❤\nコイントスと一緒に誓約魔術がかかっているので、\n当たった時点でマスターさんも身動きできなくなるんです❤
お顔におっぱいを近づけて・・・・❤,お顔におっぱいを近づけて・・・・❤
ぱふぱふ❤,ぱふぱふ❤
もう一回、ぱふぱふ❤,もう一回、ぱふぱふ❤
えへへ、どうでしたか？\nわたしのおっぱい、やわらかくて気持ちよかったですか？,えへへ、どうでしたか？\nわたしのおっぱい、やわらかくて気持ちよかったですか？
ってあれれ、わたしの体に白いのがついてる。\nくす、もしかして射精しちゃったんですか？\n早漏さんなんですね、マスターさん❤,ってあれれ、わたしの体に白いのがついてる。\nくす、もしかして射精しちゃったんですか？\n早漏さんなんですね、マスターさん❤
ふふ、とろーんってした目をしてて、\nわたしのぱふぱふ気に入ってくれたみたいです❤,ふふ、とろーんってした目をしてて、\nわたしのぱふぱふ気に入ってくれたみたいです❤
次のターンもまたしてあげますね❤\n楽しみにしててください。\nくすくす❤,次のターンもまたしてあげますね❤\n楽しみにしててください。\nくすくす❤
やったー♪また表が出ましたね❤\nそれじゃあ、さっそく{$効果1ぱふぱふ回数}回目のサービスタイムです❤,やったー♪また表が出ましたね❤\nそれじゃあ、さっそく{$効果1ぱふぱふ回数}回目のサービスタイムです❤
さっきよりも無抵抗に見えますね。\n誓約魔術の効果を実感したからですか？\nそれとも・・・❤,さっきよりも無抵抗に見えますね。\n誓約魔術の効果を実感したからですか？\nそれとも・・・❤
