default
コブラ娘,Cobra Girl
蛇モンスターの中でも強力な能力を持つ上級モンスター。相手を破壊するごとにその力を体内に取り込みパワーアップする。彼女の右腕は蛇になっており、気に入らない相手はこの蛇で丸のみにしてしまうという。胸が栄養をたくわえる袋にもなっているので、相手から力を取り込むごとにしばらくの間胸が通常サイズより大きくなり、パイズリなどの行為の威力も上がるため注意が必要である。,An advanced-level snake monster with powerful abilities at her disposal. She absorbs the power of each opponent she defeats; storing it insider her body and growing stronger. Her right arm has transformed into a snake; and it is said she uses it to swallow her enemies whole. Her chest serves as a pouch for storing nutrients; becoming temporarily larger each time she absorbs power from an opponent. Caution is necessary when facing her; as this increases the potency of some of her attacks; like her breast smothering.
特性：「凍結弱点」\n[1].このカードが相手モンスターを破壊したときに発動する。破壊したモンスターの攻撃力の半分だけこのカードの攻撃力をアップする。\n[2].戦闘時に「毒」(200)を付与する。,Characteristics: "Freeze Weakness" [1]. Activate when this card destroys an opponent's monster. Increase this card's attack power by half that of the destroyed monster. [2]. Inflict "Poison" (200) during battle.
[3].1ターンに１度、このカードの攻撃力よりHPが低い相手モンスター１体を選択して発動できる。そのモンスターをゲームから取り除き、自身の攻撃力を600ポイントアップする。,[3]. Once per turn; you may choose an opponent's monster whose HP is lower than this card's attack power. Remove that monster from the game and increase this card's attack power by 600.
戦闘時に「おっぱいに弱い」を付与する。弱点攻撃時に拘束攻撃を行う,During battle; grant "Breast Fetish." Perform a binding attack when attacking a weakness.
EU39_paizuri,
クク、おぬしのエナジー、なかなかに美味じゃったぞ❤,Kuhu; your energy was quite delicious~❤
さあこのエナジーを力に変えさせてもらおう❤\nほれ、わしの胸を見るがよい…❤,Now; allow me use you this energy you have offered me to fuel my power.❤ Look; gaze upon my chest...❤
&巨乳立ち絵,
&巨乳立ち絵射精胸,
&巨乳立ち絵射精足,
どうじゃ？でかかろう？\nわしの乳は栄養をたくわえる袋になっておるからの。\n捕食のあとには一時的に大きくなるわけじゃ。,What do you think? Rather large; aren't they? My breasts are like sacks I use to store nutrients. Feeding causes them to swell temporarily.
さあ、この胸でもっとエナジーを搾り取ってやるからのう❤\nククク❤,Now; I'll use these swollen breasts to milk and collect even more energy~❤ Kuhuhu~❤
&爆乳立ち絵,
&爆乳立ち絵射精胸,
&爆乳立ち絵射精足,
どうじゃ？さらに大きくなったじゃろう？\nこの乳で挟まれたらきっと極楽じゃろうなぁ❤,What do you think? They've grown even larger; haven't they? It would surely be paradise for any man to be trapped between these breasts; wouldn't you agree? ❤
ククク❤もっとわしに精をささげたくなったか？\nならばほれ、こっちに来い。\n快楽で脳をとろかしながら、心地よく捕食してやろう❤,Kuhuhu~❤ Do you wish to dedicate even more essence to me? Then come. I will gladly devour as I melt your brain with pleasure.❤
ふむ、食いでがありそうな相手じゃな。楽しみじゃ。,Hmm; you seem to be a worthy opponent. I'm looking forward to this battle.
逃げようと思っても無駄じゃよ。\nこうして体で絡めとってしまえば・・・。,It's useless to try to escape. If I entangle you with my body like this...
あっという間にとろけ顔じゃな❤\nペニスをやわい胸に挟まれてたまらんか？,In no time; your face will be melting in pleasure~❤ Do you turly believe you can resist having your penis sandwiched between my plush breasts?
この拘束を抜け出せるものはおらん❤\n肉の快楽を味合わされ、果てるがよい❤,Once I have them restrained like this; no one can escape my clutches.❤ Enjoy these pleasure of the flesh and accept your demise~❤
この胸は栄養をたくわえる目的もあってな。\n獲物から得たエナジーをこの中に入れると、\n普段より更に大きくなるのじゃ。,My chest serves the purpose of storing nutrients. When I absorb the energy drained from my prey; it becomes far larger than usual.
今は最大の大きさの半分というところか。\nしかし、これでも人間からすれば十分に大きいじゃろう？,Right now; I would say it is only half as large as it could be. But even so; it's far bigger than any human's; wouldn't you?
ほら、やわこい胸の感触を楽しませてやる。\nおぬしもわしの栄養にしてやろうぞ❤,Here; enjoy the soft feeling of my chest. I'll make you my nourishment as well~❤
さっきのエナジーのおかげで、一回りは大きくなったじゃろ？\nせっかくじゃ、おぬしからも精をもらって、\nさらに爆乳になろうかの❤,Thanks to the energy from earlier; my cup size has increased; hasn't it? Since it's such a special occasion; why not offer me your essence as well and allow me to become even bustier?❤
ほら、やわこい胸にいちもつを埋めてやる❤\n大きすぎてたまらんか？\nクク、おぬしもわしの栄養にしてやろうぞ❤,Here; I'll bury your cock in my soft chest.❤ Isn't it simply too big to resist? Kuhu; I'll make you my nourishment as well~❤
どうじゃ？かなりの大きさじゃろう？\nこれで挟んでやれば男はすぐに音を上げる❤\nおぬしはどうじゃろうなぁ❤,What do you think? Quite large; no? Were I to squeeze them with breasts like thes; any man would crumble immediately~❤ What about you?❤
ククク❤完全に埋もれてしもうたわ❤\nもう顔が蕩けておるぞ？\n揺さぶってやるから、さっさと果てるがよい❤,Kuhuhu~❤ You're completely buried now.❤ You already have such a charmed look on your face; don't you? I'll start shaking my chest now; so just hurry up and finish!❤
わしの牙はこの腕の蛇だけではないぞ？\n体についた大きな二つのふくらみも、\n男を捕らえる立派な牙じゃ❤,I have more fangs than simply the ones in my snake arm; understand? These two large bulges on my chest are also magnificent fangs I can use to capture men~❤
男のペニスを挟めば、\nそれだけで獲物は毒にしびれたように動けなくなるからの❤\nククク、おぬしもすっかり骨抜きのようじゃ❤,Simply trapping a man's cock between my breasts like this renders my prey unable to move; as if paralyzed by poison.❤ Kuhuhu; they seem to have left you completely helpless as well~❤
男のペニスを挟めば、\nそれだけで獲物は毒にしびれたように動けなくなるからの❤\nククク、おぬしもこの快楽の牙で動けなくしてやろう❤,Simply trapping a man's cock between my breasts like this renders my prey unable to move; as if paralyzed by poison.❤ Kuhuhu; I'll leave you helpless with my fangs of pleasure~❤
足で踏まれて喜ぶのか？へんたいめ❤,Do you enjoy being stepped on? How perverse of you~❤
蛇体で動く我らからすれば、五本指の足はなんとも奇妙な気がする。\nこの指で挟まれ上下に動かされるのがそんなによいか？ん？,For those of us who move with snake-like bodies; feet with five toes seem rather strange. Does it truly feel so good; being gripped by these toes as I stroke you up and down? Hmm?
ククク❤みっともなく喘ぎ追って、よほど気持ちいいようじゃな❤\n果てたければ果てるがよい❤ほれほれ、早く動かしてやろう❤,Kuhuhu~❤ Judging by your pathetic moans you seem to be enjoying yourself quite a bit~❤ If you are truly so desperate to reach your end; go right ahead~❤ I'll rub faster; so hurry up already!❤
わしの足は蛇体を魔術で変化させたものじゃ。\n本来はこのような人間の足はしておらん。,I lack human legs like these naturally. I have transformed my legs from a serpent's body through my magic.
そんなまがいものの足でも、踏みつけてやれば男は喜ぶからの❤\nほら、踏みぬいてぐりぐりとペニスを弄んでやろう。\n快楽に感謝するがよい❤,Despite these legs of mine being fake; men still find such pleasure being trampled beneath them~❤ Now; allow me to step on and tease that cock of yours. Show some gratitude for the pleasure I offer you!❤
膝裏でおぬしのペニスを捉えたが、わしの脚さばきはどうかの？\n蛇体を這わせるように、脚を動かすのは得意なのじゃが・・・❤,I've captured your penis with the back of my knees; so tell me... What do you think of my technique? I'm quite skilled at moving my legs like a serpent slithering through the sand... ❤
