default
村人A,村民A
老婆【!】,婆婆【!】
老婆,婆婆
商人,商人
狩人,獵人
南の村,南方小村
情報収集,收集情報
ショップ,商店
デッキ編集,編輯牌組
タイトルに戻る,回到標題
特殊オプション,特殊選項
ロード,讀取
セーブ,存檔
回想,回想
次のステージへ,進入下一關
やあ、こんにちは。守護者のお弟子さん。,你好啊。守護者的弟子。
あんたらすごいよなぁ。１人で２０枚や３０枚もカードが使えるんだろ？,你很厲害呢。單一個人就可以使用２０張到３０張卡對不對？
おれら一般人じゃ、４，５人で魔力を合わせて、ようやく１枚召喚できるかどうかだぜ。,我們一般人啊要有四到五個人合力才能召喚一張卡呢。
カードマスターってのはすごいねぇ。尊敬しちまうよ。,卡片戰士真的好厲害，我很敬佩你們。
デッキ枚数について,關於牌組張數
プレイヤーのデッキに入れられるカードの枚数は最大で３０枚です。２０枚から３０枚の間で、自由にデッキを組むことができます。同じカードは３枚までしか入れられません。,玩家的牌組最多可以放到３０張。可以在２０張到３０張之間自由編輯牌組。相同的卡片在牌組只能放到３張。
おや、師匠との修行、今日はもう終わりかい？,今天跟師傅的修行結束了嗎？
なに？この村から出発する？そうかい、ついに妹さんを探しにいくのかい,什麼？你已經要離開這個村子了嗎？這樣啊，終於要開始尋找妹妹了。
あんたが魔族に襲われてこの村に流れてきたときは、あんなに小さかったのに…。,你的村子被魔族襲擊而流浪到這個村子的時候還很小的說。
今ではこんなに強くなって。頑張ったねぇ。,而現在卻已經成長到這麼強壯呢。要加油喔。
これは餞別だ。とっておきな。,這是餞別禮。要珍惜使用喔。
頑張って魔族をぶちのめしてくるんだよ！,請努力打倒魔族吧！
この村に来たときはカードのこともよくわかっていないような、痩せた子供だったのにねぇ、,來到這個村子的時候還是不能使用卡片的瘦弱孩子，
守護者のコノハ様に見出されて、こってり修行をつけてもらったおかげで、今じゃこんなに頼もしい。,但是守護者可羅大人收留你，給予你嚴格的訓練，現在已經成為可靠的卡片戰士了。
妹さん見つかるといいね。頑張って魔族をぶちのめしてくるんだよ！,祝你能找到自己的妹妹，並且打倒魔族！
ん？そこのきみ、デッキを身に付けているね。この村の守護者さんかな？,嗯？你帶著牌組呢。你是這個村子的守護者嗎？
へぇ、守護者のお弟子さんなのかい。よろしく、わたしはこの村に来たばかりの商人だよ。,喔，原來是守護者的徒弟啊。初次見面，我是剛到這個村子的商人。
ちょうど王都の方で仕入れてきたカードパックがあるんだ。よかったら買っていてよ。,我剛好從王都進了一些卡包。要看看嗎？
カードパックは開いた人の適正に応じてその中身が決まる。開けるまで何が入っているか誰にも分からない。,卡包的內容物是由開卡包的人的適性來決定其中的卡片。誰也不知道裡面會有什麼。
今からお兄さんが開けるのが楽しみだよ。どんなカードが入っているかな？,這也是買卡包的一種樂趣。讓人不禁思考裡面會有怎樣的卡。
さて…。昨日仕掛けた罠の様子はどうなっているかのう。,我要出發了。我要去檢查昨天設置的陷阱狀況。
わしはこれからウサギ取りの罠を見に行くところじゃよ。\n罠猟はわしの生きがいじゃ。いい場所にしかけて成果をじっと待つ。\nこのときのワクワク感がたまらん。,我要去檢查獵捕兔子的陷阱。\n用陷阱狩獵是我活著的意義。在好地點設置然後等待成果。\n等待時會有興奮的感覺。
またあとで家に来るといい、\nいつものように鍋をつくってごちそうしてやろう。\nいまの季節のうさぎはうまいぞ。,之後歡迎來我家，\n我會像平常一樣煮火鍋招待你。\n這個季節的兔子很好吃喔。
罠カードについて,關於陷阱
罠カードは伏せたターンには発動できません。伏せた次のターン以降はじめて発動できるようになります。,陷阱卡在覆蓋回合不能發動。覆蓋後的下一個回合才能發動。
特殊オプションについて,關於特殊選項
拠点のメニューから「特殊オプション」を実行することができます。,在據點的選單上可以執行「特殊選項」。
特殊オプションでは難易度の変更やBGMの音量調整、プレイヤーの見た目変更などを行えます。,特殊選項可以改變難度、音量調整和玩家外貌。
操作説明,操作說明
右クリックでメッセージをスキップできます。マウスホイールでメッセージを透過できます。スマートフォンの場合、二本指タップでスキップできます。長押ししたまま上下に動かすとメッセージを透過できます。,點擊滑鼠右鍵可跳過訊息。滑鼠中鍵可以讓訊息透明。使用手機遊玩時，用兩根手指觸控可以跳過訊息。長按上下移動可以讓訊息透明。
