default
猫又,貓妖
[1].このカードがフィールド上に４ターン以上存在している場合、以下の効果を持つ。\n・このカードが破壊され墓地へ送られたときに発動する。このカードを墓地から特殊召喚する。,[1].這張卡在場上存在４回合以上時，具有以下效果：\n・這張卡被破壞送往墓地時發動。這張卡從墓地特殊召喚到自己場上。
[2].戦闘終了時に発動する。自身のHPを与えた戦闘ダメージの半分だけ回復する。,[2].困難以上中，交戰後發動。自己的HP回復給予的戰鬥傷害的一半。
戦闘時に弱点を付与する。\n,交戰時賦予對方與攻擊方式相應的弱點。\n
長生きした猫が妖力を得た存在。あでやかな姿で男をたぶらかしその精気を吸いとってしまう。サキュバスほどではないが吸精が可能であり、肌に触れているだけで力を吸い取られる危険がある。玉のような肌がどれだけ気持ちよかろうと、気を強く持ち彼女を振り払わなければ危険である。,長生きした猫が妖力を得た存在。あでやかな姿で男をたぶらかしその精気を吸いとってしまう。サキュバスほどではないが吸精が可能であり、肌に触れているだけで力を吸い取られる危険がある。玉のような肌がどれだけ気持ちよかろうと、気を強く持ち彼女を振り払わなければ危険である。
ふふ、おっぱい気になる？\nそれなら、いいことしてあげる・・・❤,ふふ、おっぱい気になる？\nそれなら、いいことしてあげる・・・❤
肘でおっぱいを寄せて、あなたの肉棒をむぎゅ❤\n大きさはそこそこだけれど、しっとりして気持ちいいでしょう？\nあなたのからの精気を肌越しに吸い取っているからよ…❤,肘でおっぱいを寄せて、あなたの肉棒をむぎゅ❤\n大きさはそこそこだけれど、しっとりして気持ちいいでしょう？\nあなたのからの精気を肌越しに吸い取っているからよ…❤
うっとりしていればすぐに終わるわ。\nカラカラになるまで吸われるのはきっと極楽…❤\n祟り殺してあげるわね…❤くすくす❤,うっとりしていればすぐに終わるわ。\nカラカラになるまで吸われるのはきっと極楽…❤\n祟り殺してあげるわね…❤くすくす❤
いやん❤敵のおっぱいばっかり見て、\n目がいやらしいわ❤,いやん❤敵のおっぱいばっかり見て、\n目がいやらしいわ❤
そんなにおっぱいが好きなら、\nあなたの肉棒、挟んであげてもいいわよ❤\nそう、ここの間にチンポを入れて擦ってあげるの…❤,そんなにおっぱいが好きなら、\nあなたの肉棒、挟んであげてもいいわよ❤\nそう、ここの間にチンポを入れて擦ってあげるの…❤
想像したら、足の動きが鈍ってきちゃうわね❤\nほら、ほら・・・❤\nこっちにおいで、気持ちよく逝かせてあげる❤,想像したら、足の動きが鈍ってきちゃうわね❤\nほら、ほら・・・❤\nこっちにおいで、気持ちよく逝かせてあげる❤
