default
案内好きの男性,喜歡帶路的男性
せっかちな商人（チュートリアル：スキップ）,沒耐心的商人（教學：跳過劇情）
街の兵士,街上的士兵
老婆,婆婆
優しそうなカードマスター【!】,好心的卡片玩家【!】
優しそうなカードマスター,好心的卡片玩家
❤かわいい女の子,❤可愛的女孩子
❤マッサージ屋の女の子,❤馬殺雞店的女孩子
マッサージ屋の女の子,馬殺雞店的女孩子
モルゲン入口,摩爾根入口
情報収集,收集情報
ショップ,商店
デッキ編集,編輯牌組
タイトルに戻る,回到標題
特殊オプション,特殊設定
ロード,讀取
セーブ,存檔
回想,回想
次のステージへ,前往下一關
ようこそモルゲンの街へ。おや、南の方の村からここに来たのかい？,歡迎來到摩爾根街道。喔，你是從南方的村子來到這裡了嗎？
モルゲンより南にある集落っていうと、どれも小規模なものばかり…。\nてことは、きみはモルゲンみたいに大きい街は初めてだろう？,摩爾根以南的村子，都是規模非常小的呢……。\n所以，你是第一次來到這麼大的街上來嗎？
王都にはさすがに負けるけど、\n店は多いし歓楽街だってある。\n都会をぜひ満喫して行ってくれ。,雖然說明顯比不上王都，\n但是店面很多甚至還有娛樂街。\n請在這享受都市的魅力吧。
カードを用いた戦いにおいて、デッキのバランスは非常に重要です。,使用卡片的戰鬥中，牌組的平衡非常重要。
上級モンスターは強力な分召喚が難しい…。\n5レベル以上ならコストが<b>1体</b>、\n7レベル以上ならコストが2体も必要になります。,上級怪獸雖然強但相對的召喚也很困難。\n等級五以上需要<b>一體</b>為代價，\n等級７以上則是需要兩體。
下級モンスターを上級モンスターの2倍ほど多めに入れて、\nちょうどいいぐらいかもしれませんね。,因此下級怪獸放入上級怪獸的兩倍左右，\n應該會是很剛好的平衡。
知ってるかい？もうすぐこの街では祭りが始まるんだよ。,知道嗎？這座城市馬上就要辦祭典了。
カードマスターたちがお互いに実力を競い合う、熱い祭りさ。\n周りを見るとカードマスターらしき人がいっぱいいるだろう？,那是卡片玩家們互相拼鬥的熱血祭典。\n你看到處都是卡片玩家對吧？
10年に一度、このモルゲンの町はカードマスターで溢れかえるのさ。\nわたしにもカードの才能があれば、参加してみたいものなんだけどねぇ\nいやあ血が騒ぐよ。,摩爾根這座城市每十年一次都會像這樣聚集大量卡片玩家。\n要是我也有卡片玩家的才能的話也想參加，那一定很有意思。
やあ、こんにちは。\n話・・・？\nええと、長くないならいいよ。,你好。\n……想說話嗎？\n呃……如果不要太長的話就行。
いや、どうもおれはせっかちでね、\nたらたらと人の話を聞くのが苦手なんだ。\nパッと全部飛ばしたいね。,怎麼說，反正我就是急性子。\n不習慣慢慢聽人說話。\n真想一口氣全跳過啊。
イベントのスキップについて,關於跳過事件
スキップ操作,跳過劇情
会話や演出などは、右クリックを押すことでスキップできます。右クリックを離したときスキップは解除されます。,可以按滑鼠右鍵跳過演出跟對話。放開右鍵時會取消跳過功能。
またタップ操作の場合は二本指で画面に触れることでスキップできます。指を離したときスキップは解除されます。,使用觸控螢幕來操作時，以兩根手指觸控螢幕可以跳過演出跟對話。手指放開可以解除跳過功能。
こんにちは。わたしはBランクのカードマスター、リーズよ。,你好。我是Ｂ階級卡片玩家莉絲。
見たところあなたはまだ新人かな？ギルドリングをつけてないわね。,你應該還是新人吧？沒有戴公會戒指呢
ほら。わたしが指にはめているこのリングがギルドリングよ。\nギルドに所属する証で同時にランクの高さも表しているの。,你看我手指上戴的這個就是公會戒指。\n代表自己屬於公會的同時還能表示自己的階級。
この街に来たってことは、ギルドに入るんでしょう？\nなら、これは先輩からのご祝儀よ。,你是來這座城市加入公會的對吧？\n那麼作為前輩送你一點賀禮。
なんていうか、あなたからは大物になりそうな気配を感じるわ。\nだから先行投資みたいなものね。,怎麼說，總覺得你將來會出人頭地。\n所以說你就將這當作是一種投資吧。
あなたもわたしみたいな強いカードマスターになりなさい？\nランクが上がったらぜひ戦いましょう！,你將來也要成為像我一樣強的卡片玩家。\n到時候再跟我對戰吧。
あらどうしたの？\nもしかしてギルドへの道がわからなくて迷子になっちゃった？,怎麼了嗎？\n難道說你正在找公會嗎？
あそこに緑の屋根の大きな建物が見えるでしょ？\nその正面を右に曲がったら、白い屋根の建物が見えるはずよ。\nそれがギルドの建物。,有看見那個綠色屋頂的大建築物嗎？\n從那裡的正門口開始右轉，應該可以看見一個白色屋頂的建築物。\n那裡就是公會。
屋根の色が独特で目立つからすぐにわかると思うわ。\nふふ、なんならお姉さんが連れて行ってあげようか？,屋頂的顏色很特別所以很醒目。\n還是說要姊姊帶你過去？
